,date,open,low,high,close,volume
0,2020-01-06,62.9,62.67,63.24,62.98,11312026
1,2020-01-03,62.61,62.55,63.33,62.78,12986712
2,2020-01-02,63.85,63.14,64.0,63.34,13163700
3,2020-04-06,57.07,56.58,58.07,57.87,22589716
4,2020-04-03,54.99,54.9,56.47,55.53,14654200
5,2020-04-02,54.84,53.58,55.32,55.21,12929443
6,2020-04-01,53.62,53.52,55.7,54.82,13441300
7,2020-03-31,54.3,54.24,56.24,55.74,28461663
8,2020-03-30,53.2,53.2,55.08,54.39,18013518
9,2020-03-27,51.11,50.87,53.78,52.79,14498400
10,2020-03-26,50.46,50.31,53.32,52.25,21601730
11,2020-03-25,49.03,48.17,51.95,49.35,20921300
12,2020-03-24,48.18,47.39,49.5,49.24,16484846
13,2020-03-23,47.19,45.76,48.4,46.4,21237024
14,2020-03-20,49.05,47.25,50.64,48.4,20370800
15,2020-03-19,50.11,48.13,50.72,48.79,20058311
16,2020-03-18,51.63,48.02,52.39,50.24,27384200
17,2020-03-17,51.83,51.2,54.1,54.09,17519635
18,2020-03-16,50.13,48.01,53.76,51.11,20582800
19,2020-03-13,54.89,51.78,55.5,54.99,23503600
20,2020-03-12,52.33,50.62,54.9,52.75,22963004
21,2020-03-11,56.78,55.81,57.96,56.51,19771942
22,2020-03-10,58.82,55.91,58.95,57.93,24831000
23,2020-03-09,56.01,56.0,59.14,57.66,22385905
24,2020-03-06,58.88,58.76,60.42,60.31,14833934
25,2020-03-05,60.7,59.84,61.24,60.5,15119400
26,2020-03-04,60.2,59.69,61.68,61.48,18228300
27,2020-03-03,60.86,58.34,61.85,59.2,18250100
28,2020-03-02,59.57,58.68,60.78,60.34,19500308
29,2020-02-28,57.76,56.37,59.21,59.06,28294863
30,2020-02-27,61.0,59.56,61.58,59.58,20624838
31,2020-02-26,61.75,61.61,63.39,62.04,11266849
32,2020-02-25,63.89,61.6,63.91,62.14,15706044
33,2020-02-24,64.08,63.69,65.06,63.97,12105013
34,2020-02-21,64.87,64.8,65.87,65.63,10134807
35,2020-02-20,65.63,64.89,65.98,65.17,11360503
36,2020-02-19,66.0,65.36,66.05,65.71,9905400
37,2020-02-18,66.51,65.44,66.97,66.07,13832958
38,2020-02-14,66.25,65.98,66.83,66.38,7530791
39,2020-02-13,66.72,66.04,66.95,66.08,9149500
40,2020-02-12,67.09,66.57,67.5,67.0,11213700
41,2020-02-11,67.35,66.97,67.55,66.99,7261691
42,2020-02-10,65.88,65.8,67.12,66.91,13218500
43,2020-02-07,66.68,65.84,67.01,66.25,13093706
44,2020-02-06,67.0,66.39,67.8,67.1,16488538
45,2020-02-05,64.92,64.85,65.85,65.59,14991624
46,2020-02-04,64.07,64.05,64.94,64.29,11740200
47,2020-02-03,63.1,63.05,64.24,63.58,15987102
48,2020-01-31,63.63,62.51,63.69,62.95,12898017
49,2020-01-30,63.8,63.39,64.31,63.81,10783736
50,2020-01-29,65.02,64.13,65.09,64.14,10763852
51,2020-01-28,64.13,63.9,65.36,64.81,12761941
52,2020-01-27,63.26,63.09,64.63,63.7,20951131
53,2020-01-24,66.39,63.61,66.74,64.16,22453038
54,2020-01-23,67.13,66.03,67.25,66.87,13183667
55,2020-01-22,67.91,67.22,68.34,67.43,15187040
56,2020-01-21,66.7,66.53,67.62,67.43,12519551
57,2020-01-17,66.75,66.7,67.21,66.72,14375000
58,2020-01-16,66.63,66.51,66.97,66.78,8435800
59,2020-01-15,66.43,66.43,67.09,66.58,10937400
60,2020-01-14,65.81,65.57,66.53,66.44,30561020
61,2020-01-13,65.43,65.37,66.99,66.15,19246217
62,2020-01-10,65.45,65.04,65.97,65.23,11699844
63,2020-01-09,64.14,64.12,65.78,65.45,16171348
64,2020-01-08,64.05,63.86,64.61,63.86,18527321
