,date,open,low,high,close,volume
0,2020-01-06,123.15,122.79,125.01,125.0,401500
1,2020-01-03,122.01,121.9,123.99,123.88,359200
2,2020-01-02,124.69,122.97,124.89,123.78,391226
3,2020-04-06,96.63,95.55,99.31,98.61,1126237
4,2020-04-03,91.36,91.12,94.46,92.39,561734
5,2020-04-02,90.4,90.38,93.94,92.1,784044
6,2020-04-01,91.77,90.08,93.0,91.32,1123000
7,2020-03-31,95.55,93.63,97.26,94.83,1001345
8,2020-03-30,92.31,90.58,97.38,96.94,1036023
9,2020-03-27,94.9,91.31,95.0,91.57,947400
10,2020-03-26,94.92,93.47,97.8,96.93,1308641
11,2020-03-25,94.17,88.89,96.35,93.94,1898935
12,2020-03-24,87.84,87.0,94.88,94.83,871068
13,2020-03-23,89.86,81.9,89.86,84.26,1246828
14,2020-03-20,93.84,89.81,97.68,90.77,1151600
15,2020-03-19,100.08,92.54,100.28,93.44,1332841
16,2020-03-18,99.52,95.79,104.77,100.9,1522600
17,2020-03-17,101.61,97.63,107.14,104.82,2142600
18,2020-03-16,92.34,91.4,103.43,99.63,1554615
19,2020-03-13,99.61,95.12,103.74,103.68,1887901
20,2020-03-12,90.99,90.46,99.1,95.71,2707121
21,2020-03-11,96.9,95.34,98.81,97.67,1616400
22,2020-03-10,94.61,93.8,100.24,99.49,1905000
23,2020-03-09,93.71,91.24,95.73,91.52,1241763
24,2020-03-06,98.08,95.55,100.99,100.36,1282077
25,2020-03-05,103.56,99.69,104.28,101.39,1098538
26,2020-03-04,104.51,103.05,106.21,106.15,1175725
27,2020-03-03,106.51,102.14,106.72,102.52,2486900
28,2020-03-02,105.51,103.59,107.22,106.25,2429100
29,2020-02-28,106.06,102.91,108.09,104.36,3048500
30,2020-02-27,110.29,107.69,111.76,107.69,1324435
31,2020-02-26,113.93,112.51,115.37,112.54,1676578
32,2020-02-25,116.77,112.32,117.64,112.45,826100
33,2020-02-24,116.36,115.55,117.87,116.44,565340
34,2020-02-21,121.12,119.11,121.12,119.61,577637
35,2020-02-20,122.77,118.06,122.77,121.38,1505500
36,2020-02-19,123.32,122.06,123.61,122.88,554910
37,2020-02-18,122.09,121.69,122.67,122.51,637727
38,2020-02-14,122.8,121.61,123.79,122.28,633700
39,2020-02-13,122.73,122.19,123.81,122.37,701446
40,2020-02-12,120.37,119.9,123.72,123.43,1140147
41,2020-02-11,119.25,118.63,119.88,119.81,575049
42,2020-02-10,117.93,117.53,118.88,118.24,949337
43,2020-02-07,119.11,117.53,120.2,117.85,677244
44,2020-02-06,121.14,119.59,121.63,119.73,859144
45,2020-02-05,117.91,117.91,121.57,120.7,1475112
46,2020-02-04,117.98,115.8,118.41,117.34,1030900
47,2020-02-03,120.67,116.2,121.01,116.43,1291611
48,2020-01-31,120.49,115.39,121.43,119.15,2180914
49,2020-01-30,128.69,127.84,129.81,129.46,946400
50,2020-01-29,130.57,129.52,130.76,129.54,415103
51,2020-01-28,129.74,129.25,130.65,129.77,424131
52,2020-01-27,128.73,128.12,130.39,129.41,399545
53,2020-01-24,131.97,130.23,132.39,131.03,369900
54,2020-01-23,132.6,130.64,132.83,131.26,447800
55,2020-01-22,133.29,132.5,134.3,132.53,729400
56,2020-01-21,130.27,130.27,132.83,132.57,683219
57,2020-01-17,129.82,129.14,131.15,131.0,523800
58,2020-01-16,129.09,129.07,129.96,129.35,374345
59,2020-01-15,128.49,127.91,129.29,128.28,398800
60,2020-01-14,128.23,127.36,128.83,128.1,470000
61,2020-01-13,127.86,127.47,128.84,128.49,430407
62,2020-01-10,128.07,126.78,128.12,127.59,644000
63,2020-01-09,125.98,125.81,128.5,128.1,752343
64,2020-01-08,124.86,124.03,126.22,125.36,486200
65,2020-01-07,125.0,124.21,125.47,124.56,585420
66,2020-07-06,130.0,128.01,130.32,128.69,462815
67,2020-07-02,127.82,127.63,129.85,128.22,573800
68,2020-07-01,126.39,125.48,128.62,127.27,539621
69,2020-06-30,125.52,124.7,126.65,126.19,769234
70,2020-06-29,125.05,122.77,125.81,125.77,608635
71,2020-06-26,124.65,124.36,126.95,124.64,1542000
72,2020-06-25,122.49,121.05,125.02,124.79,635900
73,2020-06-24,123.96,122.44,124.26,122.7,528200
74,2020-06-23,125.76,124.45,126.94,124.65,455400
75,2020-06-22,123.28,123.18,126.08,124.71,500902
76,2020-06-19,127.84,123.27,128.03,123.33,970200
77,2020-06-18,125.43,125.04,126.57,125.94,463239
78,2020-06-17,125.09,125.05,126.61,126.11,651500
79,2020-06-16,125.0,124.25,126.5,125.11,939000
80,2020-06-15,119.57,119.4,122.5,122.4,1163700
81,2020-06-12,120.83,118.36,122.38,121.63,1488600
82,2020-06-11,119.14,117.2,119.55,118.93,1574100
83,2020-06-10,124.01,121.01,124.06,121.78,830600
84,2020-06-09,127.12,123.28,127.45,123.51,647937
85,2020-06-08,125.77,125.1,127.53,127.49,514000
86,2020-06-05,125.14,124.85,127.86,126.67,596012
87,2020-06-04,123.6,122.95,124.44,124.0,515828
88,2020-06-03,123.62,123.43,124.71,124.3,361808
89,2020-06-02,123.28,121.78,123.31,123.28,594514
90,2020-06-01,121.12,120.11,122.81,122.23,428337
91,2020-05-29,119.44,118.08,121.53,121.1,773800
92,2020-05-28,117.19,117.13,120.53,119.26,546222
93,2020-05-27,118.07,116.02,118.85,116.7,1119400
94,2020-05-26,119.4,116.76,119.87,117.12,680100
95,2020-05-22,117.81,116.22,117.98,116.81,553913
96,2020-05-21,120.61,117.68,120.61,117.79,514632
97,2020-05-20,120.73,120.5,122.74,120.96,452326
98,2020-05-19,119.01,119.01,121.37,119.57,571400
99,2020-05-18,118.58,118.09,120.39,119.44,602800
100,2020-05-15,112.98,112.98,116.29,115.55,1776617
101,2020-05-14,113.32,110.74,114.93,114.87,801400
102,2020-05-13,117.94,112.62,118.56,114.11,886000
103,2020-05-12,119.23,117.85,120.44,117.85,885427
104,2020-05-11,116.16,115.59,119.74,119.26,710211
105,2020-05-08,119.0,115.62,119.19,116.81,888200
106,2020-05-07,117.51,116.15,118.5,116.69,797300
107,2020-05-06,115.42,114.6,116.85,116.0,573536
108,2020-05-05,115.07,114.66,116.1,115.35,598400
109,2020-05-04,112.35,111.75,114.06,113.85,544909
110,2020-05-01,114.2,111.87,114.72,113.06,503503
111,2020-04-30,114.8,114.34,116.57,116.0,481100
112,2020-04-29,113.91,113.75,116.99,115.52,614835
113,2020-04-28,115.61,112.28,116.59,112.47,863600
114,2020-04-27,112.31,112.3,114.62,114.34,535500
115,2020-04-24,110.78,109.49,111.6,111.44,698200
116,2020-04-23,110.0,108.91,111.19,110.25,814387
117,2020-04-22,109.1,108.03,110.52,109.41,566700
118,2020-04-21,108.43,105.39,108.69,107.36,740528
119,2020-04-20,108.7,107.97,110.62,109.79,619000
120,2020-04-17,109.01,108.51,110.14,109.94,707400
121,2020-04-16,107.24,105.25,108.74,107.05,953319
122,2020-04-15,105.55,104.95,107.69,106.57,1016913
123,2020-04-14,105.0,102.98,107.19,106.95,952800
124,2020-04-13,105.27,101.32,105.9,102.59,502348
125,2020-04-09,102.53,101.4,106.37,105.91,1271400
