,date,open,low,high,close,volume
0,2020-01-06,224.99,224.7,227.13,226.99,4350545
1,2020-01-03,225.69,225.48,227.43,226.18,3110788
2,2020-01-02,227.51,226.71,228.39,228.39,3836672
3,2020-04-06,184.61,180.49,186.41,185.24,10132749
4,2020-04-03,178.59,175.44,180.22,178.34,6728585
5,2020-04-02,175.0,174.225,180.31,179.73,7420962
6,2020-04-01,176.18,174.19,178.67,175.95,8890755
7,2020-03-31,182.05,180.57,186.17,182.83,9150100
8,2020-03-30,180.04,178.0,184.11,183.18,7846590
9,2020-03-27,178.5,176.72,184.24,179.66,10479217
10,2020-03-26,181.29,179.59,184.96,183.9,14304238
11,2020-03-25,180.01,175.17,189.07,180.47,14095971
12,2020-03-24,170.91,169.53,179.14,178.2,14333393
13,2020-03-23,165.3,159.5,166.69,162.13,17031341
14,2020-03-20,176.3,167.2945,177.18,170.06,16620230
15,2020-03-19,170.21,166.0,176.18,174.68,12719308
16,2020-03-18,177.29,167.0,181.39,172.44,16901758
17,2020-03-17,181.88,177.0,187.81,187.6,15284855
18,2020-03-16,174.0,173.62,188.38,177.77,14171878
19,2020-03-13,187.45,178.41,196.5,196.4,15145738
20,2020-03-12,183.6,175.0,187.6699,175.97,22303701
21,2020-03-11,197.32,192.87,198.13,194.64,9768235
22,2020-03-10,201.35,195.0517,202.86,202.73,11194374
23,2020-03-09,195.0,192.26,198.479,193.13,14494837
24,2020-03-06,203.48,202.35,207.41,205.98,9663385
25,2020-03-05,212.55,207.01,212.75,208.96,8251624
26,2020-03-04,212.14,209.26,218.34,217.86,7545981
27,2020-03-03,217.39,206.2,218.15,208.81,10917745
28,2020-03-02,207.25,204.4339,218.8,217.63,10659344
29,2020-02-28,201.92,199.68,206.44,206.34,15576031
30,2020-02-27,212.9,207.28,214.38,207.67,11271849
31,2020-02-26,219.65,215.94,220.63,216.06,7169069
32,2020-02-25,222.2,216.76,223.24,218.05,8699911
33,2020-02-24,221.31,220.27,223.94,221.69,8266451
34,2020-02-21,227.53,226.98,230.07,229.33,5042997
35,2020-02-20,229.76,227.15,229.79,228.17,3642605
36,2020-02-19,227.68,226.93,229.71,229.24,3270405
37,2020-02-18,226.39,225.27,227.38,226.77,3303383
38,2020-02-14,226.49,225.52,227.14,226.8,2546048
39,2020-02-13,226.53,226.1,227.4,226.47,2899070
40,2020-02-12,227.6,226.91,228.84,227.44,3863500
41,2020-02-11,228.59,227.02,228.59,227.33,3005873
42,2020-02-10,227.17,225.13,227.7503,227.11,3020169
43,2020-02-07,228.07,226.67,228.62,227.38,2965337
44,2020-02-06,229.56,228.53,230.08,229.61,2878237
45,2020-02-05,226.91,226.75,228.68,228.65,3434806
46,2020-02-04,226.15,224.79,226.94,225.08,3727112
47,2020-02-03,225.48,223.0,226.32,223.47,3612720
48,2020-01-31,226.49,223.43,226.97,224.43,4042994
49,2020-01-30,223.11,222.48,228.08,227.88,3457821
50,2020-01-29,224.75,224.31,226.4,224.5,2388382
51,2020-01-28,223.44,223.16,225.35,224.03,3674063
52,2020-01-27,223.7,221.11,223.9,222.45,5605281
53,2020-01-24,229.4,226.04,229.41,226.86,4116179
54,2020-01-23,229.43,227.3492,229.77,229.38,4821436
55,2020-01-22,229.0,228.41,230.38,229.54,3239552
56,2020-01-21,229.85,227.95,231.13,228.63,5987525
57,2020-01-17,230.13,229.55,231.61,230.2,7481756
58,2020-01-16,229.34,228.52,230.03,229.73,3115820
59,2020-01-15,226.8,226.78,228.64,228.35,2748262
60,2020-01-14,227.85,226.88,228.3899,227.17,3428103
61,2020-01-13,227.05,226.1251,228.47,228.45,3373269
62,2020-01-10,228.5,226.59,228.5308,226.62,2648937
63,2020-01-09,226.92,226.92,228.85,228.65,3569452
64,2020-01-08,226.03,225.87,227.84,225.99,3851745
65,2020-01-07,227.26,225.44,227.26,225.92,3624692
66,2020-07-06,183.1,181.59,183.52,182.72,6702479
67,2020-07-02,180.45,178.24,180.94,178.83,5264957
68,2020-07-01,178.41,177.34,180.45,177.99,4712014
69,2020-06-30,176.75,176.51,179.12,178.51,6851588
70,2020-06-29,175.9,175.33,177.22,177.19,5320064
71,2020-06-26,176.71,174.63,178.7,175.37,14875447
72,2020-06-25,176.58,176.06,179.7195,178.85,6510827
73,2020-06-24,179.61,177.26,179.65,177.53,8204490
74,2020-06-23,181.87,180.4,182.39,181.01,6493258
75,2020-06-22,179.55,178.87,181.8,180.17,5993677
76,2020-06-19,183.5,179.01,183.88,179.72,9838320
77,2020-06-18,179.9,179.04,181.36,180.73,5033560
78,2020-06-17,183.03,180.11,183.15,180.86,6571282
79,2020-06-16,186.55,179.75,186.7,182.3,9578483
80,2020-06-15,177.0,176.05,181.7699,181.55,8302226
81,2020-06-12,184.02,178.22,184.02,181.21,9635516
82,2020-06-11,185.0,177.93,186.9296,178.02,15628826
83,2020-06-10,195.85,191.37,196.34,191.51,7441606
84,2020-06-09,197.15,195.83,198.79,196.07,7882885
85,2020-06-08,202.34,199.56,203.33,201.56,6900576
86,2020-06-05,197.88,196.22,201.49,200.66,10641018
87,2020-06-04,190.41,189.69,192.11,192.05,5948802
88,2020-06-03,188.75,187.81,191.62,190.82,6845896
89,2020-06-02,183.99,183.99,186.44,185.94,5924323
90,2020-06-01,185.53,183.185,185.71,183.84,5853585
91,2020-05-29,183.08,182.53,185.87,185.58,10746205
92,2020-05-28,187.24,183.92,187.28,185.1,6456899
93,2020-05-27,184.665,183.8,185.98,185.77,7604327
94,2020-05-26,179.99,178.68,181.69,180.34,7346186
95,2020-05-22,174.86,173.21,175.12,174.93,3655876
96,2020-05-21,175.74,174.47,176.65,174.94,4175284
97,2020-05-20,174.61,174.29,176.87,176.02,5582257
98,2020-05-19,174.12,172.34,174.87,172.49,5722260
99,2020-05-18,174.0,172.3091,176.87,175.46,7712242
100,2020-05-15,169.82,168.52,170.66,169.25,6226175
101,2020-05-14,168.8,167.0401,171.4,170.93,7184191
102,2020-05-13,172.0,169.44,172.61,170.57,10494053
103,2020-05-12,175.2,172.73,175.7149,172.81,6601279
104,2020-05-11,175.23,173.61,175.96,174.64,9447710
105,2020-05-08,176.71,174.28,177.26,176.83,5940633
106,2020-05-07,173.4,173.05,175.38,173.48,6876373
107,2020-05-06,176.94,172.34,177.04,172.38,9138110
108,2020-05-05,180.045,175.93,180.23,176.03,9178696
109,2020-05-04,179.78,176.3401,180.36,177.95,9651299
110,2020-05-01,185.21,181.64,185.89,182.67,7643784
111,2020-04-30,188.3,186.71,189.87,187.36,8407765
112,2020-04-29,190.64,188.93,192.68,189.61,7774118
113,2020-04-28,190.54,187.0,191.0,187.12,6826638
114,2020-04-27,187.78,186.35,189.37,187.46,6750168
115,2020-04-24,187.08,184.42,187.28,186.52,5296097
116,2020-04-23,186.99,184.5,187.35,185.63,6298059
117,2020-04-22,186.46,185.34,187.37,186.58,5572225
118,2020-04-21,184.17,183.28,185.78,183.48,6129845
119,2020-04-20,188.72,187.3,189.35,188.75,6665085
120,2020-04-17,192.89,189.02,192.9,191.2,8806074
121,2020-04-16,188.9,185.8,188.99,187.96,6370925
122,2020-04-15,188.56,187.47,189.59,188.57,6299087
123,2020-04-14,193.32,190.82,194.16,192.94,7193750
124,2020-04-13,193.85,186.08,193.85,188.77,8085824
125,2020-04-09,194.0,191.45,197.23,193.84,10682733
126,2020-04-08,187.55,185.14,191.42,191.01,6228274
127,2020-04-07,191.99,184.9,192.0,185.25,8377430
128,2020-10-05,213.09,212.05,213.9,212.36,3730946
129,2020-10-02,209.84,209.53,213.68,211.18,4545272
130,2020-10-01,214.3,210.62,214.385,212.02,4880776
131,2020-09-30,211.11,210.7522,213.7,212.94,5876990
132,2020-09-29,213.59,210.24,213.59,210.44,4100787
133,2020-09-28,213.22,212.0206,215.47,213.54,5129120
134,2020-09-25,207.0,206.82,211.11,210.45,3658914
135,2020-09-24,209.14,206.58,210.23,208.72,4061072
136,2020-09-23,213.94,209.38,214.88,209.61,4482691
137,2020-09-22,212.54,211.7,214.75,214.16,5394902
138,2020-09-21,214.0,208.73,215.45,213.02,8479490
139,2020-09-18,219.08,217.83,221.01,218.21,13190328
140,2020-09-17,218.46,216.5,218.68,218.05,7062087
141,2020-09-16,220.28,219.19,222.26,219.59,5721591
142,2020-09-15,220.08,218.45,221.57,218.94,3930693
143,2020-09-14,219.0,218.3,221.32,219.94,4155080
144,2020-09-11,218.0,216.92,219.265,217.93,3484601
145,2020-09-10,220.54,217.15,220.68,217.8,3911282
146,2020-09-09,218.95,218.52,221.62,219.63,5504255
147,2020-09-08,217.28,215.3393,219.19,217.8,7180409
148,2020-09-04,219.95,215.06,221.48,218.32,6196835
149,2020-09-03,222.0,216.43,223.2399,218.15,7231693
150,2020-09-02,218.13,218.13,222.09,221.68,5601380
151,2020-09-01,216.92,216.62,218.59,218.55,4280236
152,2020-08-31,218.62,217.65,219.45,218.04,6238907
153,2020-08-28,217.51,215.7297,218.81,218.55,4368612
154,2020-08-27,214.99,214.76,217.98,216.87,4890276
155,2020-08-26,212.98,212.3,215.83,214.66,4741041
156,2020-08-25,213.56,212.85,214.0,213.35,3795268
157,2020-08-24,209.23,208.91,213.3,212.61,5211447
158,2020-08-21,205.52,205.52,208.4,207.43,5160354
159,2020-08-20,205.17,204.51,206.79,206.12,4242926
160,2020-08-19,209.19,206.66,210.21,207.21,5898323
161,2020-08-18,206.95,206.8,209.76,208.33,3578352
162,2020-08-17,210.05,206.34,210.82,206.78,5612702
163,2020-08-14,211.04,210.25,211.97,210.96,3538308
164,2020-08-13,212.93,211.66,213.33,211.98,4632823
165,2020-08-12,213.1,212.31,214.39,213.24,4901614
166,2020-08-11,214.74,212.24,215.6,212.66,5866556
167,2020-08-10,211.34,209.4,212.92,212.58,6792714
168,2020-08-07,204.2,204.0,209.75,209.48,6291266
169,2020-08-06,203.0,202.7,205.39,205.02,3517446
170,2020-08-05,201.44,201.0,204.69,203.62,5365245
171,2020-08-04,198.97,198.11,200.31,200.24,3954539
172,2020-08-03,197.28,196.0,200.68,199.26,6383172
173,2020-07-31,195.06,193.33,196.0,195.78,6074626
174,2020-07-30,193.43,192.25,194.57,194.3,4951017
175,2020-07-29,194.03,193.73,196.67,196.41,4161114
176,2020-07-28,190.9,190.61,194.46,194.12,4500505
177,2020-07-27,193.83,191.77,193.99,192.14,4426727
178,2020-07-24,193.25,193.05,196.28,194.52,5239482
179,2020-07-23,191.71,191.48,193.39,193.25,6144471
180,2020-07-22,191.78,190.63,192.24,192.1,4243856
181,2020-07-21,190.4,190.4,193.45,192.27,5364403
182,2020-07-20,190.02,189.48,191.23,190.48,4212320
183,2020-07-17,191.77,190.4686,192.12,190.76,5604480
184,2020-07-16,188.32,188.32,191.93,191.01,4874986
185,2020-07-15,192.64,188.75,193.05,190.56,7741278
186,2020-07-14,182.42,182.42,190.08,189.71,14800639
187,2020-07-13,183.81,183.31,185.82,184.13,8028537
188,2020-07-10,178.26,178.09,182.96,182.9,5576790
189,2020-07-09,181.79,177.77,181.88,178.8,5583486
190,2020-07-08,180.42,179.77,182.3119,181.2,5688581
191,2020-07-07,182.02,180.6,182.49,181.15,5083935
192,2021-01-04,231.73,226.85,231.87,228.45,7519298
193,2020-12-31,229.28,228.89,232.28,231.87,4259746
194,2020-12-30,229.54,229.08,230.585,229.65,3310553
195,2020-12-29,230.5,229.1,231.1,229.57,3939465
196,2020-12-28,228.09,227.36,230.15,228.41,3585202
197,2020-12-24,224.6,224.21,227.125,226.53,2386994
198,2020-12-23,222.63,222.61,224.91,224.24,5044702
199,2020-12-22,223.58,221.76,223.75,221.88,6250461
200,2020-12-21,222.02,221.26,224.2,223.49,7527605
201,2020-12-18,224.79,221.68,225.2,223.43,22110443
202,2020-12-17,222.51,221.6673,225.02,224.68,7492528
203,2020-12-16,225.48,221.82,225.48,221.91,8053054
204,2020-12-15,224.83,222.73,225.86,224.38,5267382
205,2020-12-14,227.68,222.36,228.06,222.85,6654367
206,2020-12-11,225.2,224.595,226.73,226.39,4174072
207,2020-12-10,226.45,225.728,227.87,227.35,4640181
208,2020-12-09,228.57,226.635,228.9,227.51,4951182
209,2020-12-08,227.46,226.61,228.735,228.19,4690040
210,2020-12-07,231.26,228.1,231.26,229.24,4846096
211,2020-12-04,230.24,230.24,231.89,231.35,4824812
212,2020-12-03,230.0,228.87,231.5,231.02,4773432
213,2020-12-02,229.8,228.31,230.59,230.42,4766039
214,2020-12-01,230.23,229.34,231.98,229.68,4522956
215,2020-11-30,231.19,228.165,231.29,228.91,6092892
216,2020-11-27,233.1,230.45,234.17,231.55,1935806
217,2020-11-25,233.92,232.0104,234.0,233.13,3317911
218,2020-11-24,232.45,231.24,234.99,233.92,4789587
219,2020-11-23,229.77,228.0442,230.5,229.54,3764415
220,2020-11-20,228.78,226.771,229.72,227.01,4309682
221,2020-11-19,229.67,227.6154,229.97,229.53,4731637
222,2020-11-18,233.57,230.0,234.476,230.07,4841525
