,date,open,low,high,close,volume
0,2020-01-06,39.43,39.26,39.7,39.62,1476300
1,2020-01-03,39.2,39.17,39.72,39.65,910800
2,2020-01-02,39.62,39.2,39.67,39.61,1354300
3,2020-04-06,34.96,34.34,36.14,35.97,1465000
4,2020-04-03,34.38,33.24,35.32,33.41,1154945
5,2020-04-02,34.0,33.7,35.61,34.86,1656236
6,2020-04-01,34.84,33.94,35.46,34.44,2277522
7,2020-03-31,36.83,35.66,37.3,36.22,2008535
8,2020-03-30,36.21,35.49,37.38,37.3,1389400
9,2020-03-27,34.41,34.27,37.0,35.93,1163610
10,2020-03-26,34.63,33.96,35.98,35.9,1747500
11,2020-03-25,35.45,34.02,36.19,34.13,2292800
12,2020-03-24,33.31,32.93,35.69,35.54,2863300
13,2020-03-23,33.31,30.7,33.31,31.66,1871438
14,2020-03-20,34.63,33.18,35.28,33.62,2711149
15,2020-03-19,36.55,33.01,36.6,34.72,2787000
16,2020-03-18,37.67,34.92,38.55,36.79,3060600
17,2020-03-17,37.92,37.0,40.16,39.92,3223259
18,2020-03-16,35.86,35.0,38.7,37.01,2717400
19,2020-03-13,39.28,36.42,39.87,39.84,2855000
20,2020-03-12,38.59,37.01,39.84,37.59,2800200
21,2020-03-11,42.52,40.87,42.86,41.6,2219734
22,2020-03-10,43.19,41.62,43.91,43.65,2622000
23,2020-03-09,44.0,40.98,44.0,42.19,2946409
24,2020-03-06,44.44,43.5,45.27,45.16,1928702
25,2020-03-05,45.97,45.16,46.67,45.91,1854146
26,2020-03-04,45.27,45.03,47.1,47.05,1558230
27,2020-03-03,45.38,43.9,45.76,44.52,2329600
28,2020-03-02,43.59,43.35,45.57,45.44,3366961
29,2020-02-28,42.83,41.59,43.36,43.01,2984239
30,2020-02-27,45.61,44.0,45.88,44.01,1599917
31,2020-02-26,46.42,46.09,47.02,46.23,1595700
32,2020-02-25,47.54,46.01,47.78,46.16,2139935
33,2020-02-24,47.48,47.11,48.23,47.31,1121851
34,2020-02-21,48.4,48.02,48.69,48.36,1402100
35,2020-02-20,48.27,47.75,48.61,48.51,1330902
36,2020-02-19,48.33,48.17,48.64,48.46,1251180
37,2020-02-18,47.86,47.68,48.3,48.11,984625
38,2020-02-14,47.5,47.39,47.98,47.85,1325911
39,2020-02-13,46.77,46.72,47.56,47.49,1132300
40,2020-02-12,47.2,46.45,47.23,46.82,2005500
41,2020-02-11,47.55,47.24,47.7,47.3,1663700
42,2020-02-10,46.72,46.68,47.45,47.38,1126410
43,2020-02-07,46.68,46.54,46.95,46.75,1798700
44,2020-02-06,46.32,46.31,46.77,46.74,1288806
45,2020-02-05,46.5,46.18,46.61,46.45,1443828
46,2020-02-04,45.92,45.87,46.41,46.17,1487101
47,2020-02-03,45.21,45.16,45.86,45.61,2709800
48,2020-01-31,45.17,44.74,45.44,44.9,2763001
49,2020-01-30,44.72,44.65,45.44,45.36,1807800
50,2020-01-29,44.92,44.47,45.32,45.01,2089300
51,2020-01-28,42.88,42.28,44.94,44.65,3825240
52,2020-01-27,41.34,41.27,41.96,41.66,2111800
53,2020-01-24,41.9,41.62,42.03,41.83,1179311
54,2020-01-23,41.28,41.17,41.88,41.79,1303731
55,2020-01-22,41.28,41.25,41.54,41.5,896026
56,2020-01-21,41.3,41.19,41.5,41.2,1166221
57,2020-01-17,41.27,41.14,41.43,41.41,1320200
58,2020-01-16,40.73,40.64,41.13,41.12,878800
59,2020-01-15,40.23,40.22,40.67,40.59,1283000
60,2020-01-14,40.28,40.11,40.37,40.21,872702
61,2020-01-13,40.43,40.23,40.69,40.38,1559125
62,2020-01-10,40.35,40.18,40.67,40.4,3513800
63,2020-01-09,40.0,39.84,40.44,40.33,1731300
64,2020-01-08,39.58,39.53,40.05,39.79,1767500
65,2020-01-07,39.66,39.5,39.82,39.5,793327
66,2020-07-06,41.56,40.5,41.59,40.64,1548119
67,2020-07-02,41.35,40.79,41.55,40.85,1544422
68,2020-07-01,40.71,40.59,41.28,41.09,1266221
69,2020-06-30,39.95,39.93,40.88,40.76,1215107
70,2020-06-29,40.48,39.72,40.48,39.97,1011600
71,2020-06-26,40.67,39.95,40.93,40.08,1648148
72,2020-06-25,40.14,39.49,41.04,41.0,1051435
73,2020-06-24,41.0,39.98,41.0,40.05,1620028
74,2020-06-23,42.03,41.21,42.05,41.22,983939
75,2020-06-22,41.09,40.69,41.86,41.43,1319900
76,2020-06-19,42.26,41.11,42.38,41.13,2047600
77,2020-06-18,41.83,41.65,42.5,41.86,1052900
78,2020-06-17,41.62,41.57,42.42,41.98,1336600
79,2020-06-16,42.55,41.39,42.6,41.55,1412724
80,2020-06-15,39.66,39.49,41.59,41.34,1394127
81,2020-06-12,41.84,39.93,41.92,40.67,1974700
82,2020-06-11,41.93,40.63,41.99,40.64,1636043
83,2020-06-10,42.87,42.7,43.46,42.85,1496200
84,2020-06-09,42.66,42.53,43.44,43.05,1127119
85,2020-06-08,42.52,42.4,43.05,43.04,1500800
86,2020-06-05,43.29,42.57,43.73,42.73,1189200
87,2020-06-04,42.05,41.68,42.33,42.04,1006243
88,2020-06-03,41.24,41.11,42.47,42.3,1228362
89,2020-06-02,40.31,40.01,40.94,40.9,1019100
90,2020-06-01,40.35,39.65,40.42,40.24,1129400
91,2020-05-29,40.07,39.74,40.44,40.2,1753013
92,2020-05-28,40.3,39.98,40.56,40.25,880000
93,2020-05-27,39.75,39.39,40.06,39.96,1334900
94,2020-05-26,39.31,38.89,39.44,39.04,1055200
95,2020-05-22,38.71,38.07,38.74,38.42,917800
96,2020-05-21,38.21,38.13,38.92,38.73,1111328
97,2020-05-20,38.71,38.33,39.14,38.35,1345000
98,2020-05-19,38.33,38.2,38.96,38.39,1187800
99,2020-05-18,38.0,37.9,38.83,38.56,1108619
100,2020-05-15,36.61,36.22,37.16,37.0,1984845
101,2020-05-14,36.24,35.79,36.96,36.91,1446000
102,2020-05-13,37.15,36.22,37.37,36.73,1575500
103,2020-05-12,37.98,37.5,38.15,37.51,1165900
104,2020-05-11,37.2,37.2,38.28,37.95,1847000
105,2020-05-08,37.63,37.32,37.84,37.6,1231833
106,2020-05-07,36.07,36.07,37.22,37.13,1182428
107,2020-05-06,37.0,35.62,37.1,35.64,1467000
108,2020-05-05,35.77,35.75,36.89,36.56,1705400
109,2020-05-04,34.83,34.71,35.74,35.57,1166540
110,2020-05-01,35.24,34.67,35.59,35.06,1402700
111,2020-04-30,35.87,35.58,36.31,35.91,3004500
112,2020-04-29,36.52,35.65,36.99,36.64,1343600
113,2020-04-28,36.01,34.86,36.96,35.6,2773823
114,2020-04-27,34.9,34.9,36.0,35.74,1867900
115,2020-04-24,34.74,34.06,34.97,34.76,1709854
116,2020-04-23,35.77,34.53,35.9,34.59,1256756
117,2020-04-22,36.2,35.55,36.24,35.7,1314800
118,2020-04-21,36.33,35.43,36.55,35.5,1460820
119,2020-04-20,37.78,36.87,38.02,37.32,1938718
120,2020-04-17,38.55,37.9,38.74,38.1,1439700
121,2020-04-16,38.3,37.09,38.38,37.45,1260232
122,2020-04-15,38.82,37.83,39.23,37.92,1424510
123,2020-04-14,38.94,38.87,39.78,39.63,1590542
124,2020-04-13,38.71,37.58,38.74,38.17,1470152
125,2020-04-09,37.69,37.56,39.19,39.03,1433165
126,2020-04-08,36.38,35.58,37.41,37.2,1540700
127,2020-04-07,37.56,35.93,37.75,35.96,1240042
128,2020-10-05,45.81,45.37,46.0,45.73,1004600
129,2020-10-02,44.54,44.45,45.9,45.36,1003622
130,2020-10-01,45.51,44.75,45.71,44.94,995200
131,2020-09-30,45.33,44.94,45.65,45.27,922749
132,2020-09-29,44.83,44.73,45.42,45.17,1067118
133,2020-09-28,44.28,44.05,44.99,44.87,783303
134,2020-09-25,43.4,43.06,44.0,43.94,675800
135,2020-09-24,43.37,43.16,44.32,43.56,1016100
136,2020-09-23,44.48,43.31,44.75,43.34,919900
137,2020-09-22,43.94,43.91,44.63,44.51,864735
138,2020-09-21,44.02,43.45,44.42,44.02,1663600
139,2020-09-18,45.1,44.71,45.52,44.8,2466500
140,2020-09-17,44.7,44.3,45.07,44.76,979006
141,2020-09-16,45.44,45.13,45.9,45.18,1082891
142,2020-09-15,45.36,45.09,45.8,45.16,674905
143,2020-09-14,45.11,44.97,45.51,45.17,947200
144,2020-09-11,45.01,44.48,45.22,44.64,1022008
145,2020-09-10,45.36,44.84,45.66,44.86,763900
146,2020-09-09,44.61,44.44,45.97,45.4,1451439
147,2020-09-08,44.95,43.47,45.0,44.19,1754300
148,2020-09-04,46.19,44.47,46.39,45.25,959836
149,2020-09-03,47.39,45.64,47.41,45.88,771331
150,2020-09-02,46.65,46.5,47.29,47.18,826300
151,2020-09-01,46.4,46.13,46.79,46.69,725600
152,2020-08-31,46.07,45.95,46.69,46.4,882200
153,2020-08-28,46.36,45.8,46.38,46.21,710933
154,2020-08-27,45.86,45.81,46.36,46.06,739900
155,2020-08-26,46.0,45.47,46.0,45.66,1105600
156,2020-08-25,45.99,45.76,46.28,46.01,723301
157,2020-08-24,45.88,45.42,45.88,45.72,604412
158,2020-08-21,45.68,45.21,45.68,45.52,1019700
159,2020-08-20,45.75,45.66,46.16,45.79,544200
160,2020-08-19,46.09,45.95,46.34,45.96,391100
161,2020-08-18,45.84,45.76,46.29,46.09,628500
162,2020-08-17,45.91,45.7,46.13,46.0,650447
163,2020-08-14,45.72,45.65,46.22,45.82,433300
164,2020-08-13,45.53,45.52,46.01,45.82,516900
165,2020-08-12,46.16,45.74,46.31,45.8,732400
166,2020-08-11,46.25,45.61,46.43,45.66,971739
167,2020-08-10,46.1,45.78,46.34,45.93,727694
168,2020-08-07,45.55,45.45,46.08,46.06,628931
169,2020-08-06,45.57,45.39,45.86,45.62,714000
170,2020-08-05,45.61,45.47,45.79,45.63,745873
171,2020-08-04,45.14,44.91,45.46,45.46,875426
172,2020-08-03,45.5,45.34,46.09,45.53,930532
173,2020-07-31,44.9,44.41,45.48,45.47,1761449
174,2020-07-30,44.46,44.16,44.89,44.76,1004209
175,2020-07-29,44.57,44.48,45.19,44.96,995800
176,2020-07-28,46.21,43.5,46.48,44.48,1554737
177,2020-07-27,45.45,45.3,45.88,45.49,930148
178,2020-07-24,45.15,44.94,45.64,45.4,1323700
179,2020-07-23,45.0,44.98,45.84,45.11,1555031
180,2020-07-22,44.01,44.01,44.99,44.96,1275100
181,2020-07-21,43.92,43.86,44.67,44.29,1259929
182,2020-07-20,43.51,43.46,43.93,43.76,730900
183,2020-07-17,43.5,43.08,43.97,43.7,868300
184,2020-07-16,42.32,42.22,43.47,43.43,1553222
185,2020-07-15,42.42,42.19,42.65,42.31,962000
186,2020-07-14,40.96,40.96,41.95,41.95,1202911
187,2020-07-13,41.77,40.87,41.87,40.95,889200
188,2020-07-10,41.04,40.74,41.43,41.42,628906
189,2020-07-09,41.06,40.27,41.21,40.9,830929
190,2020-07-08,40.86,40.71,41.41,41.07,1054000
191,2020-07-07,40.47,40.33,41.23,40.75,1055800
192,2021-01-04,47.5,45.61,47.5,46.35,1370000
193,2020-12-31,46.53,46.17,47.54,47.41,900045
194,2020-12-30,46.28,46.0,46.71,46.25,712017
195,2020-12-29,46.08,45.74,46.25,46.03,648000
196,2020-12-28,46.56,45.85,46.78,45.88,367347
197,2020-12-24,45.84,45.74,46.33,46.31,262630
198,2020-12-23,46.0,45.54,46.25,45.69,852917
199,2020-12-22,45.78,45.54,45.97,45.69,891900
200,2020-12-21,45.68,45.01,46.03,46.0,788100
201,2020-12-18,47.13,45.81,47.16,45.97,2601400
202,2020-12-17,46.04,46.01,46.71,46.69,763400
203,2020-12-16,46.91,45.88,46.94,45.97,853333
204,2020-12-15,45.74,45.52,46.71,46.63,936506
205,2020-12-14,45.37,45.26,46.14,45.45,1069200
206,2020-12-11,44.59,44.59,45.6,45.01,1125500
207,2020-12-10,45.02,44.87,45.39,44.88,869423
208,2020-12-09,45.43,45.17,45.62,45.23,1025406
209,2020-12-08,44.34,44.31,45.51,45.33,963500
210,2020-12-07,44.73,44.45,45.26,44.61,1359780
211,2020-12-04,44.6,44.5,45.13,44.81,1091335
212,2020-12-03,44.99,44.51,45.35,44.61,1273230
213,2020-12-02,45.71,44.62,45.89,45.07,1040000
214,2020-12-01,45.48,44.9,45.62,45.61,1690700
215,2020-11-30,45.34,44.87,45.45,45.03,1712631
216,2020-11-27,45.66,45.36,45.96,45.62,711100
217,2020-11-25,46.32,45.53,46.53,45.86,1069700
218,2020-11-24,46.76,46.29,47.41,46.45,1090443
219,2020-11-23,47.37,46.35,47.45,46.51,1079900
220,2020-11-20,47.49,46.97,47.84,47.18,1508722
221,2020-11-19,47.05,46.5,47.72,47.44,839018
222,2020-11-18,47.37,46.97,47.53,46.99,702400
