,date,open,low,high,close,volume
0,2020-01-06,44.85,44.6784,45.57,45.35,5832603
1,2020-01-03,44.52,44.35,45.21,44.98,4790797
2,2020-01-02,45.5,44.935,45.59,45.33,5862800
3,2020-04-06,32.91,32.49,33.19,32.88,13793224
4,2020-04-03,30.82,30.63,31.52,31.17,10961299
5,2020-04-02,30.01,29.65,31.46,31.05,12481024
6,2020-04-01,31.62,29.93,31.88,30.19,10180142
7,2020-03-31,31.54,31.03,33.25,32.63,14325564
8,2020-03-30,30.77,29.56,31.845,31.64,12287265
9,2020-03-27,30.32,29.47,31.39,30.61,11354015
10,2020-03-26,30.31,30.06,31.82,31.42,13231458
11,2020-03-25,28.12,27.28,31.24,29.92,19825499
12,2020-03-24,26.81,26.77,28.63,28.22,16919443
13,2020-03-23,26.9,24.1,27.19,25.83,17328998
14,2020-03-20,28.63,27.1,28.78,27.24,12042526
15,2020-03-19,26.74,25.51,28.87,28.27,12309068
16,2020-03-18,26.98,25.41,27.7,27.24,18292257
17,2020-03-17,28.1,26.343,29.04,28.79,18219386
18,2020-03-16,28.72,27.16,29.23,27.55,17232694
19,2020-03-13,32.54,29.35,32.71,32.33,17596004
20,2020-03-12,31.63,30.57,33.525,31.0,23730360
21,2020-03-11,34.17,33.47,34.79,33.86,20239010
22,2020-03-10,35.92,33.73,35.92,35.18,13514222
23,2020-03-09,34.92,33.6714,35.1,34.09,15655707
24,2020-03-06,36.14,35.88,37.7,37.6,18112743
25,2020-03-05,37.99,36.35,37.99,37.46,20568686
26,2020-03-04,38.05,37.23,38.78,38.75,10196649
27,2020-03-03,38.3,36.56,39.36,37.23,14021154
28,2020-03-02,37.6,36.71,38.27,38.27,14491264
29,2020-02-28,37.09,36.255,37.54,37.39,20113877
30,2020-02-27,38.62,37.89,39.575,37.92,15508338
31,2020-02-26,40.37,39.37,40.6,39.39,10265468
32,2020-02-25,41.15,39.705,41.32,39.91,8840041
33,2020-02-24,41.48,40.925,41.9,41.08,6686133
34,2020-02-21,42.26,42.04,42.85,42.62,7600896
35,2020-02-20,43.02,42.0258,43.16,42.5,6177880
36,2020-02-19,42.31,42.28,43.44,43.02,7468889
37,2020-02-18,42.25,41.65,42.365,42.16,8139987
38,2020-02-14,42.27,42.075,42.41,42.31,7346649
39,2020-02-13,42.17,41.81,42.47,42.18,6480938
40,2020-02-12,42.61,42.225,42.75,42.23,8491936
41,2020-02-11,42.32,42.105,42.665,42.57,4951468
42,2020-02-10,42.02,41.8836,42.525,42.22,6217225
43,2020-02-07,42.75,41.945,42.945,42.19,8448836
44,2020-02-06,42.6,42.24,43.235,43.01,7137045
45,2020-02-05,43.05,42.44,43.33,42.62,13346953
46,2020-02-04,42.83,42.7,43.2,42.88,9212277
47,2020-02-03,42.17,42.1,42.56,42.23,8883161
48,2020-01-31,43.29,41.785,43.3,41.87,12650699
49,2020-01-30,43.5,43.115,43.77,43.41,8852441
50,2020-01-29,43.63,43.42,44.2,43.95,6692246
51,2020-01-28,42.75,42.63,43.59,43.45,7294398
52,2020-01-27,42.5,42.35,43.125,42.65,5760295
53,2020-01-24,43.6,43.035,43.695,43.21,4070936
54,2020-01-23,43.92,43.185,44.03,43.57,6415998
55,2020-01-22,44.41,43.96,44.435,44.05,6591906
56,2020-01-21,44.18,43.76,44.39,44.07,8775473
57,2020-01-17,43.2,43.14,44.31,44.28,16654581
58,2020-01-16,42.71,42.66,43.33,43.2,11777648
59,2020-01-15,42.81,42.34,42.83,42.57,13052415
60,2020-01-14,42.41,41.65,42.8171,42.66,27883776
61,2020-01-13,45.65,45.36,45.73,45.47,4938895
62,2020-01-10,45.95,45.55,46.11,45.67,5557829
63,2020-01-09,45.96,45.49,46.13,45.71,7286309
64,2020-01-08,45.6,45.47,46.06,45.64,5146494
65,2020-01-07,45.12,44.97,45.58,45.4,4369573
66,2020-07-06,35.87,35.34,35.96,35.59,6555087
67,2020-07-02,35.65,35.285,36.05,35.38,4816474
68,2020-07-01,35.17,34.755,35.525,35.28,7750330
69,2020-06-30,34.61,34.23,35.31,35.11,12108060
70,2020-06-29,33.56,33.0,34.65,34.65,13379101
71,2020-06-26,33.77,33.09,33.91,33.28,35596639
72,2020-06-25,33.72,33.135,33.99,33.89,12634514
73,2020-06-24,35.97,33.32,35.97,33.85,21225357
74,2020-06-23,36.31,36.2,36.7,36.25,7391319
75,2020-06-22,36.44,35.585,36.53,35.97,9705446
76,2020-06-19,37.32,36.48,37.35,36.59,21178082
77,2020-06-18,36.65,36.3975,36.92,36.68,6541958
78,2020-06-17,36.68,36.44,37.21,36.89,8003858
79,2020-06-16,37.07,36.43,37.44,36.7,11201706
80,2020-06-15,34.7,34.1,36.14,35.87,11373766
81,2020-06-12,35.95,34.66,36.395,35.35,13888585
82,2020-06-11,36.44,34.69,36.7,35.05,16459776
83,2020-06-10,38.36,36.985,38.36,37.49,10738750
84,2020-06-09,38.86,38.13,38.86,38.26,12072369
85,2020-06-08,38.68,38.67,39.3,39.11,8657055
86,2020-06-05,38.15,38.0,39.33,38.83,12779900
87,2020-06-04,37.84,37.23,37.84,37.42,6909623
88,2020-06-03,37.75,37.235,38.03,37.91,12647067
89,2020-06-02,37.62,37.46,37.93,37.54,10450769
90,2020-06-01,37.71,37.42,38.18,37.5,6271131
91,2020-05-29,37.68,36.7,38.04,37.99,10226688
92,2020-05-28,37.45,37.11,37.99,37.47,9073508
93,2020-05-27,36.36,36.0117,37.18,37.14,9618237
94,2020-05-26,37.03,35.86,37.03,36.19,12406322
95,2020-05-22,35.57,35.27,36.32,35.91,28426614
96,2020-05-21,35.52,34.45,36.13,34.79,24372977
97,2020-05-20,35.92,35.77,37.485,37.18,10803425
98,2020-05-19,36.39,35.4,36.57,35.43,11441137
99,2020-05-18,35.76,35.76,36.87,36.42,13956480
100,2020-05-15,35.28,34.22,35.32,34.83,10554622
101,2020-05-14,35.32,34.525,35.83,35.5,6655252
102,2020-05-13,36.85,35.475,36.94,35.77,8161057
103,2020-05-12,37.91,36.97,37.95,36.98,8094536
104,2020-05-11,37.86,37.01,38.33,37.78,8068013
105,2020-05-08,37.5,37.15,38.36,38.18,10244793
106,2020-05-07,36.55,36.38,37.09,37.0,8918696
107,2020-05-06,37.0,35.87,37.12,35.89,6903310
108,2020-05-05,36.06,36.06,37.365,36.81,7114348
109,2020-05-04,35.71,35.44,36.06,35.83,5717498
110,2020-05-01,36.95,35.76,36.97,35.99,7603969
111,2020-04-30,36.88,36.69,37.77,37.48,11230718
112,2020-04-29,36.8,36.29,37.88,37.43,12751996
113,2020-04-28,37.42,35.85,37.5,35.93,9074517
114,2020-04-27,37.18,36.64,37.44,37.0,10133702
115,2020-04-24,36.78,36.46,37.27,36.9,8227658
116,2020-04-23,35.89,35.805,36.755,36.4,8493814
117,2020-04-22,35.53,34.37,35.89,35.49,10519987
118,2020-04-21,36.19,35.0,36.63,35.05,11655274
119,2020-04-20,37.82,37.248,38.48,37.25,10555451
120,2020-04-17,36.65,36.65,38.465,38.29,20452889
121,2020-04-16,35.03,34.82,35.58,35.45,8178366
122,2020-04-15,35.19,34.19,35.24,34.79,10154751
123,2020-04-14,35.81,35.43,36.45,35.92,12427899
124,2020-04-13,36.58,34.4,36.75,35.21,12111270
125,2020-04-09,35.25,34.99,37.24,36.83,19251906
126,2020-04-08,33.99,33.7,35.7,35.13,13658996
127,2020-04-07,34.33,33.38,35.72,33.69,21701655
128,2020-10-05,38.75,38.66,39.34,39.24,4489368
129,2020-10-02,37.8,37.762,38.66,38.48,6357062
130,2020-10-01,38.56,38.185,38.94,38.42,6187981
131,2020-09-30,37.83,37.73,38.71,38.21,7761670
132,2020-09-29,38.18,37.54,38.26,37.76,6024141
133,2020-09-28,38.07,37.9825,38.45,38.0,6512587
134,2020-09-25,36.89,36.8,37.65,37.34,7810714
135,2020-09-24,37.43,36.86,37.54,37.12,9364963
136,2020-09-23,38.66,37.64,38.76,37.72,7516332
137,2020-09-22,38.51,37.9,38.64,38.6,7094380
138,2020-09-21,37.83,37.52,38.55,38.55,10745452
139,2020-09-18,39.6,38.39,39.99,38.48,11665662
140,2020-09-17,39.92,39.09,39.92,39.67,10988219
141,2020-09-16,41.24,39.935,41.28,40.19,8591428
142,2020-09-15,41.33,40.875,41.555,41.02,3695072
143,2020-09-14,40.66,40.59,41.34,41.12,4849571
144,2020-09-11,40.95,39.98,41.05,40.29,7221845
145,2020-09-10,41.58,40.85,41.86,40.97,5221194
146,2020-09-09,41.27,41.14,41.935,41.53,5930740
147,2020-09-08,41.06,40.61,41.295,40.92,7224590
148,2020-09-04,41.59,40.85,41.96,41.48,9313700
149,2020-09-03,42.15,41.14,42.37,41.49,9845204
150,2020-09-02,41.5,41.47,42.29,42.23,9933728
151,2020-09-01,40.7,40.7,41.49,41.47,8113529
152,2020-08-31,40.93,40.74,41.24,41.02,7535507
153,2020-08-28,40.71,40.43,41.05,41.03,4619014
154,2020-08-27,39.4,39.4,41.01,40.78,9004789
155,2020-08-26,39.69,38.705,39.69,39.35,4673593
156,2020-08-25,39.32,39.11,39.74,39.64,8291284
157,2020-08-24,38.6,38.415,38.97,38.94,7886287
158,2020-08-21,38.71,37.945,38.72,38.43,8518628
159,2020-08-20,39.0,38.81,39.32,38.86,4716126
160,2020-08-19,39.41,39.26,39.74,39.35,5752865
161,2020-08-18,39.5,39.145,39.6,39.33,5337394
162,2020-08-17,39.12,39.12,39.75,39.35,4834327
