,date,open,low,high,close,volume
0,2020-01-06,55.21,55.04,55.93,55.9,2504172
1,2020-01-03,55.23,54.93,56.06,56.0,2411111
2,2020-01-02,56.2,55.56,56.46,55.8,3372700
3,2020-04-06,43.69,43.61,46.89,46.57,9093440
4,2020-04-03,41.25,41.04,42.19,41.74,7238589
5,2020-04-02,40.41,39.25,42.65,41.19,7443300
6,2020-04-01,42.54,40.45,42.68,40.8,9616813
7,2020-03-31,46.9,44.15,47.15,45.57,7005645
8,2020-03-30,46.06,44.26,47.75,47.28,5128834
9,2020-03-27,45.47,44.32,47.99,46.09,7467833
10,2020-03-26,43.95,43.76,49.35,48.0,12233713
11,2020-03-25,40.53,39.5,46.7,42.82,12177000
12,2020-03-24,39.0,38.2,41.84,39.92,10436200
13,2020-03-23,36.07,33.25,37.19,36.04,12461600
14,2020-03-20,42.06,36.1,42.38,37.67,10999100
15,2020-03-19,38.82,36.12,42.0,41.99,10469000
16,2020-03-18,37.5,33.0,40.81,40.76,16652000
17,2020-03-17,40.72,35.56,42.35,41.44,18713644
18,2020-03-16,38.0,37.8,42.56,40.53,14338636
19,2020-03-13,43.94,40.31,46.93,46.72,11798039
20,2020-03-12,40.13,37.46,44.45,40.06,17469242
21,2020-03-11,48.54,46.15,49.98,47.35,7452250
22,2020-03-10,49.86,47.7,50.77,50.64,7672731
23,2020-03-09,47.54,46.95,50.36,46.98,11938134
24,2020-03-06,55.13,52.68,55.46,54.06,10219721
25,2020-03-05,57.34,56.76,58.43,57.79,5009509
26,2020-03-04,57.42,56.1,58.35,58.1,4747503
27,2020-03-03,56.18,54.67,58.04,56.09,6414800
28,2020-03-02,54.5,53.69,56.74,56.03,8285200
29,2020-02-28,49.72,49.05,54.05,53.84,12955926
30,2020-02-27,54.2,52.52,55.66,53.29,10451415
31,2020-02-26,56.02,55.97,57.68,56.0,5733128
32,2020-02-25,59.09,56.0,59.23,56.47,6361900
33,2020-02-24,58.37,55.7,59.63,58.56,7372000
34,2020-02-21,62.01,60.98,62.18,61.25,4198484
35,2020-02-20,62.75,61.14,63.19,62.45,3363179
36,2020-02-19,62.41,62.31,63.43,62.76,3394559
37,2020-02-18,62.91,61.92,63.47,61.97,4544550
38,2020-02-14,63.07,62.5,63.3,62.95,2821900
39,2020-02-13,62.8,62.51,63.56,62.94,3845908
40,2020-02-12,64.08,62.8,64.41,62.85,4537900
41,2020-02-11,64.47,64.23,64.97,64.41,3082830
42,2020-02-10,62.52,62.49,64.14,64.11,3379774
43,2020-02-07,63.1,61.93,63.86,62.76,4359794
44,2020-02-06,63.76,62.93,64.28,64.21,2877317
45,2020-02-05,63.84,63.02,64.39,63.73,3266457
46,2020-02-04,61.33,61.28,63.7,63.27,4175600
47,2020-02-03,61.6,60.52,61.73,60.52,3201501
