,date,open,low,high,close,volume
0,2020-01-06,137.06,135.79,138.15,137.6,587127
1,2020-01-03,134.42,134.42,136.87,136.64,456810
2,2020-01-02,138.3,135.13,138.54,135.58,605733
3,2020-04-06,88.01,86.16,91.94,90.72,1800400
4,2020-04-03,81.91,80.73,85.23,83.04,1855337
5,2020-04-02,83.81,79.91,87.47,82.69,1902000
6,2020-04-01,87.54,82.59,88.76,85.25,1626303
7,2020-03-31,92.04,89.05,93.87,92.23,1527250
8,2020-03-30,93.92,89.0,96.08,92.96,1625716
9,2020-03-27,89.46,87.01,96.88,93.82,1689200
10,2020-03-26,91.96,89.25,93.42,92.9,1698900
11,2020-03-25,87.99,86.64,97.77,90.86,2039348
12,2020-03-24,81.0,78.27,88.34,87.59,1897549
13,2020-03-23,82.0,77.21,83.94,77.93,2675420
14,2020-03-20,86.84,80.63,95.84,82.0,2424033
15,2020-03-19,86.21,82.72,88.83,85.57,1519136
16,2020-03-18,97.06,85.53,99.77,88.21,1498100
17,2020-03-17,99.3,94.24,109.4,105.84,1623400
18,2020-03-16,106.53,96.69,110.67,96.93,1617144
19,2020-03-13,118.09,111.69,118.24,117.06,1659025
20,2020-03-12,112.69,108.11,117.45,111.89,1870500
21,2020-03-11,126.72,120.17,127.18,121.29,1314000
22,2020-03-10,126.64,123.14,130.38,130.27,1588500
23,2020-03-09,124.22,121.27,127.27,122.86,1695334
24,2020-03-06,133.15,128.23,134.17,132.58,1041900
25,2020-03-05,135.94,134.08,137.82,136.73,857100
26,2020-03-04,134.77,134.08,138.38,138.12,834600
27,2020-03-03,134.42,131.86,137.42,132.9,1148400
28,2020-03-02,129.63,128.43,134.55,134.54,1327900
29,2020-02-28,125.78,123.1,128.95,128.94,2158425
30,2020-02-27,134.49,128.24,135.29,128.25,1186500
31,2020-02-26,137.24,135.38,137.79,135.41,1230626
32,2020-02-25,144.46,136.46,144.51,136.75,1064700
33,2020-02-24,144.17,143.69,145.35,144.35,792811
34,2020-02-21,146.47,145.27,146.95,145.78,811617
35,2020-02-20,144.97,144.7,147.01,146.92,527231
36,2020-02-19,147.79,144.88,147.83,144.9,680306
37,2020-02-18,147.5,146.0,147.51,147.51,524938
38,2020-02-14,145.78,145.37,147.28,147.23,616835
39,2020-02-13,144.72,144.72,146.04,145.58,492518
40,2020-02-12,144.43,143.82,145.72,145.02,563628
41,2020-02-11,143.39,143.39,144.49,144.22,517711
42,2020-02-10,142.96,142.21,143.56,143.16,844801
43,2020-02-07,144.28,142.2,144.3,142.71,641300
44,2020-02-06,145.39,143.93,146.0,144.38,897942
45,2020-02-05,144.93,144.29,146.07,145.06,595847
46,2020-02-04,143.61,143.37,145.44,144.56,939016
47,2020-02-03,144.0,143.04,144.79,143.17,771400
48,2020-01-31,143.33,142.89,144.34,143.35,917000
49,2020-01-30,142.53,141.86,143.64,143.59,753900
50,2020-01-29,141.93,139.72,143.93,142.93,913416
51,2020-01-28,141.36,141.02,142.52,141.18,786016
52,2020-01-27,141.21,140.7,141.74,141.04,600700
53,2020-01-24,142.1,141.16,142.24,142.01,449625
54,2020-01-23,139.81,138.85,142.2,142.14,559921
55,2020-01-22,141.0,139.37,141.15,139.9,481100
56,2020-01-21,139.56,138.92,140.81,140.36,609000
57,2020-01-17,139.63,139.09,140.73,139.56,791809
58,2020-01-16,137.69,137.45,139.29,139.28,430206
59,2020-01-15,136.82,135.92,137.73,137.33,540800
60,2020-01-14,136.68,135.2,136.68,136.4,468406
61,2020-01-13,135.2,135.0,136.96,136.77,523835
62,2020-01-10,134.69,134.3,135.55,135.08,498639
63,2020-01-09,134.55,134.16,135.42,134.56,652315
64,2020-01-08,135.52,133.71,135.82,134.49,628611
65,2020-01-07,136.72,134.62,137.21,135.21,619800
66,2020-07-06,93.7,90.68,93.74,91.35,1022927
67,2020-07-02,91.96,90.4,93.26,91.55,731665
68,2020-07-01,90.63,89.55,92.52,90.05,716313
69,2020-06-30,89.84,88.44,90.71,90.38,1515691
70,2020-06-29,87.99,86.89,90.15,89.67,1223200
71,2020-06-26,89.63,87.03,90.36,87.24,1827773
72,2020-06-25,88.92,88.29,90.49,90.05,1647648
73,2020-06-24,90.98,87.4,92.33,89.69,1300600
74,2020-06-23,94.73,91.08,95.22,92.6,1300553
75,2020-06-22,91.0,89.93,94.04,93.63,2805000
76,2020-06-19,96.83,90.65,97.57,90.76,3879600
77,2020-06-18,95.58,94.5,97.0,94.83,1864543
78,2020-06-17,99.66,97.15,99.92,97.38,1463800
79,2020-06-16,99.37,96.42,100.46,99.17,1137756
80,2020-06-15,92.09,92.01,95.58,94.95,1138200
81,2020-06-12,96.93,92.16,97.18,96.54,1789800
82,2020-06-11,93.7,92.11,98.2,92.59,2163259
83,2020-06-10,103.38,100.13,104.04,100.15,1862300
84,2020-06-09,103.73,103.13,105.89,104.33,1915600
85,2020-06-08,104.85,104.71,107.9,107.16,1945500
86,2020-06-05,103.13,101.44,106.27,102.04,2452018
87,2020-06-04,94.87,92.98,97.08,96.99,1982730
88,2020-06-03,91.57,91.02,96.5,95.54,2562900
89,2020-06-02,90.44,89.31,92.1,90.21,1662000
90,2020-06-01,85.81,85.61,89.31,89.0,1120199
91,2020-05-29,86.51,84.34,87.71,85.98,2389600
92,2020-05-28,90.0,86.51,90.7,87.76,1730810
93,2020-05-27,87.71,83.39,89.38,88.81,2861531
94,2020-05-26,81.81,81.42,84.75,84.52,2187728
95,2020-05-22,79.89,76.49,80.73,78.01,2020000
96,2020-05-21,80.73,79.28,81.66,79.91,1839744
97,2020-05-20,78.67,77.96,81.01,80.83,2015348
98,2020-05-19,80.48,77.35,81.26,77.82,1961000
99,2020-05-18,78.38,78.38,82.16,80.93,2837100
100,2020-05-15,74.98,73.05,75.68,74.95,2998388
101,2020-05-14,73.44,71.57,76.82,76.7,3009913
102,2020-05-13,77.83,74.37,77.87,74.8,3014429
103,2020-05-12,83.93,78.57,84.12,78.77,2575733
104,2020-05-11,86.21,83.83,87.14,83.86,1673700
105,2020-05-08,87.86,86.13,88.6,86.91,1843639
106,2020-05-07,84.82,83.91,86.75,85.85,1954700
107,2020-05-06,87.44,83.13,88.09,83.28,1523100
108,2020-05-05,90.97,87.31,91.75,87.43,1375600
109,2020-05-04,91.37,88.7,91.89,89.67,1714634
110,2020-05-01,94.58,92.48,94.88,92.93,996609
111,2020-04-30,96.6,95.06,97.98,97.18,1427500
112,2020-04-29,101.0,98.04,102.94,98.25,1521300
113,2020-04-28,97.0,96.11,98.86,97.07,1248707
114,2020-04-27,91.31,90.84,94.36,94.14,1377418
115,2020-04-24,89.32,88.18,90.76,90.36,1096100
116,2020-04-23,90.95,88.3,91.32,88.92,1180200
117,2020-04-22,90.26,89.12,91.89,90.67,1208400
