,date,open,low,high,close,volume
0,2020-01-06,78.72,78.72,79.55,79.45,10066508
1,2020-01-03,79.8,79.45,80.52,79.7,12657007
2,2020-01-02,80.13,80.03,81.26,81.23,12734566
3,2020-04-06,39.8,39.51,41.34,41.12,30064700
4,2020-04-03,39.0,36.67,39.46,37.49,25327100
5,2020-04-02,38.36,37.3,39.66,39.23,29532135
6,2020-04-01,39.14,38.0,40.25,38.51,29219521
7,2020-03-31,43.63,41.65,44.23,42.12,26219109
8,2020-03-30,44.05,41.57,44.26,44.08,27459001
9,2020-03-27,44.13,43.0,45.5,43.8,25484515
10,2020-03-26,43.68,43.0,46.29,46.02,31566032
11,2020-03-25,42.31,39.43,44.7,41.86,38211105
12,2020-03-24,37.65,37.34,40.92,40.66,34100600
13,2020-03-23,37.55,34.62,38.15,35.39,33013303
14,2020-03-20,40.46,37.2,40.99,38.06,38163900
15,2020-03-19,35.47,34.2,41.24,39.64,43397147
16,2020-03-18,37.06,32.0,37.99,36.43,48351400
17,2020-03-17,42.0,38.8,43.98,40.25,51650016
18,2020-03-16,40.49,39.57,45.23,41.19,35133800
19,2020-03-13,47.82,45.31,51.24,51.04,40519843
20,2020-03-12,45.3,42.82,49.0,43.26,45941600
21,2020-03-11,53.95,50.02,54.33,50.79,36731404
22,2020-03-10,54.73,51.5,55.7,55.58,32527538
23,2020-03-09,54.31,51.0,55.61,51.37,35625600
24,2020-03-06,60.46,59.74,62.31,61.28,29916600
25,2020-03-05,64.8,63.01,65.12,63.49,27277600
26,2020-03-04,66.05,64.36,67.52,67.39,24188500
27,2020-03-03,67.86,64.47,68.43,65.05,29547744
28,2020-03-02,63.85,63.12,67.61,67.59,29006418
29,2020-02-28,62.0,61.34,64.45,63.46,46029788
30,2020-02-27,66.1,64.4,66.89,64.45,34656830
31,2020-02-26,70.02,68.16,70.61,68.18,25579944
32,2020-02-25,72.63,69.0,73.21,69.43,27451032
33,2020-02-24,73.38,72.44,74.05,72.53,21096233
34,2020-02-21,77.56,76.15,77.96,76.44,14020006
35,2020-02-20,77.66,77.31,78.69,78.22,11763400
36,2020-02-19,77.87,77.62,78.39,78.05,9145241
37,2020-02-18,78.61,77.51,78.86,77.58,10364196
38,2020-02-14,78.89,78.45,79.09,78.79,9056600
39,2020-02-13,78.89,78.62,79.28,79.0,8946200
40,2020-02-12,79.9,79.3,80.77,79.33,9484132
41,2020-02-11,78.75,78.64,79.55,79.09,9437214
42,2020-02-10,78.08,78.05,78.74,78.48,8418300
43,2020-02-07,78.13,78.06,79.05,78.69,8341713
44,2020-02-06,79.8,78.4,79.86,78.97,12826400
45,2020-02-05,77.92,77.81,78.98,78.85,13070420
46,2020-02-04,76.75,76.43,77.27,76.5,12173200
47,2020-02-03,74.7,74.7,76.21,75.13,11099179
48,2020-01-31,75.96,73.91,76.18,74.41,17101200
49,2020-01-30,75.74,75.5,77.54,77.43,12498200
50,2020-01-29,77.54,76.41,77.9,76.48,9480350
51,2020-01-28,77.21,76.78,78.13,77.24,10960222
52,2020-01-27,76.26,75.85,77.0,76.71,15859617
53,2020-01-24,79.62,77.64,79.67,78.42,15036100
54,2020-01-23,79.58,78.92,80.08,79.8,11618424
55,2020-01-22,80.2,79.86,80.48,80.1,8045841
56,2020-01-21,80.48,79.87,80.91,79.9,10522035
57,2020-01-17,81.16,80.81,81.4,81.12,12413100
58,2020-01-16,81.96,80.85,82.13,81.0,10426000
59,2020-01-15,81.73,80.73,82.05,81.24,16063600
60,2020-01-14,81.2,80.97,83.11,81.91,24975432
61,2020-01-13,79.5,79.0,80.72,80.65,16587547
62,2020-01-10,80.0,79.07,80.01,79.25,10062875
63,2020-01-09,80.98,79.73,80.98,80.08,12897119
64,2020-01-08,78.77,78.68,80.0,79.36,11293787
65,2020-01-07,79.29,78.73,79.3,78.76,10494453
66,2020-07-06,51.87,51.19,52.56,51.97,22613100
67,2020-07-02,52.12,50.28,52.46,50.55,22042738
68,2020-07-01,51.76,50.15,52.0,50.35,19206929
69,2020-06-30,49.81,49.65,51.55,51.1,23360427
70,2020-06-29,50.28,49.61,50.92,50.29,22578600
71,2020-06-26,52.34,49.47,52.34,49.58,35426213
72,2020-06-25,50.3,50.13,52.79,52.68,28112443
73,2020-06-24,51.67,50.16,51.84,50.81,27207700
74,2020-06-23,52.95,52.5,53.73,52.95,22092614
75,2020-06-22,51.85,51.52,52.57,52.06,22642122
76,2020-06-19,54.06,51.56,54.09,52.92,50379310
77,2020-06-18,52.67,52.03,53.65,53.04,22280600
78,2020-06-17,54.7,52.88,54.8,53.0,23727300
79,2020-06-16,56.3,52.32,56.4,54.45,37638702
80,2020-06-15,49.96,49.74,53.0,52.98,36592100
81,2020-06-12,51.4,49.8,52.45,52.25,39040017
82,2020-06-11,51.67,48.2,53.52,48.39,62098621
83,2020-06-10,58.9,55.86,59.14,55.86,36743700
84,2020-06-09,59.0,57.65,60.2,59.5,30422900
85,2020-06-08,60.66,59.77,61.33,61.24,32587123
86,2020-06-05,61.57,58.34,62.47,58.86,44648500
87,2020-06-04,53.3,52.61,55.69,55.65,33083512
88,2020-06-03,52.56,52.42,53.76,53.34,33341800
89,2020-06-02,50.71,50.16,51.29,50.84,27651300
90,2020-06-01,48.14,47.82,49.68,49.45,22886527
91,2020-05-29,48.02,47.56,49.48,47.91,35900474
92,2020-05-28,52.99,49.11,53.01,49.16,38022028
93,2020-05-27,51.68,49.86,52.39,52.26,43660514
94,2020-05-26,46.2,45.98,48.9,48.17,34429307
95,2020-05-22,44.77,43.69,45.05,44.1,22631719
96,2020-05-21,45.17,44.78,45.79,45.0,21698324
97,2020-05-20,45.57,45.22,46.28,45.47,23841345
98,2020-05-19,45.27,44.21,45.79,44.43,27271600
99,2020-05-18,44.05,43.49,45.91,45.67,39406071
100,2020-05-15,41.58,41.1,42.45,41.92,28494900
101,2020-05-14,39.99,38.76,42.1,42.06,40976448
102,2020-05-13,42.0,40.23,42.2,40.6,35350610
103,2020-05-12,44.39,42.32,44.69,42.35,33328300
104,2020-05-11,45.21,43.81,45.25,44.07,34765225
105,2020-05-08,45.32,45.26,46.42,46.32,22919094
106,2020-05-07,43.52,43.44,45.16,44.64,29849100
107,2020-05-06,44.49,42.72,45.02,42.95,25028023
108,2020-05-05,46.3,43.92,46.35,43.95,27342900
109,2020-05-04,45.03,43.98,45.36,45.12,26340200
110,2020-05-01,46.31,45.22,46.47,45.52,28078944
111,2020-04-30,49.07,48.04,49.77,48.56,28687029
112,2020-04-29,49.7,48.46,50.65,50.26,32941100
113,2020-04-28,48.94,46.93,49.59,47.21,28973300
114,2020-04-27,44.17,43.73,46.82,46.56,30929200
115,2020-04-24,43.0,41.73,43.34,43.1,26310348
116,2020-04-23,42.65,42.26,43.74,42.46,23970700
117,2020-04-22,43.0,41.85,43.12,42.24,21911584
118,2020-04-21,42.35,41.07,43.11,41.57,35336200
119,2020-04-20,43.4,42.89,45.44,44.01,33471942
120,2020-04-17,43.15,42.65,45.62,45.45,41252949
121,2020-04-16,42.71,40.1,42.84,40.52,37756002
122,2020-04-15,43.37,42.61,44.27,42.86,32249000
123,2020-04-14,47.66,43.53,47.74,45.42,40466200
124,2020-04-13,47.5,45.27,47.57,46.68,27944323
125,2020-04-09,46.94,46.37,49.22,47.41,43659221
126,2020-04-08,42.85,41.97,44.45,44.26,32944829
127,2020-04-07,44.81,41.12,45.59,41.25,35300010
128,2020-10-05,44.26,44.21,45.23,44.91,24170628
129,2020-10-02,42.54,42.52,43.87,43.66,23899213
130,2020-10-01,43.33,42.6,43.65,43.44,21900505
131,2020-09-30,42.58,42.5,43.59,43.11,22533427
132,2020-09-29,43.1,42.02,43.29,42.42,20700286
133,2020-09-28,42.92,42.89,43.88,43.34,21204600
134,2020-09-25,41.84,41.52,42.13,42.02,26917200
135,2020-09-24,41.85,41.29,42.6,42.19,31259200
136,2020-09-23,43.61,41.79,43.95,41.85,28780200
137,2020-09-22,43.79,43.08,44.13,43.29,25799200
138,2020-09-21,43.41,43.07,44.16,43.93,33469709
139,2020-09-18,45.52,44.76,45.96,44.86,33201718
140,2020-09-17,45.46,45.01,45.83,45.53,28741600
141,2020-09-16,45.21,44.62,46.76,46.02,45536844
142,2020-09-15,48.12,44.67,48.39,44.81,84689733
143,2020-09-14,51.49,47.9,52.08,48.15,58798346
144,2020-09-11,50.89,50.8,51.69,51.0,21033248
145,2020-09-10,51.72,50.7,52.5,50.95,22324400
146,2020-09-09,51.2,50.62,51.59,51.4,19193919
147,2020-09-08,51.92,50.66,52.09,51.04,28128600
148,2020-09-04,52.47,51.44,53.36,52.52,25124049
149,2020-09-03,52.44,51.23,53.64,51.5,25003215
150,2020-09-02,51.04,50.66,52.14,51.95,15348600
151,2020-09-01,50.88,50.54,51.57,51.2,16909928
152,2020-08-31,51.91,51.1,52.04,51.12,16280126
153,2020-08-28,52.07,51.53,52.37,52.28,16990331
154,2020-08-27,50.72,50.65,52.21,51.72,19393500
155,2020-08-26,51.66,50.82,51.79,50.85,14541600
156,2020-08-25,51.85,50.97,52.51,51.65,17244800
157,2020-08-24,49.9,49.45,51.13,51.06,19745100
158,2020-08-21,49.45,49.16,50.08,49.3,17416043
159,2020-08-20,49.53,49.23,50.02,49.58,15920900
160,2020-08-19,50.68,50.0,51.33,50.29,20837300
161,2020-08-18,51.52,50.28,51.53,50.34,17100800
162,2020-08-17,52.63,51.35,52.82,51.42,19788700
163,2020-08-14,52.45,52.36,53.35,52.93,13861310
164,2020-08-13,52.83,52.57,53.48,52.89,13815300
165,2020-08-12,54.94,52.75,55.02,53.35,19347989
166,2020-08-11,54.45,53.54,55.03,53.76,25256500
167,2020-08-10,52.29,52.25,53.21,52.86,16850409
168,2020-08-07,50.52,50.13,52.23,52.12,21499100
169,2020-08-06,50.75,50.58,51.29,50.89,11025000
170,2020-08-05,50.5,50.47,51.31,51.04,16500766
171,2020-08-04,50.23,49.85,50.32,50.14,16230800
