,date,open,low,high,close,volume
0,2020-01-06,33.76,33.41,33.82,33.52,4581106
1,2020-01-03,33.59,33.31,33.99,33.34,3054300
2,2020-01-02,34.25,33.38,34.41,33.63,4299000
3,2020-04-06,31.44,30.96,32.0,31.3,6386200
4,2020-04-03,29.53,29.53,31.28,31.21,4954316
5,2020-04-02,29.19,29.05,30.41,29.93,3777600
6,2020-04-01,28.34,28.26,30.14,29.76,8379500
7,2020-03-31,30.72,28.64,31.95,29.34,11205600
8,2020-03-30,28.25,27.69,29.19,28.23,5890900
9,2020-03-27,27.27,26.7,28.12,27.92,5413420
10,2020-03-26,26.01,25.62,28.0,27.85,5754396
11,2020-03-25,26.4,25.9,27.55,26.08,6451648
12,2020-03-24,26.44,25.75,27.39,26.53,6051503
13,2020-03-23,26.47,24.86,27.45,25.76,6675136
14,2020-03-20,26.31,25.21,27.13,26.05,7980807
15,2020-03-19,27.35,24.54,28.52,26.31,7307023
16,2020-03-18,29.04,27.0,31.94,27.26,10570000
17,2020-03-17,27.65,27.56,30.82,29.8,10445591
18,2020-03-16,22.96,22.88,28.82,27.21,9145900
19,2020-03-13,25.15,22.83,25.37,24.79,7255403
20,2020-03-12,25.04,24.11,26.88,24.14,9965953
21,2020-03-11,27.14,26.38,27.39,26.81,7153837
22,2020-03-10,27.99,26.44,28.23,27.86,6303900
23,2020-03-09,26.53,26.01,28.03,27.52,5455503
24,2020-03-06,27.45,27.25,28.64,28.25,7003237
25,2020-03-05,28.04,27.95,28.66,28.47,3706726
26,2020-03-04,28.39,27.94,28.83,28.79,2919530
27,2020-03-03,28.2,27.36,28.97,27.67,5143000
28,2020-03-02,26.86,26.73,28.3,28.24,8240000
29,2020-02-28,25.57,24.73,26.7,26.69,9385145
30,2020-02-27,26.6,25.75,26.96,26.37,7140973
31,2020-02-26,28.61,26.92,28.7,26.94,8256110
32,2020-02-25,29.31,27.91,29.35,28.38,7015100
33,2020-02-24,29.2,28.9,29.34,29.23,3678335
34,2020-02-21,29.73,29.37,30.11,29.59,3031243
35,2020-02-20,29.76,29.59,29.93,29.88,2858201
36,2020-02-19,30.65,29.71,30.87,29.8,5187853
37,2020-02-18,30.61,30.0,31.43,30.68,11377100
38,2020-02-14,32.63,32.05,32.76,32.69,3191900
39,2020-02-13,32.54,32.12,32.61,32.58,4355300
40,2020-02-12,32.8,32.46,33.02,32.63,2551400
41,2020-02-11,32.31,32.17,32.85,32.8,3395973
42,2020-02-10,31.87,31.62,32.28,32.24,1864100
43,2020-02-07,32.05,31.85,32.38,31.95,2307900
44,2020-02-06,32.4,31.84,32.82,32.09,3223525
45,2020-02-05,32.14,32.14,32.99,32.67,3584300
46,2020-02-04,33.08,31.91,33.13,31.92,4124200
47,2020-02-03,33.02,32.44,33.27,32.94,5498000
48,2020-01-31,33.12,32.74,33.31,32.92,3847408
49,2020-01-30,33.12,32.65,33.26,33.25,2479837
50,2020-01-29,33.42,32.86,33.47,33.2,2783384
51,2020-01-28,32.58,32.45,33.46,33.32,5854400
52,2020-01-27,31.87,31.87,32.62,32.53,4651100
53,2020-01-24,32.83,32.07,32.9,32.28,3046500
54,2020-01-23,32.05,31.97,32.88,32.69,3907200
55,2020-01-22,32.82,32.25,32.93,32.29,3668100
56,2020-01-21,32.81,32.47,33.25,32.76,6294200
57,2020-01-17,32.3,32.28,33.37,33.33,8327011
58,2020-01-16,31.96,31.96,32.31,32.3,2664835
59,2020-01-15,32.21,31.82,32.32,31.93,3276515
60,2020-01-14,32.01,31.76,32.16,32.15,4921646
61,2020-01-13,31.94,31.61,32.06,32.03,4917900
62,2020-01-10,32.03,31.73,32.19,31.83,4886800
63,2020-01-09,32.19,31.74,32.45,32.21,5621349
64,2020-01-08,32.54,31.84,32.69,31.87,4944200
65,2020-01-07,33.32,32.31,33.43,32.32,8389577
66,2020-07-06,35.75,35.19,35.94,35.54,2693728
67,2020-07-02,35.9,35.41,36.05,35.41,3737615
68,2020-07-01,35.4,35.3,36.05,35.67,5449507
69,2020-06-30,34.89,34.17,35.79,35.17,8438500
70,2020-06-29,32.97,32.88,33.91,33.7,4521700
71,2020-06-26,33.79,32.58,33.86,32.64,5568209
72,2020-06-25,33.83,33.58,33.93,33.69,3862711
73,2020-06-24,34.0,33.44,34.03,33.79,3774389
74,2020-06-23,34.6,34.03,34.68,34.22,4340151
75,2020-06-22,34.08,34.08,34.71,34.4,3991826
76,2020-06-19,34.54,33.55,34.87,33.55,7334600
77,2020-06-18,34.22,34.03,34.57,34.24,3273547
78,2020-06-17,34.38,33.95,34.5,34.3,3236113
79,2020-06-16,33.84,33.66,34.53,34.25,3775214
80,2020-06-15,32.25,31.76,33.34,33.33,3167218
81,2020-06-12,32.24,31.72,32.46,32.41,3592345
82,2020-06-11,33.02,31.77,33.13,31.82,3661900
83,2020-06-10,33.69,33.1,33.94,33.2,2953400
84,2020-06-09,34.0,33.14,34.0,33.57,2401952
85,2020-06-08,32.96,32.89,34.08,33.93,3547000
86,2020-06-05,33.31,32.47,33.55,33.42,3932500
87,2020-06-04,33.62,33.1,33.87,33.31,2851433
88,2020-06-03,34.56,33.5,34.77,33.65,3765632
89,2020-06-02,34.62,34.28,34.74,34.47,3768205
90,2020-06-01,34.79,34.46,35.18,34.72,2756459
91,2020-05-29,33.91,33.7,34.86,34.79,5397100
92,2020-05-28,33.98,33.59,34.18,33.91,2600200
