,date,open,low,high,close,volume
0,2020-01-06,49.26,48.93,49.82,49.77,2410243
1,2020-01-03,49.32,49.14,49.8,49.36,1876300
2,2020-01-02,50.92,49.48,51.01,50.09,2824600
3,2020-04-06,48.4,47.36,49.74,49.35,3545514
4,2020-04-03,45.79,45.58,47.18,46.61,2567959
5,2020-04-02,46.94,44.58,47.55,46.42,3265600
6,2020-04-01,46.15,46.0,48.11,47.71,3426441
7,2020-03-31,48.83,46.99,50.19,47.94,6194706
8,2020-03-30,46.25,45.86,48.67,48.44,3754841
9,2020-03-27,44.0,43.16,45.55,44.38,3046706
10,2020-03-26,42.62,41.81,45.67,45.4,3516244
11,2020-03-25,43.66,41.93,46.19,42.25,3625905
12,2020-03-24,41.8,40.97,44.18,43.54,3275003
13,2020-03-23,42.9,39.05,43.0,41.0,3344749
14,2020-03-20,44.83,42.3,46.07,43.33,3900104
15,2020-03-19,45.16,42.12,46.33,43.79,2538421
16,2020-03-18,45.1,41.5,49.19,45.7,3776232
17,2020-03-17,44.92,43.6,48.55,47.76,3982940
18,2020-03-16,42.59,42.16,46.87,44.22,3499900
19,2020-03-13,44.38,42.56,47.75,47.62,4410313
20,2020-03-12,45.75,42.36,46.0,42.39,4218738
21,2020-03-11,48.46,47.61,49.33,48.65,3576313
22,2020-03-10,49.2,46.9,49.82,49.71,3013703
23,2020-03-09,48.0,47.11,49.74,47.93,4876911
24,2020-03-06,50.86,50.03,52.17,51.27,2889201
25,2020-03-05,53.21,51.82,54.16,52.48,3369949
26,2020-03-04,54.79,53.23,56.09,54.63,4431322
27,2020-03-03,53.98,51.51,54.89,52.96,3434729
28,2020-03-02,52.31,51.77,54.02,54.02,4630343
29,2020-02-28,50.58,49.49,52.15,52.12,6367000
30,2020-02-27,54.24,52.24,55.38,52.25,4825718
31,2020-02-26,55.45,54.99,56.75,55.01,3160700
32,2020-02-25,58.5,55.26,58.8,55.44,2764400
33,2020-02-24,58.21,57.91,58.94,58.14,2105470
34,2020-02-21,60.17,59.5,60.39,59.72,2275400
35,2020-02-20,59.09,58.76,60.53,60.42,2688023
36,2020-02-19,58.9,58.66,59.37,59.35,1896900
37,2020-02-18,59.6,58.78,59.99,59.01,2276473
38,2020-02-14,59.19,57.61,59.79,59.62,3284900
39,2020-02-13,59.54,59.37,60.32,59.4,1953300
40,2020-02-12,60.0,59.69,60.69,60.13,2290779
41,2020-02-11,59.25,58.35,59.47,59.41,2611300
42,2020-02-10,58.25,58.0,59.7,59.19,3616679
43,2020-02-07,59.09,57.74,60.48,58.24,4384700
44,2020-02-06,57.55,56.84,59.8,58.26,6735054
45,2020-02-05,52.09,52.04,53.45,52.68,5655776
46,2020-02-04,52.06,51.54,52.68,51.59,3443814
47,2020-02-03,51.43,51.09,52.18,51.26,1905524
48,2020-01-31,53.0,50.9,53.17,51.21,7692221
49,2020-01-30,53.49,52.51,53.87,53.29,1919723
50,2020-01-29,53.93,53.41,54.4,53.74,1748602
51,2020-01-28,53.76,53.15,54.08,53.8,2089200
52,2020-01-27,52.85,52.02,53.59,53.38,2511403
53,2020-01-24,54.95,52.75,54.95,53.82,2107212
54,2020-01-23,55.21,54.54,55.22,54.87,3333100
55,2020-01-22,54.37,54.22,55.49,55.32,3059842
56,2020-01-21,53.89,53.5,54.4,54.01,1874033
57,2020-01-17,54.53,53.63,54.64,53.93,2566400
58,2020-01-16,54.17,53.61,54.52,54.42,2710300
59,2020-01-15,52.27,52.04,54.12,53.81,4023233
60,2020-01-14,50.94,50.94,52.46,52.45,3186300
61,2020-01-13,50.53,49.8,50.56,50.44,2526564
62,2020-01-10,50.4,49.88,50.72,50.63,2298202
63,2020-01-09,50.2,49.67,50.44,50.3,1747000
64,2020-01-08,49.68,49.26,50.31,50.06,1727100
