,date,open,low,high,close,volume
0,2020-04-06,17.06,14.85,17.15,15.44,37138000
1,2020-04-03,13.75,13.38,17.0,16.92,66934307
2,2020-04-02,15.66,12.12,15.9,13.28,15966330
3,2020-04-01,16.0,14.56,16.0,15.05,2998918
4,2020-03-31,16.39,14.56,17.25,17.25,461500
5,2020-03-30,15.25,15.25,16.5,15.9,210000
6,2020-03-27,15.0,14.55,16.0,14.55,486514
7,2020-03-26,14.0,14.0,15.45,15.45,76400
8,2020-03-25,11.8,11.8,13.45,13.45,19242
9,2020-03-24,12.9,11.5,12.9,11.7,96100
10,2020-03-23,12.75,11.5,12.75,11.54,18710
11,2020-03-20,13.0,12.0,13.0,12.75,2348
12,2020-03-19,12.0,12.0,12.0,12.0,100
13,2020-07-06,23.13,23.13,24.29,24.21,7145209
14,2020-07-02,22.99,22.57,23.22,22.91,5667438
15,2020-07-01,22.32,21.87,23.01,22.61,9181774
16,2020-06-30,21.81,21.41,22.41,22.22,7082551
17,2020-06-29,21.08,21.0,22.47,22.12,8086375
18,2020-06-26,21.52,20.59,21.74,20.97,21346900
19,2020-06-25,21.62,21.04,21.87,21.52,6141000
20,2020-06-24,22.1,21.45,22.66,21.82,6825611
21,2020-06-23,23.12,22.32,23.24,22.39,5961549
22,2020-06-22,21.52,21.31,22.83,22.74,5995500
23,2020-06-19,21.76,21.0,21.85,21.45,14451114
24,2020-06-18,21.0,21.0,21.89,21.25,3618900
25,2020-06-17,22.17,21.08,22.34,21.26,5737700
26,2020-06-16,22.96,21.93,22.98,22.07,7289942
27,2020-06-15,20.72,20.63,22.54,21.97,7736009
28,2020-06-12,22.0,21.02,22.31,21.54,5212911
29,2020-06-11,20.16,20.0,21.8,21.06,6834838
30,2020-06-10,22.31,22.04,23.15,22.2,10262100
31,2020-06-09,23.74,23.21,23.96,23.21,6850022
32,2020-06-08,23.63,23.31,24.38,24.37,8570449
33,2020-06-05,23.54,23.38,24.4,23.56,7843606
34,2020-06-04,22.03,22.03,23.12,22.68,6651949
35,2020-06-03,21.47,21.38,22.58,22.22,9636325
36,2020-06-02,21.69,20.91,21.83,21.36,8295600
37,2020-06-01,20.55,20.55,21.95,21.82,7695700
38,2020-05-29,18.96,18.88,20.98,20.47,32993095
39,2020-05-28,20.08,19.51,20.46,19.6,8510352
40,2020-05-27,19.57,19.43,20.13,19.99,8969859
41,2020-05-26,19.61,19.34,20.6,19.51,7305509
