,date,open,low,high,close,volume
0,2020-01-06,147.27,146.54,148.56,148.34,2552146
1,2020-01-03,148.77,147.45,149.96,148.44,3100600
2,2020-01-02,149.0,147.98,150.55,150.53,3311940
3,2020-04-06,120.04,118.13,121.73,120.43,5785626
4,2020-04-03,115.5,112.12,116.84,114.67,5036565
5,2020-04-02,111.23,111.13,118.52,116.74,8106522
6,2020-04-01,112.09,109.5,116.75,111.35,6847000
7,2020-03-31,110.73,110.26,116.91,116.04,8979915
8,2020-03-30,106.33,104.93,112.84,111.71,5725600
9,2020-03-27,104.43,103.4,109.64,105.44,5746500
10,2020-03-26,104.85,102.89,110.97,110.5,6060704
11,2020-03-25,101.17,98.5,108.5,104.67,6578100
12,2020-03-24,96.06,95.17,102.03,101.34,7417117
13,2020-03-23,93.9,90.64,96.24,91.85,6737514
14,2020-03-20,103.12,94.16,103.99,95.5,7650329
15,2020-03-19,99.23,97.25,104.4,103.01,6870804
16,2020-03-18,93.99,93.11,102.95,100.12,6995124
17,2020-03-17,96.01,92.97,100.44,100.2,7206113
18,2020-03-16,89.0,88.5,105.85,93.41,9899000
19,2020-03-13,98.39,90.14,99.91,99.64,8718635
20,2020-03-12,93.5,87.5,94.28,92.26,10285934
21,2020-03-11,103.8,100.07,104.75,100.69,6546771
22,2020-03-10,108.64,99.11,109.06,106.49,8293227
23,2020-03-09,112.99,104.03,112.99,104.07,8636218
24,2020-03-06,119.0,118.83,121.85,121.41,5768074
25,2020-03-05,123.15,121.24,124.85,121.97,6015300
26,2020-03-04,126.07,124.31,127.44,127.4,5074885
27,2020-03-03,127.0,123.78,129.56,124.38,6358116
28,2020-03-02,125.05,123.01,127.88,127.6,6100200
29,2020-02-28,119.57,119.03,124.24,124.24,8301938
30,2020-02-27,125.6,123.22,128.53,123.27,7369000
31,2020-02-26,129.65,127.55,130.99,128.25,3904420
32,2020-02-25,132.97,128.25,133.14,129.0,4840239
33,2020-02-24,132.53,132.05,133.86,132.17,4964814
34,2020-02-21,136.5,135.11,137.44,137.21,2855843
35,2020-02-20,136.26,136.2,138.89,136.93,2678315
36,2020-02-19,136.79,136.06,137.21,136.86,2134929
37,2020-02-18,137.46,135.08,138.57,136.58,3869820
38,2020-02-14,139.49,136.89,139.62,137.99,2813705
39,2020-02-13,140.0,138.43,140.5,139.72,3318815
40,2020-02-12,138.4,138.09,139.94,139.59,3222000
41,2020-02-11,135.49,135.06,137.23,136.19,2381972
42,2020-02-10,133.04,132.78,134.33,134.32,2331632
43,2020-02-07,136.04,133.0,136.49,133.37,3812300
44,2020-02-06,138.2,136.13,138.33,137.25,2283800
45,2020-02-05,135.55,135.44,137.47,137.44,4448100
46,2020-02-04,133.0,132.68,134.78,133.51,3501629
47,2020-02-03,131.44,129.3,133.16,129.77,4385718
48,2020-01-31,133.82,130.54,134.99,131.35,6785700
49,2020-01-30,134.76,132.91,135.97,135.37,3862645
50,2020-01-29,137.59,135.67,137.76,135.78,2620618
51,2020-01-28,137.02,135.62,137.6,136.74,2763803
52,2020-01-27,136.9,135.57,137.81,135.73,2920525
53,2020-01-24,142.55,139.26,142.7,140.38,2526200
54,2020-01-23,141.81,139.8,143.21,142.75,3182744
55,2020-01-22,146.25,142.52,146.56,142.63,3602818
56,2020-01-21,147.2,145.69,147.87,145.85,2476809
57,2020-01-17,147.21,146.6,148.27,147.78,3331614
58,2020-01-16,146.43,146.24,147.93,147.87,3070921
59,2020-01-15,146.22,145.2,146.74,145.57,2640634
60,2020-01-14,147.45,146.31,147.98,146.68,2743259
61,2020-01-13,146.53,145.55,146.83,146.82,3356908
62,2020-01-10,147.45,145.83,147.72,146.13,2393712
63,2020-01-09,147.81,146.51,147.97,147.31,2272709
64,2020-01-08,146.83,146.46,148.57,147.68,2153200
65,2020-01-07,147.35,145.51,147.57,146.38,2852082
66,2020-07-06,130.13,128.17,130.5,129.43,2491938
67,2020-07-02,128.25,127.19,130.34,127.72,2527521
68,2020-07-01,129.38,125.88,129.4,126.06,2807800
69,2020-06-30,124.01,124.01,127.06,126.5,2778835
70,2020-06-29,123.72,123.28,126.04,125.25,2798700
71,2020-06-26,124.33,121.45,124.44,122.39,3645811
72,2020-06-25,121.61,120.8,124.83,124.71,2903449
73,2020-06-24,124.79,121.83,124.84,122.06,3766500
74,2020-06-23,127.39,125.83,127.57,126.25,2357100
75,2020-06-22,126.36,124.6,126.48,125.79,2806343
76,2020-06-19,130.0,125.73,130.0,127.46,6488000
77,2020-06-18,127.14,126.7,128.98,127.59,2467700
78,2020-06-17,130.16,127.76,130.47,128.23,3228124
79,2020-06-16,131.37,126.39,132.44,130.11,6892400
80,2020-06-15,118.51,118.01,124.38,123.61,4094202
81,2020-06-12,124.4,119.35,125.17,123.15,4492700
82,2020-06-11,126.41,121.52,126.84,121.55,5969327
83,2020-06-10,133.72,130.56,135.38,132.44,4018747
84,2020-06-09,135.02,133.21,135.41,134.19,3819615
85,2020-06-08,135.32,135.32,139.94,137.72,4139216
86,2020-06-05,137.85,133.39,139.37,135.12,5591916
87,2020-06-04,125.41,124.74,129.03,128.96,3076700
88,2020-06-03,125.45,125.01,127.35,127.09,3712613
89,2020-06-02,121.84,121.28,123.82,123.32,2977504
90,2020-06-01,119.86,117.61,121.2,120.5,2133655
91,2020-05-29,119.63,117.57,120.71,120.13,4278095
92,2020-05-28,124.75,120.28,124.83,120.74,3744246
93,2020-05-27,119.72,119.53,122.49,122.42,4462700
94,2020-05-26,115.98,115.98,118.56,117.41,4185148
95,2020-05-22,114.13,111.47,114.16,112.47,2735100
96,2020-05-21,114.95,113.82,115.68,114.06,2342645
97,2020-05-20,113.31,113.05,117.48,115.69,3735708
98,2020-05-19,114.95,112.01,115.44,112.08,3404900
99,2020-05-18,112.22,112.01,115.66,115.02,5604429
100,2020-05-15,105.18,104.28,107.99,107.92,6583120
101,2020-05-14,102.5,100.22,106.28,106.19,5542426
102,2020-05-13,105.14,102.55,105.29,104.48,5376118
103,2020-05-12,109.11,105.0,109.33,105.0,3874100
104,2020-05-11,110.16,108.18,110.77,108.61,4207300
105,2020-05-08,108.97,108.3,112.2,112.11,3913422
106,2020-05-07,109.02,106.78,110.05,107.29,4379182
107,2020-05-06,110.03,106.7,110.24,107.67,4465300
108,2020-05-05,109.24,108.74,111.09,108.91,3477657
109,2020-05-04,110.02,106.58,110.28,107.72,4500700
110,2020-05-01,114.0,110.57,114.59,110.88,3960400
111,2020-04-30,118.0,115.33,118.25,116.38,4040514
112,2020-04-29,116.96,116.53,120.82,120.06,4261141
113,2020-04-28,117.86,113.37,118.0,115.46,5604649
114,2020-04-27,110.85,109.73,116.13,115.2,5344823
115,2020-04-24,113.99,111.21,114.38,114.04,3045999
116,2020-04-23,111.33,110.95,115.23,112.91,3545433
117,2020-04-22,112.03,109.21,112.1,110.64,3795100
118,2020-04-21,111.04,108.6,111.04,109.85,5743300
119,2020-04-20,114.44,112.12,117.07,114.6,4083843
120,2020-04-17,114.45,113.85,116.54,116.3,4132300
121,2020-04-16,111.85,108.86,113.47,113.22,5926446
122,2020-04-15,112.96,109.8,113.1,111.53,5652807
123,2020-04-14,116.5,114.51,117.84,116.48,7166341
124,2020-04-13,119.95,113.58,120.05,114.14,10519609
125,2020-04-09,128.65,123.15,129.6,125.03,4753459
126,2020-04-08,122.99,121.04,128.18,127.4,4686100
