,date,open,low,high,close,volume
0,2020-01-06,155.33,155.01,157.09,157.06,1281800
1,2020-01-03,154.76,154.13,156.0,155.78,1176000
2,2020-01-02,155.85,154.36,156.02,156.02,2037800
3,2020-04-06,107.3,106.93,111.45,110.76,3005304
4,2020-04-03,104.78,101.32,106.64,102.82,1868118
5,2020-04-02,103.68,103.42,108.38,105.93,2256600
6,2020-04-01,105.95,102.61,107.99,104.17,2313200
7,2020-03-31,112.62,110.36,113.97,111.69,3075500
8,2020-03-30,108.64,105.63,114.71,114.04,2792713
9,2020-03-27,104.81,104.08,113.48,108.41,3714833
10,2020-03-26,102.82,100.5,110.35,109.22,4073900
11,2020-03-25,101.69,97.03,108.35,101.8,4168100
12,2020-03-24,98.77,96.37,102.93,102.56,3525120
13,2020-03-23,97.31,92.04,101.55,94.2,3960999
14,2020-03-20,99.0,93.1,103.98,101.56,4849700
15,2020-03-19,97.46,93.84,100.89,98.53,3600927
16,2020-03-18,102.99,87.35,108.31,99.81,4346701
17,2020-03-17,103.63,97.78,110.34,110.08,4513400
18,2020-03-16,107.75,100.69,114.28,101.42,4112700
19,2020-03-13,122.71,113.05,123.42,121.86,5280200
20,2020-03-12,124.0,116.55,126.53,116.74,3339938
21,2020-03-11,135.05,129.67,136.65,131.29,2664207
22,2020-03-10,139.07,133.88,139.32,139.1,2602207
23,2020-03-09,135.65,131.96,142.0,134.97,3246600
24,2020-03-06,139.87,139.26,145.45,144.82,3488926
25,2020-03-05,148.18,143.13,148.18,144.89,2569500
26,2020-03-04,147.9,146.64,152.27,151.94,2147928
27,2020-03-03,152.12,145.24,153.56,146.18,2838300
28,2020-03-02,145.13,145.01,152.14,151.81,3069488
29,2020-02-28,146.98,142.24,147.8,145.03,3792933
30,2020-02-27,156.24,150.05,158.09,150.11,3119006
31,2020-02-26,158.23,156.88,160.14,158.03,2354731
32,2020-02-25,160.26,156.55,160.73,157.21,2502200
33,2020-02-24,160.86,159.73,162.66,160.49,1919200
34,2020-02-21,162.65,162.65,164.05,163.75,1267980
35,2020-02-20,163.74,162.68,164.0,163.15,2265600
36,2020-02-19,163.94,162.58,164.39,164.21,1451100
37,2020-02-18,164.42,163.08,164.76,163.5,1366100
38,2020-02-14,164.66,163.05,165.24,164.56,1246348
39,2020-02-13,163.74,163.24,165.23,164.83,1612700
40,2020-02-12,164.77,163.72,165.77,163.89,1174600
41,2020-02-11,163.19,162.32,164.36,164.14,1718600
42,2020-02-10,162.76,162.0,163.36,163.35,1511040
43,2020-02-07,162.61,162.24,164.53,162.73,1908200
44,2020-02-06,166.0,162.79,167.74,163.22,3035639
45,2020-02-05,160.28,157.35,165.4,165.33,3119425
46,2020-02-04,154.61,154.15,155.72,154.3,1880786
47,2020-02-03,152.56,152.29,154.85,153.23,1831906
48,2020-01-31,153.59,151.25,154.51,151.99,2336300
49,2020-01-30,150.11,150.06,154.27,154.14,1267132
50,2020-01-29,151.56,150.79,152.26,150.89,1266223
51,2020-01-28,150.87,150.75,152.46,150.96,1716500
52,2020-01-27,150.99,150.38,151.88,150.38,1163104
53,2020-01-24,151.94,151.6,153.14,152.01,1476408
54,2020-01-23,152.21,149.09,152.94,152.09,2514027
55,2020-01-22,153.05,152.71,153.9,153.83,1098038
56,2020-01-21,153.0,152.08,153.63,152.74,1427000
57,2020-01-17,152.65,152.6,154.14,153.69,2009300
58,2020-01-16,151.62,151.37,153.12,152.66,1101849
59,2020-01-15,150.24,149.45,151.47,151.29,1367900
60,2020-01-14,150.38,150.28,151.81,150.76,1410600
61,2020-01-13,150.78,149.53,151.22,150.9,1672608
62,2020-01-10,153.56,150.11,154.45,150.99,2363000
63,2020-01-09,153.51,152.5,154.05,153.95,1796900
64,2020-01-08,153.7,152.67,154.8,152.87,2106300
65,2020-01-07,154.12,153.64,155.36,153.92,1507012
66,2020-07-06,127.68,126.58,129.18,127.29,1463259
67,2020-07-02,128.5,125.33,129.84,125.57,1155222
68,2020-07-01,126.48,124.96,128.23,125.66,1271200
69,2020-06-30,125.51,124.78,127.31,126.62,1968519
70,2020-06-29,125.86,124.05,126.54,125.7,1382200
71,2020-06-26,126.82,123.16,128.12,123.96,3237524
72,2020-06-25,126.01,124.9,129.0,128.56,1300845
73,2020-06-24,127.52,124.64,127.54,126.17,1905521
74,2020-06-23,129.18,128.45,130.66,129.38,1853100
75,2020-06-22,126.94,125.86,128.63,127.38,1599000
76,2020-06-19,132.31,127.46,132.31,127.95,2467900
77,2020-06-18,127.8,127.1,130.67,129.65,1212024
78,2020-06-17,130.56,128.71,131.86,129.7,1525054
79,2020-06-16,134.07,128.0,134.07,130.46,1783200
80,2020-06-15,121.37,120.19,129.62,129.2,2709800
81,2020-06-12,126.78,122.64,128.05,125.69,2080900
82,2020-06-11,124.87,121.1,128.02,121.44,3270216
83,2020-06-10,136.3,130.92,136.82,130.98,2475317
84,2020-06-09,137.53,137.0,140.13,137.69,2629530
85,2020-06-08,142.19,138.85,142.75,140.7,3646671
86,2020-06-05,142.43,136.75,142.6,140.67,4914923
87,2020-06-04,125.85,125.01,134.71,134.53,4305917
88,2020-06-03,125.0,123.76,127.64,126.45,4247919
89,2020-06-02,117.85,117.17,123.18,121.7,4051835
90,2020-06-01,121.12,118.55,121.12,119.56,2395576
91,2020-05-29,122.72,121.06,124.04,121.94,2488413
92,2020-05-28,124.87,122.1,124.87,123.71,3012800
93,2020-05-27,122.42,119.84,123.59,122.97,3809342
