,date,open,low,high,close,volume
0,2020-01-06,120.49,119.29,120.98,120.19,604269
1,2020-01-03,119.03,119.03,122.12,121.33,599950
2,2020-01-02,119.7,118.28,120.18,119.52,460927
3,2020-04-06,94.1,90.22,97.23,94.89,972449
4,2020-04-03,93.43,89.3,93.43,89.62,1175022
5,2020-04-02,85.74,85.74,92.88,92.37,1029624
6,2020-04-01,86.4,84.92,90.215,88.18,999905
7,2020-03-31,90.81,87.785,94.0,89.25,1017653
8,2020-03-30,92.15,88.82,95.41,93.03,786082
9,2020-03-27,87.12,87.01,94.89,90.89,1237158
10,2020-03-26,79.06,78.94,91.01,90.82,1406899
11,2020-03-25,77.81,76.82,83.54,80.0,1227073
12,2020-03-24,78.76,75.11,81.56,78.15,1911475
13,2020-03-23,80.2,73.13,80.44,76.54,1481595
14,2020-03-20,83.25,78.59,84.11,79.69,1760689
15,2020-03-19,75.9,72.01,89.94,82.91,1671271
16,2020-03-18,86.57,74.12,86.98,75.85,1853911
17,2020-03-17,84.47,80.68,91.6,88.54,1903950
18,2020-03-16,92.0,82.01,92.0,82.7,1597174
19,2020-03-13,95.39,91.31,99.58,94.8,1711496
20,2020-03-12,98.97,90.22,102.0,93.47,1855657
21,2020-03-11,112.0,105.51,112.0,106.35,1358179
22,2020-03-10,111.81,108.8461,114.46,110.9,1400909
23,2020-03-09,113.31,110.13,116.75,111.77,1378254
24,2020-03-06,115.0,114.075,119.1,116.77,1401461
25,2020-03-05,115.92,115.7089,121.09,115.95,1589074
26,2020-03-04,117.52,115.0,119.72,118.59,1312261
27,2020-03-03,117.99,116.15,119.44,117.21,1188845
28,2020-03-02,112.42,112.42,118.18,118.18,1233304
29,2020-02-28,122.74,111.86,122.74,114.0,1920319
30,2020-02-27,120.35,119.66,126.17,121.23,1424900
31,2020-02-26,123.93,122.325,125.17,123.81,861408
32,2020-02-25,122.59,120.145,122.6,122.1,703784
33,2020-02-24,120.68,119.94,124.27,121.99,827961
34,2020-02-21,122.21,120.46,124.55,122.61,2379661
35,2020-02-20,120.06,119.88,122.83,122.83,647071
36,2020-02-19,124.17,120.14,124.82,120.44,577921
37,2020-02-18,123.0,121.69,125.46,123.54,823482
38,2020-02-14,124.4,123.63,125.79,125.63,371979
39,2020-02-13,122.86,122.52,124.3,124.27,331692
40,2020-02-12,122.93,121.78,123.85,123.53,356460
41,2020-02-11,123.39,122.58,124.65,123.31,422262
42,2020-02-10,122.01,121.32,123.81,123.69,526485
43,2020-02-07,125.0,122.0,127.25,122.54,860914
44,2020-02-06,123.95,122.75,127.93,127.93,991641
45,2020-02-05,122.95,122.44,124.18,123.77,1134391
46,2020-02-04,123.01,122.14,124.835,122.47,831703
47,2020-02-03,124.0,122.08,124.75,123.86,530708
48,2020-01-31,122.47,122.26,124.19,123.22,540117
49,2020-01-30,121.2,121.17,123.3,123.18,410215
50,2020-01-29,120.95,120.38,122.72,121.5,386847
51,2020-01-28,120.1,119.94,122.18,121.2,644052
52,2020-01-27,119.25,119.05,121.61,119.73,671406
53,2020-01-24,120.0,118.87,120.29,119.81,410957
54,2020-01-23,118.39,117.81,119.98,119.62,420487
55,2020-01-22,119.49,117.89,119.97,118.72,607429
56,2020-01-21,116.4,116.275,117.8,117.39,663401
57,2020-01-17,117.33,116.02,117.76,116.53,661962
58,2020-01-16,116.76,116.27,117.73,117.53,510746
59,2020-01-15,115.74,114.97,116.97,116.87,829448
60,2020-01-14,114.99,114.68,116.22,115.49,723378
61,2020-01-13,115.77,114.4525,115.77,115.09,704540
62,2020-01-10,116.6,115.81,116.6,115.85,917397
63,2020-01-09,117.31,115.88,117.38,116.01,789341
64,2020-01-08,117.75,115.71,118.55,117.01,1039377
65,2020-01-07,119.99,118.07,119.99,118.22,515338
66,2020-07-06,96.49,94.84,96.62,95.0,541268
67,2020-07-02,97.79,94.2201,97.79,95.09,658186
68,2020-07-01,93.45,93.085,97.39,96.46,1078047
69,2020-06-30,91.96,90.86,93.38,93.28,1048417
70,2020-06-29,92.81,91.255,93.9,92.81,862276
71,2020-06-26,94.02,91.245,94.13,91.51,1363143
72,2020-06-25,93.82,93.02,95.24,95.09,770936
73,2020-06-24,94.78,93.65,96.24,93.76,889871
74,2020-06-23,97.9,95.68,98.51,95.76,1040383
75,2020-06-22,98.62,98.1,100.29,100.05,584310
76,2020-06-19,102.48,98.7,102.49,98.75,860743
77,2020-06-18,100.32,99.95,102.27,100.25,395604
