,date,open,low,high,close,volume
0,2020-01-06,60.56,60.25,60.88,60.69,1503603
1,2020-01-03,60.44,60.0,61.28,60.97,1230969
2,2020-01-02,61.9,60.97,61.9,61.48,1229504
3,2020-04-06,37.62,36.86,40.06,39.78,2998626
4,2020-04-03,36.67,34.73,36.79,35.5,2223425
5,2020-04-02,35.05,35.05,37.535,36.67,4014644
6,2020-04-01,35.54,34.21,36.605,35.74,3250278
7,2020-03-31,40.67,37.35,41.41,37.71,2707502
8,2020-03-30,39.2,38.03,41.24,41.03,2128978
9,2020-03-27,39.33,38.01,40.09,39.2,2160102
10,2020-03-26,36.31,35.76,41.0,40.65,2319882
11,2020-03-25,33.6,33.03,37.33,35.8,3013946
12,2020-03-24,31.12,31.03,35.93,33.86,4428334
13,2020-03-23,34.26,29.168,35.04,29.83,4312694
14,2020-03-20,40.24,34.25,40.505,34.26,3511849
15,2020-03-19,34.88,34.47,41.03,39.44,3184641
16,2020-03-18,34.0,31.51,35.698,35.52,3517665
17,2020-03-17,39.11,35.2314,40.24,36.28,6648460
18,2020-03-16,36.4,34.6931,41.32,38.4,3962750
19,2020-03-13,47.21,43.51,47.21,46.38,3902898
20,2020-03-12,45.75,44.4101,48.94,44.53,3220840
21,2020-03-11,51.13,49.11,51.59,49.69,3044114
22,2020-03-10,50.75,48.95,52.77,52.61,2820703
23,2020-03-09,50.13,49.07,51.62,49.17,2875315
24,2020-03-06,54.7,52.81,55.54,54.58,2819769
25,2020-03-05,57.43,56.16,58.18,56.78,2079963
26,2020-03-04,58.36,58.015,59.31,59.16,1616100
27,2020-03-03,58.22,56.92,59.23,57.73,2112272
28,2020-03-02,56.28,55.54,58.19,58.19,1838481
29,2020-02-28,55.25,54.39,56.9,56.14,4502869
30,2020-02-27,56.01,53.53,58.375,56.54,3444524
31,2020-02-26,58.29,56.93,58.94,56.93,2056733
32,2020-02-25,60.13,57.81,60.65,57.96,1424278
33,2020-02-24,61.01,59.62,61.4,60.07,1309897
34,2020-02-21,63.49,62.39,63.7,62.73,1117331
35,2020-02-20,63.14,62.92,63.9,63.7,1221817
36,2020-02-19,63.4,63.26,63.6654,63.4,1000184
37,2020-02-18,63.96,63.15,63.96,63.46,1012820
38,2020-02-14,64.04,63.78,64.31,63.96,881682
39,2020-02-13,63.39,63.18,64.14,64.12,929061
40,2020-02-12,63.23,62.18,63.705,63.69,1500778
41,2020-02-11,64.67,62.88,64.75,63.08,1692198
42,2020-02-10,64.03,63.94,64.36,64.25,649444
43,2020-02-07,63.5,63.38,64.225,64.03,1339116
44,2020-02-06,64.3,63.7,64.61,63.88,1080575
45,2020-02-05,63.86,63.48,64.16,63.93,1379048
46,2020-02-04,62.81,62.64,64.08,63.43,1314324
47,2020-02-03,61.41,61.41,62.48,62.02,1035231
48,2020-01-31,61.63,60.885,61.85,61.05,1719291
49,2020-01-30,60.81,60.81,61.98,61.88,1018707
50,2020-01-29,61.7,61.245,61.7408,61.45,932710
