,date,open,low,high,close,volume
0,2020-01-06,142.14,141.25,142.68,141.26,1631847
1,2020-01-03,140.85,140.1,142.7,142.46,1254535
2,2020-01-02,142.33,141.13,142.66,141.68,1795533
3,2020-04-06,148.39,144.74,150.0,148.75,3275741
4,2020-04-03,144.85,142.61,147.53,145.62,2117600
5,2020-04-02,137.5,136.06,146.97,146.37,3240044
6,2020-04-01,137.67,133.8,140.23,137.59,2519228
7,2020-03-31,145.95,141.79,147.81,144.4,3082473
8,2020-03-30,140.5,139.3,148.66,148.06,2934600
9,2020-03-27,139.42,135.17,141.8,136.89,3220074
10,2020-03-26,128.0,128.0,143.74,142.47,4093343
11,2020-03-25,122.97,121.67,134.98,127.96,3121908
12,2020-03-24,121.83,114.18,124.4,123.71,4397392
13,2020-03-23,126.8,115.65,128.69,116.98,4029342
14,2020-03-20,129.31,125.6,136.5,128.06,5346445
15,2020-03-19,137.91,127.25,138.12,130.75,4548244
16,2020-03-18,141.16,131.11,148.68,138.31,4357067
17,2020-03-17,138.7,138.21,153.26,146.87,4441323
18,2020-03-16,138.93,135.03,147.36,135.82,3833921
19,2020-03-13,149.63,143.17,158.0,155.09,3769067
20,2020-03-12,143.19,132.69,150.35,142.51,3854395
21,2020-03-11,155.08,151.29,156.11,153.85,3287286
22,2020-03-10,153.61,148.64,159.43,159.35,2944498
23,2020-03-09,152.98,148.82,155.26,150.28,3291478
24,2020-03-06,159.26,154.73,161.59,160.82,3109434
25,2020-03-05,160.81,160.1,164.12,162.24,2513900
26,2020-03-04,160.62,158.45,164.22,163.56,2384700
27,2020-03-03,156.83,155.67,162.49,158.13,4248705
28,2020-03-02,143.93,143.82,156.52,156.24,4077808
29,2020-02-28,145.13,140.71,147.97,143.29,6204100
30,2020-02-27,148.74,147.0,156.25,148.4,5822365
31,2020-02-26,163.74,162.33,165.17,162.69,2295684
32,2020-02-25,167.05,162.43,167.92,163.02,2038702
33,2020-02-24,165.35,163.5,168.49,166.36,2092400
34,2020-02-21,166.66,165.91,168.75,168.06,3006039
35,2020-02-20,165.87,165.41,167.94,166.99,2180300
36,2020-02-19,166.27,164.52,166.85,165.6,1211530
37,2020-02-18,166.05,164.88,166.26,166.21,1275300
38,2020-02-14,164.47,164.01,166.4,165.97,1424644
39,2020-02-13,163.06,162.33,164.22,163.92,1202852
40,2020-02-12,160.83,158.8,163.44,163.21,1969901
41,2020-02-11,154.34,153.37,163.51,161.03,3488258
42,2020-02-10,151.06,150.89,153.0,152.92,1583610
43,2020-02-07,151.06,150.43,151.06,150.49,1119306
44,2020-02-06,150.13,149.41,151.21,150.5,1005163
45,2020-02-05,150.27,149.31,150.76,149.96,1257900
46,2020-02-04,149.63,148.9,151.86,150.45,1264700
47,2020-02-03,150.68,148.94,150.93,149.19,1225018
48,2020-01-31,151.06,148.72,151.79,149.84,1293997
49,2020-01-30,148.63,148.58,151.24,151.13,968300
50,2020-01-29,151.8,148.91,151.97,149.05,1519400
51,2020-01-28,150.15,149.73,151.78,151.73,1539144
52,2020-01-27,149.33,148.59,150.41,150.3,1363937
53,2020-01-24,150.0,149.26,150.71,149.9,868149
54,2020-01-23,149.13,148.0,150.21,149.78,1246838
55,2020-01-22,149.01,147.98,149.2,148.69,1920130
56,2020-01-21,145.32,145.12,148.34,148.21,1650500
57,2020-01-17,145.51,144.42,146.21,145.25,2070041
58,2020-01-16,144.4,143.77,145.25,145.23,1505533
59,2020-01-15,142.16,142.12,144.44,144.05,1431600
60,2020-01-14,142.95,141.05,143.48,141.95,1667100
61,2020-01-13,142.92,142.65,143.85,143.29,1743315
62,2020-01-10,140.4,140.2,142.56,142.4,2760400
63,2020-01-09,139.2,139.17,140.77,140.25,1534400
64,2020-01-08,139.01,138.59,139.91,139.45,2644600
65,2020-01-07,141.0,138.16,141.42,138.87,1668737
66,2020-07-06,178.61,172.37,180.0,174.3,3263252
67,2020-07-02,173.72,169.69,174.0,170.72,2253925
68,2020-07-01,167.93,167.21,173.09,171.89,1780979
69,2020-06-30,162.94,162.84,167.99,167.35,2003100
70,2020-06-29,163.19,160.67,163.49,162.3,1402700
71,2020-06-26,164.41,160.68,164.83,161.33,2750571
72,2020-06-25,162.24,160.76,164.89,164.72,1302823
73,2020-06-24,164.0,159.15,165.84,162.1,2054600
74,2020-06-23,167.12,165.35,167.78,165.53,1727480
75,2020-06-22,169.48,165.27,170.0,166.34,2747876
76,2020-06-19,167.36,165.32,170.79,170.45,5207000
77,2020-06-18,168.17,164.33,168.88,165.25,1982300
78,2020-06-17,171.36,169.37,172.24,169.45,2422700
79,2020-06-16,172.0,166.65,172.0,169.59,2053252
80,2020-06-15,161.34,161.2,167.83,167.57,3734053
81,2020-06-12,164.79,162.5,165.7,164.37,1941300
82,2020-06-11,170.05,160.47,171.62,160.72,3072264
83,2020-06-10,174.22,171.68,175.74,174.09,1858300
84,2020-06-09,172.36,172.08,176.61,174.34,1717890
85,2020-06-08,168.0,168.0,173.17,172.83,1958503
86,2020-06-05,169.74,166.51,170.55,168.6,3265854
87,2020-06-04,173.53,166.11,174.28,167.65,1942049
88,2020-06-03,176.56,173.93,176.85,174.56,1917740
89,2020-06-02,174.92,172.15,175.95,174.55,3183300
90,2020-06-01,171.74,169.6,175.62,173.77,2907130
91,2020-05-29,168.12,166.56,172.54,172.16,3286333
92,2020-05-28,165.03,163.96,169.2,168.79,2437059
93,2020-05-27,159.84,158.09,163.07,163.06,1690831
94,2020-05-26,160.82,156.8,161.17,159.59,2657319
95,2020-05-22,151.55,149.95,156.88,156.2,1874247
96,2020-05-21,152.2,148.38,152.76,150.83,2254200
97,2020-05-20,153.52,151.36,154.19,152.36,1817005
98,2020-05-19,155.7,152.5,156.02,152.56,1349800
99,2020-05-18,153.25,152.97,157.45,156.4,2565900
100,2020-05-15,151.43,147.56,152.7,150.14,2593917
101,2020-05-14,152.76,149.52,152.81,152.04,1718510
102,2020-05-13,154.16,152.56,158.56,153.19,2143773
