,date,open,low,high,close,volume
0,2020-01-06,49.35,48.27,49.4,48.38,6750927
1,2020-01-03,50.05,49.565,50.4,49.89,4974680
2,2020-01-02,51.35,50.725,51.67,51.31,4253997
3,2020-04-06,9.28,9.14,10.96,10.21,197107041
4,2020-04-03,8.29,8.02,8.74,8.49,125959070
5,2020-04-02,8.005,7.8,8.53,7.97,262061554
6,2020-04-01,12.6,8.61,12.61,8.8,183451388
7,2020-03-31,10.95,10.95,14.55,13.17,113295279
8,2020-03-30,13.44,11.71,13.47,12.8,46975305
9,2020-03-27,16.0,14.05,16.16,14.41,65451986
10,2020-03-26,15.5,15.05,19.14,17.82,98417563
11,2020-03-25,15.05,13.12,17.07,15.55,79603619
12,2020-03-24,14.06,13.1,16.68,13.68,65846511
13,2020-03-23,11.27,10.61,12.45,12.0,53444448
14,2020-03-20,11.09,10.6,13.81,12.0,81250624
15,2020-03-19,9.13,8.6,10.4,10.0,53428682
16,2020-03-18,11.16,7.9,11.55,9.3,70664692
17,2020-03-17,14.77,12.08,14.89,12.71,42109841
18,2020-03-16,15.05,14.5,17.9,14.57,50812249
19,2020-03-13,18.34,15.01,18.46,17.58,56431050
20,2020-03-12,17.91,14.7,22.5,14.97,48231098
21,2020-03-11,22.89,20.4102,23.7,21.75,38655601
22,2020-03-10,23.51,20.195,24.18,24.02,46100863
23,2020-03-09,24.44,21.51,24.75,21.74,34317771
24,2020-03-06,26.91,26.1,29.2981,27.15,30151970
25,2020-03-05,30.91,27.65,30.91,27.87,33419408
26,2020-03-04,32.25,30.9,32.46,32.46,19695641
27,2020-03-03,33.02,31.16,33.34,31.83,20066509
28,2020-03-02,32.71,31.245,33.06,33.06,20105953
29,2020-02-28,31.23,31.06,33.5,33.46,25096272
30,2020-02-27,32.65,30.19,33.7,31.85,31764675
31,2020-02-26,36.17,32.38,36.19,33.14,23741845
32,2020-02-25,38.0,35.67,38.11,35.84,16337158
33,2020-02-24,39.38,37.76,39.75,37.76,15875577
34,2020-02-21,42.11,41.645,42.1948,41.69,8208288
35,2020-02-20,42.62,42.19,42.86,42.5,5424587
36,2020-02-19,42.56,42.53,43.44,43.34,4727175
37,2020-02-18,42.6,42.53,42.97,42.92,6347854
38,2020-02-14,43.07,42.5,43.12,42.6,4069137
39,2020-02-13,43.26,42.76,43.6,43.2,6757298
40,2020-02-12,43.23,43.08,44.44,44.06,6995651
41,2020-02-11,42.11,42.04,43.2889,42.95,5880404
42,2020-02-10,42.08,41.665,42.4014,41.78,4913942
43,2020-02-07,42.98,41.9801,43.03,42.2,11354399
44,2020-02-06,44.63,43.74,44.82,43.78,4587301
45,2020-02-05,44.36,43.915,45.04,44.14,6760217
46,2020-02-04,44.22,43.38,44.41,43.56,6276480
47,2020-02-03,43.75,42.1,44.11,42.75,8408647
48,2020-01-31,44.99,43.21,45.16,43.53,12001977
49,2020-01-30,43.76,43.76,45.79,44.75,15063051
