,date,open,low,high,close,volume
0,2020-01-06,69.98,69.65,70.9706,70.85,1545015
1,2020-01-03,70.54,70.055,70.99,70.42,1317580
2,2020-01-02,70.18,69.59,71.44,71.44,1410679
3,2020-04-06,67.52,65.92,69.77,69.42,2332714
4,2020-04-03,65.05,63.74,66.72,63.93,2554884
5,2020-04-02,64.24,63.9215,67.07,65.93,2959094
6,2020-04-01,63.43,62.9188,66.51,65.24,2824123
7,2020-03-31,66.11,65.34,67.47,66.04,3451353
8,2020-03-30,62.68,62.38,67.38,66.91,2514340
9,2020-03-27,64.46,61.73,65.55,62.28,2228379
10,2020-03-26,61.91,61.39,67.12,66.94,2781505
11,2020-03-25,63.06,60.93,64.5997,61.35,3940095
12,2020-03-24,58.93,58.21,63.95,63.34,4180242
13,2020-03-23,55.0,53.16,57.88,55.86,2954056
14,2020-03-20,56.9,54.57,58.56,55.08,3393464
15,2020-03-19,53.74,52.1501,57.61,55.72,2584943
16,2020-03-18,55.0,51.39,55.715,54.32,3137559
17,2020-03-17,55.88,53.39,59.105,58.94,2719479
18,2020-03-16,55.76,54.1,57.98,54.6,3071610
19,2020-03-13,59.28,55.5,62.47,62.47,3988535
20,2020-03-12,58.06,56.82,62.64,56.94,4756622
21,2020-03-11,61.3,60.38,62.71,62.23,2918503
22,2020-03-10,61.28,59.855,62.92,62.92,2809853
23,2020-03-09,61.68,58.05,64.17,59.75,2793602
24,2020-03-06,64.7,62.98,65.82,64.73,3361030
25,2020-03-05,67.79,66.825,69.62,67.84,2163703
26,2020-03-04,67.64,67.23,70.39,70.27,2364362
27,2020-03-03,67.87,65.47,68.81,66.23,3162806
28,2020-03-02,66.66,65.01,68.38,68.36,2711129
29,2020-02-28,63.51,63.24,66.31,66.14,4698593
30,2020-02-27,66.75,65.655,68.56,65.84,2678906
31,2020-02-26,69.1,68.18,70.055,68.88,2477323
32,2020-02-25,71.9,68.18,72.27,68.45,2648279
33,2020-02-24,71.95,70.87,73.27,71.39,2361985
34,2020-02-21,75.96,74.18,76.58,74.73,1550286
35,2020-02-20,79.46,76.045,79.46,76.97,2394522
36,2020-02-19,79.0,78.88,80.4,80.02,2212033
37,2020-02-18,78.18,78.05,79.0,78.58,1539986
38,2020-02-14,79.56,78.3616,79.685,78.76,1329662
39,2020-02-13,77.0,75.27,79.59,79.25,3253163
40,2020-02-12,76.0,75.83,77.22,77.1,1932799
41,2020-02-11,75.04,74.68,75.88,75.71,1419563
42,2020-02-10,73.35,72.98,74.66,74.63,1302935
43,2020-02-07,74.02,73.51,74.4,73.55,1157696
44,2020-02-06,74.91,74.38,75.36,74.54,911612
45,2020-02-05,75.39,73.845,75.39,74.32,1666772
46,2020-02-04,73.96,73.68,74.78,74.42,1371951
47,2020-02-03,72.49,72.46,73.24,72.83,1405907
48,2020-01-31,72.86,71.36,73.05,72.11,2452577
49,2020-01-30,72.46,72.1,73.21,73.16,1033191
50,2020-01-29,74.5,73.045,74.645,73.14,1241457
51,2020-01-28,73.09,72.88,74.51,74.18,1298063
52,2020-01-27,72.49,71.76,73.28,72.62,1259934
53,2020-01-24,75.94,74.07,76.31,74.58,957074
54,2020-01-23,74.92,74.2,75.55,75.42,994593
55,2020-01-22,75.0,74.51,75.36,74.8,1156576
56,2020-01-21,73.41,73.23,74.87,74.6,1630817
57,2020-01-17,73.38,72.65,73.835,73.73,1893491
58,2020-01-16,72.33,72.03,73.07,73.06,1242118
59,2020-01-15,72.65,71.66,73.1,71.94,1333647
60,2020-01-14,73.4,72.41,73.47,72.605,1023815
61,2020-01-13,73.53,72.95,73.95,73.39,1156423
62,2020-01-10,73.4,72.665,73.58,73.03,949972
63,2020-01-09,72.82,72.56,73.69,73.36,1514381
64,2020-01-08,71.28,70.96,72.76,72.28,1763077
65,2020-01-07,70.46,69.94,71.28,71.07,1664687
66,2020-07-06,99.53,98.51,100.8,98.74,1773405
67,2020-07-02,97.38,96.93,98.81,97.82,2087942
68,2020-07-01,95.7,95.23,97.68,97.07,2359951
69,2020-06-30,94.45,94.07,96.56,95.96,1971433
70,2020-06-29,93.3,91.43,94.12,94.03,1825170
71,2020-06-26,93.0,91.76,94.57,93.84,3763597
72,2020-06-25,92.66,90.05,92.74,92.66,3256737
73,2020-06-24,94.32,91.8,95.12,91.99,1783714
74,2020-06-23,95.05,94.29,95.285,94.545,2082139
75,2020-06-22,92.4,91.86,94.54,94.46,1487900
76,2020-06-19,94.98,91.66,95.21,91.9,3048645
