,date,open,low,high,close,volume
0,2020-01-06,141.0,140.29,141.65,141.08,1014886
1,2020-01-03,141.99,141.81,143.44,142.15,883200
2,2020-01-02,144.49,141.78,144.49,143.88,1333700
3,2020-04-06,92.64,91.3,96.29,95.84,1196312
4,2020-04-03,87.44,85.88,89.77,86.89,1125100
5,2020-04-02,86.63,85.78,89.29,87.97,1439900
6,2020-04-01,89.32,88.01,92.67,88.83,1531872
7,2020-03-31,96.44,92.46,98.41,93.27,2153553
8,2020-03-30,92.01,91.82,97.75,96.91,932545
9,2020-03-27,95.86,92.52,97.8,93.75,1361920
10,2020-03-26,91.5,90.01,101.9,101.06,1577432
11,2020-03-25,92.66,90.41,96.79,91.91,1747034
12,2020-03-24,90.24,88.8,95.48,93.83,2191156
13,2020-03-23,78.38,73.39,87.0,85.6,2204200
14,2020-03-20,89.66,79.33,91.03,79.56,1903544
15,2020-03-19,84.06,78.76,89.45,88.27,1873200
16,2020-03-18,80.99,75.2,88.58,84.39,2121326
17,2020-03-17,88.68,84.36,89.47,87.28,2125000
18,2020-03-16,88.06,85.01,91.58,86.97,2461034
19,2020-03-13,96.52,92.51,101.38,101.3,2292400
20,2020-03-12,96.01,91.25,101.38,91.47,2756300
21,2020-03-11,100.37,100.37,104.64,102.87,2892909
22,2020-03-10,102.18,99.08,104.09,104.09,2157500
23,2020-03-09,102.15,98.19,105.52,98.21,2728923
24,2020-03-06,108.96,108.32,112.01,111.58,1572900
25,2020-03-05,115.99,111.68,116.77,113.81,1623100
26,2020-03-04,117.81,115.94,119.26,119.19,1301800
27,2020-03-03,118.15,113.87,120.91,115.61,1656500
28,2020-03-02,115.36,113.13,119.98,119.98,2087718
29,2020-02-28,113.29,110.92,117.87,114.22,2984813
30,2020-02-27,121.74,116.04,121.98,116.08,1969178
31,2020-02-26,125.79,124.68,129.17,124.84,1319600
32,2020-02-25,130.34,124.75,131.07,125.15,1291717
33,2020-02-24,131.39,128.36,132.87,129.54,1441200
34,2020-02-21,137.37,133.15,138.3,133.91,960149
35,2020-02-20,136.53,135.76,138.44,138.24,667900
36,2020-02-19,135.27,135.08,137.36,136.63,667000
37,2020-02-18,137.47,133.33,137.66,134.87,1003200
38,2020-02-14,137.94,137.06,138.96,138.29,1292600
39,2020-02-13,135.3,134.89,137.31,137.28,1034100
40,2020-02-12,136.0,135.69,137.56,136.59,1028507
41,2020-02-11,134.31,133.33,136.18,135.97,1228320
42,2020-02-10,132.71,132.5,134.07,133.99,920042
43,2020-02-07,134.41,131.17,134.49,132.66,1354577
44,2020-02-06,134.51,133.68,138.45,134.64,1186718
45,2020-02-05,137.22,134.89,137.49,136.04,1124335
46,2020-02-04,134.47,133.99,136.24,136.15,1068800
47,2020-02-03,130.74,130.54,133.76,132.89,1618159
48,2020-01-31,133.39,129.92,133.72,130.45,1173061
49,2020-01-30,133.24,132.73,134.72,133.83,975104
