,date,open,low,high,close,volume
0,2022-04-04,58.36,57.53,58.7,58.38,1885309
1,2022-04-01,56.36,55.7,58.3,58.02,2156500
2,2022-03-31,58.34,55.78,59.08,56.25,3817665
3,2022-03-30,56.17,55.7,57.79,57.5,1934119
4,2022-03-29,57.0,54.63,57.39,56.33,2201300
5,2022-03-28,54.38,54.05,56.85,56.78,3127207
6,2022-03-25,52.24,52.03,53.82,53.8,2441200
7,2022-03-24,51.18,50.77,52.58,52.41,2335200
8,2022-03-23,50.7,50.7,51.77,50.99,2396297
9,2022-03-22,50.35,50.01,52.05,51.14,3841909
10,2022-03-21,48.91,48.6,49.43,49.22,2452000
11,2022-03-18,50.65,48.88,51.41,49.01,9663926
12,2022-03-17,51.88,50.91,52.71,50.99,2244600
13,2022-03-16,51.71,50.35,52.4,51.77,2989800
14,2022-03-15,51.34,49.9,51.59,51.29,2117498
15,2022-03-14,51.86,48.59,51.86,50.95,2916600
16,2022-03-11,51.42,48.29,51.84,49.32,3034100
17,2022-03-10,50.57,49.27,51.64,51.32,2692839
18,2022-03-09,52.44,50.59,53.68,51.33,3050627
19,2022-03-08,51.18,50.85,55.32,52.32,3873722
20,2022-03-07,51.06,49.87,52.58,51.65,2727118
21,2022-03-04,49.17,48.25,51.04,51.0,2544707
22,2022-03-03,49.82,47.55,50.33,49.52,2072389
23,2022-03-02,48.0,47.33,50.3,49.46,3517100
24,2022-03-01,45.62,45.35,48.05,47.79,4212900
25,2022-02-28,43.3,42.46,46.62,45.98,5534951
26,2022-02-25,44.3,43.74,44.93,43.91,2040943
27,2022-02-24,43.15,42.22,44.59,44.32,2447912
28,2022-02-23,43.69,42.18,43.99,43.09,2791223
29,2022-02-22,45.41,43.49,45.68,43.54,2611185
30,2022-02-18,45.15,44.8,45.9,45.41,2018700
31,2022-02-17,46.32,45.19,47.08,45.29,3142600
32,2022-02-16,47.72,46.95,48.47,47.2,5855330
33,2022-02-15,47.7,47.2,48.45,48.0,2359830
34,2022-02-14,48.19,46.99,49.0,48.11,2155058
35,2022-02-11,46.76,46.06,48.91,48.09,3456845
36,2022-02-10,45.51,45.38,48.5,47.05,2450000
37,2022-02-09,44.75,43.88,47.45,47.31,4393344
38,2022-02-08,45.13,44.17,47.56,45.5,7277500
39,2022-02-07,50.0,46.0,50.04,46.07,9432628
40,2022-02-04,52.6,50.12,54.33,50.14,6757988
41,2022-02-03,52.19,50.3,56.57,53.62,8425500
42,2022-02-02,50.03,49.8,56.23,53.01,23860902
43,2022-02-01,47.5,47.05,50.0,49.78,298808
44,2022-01-31,46.0,46.0,48.0,48.0,71314
45,2022-01-28,44.55,44.15,47.6,46.75,43609
46,2022-01-27,47.26,43.75,49.62,45.76,151618
47,2022-01-26,45.01,42.25,45.06,43.22,90760
