,date,open,low,high,close,volume
0,2020-01-06,45.75,45.02,46.22,46.0,2283300
1,2020-01-03,46.37,45.97,47.21,46.08,2349600
2,2020-01-02,48.19,46.03,48.19,46.4,2653500
3,2020-04-06,27.24,27.0,27.97,27.5,4857706
4,2020-04-03,26.19,25.44,26.36,25.77,2670226
5,2020-04-02,26.0,25.26,28.2,25.7,3539600
6,2020-04-01,25.91,25.58,26.73,25.85,4352024
7,2020-03-31,26.56,26.56,28.0,27.2,3959000
8,2020-03-30,25.51,25.1,26.93,26.62,3062400
9,2020-03-27,27.14,25.41,27.14,25.55,2497912
10,2020-03-26,27.33,26.85,28.96,28.25,3512822
11,2020-03-25,26.0,25.26,28.89,27.02,4271436
12,2020-03-24,23.14,22.53,25.78,25.62,3700874
13,2020-03-23,22.18,21.43,22.91,22.04,2874000
14,2020-03-20,23.53,21.96,24.3,22.25,4254906
15,2020-03-19,21.04,20.42,23.9,22.98,3167000
16,2020-03-18,22.29,19.73,23.5,21.14,4980100
17,2020-03-17,24.88,22.89,25.43,24.15,4179700
18,2020-03-16,24.0,23.81,26.48,24.0,4077900
19,2020-03-13,25.6,23.23,27.7,27.68,4127137
20,2020-03-12,25.9,23.85,26.89,24.42,3919300
21,2020-03-11,30.04,27.9,30.24,28.34,5032900
22,2020-03-10,32.64,29.32,32.86,30.73,6353500
23,2020-03-09,34.41,31.13,34.81,31.17,4896951
24,2020-03-06,37.2,36.09,37.49,36.84,3800800
25,2020-03-05,37.61,37.42,38.23,37.99,3076715
26,2020-03-04,38.51,38.05,38.94,38.75,3329037
27,2020-03-03,37.82,37.23,39.01,38.14,4247025
28,2020-03-02,37.28,36.98,38.27,38.22,4818900
29,2020-02-28,35.22,35.18,36.99,36.86,4338998
30,2020-02-27,36.5,35.92,37.68,36.13,4420209
31,2020-02-26,37.93,36.96,38.75,37.06,3028806
32,2020-02-25,39.01,37.43,39.5,37.64,3288004
33,2020-02-24,38.41,37.71,39.3,38.83,3445126
34,2020-02-21,39.83,39.32,40.18,39.35,2065724
35,2020-02-20,39.58,39.39,40.6,39.48,2972542
36,2020-02-19,38.16,38.16,40.04,39.38,3313116
37,2020-02-18,38.01,37.58,38.46,38.16,5994137
38,2020-02-14,38.12,38.0,40.04,38.3,5653815
39,2020-02-13,41.3,39.18,41.41,39.34,4897008
40,2020-02-12,42.2,41.31,42.26,41.61,2376507
41,2020-02-11,41.91,41.75,42.65,42.17,1929774
42,2020-02-10,41.7,41.44,42.57,41.67,2085300
43,2020-02-07,41.88,41.7,42.21,42.17,1679932
44,2020-02-06,42.87,42.17,42.93,42.25,2801100
45,2020-02-05,41.69,41.33,42.76,42.71,2784800
46,2020-02-04,40.28,40.08,41.17,41.07,2297400
47,2020-02-03,40.27,39.41,40.84,39.75,2850520
48,2020-01-31,40.26,40.06,40.49,40.28,2051132
49,2020-01-30,40.04,39.9,40.76,40.68,1964800
50,2020-01-29,40.16,40.08,40.84,40.27,1912944
51,2020-01-28,39.74,39.25,40.16,39.95,2371600
52,2020-01-27,39.92,39.33,40.25,39.42,2633971
53,2020-01-24,42.48,40.91,42.49,40.93,2503800
54,2020-01-23,42.03,41.29,42.68,42.5,2973400
55,2020-01-22,44.01,41.92,44.32,42.71,5417804
56,2020-01-21,45.86,44.21,45.86,44.25,2183200
57,2020-01-17,45.96,45.48,46.33,46.14,2871620
58,2020-01-16,45.48,45.09,45.94,45.89,1273521
59,2020-01-15,45.32,45.3,46.07,45.65,1268200
60,2020-01-14,45.22,45.22,46.0,45.42,1259888
61,2020-01-13,44.91,44.5,45.44,45.34,1500900
62,2020-01-10,45.5,44.64,45.77,44.77,2206800
63,2020-01-09,45.94,44.79,45.96,45.57,1762600
64,2020-01-08,45.37,45.02,45.93,45.79,2121500
65,2020-01-07,45.73,45.56,46.42,45.58,1945072
66,2020-07-06,30.07,29.29,30.35,29.76,2037000
67,2020-07-02,29.22,29.02,29.89,29.38,1956800
68,2020-07-01,28.23,28.17,29.21,28.54,2582000
69,2020-06-30,27.29,26.96,28.33,28.14,2901917
70,2020-06-29,27.73,27.33,27.95,27.55,2023500
71,2020-06-26,27.3,27.19,27.79,27.45,3512800
72,2020-06-25,27.58,26.97,27.91,27.54,3506700
73,2020-06-24,29.19,27.79,29.3,27.84,2011501
74,2020-06-23,30.55,29.51,30.6,29.8,2538687
75,2020-06-22,29.61,29.15,30.29,30.15,1782700
76,2020-06-19,30.73,29.63,30.73,29.89,2920900
77,2020-06-18,29.87,29.63,30.52,29.99,1827910
78,2020-06-17,31.07,30.03,31.07,30.23,1527300
79,2020-06-16,31.1,29.81,31.1,30.81,2284300
80,2020-06-15,28.34,28.05,29.71,29.43,1625714
81,2020-06-12,29.47,28.43,29.73,29.4,1650032
82,2020-06-11,29.25,27.69,29.71,28.14,2749623
83,2020-06-10,31.87,30.85,31.93,30.88,2391228
84,2020-06-09,32.16,31.51,32.4,31.93,2126202
85,2020-06-08,33.4,32.73,34.05,32.98,2610200
86,2020-06-05,33.16,32.55,33.53,32.72,2757825
87,2020-06-04,31.66,31.02,32.07,31.75,1781243
88,2020-06-03,31.41,31.4,32.32,31.91,2322345
89,2020-06-02,29.76,29.76,31.12,30.91,3898000
90,2020-06-01,29.25,28.93,29.96,29.59,1628147
91,2020-05-29,28.91,28.68,29.77,29.37,2673430
92,2020-05-28,30.39,29.09,30.43,29.24,1817575
93,2020-05-27,30.05,29.53,30.36,29.97,1832418
94,2020-05-26,28.25,28.25,29.48,29.16,2787225
95,2020-05-22,27.65,27.27,27.78,27.59,1487247
96,2020-05-21,27.5,27.31,27.86,27.7,2005800
97,2020-05-20,27.5,27.26,27.97,27.51,2607416
98,2020-05-19,26.57,25.82,27.84,27.19,3498325
99,2020-05-18,26.09,25.96,26.95,26.39,4787426
100,2020-05-15,24.42,24.13,24.83,24.82,3761800
101,2020-05-14,23.71,23.05,24.65,24.63,5888300
102,2020-05-13,26.02,24.4,26.33,24.59,2611629
103,2020-05-12,27.38,26.05,27.85,26.09,2324600
104,2020-05-11,26.67,26.35,27.61,27.46,2805906
105,2020-05-08,28.1,28.06,29.2,29.03,1875204
106,2020-05-07,28.2,27.41,28.84,27.54,3241800
107,2020-05-06,27.38,26.25,27.72,26.27,1400144
108,2020-05-05,26.95,26.77,28.12,27.31,2488612
109,2020-05-04,25.95,25.45,26.33,26.28,2530400
110,2020-05-01,26.98,25.99,27.06,26.61,2404500
111,2020-04-30,28.64,27.29,28.64,27.5,3258330
112,2020-04-29,29.14,28.76,29.68,29.01,3109215
113,2020-04-28,29.0,27.69,29.13,28.04,2879644
114,2020-04-27,27.91,27.79,28.66,28.37,1503714
115,2020-04-24,28.23,27.45,28.46,28.0,2659312
116,2020-04-23,27.84,27.49,28.75,27.85,2631015
117,2020-04-22,27.66,26.56,27.66,27.31,3398700
118,2020-04-21,26.6,26.34,27.31,26.86,2592133
119,2020-04-20,27.38,27.03,28.48,27.55,3636300
120,2020-04-17,28.03,27.72,28.87,28.29,5346800
121,2020-04-16,28.03,26.56,28.35,26.92,3233164
122,2020-04-15,28.67,27.6,28.88,28.12,2585347
123,2020-04-14,30.47,29.3,30.98,30.05,2393221
124,2020-04-13,30.52,29.34,31.06,29.91,3892400
125,2020-04-09,30.69,30.24,32.17,31.01,4559894
126,2020-04-08,29.02,29.02,30.0,29.84,2977500
127,2020-04-07,29.12,28.23,30.39,28.96,5101400
128,2020-10-05,30.75,30.72,31.77,31.53,1586339
129,2020-10-02,29.49,29.3,30.85,30.57,1552800
130,2020-10-01,30.62,29.77,30.89,29.88,1981115
131,2020-09-30,30.04,29.99,31.08,30.71,2333832
132,2020-09-29,30.9,29.77,30.9,29.86,1600500
133,2020-09-28,31.15,30.89,31.5,30.95,1434298
134,2020-09-25,30.4,29.97,30.58,30.42,2000325
135,2020-09-24,30.75,30.12,31.09,30.69,1910102
136,2020-09-23,31.15,30.9,31.94,30.92,2006400
