,date,open,low,high,close,volume
0,2020-01-06,39.8,39.22,39.8,39.7,2743512
1,2020-01-03,40.0,39.54,40.16,39.91,2768122
2,2020-01-02,40.72,40.19,40.78,40.75,2903807
3,2020-04-06,18.24,17.97,19.13,18.79,7725152
4,2020-04-03,17.29,16.58,17.79,16.94,4616937
5,2020-04-02,17.2,16.91,18.35,17.42,7065605
6,2020-04-01,17.48,16.96,17.79,17.3,5805636
7,2020-03-31,19.42,18.41,19.97,18.81,6219926
8,2020-03-30,19.62,18.74,19.85,19.65,6643100
9,2020-03-27,19.38,19.04,20.74,19.96,7036632
10,2020-03-26,17.93,17.57,20.96,20.72,10042875
11,2020-03-25,18.21,17.12,18.7,17.71,11161515
12,2020-03-24,17.45,16.47,17.81,17.8,7612437
13,2020-03-23,17.68,15.39,17.68,15.87,7120900
14,2020-03-20,17.76,16.5,18.48,17.52,18780141
15,2020-03-19,14.7,14.57,18.18,17.37,8480244
16,2020-03-18,17.67,14.12,18.09,15.32,8283300
17,2020-03-17,19.01,16.88,19.66,19.11,9620000
18,2020-03-16,19.62,18.51,20.5,18.51,8466419
19,2020-03-13,23.45,21.53,23.85,23.66,9329476
20,2020-03-12,21.61,20.14,23.37,21.25,9385447
21,2020-03-11,24.45,22.86,24.83,23.34,12082010
22,2020-03-10,24.12,23.37,25.53,25.41,11835318
23,2020-03-09,24.97,22.24,24.97,22.76,9957600
24,2020-03-06,28.28,27.48,29.16,27.98,8335970
25,2020-03-05,30.56,29.37,30.73,29.77,8732500
26,2020-03-04,31.66,30.46,31.86,31.71,8414500
27,2020-03-03,33.04,31.01,33.58,31.15,10007431
28,2020-03-02,31.68,31.16,33.34,33.32,8307823
29,2020-02-28,31.51,30.91,32.32,31.69,12008100
30,2020-02-27,32.7,32.2,33.79,32.44,7734300
31,2020-02-26,34.7,33.62,34.8,33.69,6767200
32,2020-02-25,35.99,34.3,36.08,34.44,6157483
33,2020-02-24,36.29,35.85,36.44,36.06,4538500
34,2020-02-21,38.43,37.43,38.49,37.61,3261200
35,2020-02-20,38.13,38.12,38.94,38.78,3906700
36,2020-02-19,38.16,37.9,38.55,38.35,4542100
37,2020-02-18,38.29,37.62,38.55,37.96,4455732
38,2020-02-14,38.87,38.43,39.03,38.67,2089129
39,2020-02-13,38.68,38.54,38.95,38.95,3005600
40,2020-02-12,39.29,38.73,39.46,38.88,2068300
41,2020-02-11,38.7,38.59,39.27,39.0,2716848
42,2020-02-10,38.2,38.13,38.54,38.49,2980100
43,2020-02-07,38.4,38.19,38.66,38.42,2354900
44,2020-02-06,39.82,38.69,39.87,38.72,3180700
45,2020-02-05,38.96,38.84,39.55,39.51,2963200
46,2020-02-04,38.52,38.24,38.92,38.29,2855700
47,2020-02-03,37.61,37.6,38.05,37.68,4277200
48,2020-01-31,37.39,37.03,37.73,37.28,5991000
49,2020-01-30,37.15,37.11,37.99,37.91,9265000
50,2020-01-29,38.08,37.57,38.3,37.62,2555421
51,2020-01-28,37.95,37.67,38.41,38.01,3714605
52,2020-01-27,38.14,38.02,38.64,38.1,4654900
53,2020-01-24,39.75,38.75,39.86,39.13,4790135
54,2020-01-23,39.95,39.32,40.1,39.86,4050100
55,2020-01-22,40.24,40.05,40.44,40.15,5494838
56,2020-01-21,40.62,40.04,40.67,40.09,4493332
57,2020-01-17,40.79,40.23,41.29,40.87,7556300
58,2020-01-16,39.3,39.1,39.73,39.59,5874097
59,2020-01-15,39.53,38.79,39.55,38.98,4466200
60,2020-01-14,39.85,39.63,40.15,40.01,2887523
61,2020-01-13,39.58,39.35,39.97,39.86,3404521
62,2020-01-10,40.05,39.46,40.08,39.52,2004015
63,2020-01-09,40.06,39.8,40.17,40.02,2667423
64,2020-01-08,39.49,39.46,40.02,39.76,5653813
65,2020-01-07,39.53,39.28,39.8,39.45,3267274
66,2020-07-06,24.4,23.92,24.93,24.27,3902669
67,2020-07-02,25.01,23.64,25.14,23.76,6692300
68,2020-07-01,25.23,24.01,25.23,24.23,4898216
69,2020-06-30,23.38,23.31,25.41,25.24,8059510
70,2020-06-29,23.5,23.04,23.79,23.53,7956700
71,2020-06-26,24.57,22.82,24.6,23.16,13151700
72,2020-06-25,23.86,23.61,25.39,25.26,5413348
73,2020-06-24,25.33,23.96,25.4,24.08,5363900
74,2020-06-23,25.99,25.63,26.47,25.8,4733800
75,2020-06-22,25.02,24.88,25.79,25.43,4647700
76,2020-06-19,26.76,25.03,26.76,25.35,16909100
77,2020-06-18,25.97,25.78,26.89,26.15,4455901
78,2020-06-17,27.25,26.28,27.42,26.37,4287317
79,2020-06-16,28.28,26.41,28.45,27.24,6395017
80,2020-06-15,24.32,24.27,26.89,26.65,5615174
81,2020-06-12,26.2,24.59,26.29,25.82,4725300
82,2020-06-11,25.0,24.34,26.07,24.48,7522952
83,2020-06-10,29.11,27.17,29.24,27.25,8988228
84,2020-06-09,28.87,28.5,30.1,29.51,5588902
85,2020-06-08,30.63,29.48,31.07,30.41,10600747
86,2020-06-05,31.36,29.03,32.98,29.25,10055612
87,2020-06-04,26.66,26.4,28.47,28.46,6025800
88,2020-06-03,26.12,25.95,27.17,26.82,6353900
89,2020-06-02,25.24,24.83,25.69,25.12,5090200
90,2020-06-01,24.42,24.13,25.05,24.73,3228200
91,2020-05-29,23.98,23.74,24.59,24.1,6825592
92,2020-05-28,26.11,24.57,26.18,24.66,4996132
93,2020-05-27,25.89,24.29,26.16,25.63,7129961
94,2020-05-26,22.72,22.67,24.41,23.91,7724300
95,2020-05-22,21.5,20.97,21.87,21.28,2651592
96,2020-05-21,21.5,21.28,21.93,21.35,4320000
97,2020-05-20,21.19,21.15,21.8,21.67,5465073
98,2020-05-19,21.3,20.59,21.5,20.67,6492044
99,2020-05-18,21.16,20.68,21.79,21.58,7479139
100,2020-05-15,19.8,19.45,20.13,19.92,4215907
101,2020-05-14,18.74,18.2,20.25,20.15,7658845
102,2020-05-13,20.0,18.68,20.03,19.33,6905816
103,2020-05-12,21.21,20.12,21.55,20.13,5207618
104,2020-05-11,21.77,20.54,21.79,21.08,6958096
105,2020-05-08,21.93,21.7,22.42,22.2,4670401
106,2020-05-07,20.89,20.89,22.06,21.25,4983612
107,2020-05-06,21.46,20.32,21.67,20.54,4197491
108,2020-05-05,21.74,21.1,22.4,21.18,5820234
109,2020-05-04,21.0,20.61,21.38,21.2,5864937
110,2020-05-01,21.63,21.09,21.73,21.42,4264551
111,2020-04-30,22.49,21.78,23.0,22.39,5290421
112,2020-04-29,23.4,22.86,23.95,23.33,6215800
113,2020-04-28,23.14,22.2,23.69,22.29,7819400
114,2020-04-27,20.84,20.78,22.66,22.43,7674934
115,2020-04-24,20.57,20.16,21.0,20.6,6454203
116,2020-04-23,19.92,19.85,20.93,20.25,5601400
117,2020-04-22,20.05,19.43,20.26,19.58,5812613
118,2020-04-21,19.32,18.95,19.94,19.29,6203998
119,2020-04-20,19.07,18.54,20.89,20.3,10178514
120,2020-04-17,17.77,17.77,20.3,19.87,12662613
121,2020-04-16,18.43,17.15,18.52,17.19,7355648
122,2020-04-15,19.1,18.5,19.27,18.58,6313944
123,2020-04-14,21.67,19.86,21.85,20.33,6596100
124,2020-04-13,22.2,20.74,22.24,21.19,4722150
125,2020-04-09,21.62,21.48,22.86,22.11,6536000
126,2020-04-08,19.92,19.72,20.66,20.53,5693776
127,2020-04-07,20.63,19.34,21.11,19.53,7126900
128,2020-10-05,26.52,26.45,27.5,27.48,4597229
129,2020-10-02,24.9,24.8,26.36,26.21,3348800
130,2020-10-01,25.46,25.14,25.71,25.43,3432300
131,2020-09-30,24.92,24.9,25.72,25.28,4933131
132,2020-09-29,25.22,24.49,25.36,24.78,2884531
133,2020-09-28,24.96,24.91,25.54,25.34,4067728
134,2020-09-25,23.58,23.54,24.52,24.43,3455203
135,2020-09-24,23.95,23.46,24.53,23.83,3597323
136,2020-09-23,24.72,23.92,25.36,23.95,4782431
137,2020-09-22,25.79,24.3,25.88,24.51,8540800
138,2020-09-21,26.31,25.67,26.72,25.83,4990125
139,2020-09-18,27.11,26.98,27.51,27.16,8947206
140,2020-09-17,27.07,26.92,27.82,27.49,7721537
141,2020-09-16,26.76,26.59,28.18,27.62,7296525
142,2020-09-15,27.96,26.68,28.0,26.69,6309800
143,2020-09-14,27.41,27.28,28.1,27.99,14720206
144,2020-09-11,26.7,26.35,27.16,27.11,7692117
145,2020-09-10,27.42,26.52,28.07,26.72,15213700
146,2020-09-09,26.83,26.49,27.41,27.13,8606414
147,2020-09-08,26.78,26.22,27.06,26.62,10854134
148,2020-09-04,27.46,26.58,27.79,27.36,5626648
149,2020-09-03,27.0,26.51,28.03,26.76,6917105
150,2020-09-02,26.11,25.9,26.99,26.79,5926504
151,2020-09-01,25.59,25.53,26.51,26.17,6890977
152,2020-08-31,26.16,25.82,26.19,25.87,6579525
153,2020-08-28,26.26,25.98,26.34,26.29,3175192
154,2020-08-27,25.42,25.2,26.23,26.01,4418316
155,2020-08-26,25.46,25.28,25.71,25.36,7896363
156,2020-08-25,25.71,25.1,25.89,25.54,4333700
157,2020-08-24,24.3,24.15,25.23,25.23,2856907
