,date,open,low,high,close,volume
0,2020-01-06,70.43,70.17,70.92,70.54,1541900
1,2020-01-03,69.6,69.54,70.42,70.27,1224237
2,2020-01-02,70.38,69.66,70.71,70.03,1424300
3,2020-04-06,68.3,68.01,69.45,68.86,1806949
4,2020-04-03,65.78,65.78,68.18,67.65,1356313
5,2020-04-02,63.08,63.08,66.74,66.27,2273900
6,2020-04-01,62.8,61.89,64.47,63.8,1537547
7,2020-03-31,64.32,63.52,65.55,64.18,2405911
8,2020-03-30,63.18,63.01,65.26,64.81,2218200
9,2020-03-27,61.99,61.29,63.53,61.97,2057800
10,2020-03-26,60.31,60.31,63.98,62.9,2229815
11,2020-03-25,61.95,59.82,63.82,60.3,2966304
12,2020-03-24,62.28,59.36,63.37,62.75,2321500
13,2020-03-23,65.62,59.78,65.77,60.87,2883719
14,2020-03-20,66.0,64.14,66.98,65.75,3647121
15,2020-03-19,69.86,65.75,70.94,66.7,2357100
16,2020-03-18,65.88,65.71,71.72,69.38,3034814
17,2020-03-17,61.88,61.7,71.87,68.69,3965129
18,2020-03-16,50.02,47.98,64.42,60.43,3875300
19,2020-03-13,65.95,62.11,66.04,63.29,4123645
20,2020-03-12,63.91,61.0,69.97,63.41,3918325
21,2020-03-11,71.15,68.0,71.88,68.41,2680900
22,2020-03-10,72.14,70.01,73.21,72.77,2095534
23,2020-03-09,70.99,70.18,73.1,70.74,1976722
24,2020-03-06,73.16,72.69,75.19,74.68,2371000
25,2020-03-05,75.23,73.81,75.65,75.03,1634600
26,2020-03-04,74.39,73.91,76.55,76.47,1907722
27,2020-03-03,75.0,72.42,75.91,73.06,2257613
28,2020-03-02,69.83,69.53,75.04,74.96,3901275
29,2020-02-28,70.21,68.05,70.98,69.52,3499100
30,2020-02-27,74.43,71.39,74.83,71.86,2229319
31,2020-02-26,74.73,74.28,75.54,74.43,1586408
32,2020-02-25,75.33,74.22,76.01,74.76,1455127
33,2020-02-24,76.39,75.39,77.0,75.51,1363400
34,2020-02-21,76.06,76.06,76.87,76.61,953642
35,2020-02-20,75.96,75.36,76.79,76.31,2126147
36,2020-02-19,76.09,75.66,76.42,75.78,1048131
37,2020-02-18,76.54,75.9,76.85,76.15,1436100
38,2020-02-14,75.89,75.69,76.46,76.43,884800
39,2020-02-13,75.49,75.43,76.43,75.72,948119
40,2020-02-12,74.55,74.55,75.92,75.68,1644243
41,2020-02-11,75.35,74.58,75.74,74.78,990915
42,2020-02-10,74.58,74.58,75.67,75.55,939900
43,2020-02-07,74.3,73.8,74.68,74.49,1170022
44,2020-02-06,74.3,73.84,74.73,73.96,916900
45,2020-02-05,74.79,74.16,74.99,74.26,1507700
46,2020-02-04,75.13,74.61,75.74,74.74,2475137
47,2020-02-03,74.73,74.58,76.38,75.11,2354602
48,2020-01-31,74.54,74.07,77.24,74.22,3679441
49,2020-01-30,72.9,71.93,73.09,72.78,2903500
50,2020-01-29,72.08,71.7,73.1,72.7,1269646
51,2020-01-28,72.14,71.52,72.76,72.02,1685402
52,2020-01-27,71.0,70.29,72.79,72.38,2708700
53,2020-01-24,71.24,70.94,71.92,71.31,2362300
54,2020-01-23,72.14,70.94,72.73,70.98,2276843
55,2020-01-22,72.63,72.09,72.65,72.22,1456612
56,2020-01-21,72.0,71.79,72.57,72.5,1951100
57,2020-01-17,71.76,71.66,72.22,72.0,2043900
58,2020-01-16,71.95,71.62,72.35,71.68,1680216
59,2020-01-15,71.33,71.33,72.35,71.84,1228007
60,2020-01-14,70.81,70.62,71.21,71.17,1766800
61,2020-01-13,70.22,70.14,71.22,70.82,1172700
62,2020-01-10,69.73,69.36,70.37,70.1,1061300
63,2020-01-09,69.22,69.13,70.19,69.75,1364000
64,2020-01-08,69.88,68.94,69.88,69.23,1699249
65,2020-01-07,70.16,69.3,70.37,69.86,1583800
66,2020-07-06,79.0,77.57,79.24,77.86,1327100
67,2020-07-02,78.39,77.82,78.85,78.29,1059400
68,2020-07-01,77.5,77.31,78.28,77.9,1308413
69,2020-06-30,76.8,76.4,77.48,77.3,1600731
70,2020-06-29,76.74,76.02,76.97,76.72,1159703
71,2020-06-26,76.97,76.06,77.48,76.15,2134020
72,2020-06-25,76.46,75.43,76.82,76.74,804000
73,2020-06-24,77.04,75.85,77.11,76.25,1337911
74,2020-06-23,77.9,77.06,78.31,77.11,1329106
75,2020-06-22,77.37,77.11,77.97,77.55,1031024
76,2020-06-19,78.87,77.39,79.09,77.52,2877900
77,2020-06-18,77.0,76.4,78.05,77.82,2188000
78,2020-06-17,75.16,75.12,76.2,75.37,1274841
79,2020-06-16,74.89,73.9,75.21,74.74,927941
80,2020-06-15,72.64,72.03,74.11,73.87,1056313
81,2020-06-12,74.58,72.82,75.08,73.08,1173101
82,2020-06-11,75.5,74.4,76.98,74.42,1549934
83,2020-06-10,75.16,74.7,76.3,75.5,1422600
84,2020-06-09,74.88,74.19,75.44,74.93,1076700
85,2020-06-08,72.88,72.76,74.89,74.75,1219800
86,2020-06-05,73.77,72.44,74.4,73.79,1906884
87,2020-06-04,74.8,73.83,75.86,74.27,866861
88,2020-06-03,76.0,75.1,76.14,75.14,1095016
89,2020-06-02,75.16,75.11,76.42,75.87,1448725
90,2020-06-01,74.99,74.62,76.0,75.3,1236000
91,2020-05-29,74.12,73.46,75.22,75.07,2025616
92,2020-05-28,73.87,73.55,74.7,74.04,1986706
93,2020-05-27,70.31,70.14,73.01,72.92,1788200
94,2020-05-26,72.2,70.07,72.2,70.3,1885400
95,2020-05-22,70.95,70.61,72.29,71.93,941700
96,2020-05-21,72.14,70.79,72.14,70.97,1050608
97,2020-05-20,72.31,71.62,72.54,72.15,1161333
98,2020-05-19,72.74,72.04,72.92,72.11,1397736
99,2020-05-18,73.75,72.42,73.96,73.09,2079830
100,2020-05-15,72.95,72.68,74.38,73.6,3582138
101,2020-05-14,73.3,71.1,73.95,72.8,1862313
102,2020-05-13,73.27,73.08,74.0,73.45,1454349
103,2020-05-12,74.35,73.21,74.5,73.38,1388307
104,2020-05-11,73.41,73.22,74.67,73.99,1426400
105,2020-05-08,73.25,72.95,73.67,73.35,1254200
106,2020-05-07,72.31,71.79,73.42,72.38,1293200
107,2020-05-06,73.4,71.77,73.8,71.85,1190800
108,2020-05-05,71.78,71.6,73.77,73.43,1578900
109,2020-05-04,71.22,70.18,72.47,71.93,1672307
110,2020-05-01,70.25,69.85,71.64,71.22,2245297
111,2020-04-30,69.11,67.64,70.93,69.99,3152140
112,2020-04-29,69.42,67.08,69.42,68.37,2194400
113,2020-04-28,70.96,68.86,71.91,69.42,1838200
114,2020-04-27,72.3,71.18,72.39,71.48,799500
115,2020-04-24,70.54,70.5,71.48,71.35,1047700
116,2020-04-23,71.27,70.22,71.93,70.66,1010909
117,2020-04-22,70.98,70.72,71.91,71.41,786000
118,2020-04-21,72.11,70.2,72.33,70.55,1361343
119,2020-04-20,73.08,72.33,74.1,72.67,1253835
120,2020-04-17,73.22,71.83,73.67,73.55,1732300
121,2020-04-16,72.64,71.25,72.97,72.65,1632501
122,2020-04-15,71.85,71.38,72.73,72.0,1550300
123,2020-04-14,70.21,68.85,72.4,72.14,2276121
124,2020-04-13,67.27,67.27,68.59,68.1,1009509
125,2020-04-09,68.35,68.09,69.98,68.39,1063540
126,2020-04-08,67.53,66.69,68.98,68.61,1147100
127,2020-04-07,68.86,66.97,69.69,67.01,1801400
128,2020-10-05,91.02,90.23,91.92,90.73,1840120
129,2020-10-02,93.16,91.06,93.31,91.17,1498750
130,2020-10-01,94.01,92.59,94.03,93.1,933914
131,2020-09-30,93.32,92.74,94.16,93.71,1297126
132,2020-09-29,93.74,92.27,94.1,92.85,1120649
133,2020-09-28,93.62,93.21,94.4,93.46,1048935
134,2020-09-25,92.34,92.1,93.09,92.95,921917
135,2020-09-24,91.71,91.49,93.45,92.59,1077308
136,2020-09-23,92.05,91.11,92.34,91.61,1083127
137,2020-09-22,89.81,89.55,92.13,91.59,1837400
138,2020-09-21,90.19,88.64,91.06,89.64,1449833
139,2020-09-18,90.37,89.6,91.79,90.32,3051040
140,2020-09-17,91.35,90.55,92.37,92.06,1139532
141,2020-09-16,92.59,91.73,93.17,91.96,1047926
142,2020-09-15,92.86,91.96,93.75,92.33,1336407
143,2020-09-14,93.55,92.43,93.6,92.72,761800
144,2020-09-11,93.36,92.17,94.03,92.87,914701
145,2020-09-10,93.96,92.72,94.72,92.89,921900
146,2020-09-09,92.74,92.74,95.12,94.04,1004700
147,2020-09-08,93.5,91.57,93.68,91.9,1313900
148,2020-09-04,94.03,92.11,94.86,93.3,1149040
149,2020-09-03,97.94,93.4,98.1,94.26,1448633
150,2020-09-02,95.53,95.5,98.96,98.16,1926636
151,2020-09-01,95.34,94.15,95.5,95.33,894822
152,2020-08-31,94.85,94.84,95.91,95.83,1260000
153,2020-08-28,95.63,94.08,96.35,94.91,1259452
154,2020-08-27,96.35,95.77,97.02,96.1,789600
155,2020-08-26,95.69,95.14,96.44,95.91,738327
156,2020-08-25,96.8,95.92,96.83,96.1,1018000
157,2020-08-24,96.17,95.6,96.64,96.63,733525
158,2020-08-21,96.89,95.95,96.99,96.5,1319714
159,2020-08-20,96.14,95.55,96.72,96.54,815112
160,2020-08-19,96.61,95.78,97.15,96.29,1008300
161,2020-08-18,96.03,95.34,96.68,96.46,1874817
162,2020-08-17,94.22,93.75,96.25,95.79,2140221
163,2020-08-14,94.94,93.99,94.94,94.26,743600
164,2020-08-13,94.32,93.61,94.81,94.75,830623
165,2020-08-12,93.27,92.95,95.34,94.83,943377
166,2020-08-11,94.54,92.25,94.54,92.71,1170407
167,2020-08-10,95.0,94.15,95.19,94.78,903633
168,2020-08-07,95.14,94.14,95.8,94.96,1352900
169,2020-08-06,95.75,94.85,96.19,95.12,1177013
170,2020-08-05,96.1,95.45,96.72,95.83,1342099
171,2020-08-04,92.96,92.56,96.4,96.05,1929700
172,2020-08-03,95.19,91.86,95.86,93.41,3076461
173,2020-07-31,93.77,92.04,96.4,96.33,4193050
174,2020-07-30,89.3,88.68,90.45,90.06,2215661
175,2020-07-29,88.22,87.81,89.56,89.31,1338700
176,2020-07-28,87.45,87.11,88.81,88.21,1146841
177,2020-07-27,86.18,85.92,87.5,87.17,1112096
178,2020-07-24,86.27,85.13,86.59,85.87,1346900
179,2020-07-23,85.78,85.7,86.95,86.22,1481304
180,2020-07-22,84.9,83.96,85.16,85.14,1232505
181,2020-07-21,84.73,83.73,85.4,84.5,1478100
182,2020-07-20,84.7,83.9,85.07,84.29,1189241
183,2020-07-17,84.63,84.21,85.36,84.87,3644901
184,2020-07-16,83.39,81.74,84.66,84.2,1851524
185,2020-07-15,84.48,83.89,85.31,84.6,1397100
186,2020-07-14,82.06,82.06,84.5,84.48,2109532
187,2020-07-13,82.88,81.76,84.79,82.13,2579913
188,2020-07-10,81.61,81.1,83.04,82.78,1689000
189,2020-07-09,80.28,80.27,81.87,81.73,2166500
190,2020-07-08,78.96,78.82,80.3,80.26,1652800
191,2020-07-07,77.64,77.56,79.24,79.05,1258700
192,2021-01-04,87.02,85.59,87.79,86.6,1355515
193,2020-12-31,86.93,86.2,87.26,87.23,1651446
194,2020-12-30,87.0,86.68,87.49,86.71,701200
195,2020-12-29,87.71,86.84,88.45,87.08,657400
196,2020-12-28,87.55,86.84,87.85,87.48,636429
197,2020-12-24,86.78,86.39,87.29,86.86,281900
198,2020-12-23,86.7,86.67,87.39,86.94,681900
199,2020-12-22,86.2,85.79,86.91,86.56,1122832
200,2020-12-21,87.22,86.0,87.71,86.54,1356236
201,2020-12-18,87.26,86.7,88.28,88.15,2454504
202,2020-12-17,87.06,86.81,87.86,87.21,963900
203,2020-12-16,86.39,86.27,87.64,86.67,923446
204,2020-12-15,86.38,85.96,87.19,86.16,1377632
205,2020-12-14,85.98,85.76,86.84,86.06,1049352
206,2020-12-11,85.37,85.2,86.25,85.85,1226712
207,2020-12-10,86.69,85.05,87.2,85.33,1222620
208,2020-12-09,87.13,86.05,87.5,86.44,1158002
209,2020-12-08,86.26,86.0,87.41,87.09,1499900
210,2020-12-07,86.25,86.18,87.47,86.76,1367909
211,2020-12-04,86.35,85.83,87.27,86.34,1109320
212,2020-12-03,85.95,85.58,86.91,86.59,1148400
213,2020-12-02,87.77,85.08,87.94,86.26,1311117
214,2020-12-01,88.37,86.61,88.46,87.84,2374600
215,2020-11-30,86.21,85.56,87.84,87.77,2803094
216,2020-11-27,85.93,85.12,86.33,86.27,747900
217,2020-11-25,84.31,84.16,86.1,85.58,1442515
218,2020-11-24,85.43,83.43,85.92,83.65,2600600
219,2020-11-23,85.62,84.77,86.35,85.27,1031718
220,2020-11-20,86.48,85.62,87.18,85.96,1178400
221,2020-11-19,85.91,85.83,87.32,86.2,1110838
222,2020-11-18,87.25,85.99,87.63,86.0,1927400
223,2020-11-17,87.47,87.0,88.28,87.21,1356349
224,2020-11-16,87.21,86.06,88.03,87.97,1145400
225,2020-11-13,87.42,86.48,87.96,87.38,1456966
226,2020-11-12,88.09,86.63,88.83,87.5,2689093
