,date,open,low,high,close,volume
0,2020-01-06,77.07,75.86,77.62,76.51,1098863
1,2020-01-03,77.11,76.78,77.8,77.74,892000
2,2020-01-02,78.5,76.91,78.5,77.83,1258800
3,2020-04-06,69.73,69.45,73.08,72.39,2201200
4,2020-04-03,68.63,67.63,69.77,68.15,2166501
5,2020-04-02,65.79,65.79,69.56,68.92,2834600
6,2020-04-01,64.92,64.7,68.85,66.57,2847500
7,2020-03-31,64.79,64.23,66.72,66.2,2481700
8,2020-03-30,62.57,61.94,65.36,65.19,1658700
9,2020-03-27,63.0,62.21,65.37,62.51,2576600
10,2020-03-26,62.49,62.01,66.95,65.89,3038632
11,2020-03-25,63.89,60.37,64.63,62.29,3852600
12,2020-03-24,65.45,62.24,67.05,63.55,2409522
13,2020-03-23,64.58,60.92,64.92,63.24,3002997
14,2020-03-20,64.57,63.75,69.93,63.91,2945248
15,2020-03-19,64.69,60.56,67.29,64.06,3296772
16,2020-03-18,62.24,61.01,66.26,64.85,3763432
17,2020-03-17,62.0,58.25,66.91,64.6,3415700
18,2020-03-16,58.18,56.94,61.82,61.06,2906300
19,2020-03-13,62.41,59.18,64.28,62.37,2217500
20,2020-03-12,60.54,57.25,62.96,60.11,3143100
21,2020-03-11,63.55,62.93,64.84,64.11,2163200
22,2020-03-10,64.3,62.42,65.04,64.78,1552329
23,2020-03-09,61.92,61.76,64.53,62.67,3181247
24,2020-03-06,64.61,64.1,66.39,66.08,4034109
25,2020-03-05,68.32,65.9,69.42,66.38,2230209
26,2020-03-04,69.12,67.59,70.88,70.79,1394100
27,2020-03-03,69.63,67.14,70.7,68.27,1492700
28,2020-03-02,69.03,68.38,70.12,70.09,1786200
29,2020-02-28,68.94,67.35,69.77,68.9,3375806
30,2020-02-27,70.31,69.87,72.24,69.87,2325614
31,2020-02-26,72.53,71.2,72.93,71.66,1107400
32,2020-02-25,72.31,70.48,72.97,71.85,2344924
33,2020-02-24,73.21,71.62,74.0,72.14,1657926
34,2020-02-21,74.09,73.7,75.6,74.55,1497200
35,2020-02-20,73.63,73.26,74.96,74.82,1579119
36,2020-02-19,72.6,72.59,73.93,73.48,814600
37,2020-02-18,71.86,71.75,72.46,72.45,731804
38,2020-02-14,72.03,71.7,72.4,72.01,904813
39,2020-02-13,73.09,71.99,73.36,72.13,965603
40,2020-02-12,73.0,72.66,73.49,73.32,1240200
41,2020-02-11,73.1,72.64,73.66,72.72,741500
42,2020-02-10,74.08,72.7,74.47,72.92,1092013
43,2020-02-07,73.61,73.61,75.66,74.38,1656617
44,2020-02-06,73.14,72.36,73.95,73.58,1699747
45,2020-02-05,72.75,72.29,73.44,72.74,1106300
46,2020-02-04,72.68,71.74,72.75,72.23,1328895
47,2020-02-03,72.93,71.73,73.14,72.01,1542940
48,2020-01-31,72.56,71.83,73.29,72.22,2216500
49,2020-01-30,72.15,71.8,73.49,72.64,1931600
50,2020-01-29,72.53,71.76,75.19,73.41,4850524
51,2020-01-28,78.48,77.85,78.99,77.88,2107412
52,2020-01-27,78.65,78.01,79.56,78.47,1462152
53,2020-01-24,79.71,79.08,80.12,79.62,930219
54,2020-01-23,80.18,78.87,80.22,79.8,1078002
55,2020-01-22,80.51,79.42,80.82,80.31,1045600
56,2020-01-21,80.48,79.93,81.05,80.2,1497500
57,2020-01-17,82.01,80.4,83.58,80.74,2780349
58,2020-01-16,83.82,83.54,84.93,84.1,2758140
59,2020-01-15,83.61,82.3,83.8,83.5,2229506
60,2020-01-14,80.29,80.29,82.08,81.75,1377900
61,2020-01-13,80.0,79.67,80.62,80.46,938800
62,2020-01-10,79.32,79.32,80.41,80.12,1427100
63,2020-01-09,79.23,78.31,79.63,79.43,816400
64,2020-01-08,78.33,78.27,79.69,78.8,1132400
65,2020-01-07,76.61,76.21,78.44,78.32,1147100
66,2020-07-06,80.99,79.9,81.2,80.21,2028500
67,2020-07-02,79.84,78.47,79.84,79.18,2571900
68,2020-07-01,79.31,78.29,80.17,79.09,1579255
69,2020-06-30,77.79,77.54,79.4,79.06,1647872
70,2020-06-29,77.21,76.83,77.99,77.76,1753400
71,2020-06-26,77.12,75.95,77.78,76.66,3362200
72,2020-06-25,78.54,76.44,78.6,77.32,1238500
73,2020-06-24,77.0,76.63,79.11,78.54,1318094
74,2020-06-23,78.0,77.0,78.0,77.31,1819100
75,2020-06-22,77.22,75.58,77.31,77.04,1277300
76,2020-06-19,78.82,77.17,78.82,77.75,3584900
77,2020-06-18,78.27,77.05,78.86,77.86,1770738
78,2020-06-17,78.65,78.18,79.47,78.64,1189700
79,2020-06-16,80.0,77.71,80.54,78.09,1456443
80,2020-06-15,76.27,75.65,78.39,78.13,1391327
81,2020-06-12,80.31,76.94,80.58,77.73,1323111
82,2020-06-11,81.5,78.03,81.87,78.77,1678000
83,2020-06-10,83.5,82.06,83.62,82.2,1517322
84,2020-06-09,84.87,82.94,84.87,83.09,1238427
85,2020-06-08,82.92,82.92,85.24,85.1,1418702
86,2020-06-05,83.12,82.78,84.66,83.06,1512700
87,2020-06-04,82.88,81.72,83.33,82.3,1540233
88,2020-06-03,83.0,82.5,84.06,83.81,1706700
89,2020-06-02,81.39,78.94,82.32,82.18,1291200
90,2020-06-01,80.9,80.05,81.12,80.66,1115405
91,2020-05-29,80.92,79.56,82.88,81.13,7262217
92,2020-05-28,80.22,80.22,81.85,80.86,2001703
93,2020-05-27,78.31,78.1,80.25,80.16,2337300
94,2020-05-26,78.87,78.13,79.78,78.25,1491100
95,2020-05-22,77.74,77.37,78.19,77.86,1098327
96,2020-05-21,77.23,77.0,78.3,77.9,1403100
97,2020-05-20,76.89,76.59,79.86,77.62,2144100
98,2020-05-19,77.82,75.69,78.28,75.96,1821800
99,2020-05-18,74.12,73.91,78.25,77.84,3280724
100,2020-05-15,72.65,71.98,73.5,72.5,3587900
101,2020-05-14,71.23,70.42,72.27,72.18,2162200
102,2020-05-13,72.98,71.01,73.36,71.79,2241239
103,2020-05-12,74.92,72.51,75.28,72.72,2097200
104,2020-05-11,73.45,73.23,75.17,74.4,1414343
105,2020-05-08,72.5,72.23,74.04,73.8,1466743
106,2020-05-07,71.1,70.8,72.31,71.95,1380500
107,2020-05-06,71.7,69.85,71.75,70.43,1288834
108,2020-05-05,70.62,70.34,71.91,71.13,1237204
109,2020-05-04,71.54,69.13,71.69,69.94,1886500
110,2020-05-01,70.11,69.41,70.89,70.83,1785413
111,2020-04-30,72.03,70.74,72.16,70.9,3136145
112,2020-04-29,73.4,68.46,73.49,71.26,3867500
113,2020-04-28,74.06,73.56,75.49,74.01,1710829
114,2020-04-27,72.85,72.12,74.64,74.04,1191700
