,date,open,low,high,close,volume
0,2020-01-06,492.660004,490.929993,498.149994,497.450012,829900
1,2020-01-03,485.529999,485.529999,496.589996,494.470001,974100
2,2020-01-02,487.410004,480.48999,491.410004,490.429993,1378800
3,2020-04-06,451.970001,442.75,464.5,459.549988,1627400
4,2020-04-03,433.23999,425.98999,440.619995,433.799988,1027900
5,2020-04-02,420.26001,418.01001,436.880005,435.660004,1377200
6,2020-04-01,418.299988,413.390015,434.829987,424.029999,1360900
7,2020-03-31,443.769989,432.059998,449.170013,436.309998,2072800
8,2020-03-30,440.73999,440.73999,454.51001,450.779999,2043900
9,2020-03-27,439.01001,434.899994,456.399994,439.700012,1909800
10,2020-03-26,424.470001,422.049988,460.540009,454.170013,2182700
11,2020-03-25,416.01001,408.540009,441.0,420.769989,2222800
12,2020-03-24,396.519989,396.519989,421.209991,419.399994,2817600
13,2020-03-23,371.0,364.670013,399.98999,381.779999,2462500
14,2020-03-20,394.809998,370.0,404.559998,371.700012,3322200
15,2020-03-19,379.570007,372.940002,414.399994,393.059998,2466800
16,2020-03-18,374.779999,345.670013,390.75,381.519989,4954800
17,2020-03-17,397.470001,388.230011,406.630005,393.019989,3736000
18,2020-03-16,414.980011,388.130005,418.380005,389.109985,3274200
19,2020-03-13,446.480011,413.660004,454.519989,454.190002,3147600
20,2020-03-12,434.0,421.859985,446.73999,427.540009,3459100
21,2020-03-11,466.820007,443.920013,477.0,450.649994,3023500
22,2020-03-10,467.799988,460.359985,477.869995,476.76001,2660500
23,2020-03-09,466.579987,460.73999,478.619995,463.209991,2565900
24,2020-03-06,486.839996,480.649994,498.619995,496.720001,2145300
25,2020-03-05,514.340027,501.230011,522.76001,505.140015,4485300
26,2020-03-04,502.380005,498.809998,524.650024,522.840027,2014000
27,2020-03-03,489.179993,489.179993,505.5,495.029999,2884900
28,2020-03-02,494.470001,490.339996,500.700012,497.130005,2951700
29,2020-02-28,500.700012,485.459991,509.880005,493.170013,3589100
30,2020-02-27,513.210022,507.51001,520.48999,508.549988,2609100
31,2020-02-26,524.780029,516.679993,527.5,518.090027,1617800
32,2020-02-25,530.840027,517.01001,534.830017,517.98999,1698000
33,2020-02-24,529.799988,525.590027,534.0,528.700012,1410600
34,2020-02-21,537.340027,529.23999,538.429993,535.340027,1243500
35,2020-02-20,542.01001,532.090027,544.090027,539.219971,1049400
36,2020-02-19,539.72998,536.940002,546.539978,542.460022,1041500
37,2020-02-18,535.25,533.380005,538.700012,537.599976,739500
38,2020-02-14,532.48999,532.200012,536.25,534.890015,658200
39,2020-02-13,534.119995,532.549988,536.25,534.72998,709400
40,2020-02-12,531.48999,528.630005,535.419983,534.0,891300
41,2020-02-11,531.0,524.01001,532.299988,530.940002,1098100
42,2020-02-10,525.75,524.419983,531.75,530.340027,1252900
43,2020-02-07,526.109985,521.340027,526.549988,525.210022,753600
44,2020-02-06,524.859985,522.919983,529.460022,526.559998,830700
45,2020-02-05,522.0,521.030029,530.530029,522.179993,1819300
46,2020-02-04,528.849976,519.849976,532.650024,531.75,1596200
47,2020-02-03,522.840027,522.690002,537.539978,532.049988,1666700
48,2020-01-31,504.76001,495.0,521.690002,517.460022,2053600
49,2020-01-30,486.880005,484.959991,494.329987,492.980011,1067200
50,2020-01-29,498.320007,487.820007,499.070007,490.73999,1208800
51,2020-01-28,501.730011,498.809998,507.450012,499.339996,1326700
52,2020-01-27,499.140015,497.420013,507.359985,504.079987,1930900
53,2020-01-24,512.630005,503.899994,514.26001,504.670013,1183000
54,2020-01-23,509.630005,505.450012,516.700012,513.140015,1182300
55,2020-01-22,505.540009,504.609985,512.789978,510.5,1878600
56,2020-01-21,501.279999,498.940002,506.730011,503.589996,1041000
57,2020-01-17,512.030029,501.329987,512.030029,502.730011,2252900
58,2020-01-16,507.0,506.160004,513.710022,508.779999,1104100
59,2020-01-15,510.149994,507.049988,517.070007,515.400024,611200
60,2020-01-14,508.470001,506.23999,512.700012,509.619995,1656100
61,2020-01-13,506.040009,504.890015,512.650024,510.149994,933700
62,2020-01-10,507.790009,503.519989,509.029999,505.029999,912700
63,2020-01-09,501.5,501.5,508.859985,507.279999,924300
64,2020-01-08,499.0,498.549988,509.98999,500.769989,1063200
65,2020-01-07,497.130005,495.549988,500.649994,499.160004,1050800
66,2020-07-06,525.559998,520.47998,527.169983,526.289978,814900
67,2020-07-02,522.099976,517.02002,528.869995,517.690002,785800
68,2020-07-01,510.040009,505.450012,525.780029,521.909973,1112600
69,2020-06-30,509.630005,498.079987,511.959991,510.040009,1256400
70,2020-06-29,509.730011,499.51001,513.559998,509.220001,1009900
