,date,open,low,high,close,volume
0,2020-01-06,202.0,201.95,207.16,206.92,1243005
1,2020-01-03,202.01,200.8,204.39,203.18,1387300
2,2020-01-02,205.39,202.09,205.85,204.94,1372600
3,2020-04-06,171.68,170.4,176.7,173.49,3060644
4,2020-04-03,167.33,159.39,169.77,163.84,2271823
5,2020-04-02,168.44,164.29,172.93,168.81,2501590
6,2020-04-01,169.72,167.39,174.27,173.07,2993300
7,2020-03-31,176.98,173.5,181.98,177.18,4427678
8,2020-03-30,162.74,162.74,178.94,178.26,3677400
9,2020-03-27,160.74,159.8,167.79,161.29,3563369
10,2020-03-26,158.31,154.41,170.85,169.54,4059473
11,2020-03-25,145.0,143.0,165.54,156.82,4232900
12,2020-03-24,141.94,136.55,147.65,147.2,5464300
13,2020-03-23,140.25,126.0,140.46,130.06,4226400
14,2020-03-20,149.32,139.82,150.64,142.09,4711717
15,2020-03-19,141.6,134.1,149.57,146.52,3987466
16,2020-03-18,145.0,118.5,146.0,142.91,4199600
17,2020-03-17,154.21,148.28,162.75,155.09,3765555
18,2020-03-16,150.0,145.24,162.39,150.69,3340843
19,2020-03-13,172.69,164.23,180.0,179.87,5081760
20,2020-03-12,175.16,163.58,181.44,164.27,4830200
21,2020-03-11,191.24,183.54,196.54,187.23,4106634
22,2020-03-10,187.79,186.03,198.7,197.77,4188245
23,2020-03-09,181.26,173.9,186.35,181.6,3897811
24,2020-03-06,194.21,188.0,196.55,195.52,3447900
25,2020-03-05,203.03,198.63,206.35,200.93,3106900
26,2020-03-04,208.04,205.35,211.94,209.54,6127809
27,2020-03-03,194.34,186.9,203.88,189.25,3570000
28,2020-03-02,183.41,180.41,194.54,194.34,3901246
29,2020-02-28,176.25,174.22,184.59,182.94,5468825
30,2020-02-27,184.49,181.72,189.79,181.93,3101344
31,2020-02-26,193.72,188.54,195.5,188.92,2869700
32,2020-02-25,203.34,189.36,203.94,191.76,2824235
33,2020-02-24,207.87,200.05,210.12,200.36,3114549
34,2020-02-21,218.57,216.77,219.82,217.19,1469838
35,2020-02-20,219.31,216.21,221.74,220.41,2206246
36,2020-02-19,221.5,219.5,223.58,221.44,1615292
37,2020-02-18,220.34,219.43,224.57,221.95,1956100
38,2020-02-14,221.64,218.93,222.28,220.34,2077324
39,2020-02-13,220.33,220.33,224.25,221.89,2115900
40,2020-02-12,217.82,217.0,224.64,222.56,2720772
41,2020-02-11,212.35,210.4,215.33,215.18,1815100
42,2020-02-10,208.03,207.51,211.9,210.32,2041441
43,2020-02-07,210.67,208.01,212.79,208.92,2046800
44,2020-02-06,210.25,207.83,216.18,211.86,3006200
45,2020-02-05,200.09,200.09,207.5,206.48,2122610
46,2020-02-04,194.16,193.9,198.71,196.86,1955726
47,2020-02-03,193.82,191.18,196.08,191.77,2356216
48,2020-01-31,195.38,191.09,195.82,192.38,1816005
49,2020-01-30,200.51,194.87,201.53,196.99,3180044
50,2020-01-29,204.86,201.72,206.42,202.54,1850318
51,2020-01-28,201.35,200.63,206.12,205.33,1603400
52,2020-01-27,202.2,196.65,202.61,199.95,1498385
53,2020-01-24,212.71,204.74,212.99,206.01,1882224
54,2020-01-23,211.04,209.83,213.38,212.7,1511600
55,2020-01-22,213.3,210.37,213.8,211.26,1468743
56,2020-01-21,211.68,210.4,214.44,213.0,2192245
57,2020-01-17,210.96,209.23,212.64,212.52,1680010
58,2020-01-16,209.41,208.5,211.26,210.95,1387500
59,2020-01-15,205.19,205.19,210.42,208.23,1799700
60,2020-01-14,203.26,203.02,206.95,205.19,1499104
61,2020-01-13,208.51,201.96,209.0,203.51,2376732
62,2020-01-10,212.11,209.7,212.35,210.28,1034800
63,2020-01-09,210.03,209.0,212.23,210.85,2018217
64,2020-01-08,207.93,207.19,211.72,211.41,1483600
65,2020-01-07,206.18,205.28,208.78,207.93,1355532
66,2020-07-06,191.8,189.01,192.8,189.33,1571187
67,2020-07-02,191.96,190.09,194.52,190.49,892500
68,2020-07-01,187.96,187.48,192.35,190.5,2004000
69,2020-06-30,187.53,184.35,188.79,187.65,2146900
70,2020-06-29,186.68,183.69,187.76,187.55,1294407
71,2020-06-26,184.92,182.43,185.63,185.06,2410425
72,2020-06-25,183.1,181.06,185.96,185.48,1225479
73,2020-06-24,190.1,182.21,191.98,183.97,1658370
74,2020-06-23,192.14,189.64,193.99,192.31,1687243
75,2020-06-22,190.29,187.17,192.41,190.38,1450054
76,2020-06-19,194.08,190.75,196.85,191.4,2260000
77,2020-06-18,190.36,187.28,190.77,189.98,1881281
78,2020-06-17,194.52,190.83,194.99,191.8,1169543
79,2020-06-16,193.85,189.5,196.16,193.02,1349555
80,2020-06-15,185.27,182.36,189.39,187.13,2106067
81,2020-06-12,197.83,187.95,198.42,190.02,2005239
82,2020-06-11,204.18,189.33,204.78,191.56,2936342
83,2020-06-10,214.47,206.64,214.5,209.0,1433300
84,2020-06-09,213.99,211.5,217.3,214.5,1497623
85,2020-06-08,207.98,207.22,215.92,215.84,2092824
86,2020-06-05,205.0,203.41,213.56,209.48,1956177
87,2020-06-04,199.46,198.46,204.4,202.39,1259242
88,2020-06-03,203.56,200.58,204.87,201.36,1404700
89,2020-06-02,198.21,196.25,202.51,201.31,1964900
