,date,open,low,high,close,volume
0,2020-01-06,105.85,105.08,106.28,105.68,409619
1,2020-01-03,105.31,105.31,106.61,106.5,461828
2,2020-01-02,105.62,104.8,106.03,105.96,801100
3,2020-04-06,74.48,73.76,78.46,77.41,960800
4,2020-04-03,72.17,70.55,74.52,71.03,963300
5,2020-04-02,72.52,71.48,76.25,72.92,981500
6,2020-04-01,71.94,71.26,76.26,73.57,1195100
7,2020-03-31,78.75,74.55,82.65,75.45,2029700
8,2020-03-30,75.85,74.01,80.56,79.74,954604
9,2020-03-27,75.34,74.42,79.07,75.95,800500
10,2020-03-26,75.32,72.33,79.57,78.72,1072877
11,2020-03-25,78.73,73.04,79.92,74.23,1262000
12,2020-03-24,69.53,69.53,79.2,78.02,1465313
13,2020-03-23,73.1,65.69,75.26,66.78,1461779
14,2020-03-20,81.96,73.08,81.96,75.03,1491500
15,2020-03-19,84.05,77.0,85.45,81.93,1390300
16,2020-03-18,79.69,77.04,85.7,85.37,1273900
17,2020-03-17,79.97,73.11,85.46,84.98,1556700
18,2020-03-16,83.22,78.05,88.69,78.52,1414824
19,2020-03-13,84.99,84.09,90.6,90.58,1517617
20,2020-03-12,83.06,79.35,85.14,80.56,1276218
21,2020-03-11,92.51,88.7,94.18,90.0,1367254
22,2020-03-10,94.08,91.16,96.04,95.99,1405800
23,2020-03-09,92.33,89.18,93.5,90.7,1397531
24,2020-03-06,97.36,95.49,98.97,98.21,1241200
25,2020-03-05,101.9,99.77,102.84,101.14,993700
26,2020-03-04,101.64,100.82,104.82,104.43,868700
27,2020-03-03,100.6,98.76,102.64,99.77,1343511
28,2020-03-02,94.0,92.14,101.62,101.36,1528700
29,2020-02-28,95.53,92.11,96.15,93.24,2197100
30,2020-02-27,102.29,97.59,102.59,97.66,1742420
31,2020-02-26,105.33,103.1,106.19,103.13,1182519
32,2020-02-25,107.92,104.63,108.3,104.72,933702
33,2020-02-24,109.93,107.47,110.73,107.48,775100
34,2020-02-21,111.91,110.77,112.29,111.32,682500
35,2020-02-20,113.03,111.17,113.03,112.12,340200
36,2020-02-19,114.11,112.98,114.3,113.02,435433
37,2020-02-18,114.9,113.65,115.53,113.85,472200
38,2020-02-14,114.66,114.35,115.26,115.21,612615
39,2020-02-13,113.18,113.18,115.45,114.85,795208
40,2020-02-12,114.85,113.62,115.0,113.74,665000
41,2020-02-11,114.46,114.16,115.52,114.92,875312
42,2020-02-10,112.99,112.73,114.32,114.08,646600
43,2020-02-07,113.13,112.13,113.32,112.83,755114
44,2020-02-06,110.72,109.62,113.79,112.84,867522
45,2020-02-05,107.04,106.07,108.21,108.01,671895
46,2020-02-04,107.33,105.99,107.4,106.04,563901
47,2020-02-03,105.84,105.37,107.59,106.31,538907
48,2020-01-31,106.64,104.7,107.1,104.95,976620
49,2020-01-30,104.66,104.4,106.82,106.8,467200
50,2020-01-29,105.65,104.82,105.97,105.04,422600
51,2020-01-28,105.09,104.97,106.5,105.35,479635
52,2020-01-27,105.14,104.51,105.7,104.75,463946
53,2020-01-24,105.9,105.55,106.51,106.02,330100
54,2020-01-23,106.7,105.14,106.7,105.98,485420
55,2020-01-22,106.84,106.59,107.34,107.14,352100
