,date,open,low,high,close,volume
0,2020-01-06,68.08,68.01,68.85,68.49,4607525
1,2020-01-03,67.84,67.68,68.47,68.02,3473852
2,2020-01-02,68.84,67.89,68.94,68.12,3441800
3,2020-04-06,69.6,69.13,71.73,70.5,5172800
4,2020-04-03,67.95,66.75,68.69,67.62,4720932
5,2020-04-02,64.78,64.71,68.69,68.17,5676716
6,2020-04-01,64.75,64.09,65.85,65.55,4247710
7,2020-03-31,66.01,64.96,66.49,66.36,5784884
8,2020-03-30,65.99,64.97,66.93,66.58,4950641
9,2020-03-27,64.03,63.36,66.63,65.26,6366500
10,2020-03-26,60.36,60.19,64.34,63.82,9053314
11,2020-03-25,60.76,59.01,62.22,59.89,10375500
12,2020-03-24,61.11,59.61,65.88,61.18,9887497
13,2020-03-23,62.09,58.49,63.47,60.47,8306811
14,2020-03-20,66.74,61.39,66.85,62.08,9168470
15,2020-03-19,67.98,65.06,68.99,66.65,8927108
16,2020-03-18,67.8,65.35,72.14,67.69,9189527
17,2020-03-17,64.19,63.31,70.43,70.2,9389100
18,2020-03-16,62.16,62.04,66.31,62.34,8849353
19,2020-03-13,66.43,64.2,69.21,69.1,11952949
20,2020-03-12,64.93,63.2,67.45,63.89,9772327
21,2020-03-11,70.14,67.78,70.81,68.9,6860400
22,2020-03-10,71.62,68.09,72.01,71.81,7521849
23,2020-03-09,69.3,69.0,71.61,69.99,7399598
24,2020-03-06,70.37,69.51,72.76,72.51,6339600
25,2020-03-05,73.71,71.8,74.33,72.34,5877500
26,2020-03-04,73.9,73.01,75.47,75.37,7174957
27,2020-03-03,72.55,71.24,74.11,71.78,7487800
28,2020-03-02,68.51,68.51,72.56,72.44,7940800
29,2020-02-28,68.99,66.32,69.36,67.57,11130900
30,2020-02-27,73.06,70.13,73.72,70.15,6181402
31,2020-02-26,74.0,72.9,74.47,72.92,4188700
32,2020-02-25,74.4,73.52,74.99,73.8,5739528
33,2020-02-24,71.71,71.19,75.72,74.42,5584400
34,2020-02-21,75.19,75.11,76.54,76.27,5341505
35,2020-02-20,75.46,74.25,75.65,75.16,3350900
36,2020-02-19,76.0,75.5,76.27,75.54,2686700
