,date,open,low,high,close,volume
0,2020-01-06,153.07,152.29,153.94,153.37,869325
1,2020-01-03,152.57,151.24,153.88,152.91,809816
2,2020-01-02,153.38,151.55,153.41,152.61,1292500
3,2020-04-06,177.59,173.41,182.34,181.38,2551441
4,2020-04-03,178.31,174.87,182.43,177.54,2277591
5,2020-04-02,173.79,173.79,182.29,179.7,3044600
6,2020-04-01,171.88,170.98,177.49,174.66,2569834
7,2020-03-31,173.74,170.69,174.55,173.25,2082710
8,2020-03-30,177.6,174.0,179.86,174.48,2328600
9,2020-03-27,170.45,168.51,177.43,173.19,2211500
10,2020-03-26,167.96,167.02,175.0,173.11,3706701
11,2020-03-25,166.0,161.11,170.48,165.66,4572700
12,2020-03-24,171.42,165.22,175.69,168.32,2929520
13,2020-03-23,176.84,168.54,177.44,170.14,3437000
14,2020-03-20,190.61,175.21,191.05,177.4,5571400
15,2020-03-19,193.57,187.03,199.54,191.78,4546105
16,2020-03-18,197.12,185.47,214.26,190.95,7072100
17,2020-03-17,178.91,176.43,205.0,197.88,7478735
18,2020-03-16,170.2,164.5,178.25,174.69,5350230
19,2020-03-13,164.0,156.68,168.33,167.77,2964639
20,2020-03-12,160.1,158.0,169.8,158.7,3280300
21,2020-03-11,173.05,166.32,174.98,169.4,2377042
22,2020-03-10,176.62,167.32,178.88,175.0,2766600
23,2020-03-09,167.95,167.0,177.77,174.9,3489624
24,2020-03-06,171.94,168.57,174.7,173.26,2222300
25,2020-03-05,170.27,169.73,177.32,175.85,2778300
26,2020-03-04,170.9,168.47,174.74,172.52,3144088
27,2020-03-03,173.08,166.09,174.98,167.87,3374747
28,2020-03-02,163.1,162.81,172.1,172.01,3753400
29,2020-02-28,172.33,155.83,172.54,159.42,4701108
30,2020-02-27,170.0,168.34,174.17,168.7,4309236
31,2020-02-26,167.91,166.52,168.93,168.03,2854620
32,2020-02-25,167.66,166.66,169.73,167.85,2351899
33,2020-02-24,165.89,165.71,168.26,167.19,2094302
34,2020-02-21,163.69,163.69,165.27,164.64,794584
35,2020-02-20,164.73,163.59,164.97,164.17,673068
36,2020-02-19,165.0,164.1,165.72,164.84,612202
37,2020-02-18,165.26,163.86,165.36,164.82,629011
38,2020-02-14,164.99,164.19,165.1,164.83,724900
39,2020-02-13,164.58,163.81,165.13,164.77,787800
40,2020-02-12,164.24,162.68,164.31,164.23,1048306
41,2020-02-11,167.49,164.66,167.75,164.76,889117
42,2020-02-10,166.86,166.29,168.96,167.66,787718
43,2020-02-07,165.07,163.51,166.55,166.23,1004402
44,2020-02-06,166.03,164.94,167.39,165.07,1102100
45,2020-02-05,163.28,163.27,165.94,165.34,1882735
46,2020-02-04,158.78,158.48,165.0,163.62,3172800
47,2020-02-03,157.65,154.88,158.85,155.84,1676219
48,2020-01-31,156.65,156.51,158.25,157.31,1769800
49,2020-01-30,156.04,154.87,156.39,155.86,912100
50,2020-01-29,156.0,155.15,156.65,155.21,859625
51,2020-01-28,159.17,156.06,159.46,156.07,1044522
52,2020-01-27,160.41,159.96,162.17,159.96,2502434
53,2020-01-24,160.0,157.65,160.96,158.28,839836
54,2020-01-23,159.63,158.55,161.16,159.07,693200
55,2020-01-22,159.5,159.01,160.17,159.63,768511
56,2020-01-21,157.7,156.54,159.15,159.1,1051846
57,2020-01-17,157.23,156.73,157.93,157.7,718444
58,2020-01-16,156.88,156.83,157.87,157.13,489515
59,2020-01-15,156.25,156.06,157.54,156.67,619209
60,2020-01-14,155.73,155.0,156.32,156.25,1166606
61,2020-01-13,153.77,153.35,156.26,156.2,1064976
62,2020-01-10,152.69,152.32,154.08,153.67,523600
63,2020-01-09,152.23,151.72,153.01,152.8,504939
64,2020-01-08,151.78,150.95,153.34,151.97,901226
65,2020-01-07,153.19,151.51,153.29,151.52,1199590
66,2020-07-06,222.79,219.1,223.46,221.42,1369119
67,2020-07-02,220.86,220.81,224.55,222.16,1661300
68,2020-07-01,218.23,216.8,220.22,219.57,1100400
69,2020-06-30,219.59,216.5,221.7,219.37,1811934
70,2020-06-29,216.0,215.31,218.2,217.58,974276
71,2020-06-26,216.5,215.22,218.0,215.3,1723607
72,2020-06-25,214.52,210.65,216.75,214.92,1635300
73,2020-06-24,212.98,211.69,215.3,212.03,1856815
74,2020-06-23,217.07,212.92,217.94,213.38,1517900
75,2020-06-22,218.44,216.59,218.87,216.9,1350605
76,2020-06-19,218.17,215.85,219.38,217.64,3070100
77,2020-06-18,212.94,212.1,215.55,214.59,1631100
78,2020-06-17,209.69,209.69,212.88,212.0,1303007
79,2020-06-16,208.03,207.45,211.39,208.73,1421141
80,2020-06-15,207.4,204.91,208.45,208.03,1809561
81,2020-06-12,205.1,203.93,208.31,205.12,1850547
82,2020-06-11,208.45,203.95,210.42,204.93,2915600
83,2020-06-10,202.93,202.3,208.15,207.3,2465447
84,2020-06-09,200.0,198.02,203.22,202.07,2118437
85,2020-06-08,194.5,194.0,199.25,198.76,1745881
86,2020-06-05,202.81,194.29,202.81,197.57,2881300
87,2020-06-04,205.53,203.43,206.65,204.25,1071200
88,2020-06-03,206.97,205.03,207.57,205.97,1176813
89,2020-06-02,204.02,204.02,206.85,206.76,1125580
90,2020-06-01,206.21,203.8,207.39,204.21,1303228
91,2020-05-29,205.49,203.36,206.69,206.25,1707431
92,2020-05-28,200.75,200.57,205.0,204.96,1514338
93,2020-05-27,195.39,193.33,200.49,200.0,2010600
94,2020-05-26,198.46,195.05,198.79,197.13,2510568
95,2020-05-22,198.98,197.69,200.28,198.59,1214814
96,2020-05-21,204.75,198.17,204.75,199.4,1463200
97,2020-05-20,205.61,202.54,205.85,204.24,1369900
98,2020-05-19,203.0,200.75,204.13,201.72,1314100
99,2020-05-18,207.28,203.65,208.43,203.95,2424028
100,2020-05-15,206.85,206.36,210.49,209.83,2265019
