,date,open,low,high,close,volume
0,2020-01-06,44.66,44.55,44.87,44.67,17628499
1,2020-01-03,44.83,44.57,45.22,45.01,20496469
2,2020-01-02,45.36,44.93,45.4,45.37,20171891
3,2020-04-06,35.37,35.09,36.4,36.23,31583200
4,2020-04-03,34.1,33.41,34.64,33.95,19312587
5,2020-04-02,32.1,32.06,34.47,34.37,24683924
6,2020-04-01,33.16,32.05,33.76,32.42,26097200
7,2020-03-31,34.83,34.25,35.78,34.38,27789378
8,2020-03-30,34.74,34.55,35.63,35.49,31400214
9,2020-03-27,35.59,34.41,35.79,34.57,27910405
10,2020-03-26,33.19,33.06,37.31,36.74,38332143
11,2020-03-25,33.78,31.78,34.56,33.57,57834100
12,2020-03-24,35.37,33.53,35.37,34.64,46492841
13,2020-03-23,33.17,31.71,34.67,34.17,38600900
14,2020-03-20,36.09,32.64,36.09,33.37,47309000
15,2020-03-19,35.64,34.6,39.31,35.94,36830400
16,2020-03-18,36.23,33.27,36.75,35.68,42533400
17,2020-03-17,36.58,36.21,38.35,38.22,38934900
18,2020-03-16,34.64,34.5,38.99,36.04,41485700
19,2020-03-13,36.23,34.48,39.72,39.33,66243400
20,2020-03-12,35.58,34.44,37.85,34.94,63254520
21,2020-03-11,37.8,37.38,38.49,37.91,38873075
22,2020-03-10,38.64,36.67,39.15,39.1,48724300
23,2020-03-09,38.17,37.15,38.89,37.88,46926245
24,2020-03-06,38.91,38.83,40.6,40.37,31302100
25,2020-03-05,41.42,40.42,41.78,40.77,25284615
26,2020-03-04,41.97,41.5,42.56,42.5,24997082
27,2020-03-03,42.07,41.1,43.45,41.44,43253400
28,2020-03-02,40.34,39.4,42.53,42.52,40006925
29,2020-02-28,40.0,38.97,40.98,40.43,62188719
30,2020-02-27,41.86,40.99,42.6,41.05,36098149
31,2020-02-26,44.18,42.19,44.18,42.22,30529334
32,2020-02-25,44.75,43.03,44.89,43.17,22440600
33,2020-02-24,45.12,44.47,46.01,44.6,21720814
34,2020-02-21,45.76,45.66,46.42,45.82,21235478
35,2020-02-20,45.8,45.5,46.15,46.02,12037800
36,2020-02-19,46.22,45.86,46.26,45.97,14814425
37,2020-02-18,46.14,45.81,46.39,46.15,13694500
38,2020-02-14,46.08,45.75,46.18,46.09,15930962
39,2020-02-13,45.9,45.69,46.35,46.07,17913182
40,2020-02-12,44.98,44.91,46.14,46.02,23638289
41,2020-02-11,44.82,44.36,44.85,44.79,11075716
42,2020-02-10,44.64,44.26,44.73,44.66,15016121
