,date,open,low,high,close,volume
0,2020-01-06,205.09,203.67,206.29,205.39,1329834
1,2020-01-03,201.16,201.1,205.05,204.55,1184920
2,2020-01-02,201.11,200.58,202.05,201.85,1464900
3,2020-04-06,179.77,178.38,184.0,182.44,2359708
4,2020-04-03,167.02,166.1,174.88,173.74,1747200
5,2020-04-02,166.53,162.81,169.48,168.57,2335411
6,2020-04-01,164.47,162.55,167.62,166.2,2333315
7,2020-03-31,172.14,166.86,174.81,172.91,2546337
8,2020-03-30,174.9,170.88,176.9,173.99,2299700
9,2020-03-27,167.0,164.16,178.33,171.34,2339200
10,2020-03-26,158.0,157.01,176.98,174.84,3594384
11,2020-03-25,152.0,146.35,160.59,156.33,4155600
12,2020-03-24,147.2,144.67,153.26,152.26,3172297
13,2020-03-23,157.82,136.72,157.82,139.54,3848600
14,2020-03-20,155.16,140.19,163.87,158.41,5123422
15,2020-03-19,145.46,131.8,158.33,155.22,4223838
16,2020-03-18,156.0,137.49,159.1,142.97,4677348
17,2020-03-17,153.77,149.9,168.43,166.02,3602635
18,2020-03-16,163.0,148.37,168.46,148.54,5752400
19,2020-03-13,180.27,164.76,184.16,182.01,4385807
20,2020-03-12,178.41,171.25,187.85,172.31,4187546
21,2020-03-11,201.4,192.36,203.04,194.68,2817316
22,2020-03-10,208.4,199.72,212.48,207.01,2730800
23,2020-03-09,203.44,202.31,212.86,204.91,3294463
24,2020-03-06,217.46,212.74,220.49,216.26,2771300
25,2020-03-05,219.0,216.66,223.82,221.82,2800817
26,2020-03-04,217.7,214.81,224.56,223.63,2348400
27,2020-03-03,209.39,208.71,218.79,216.07,3753770
28,2020-03-02,198.46,198.37,210.33,209.4,3768500
29,2020-02-28,206.16,195.93,208.83,198.82,4751275
30,2020-02-27,220.4,210.23,225.36,210.39,3940868
31,2020-02-26,212.96,211.66,222.29,220.18,4405090
32,2020-02-25,209.66,206.89,211.22,208.32,2754088
33,2020-02-24,207.28,206.25,212.22,209.3,2604800
34,2020-02-21,208.78,207.5,210.64,208.83,2869537
35,2020-02-20,207.98,204.69,209.29,209.0,1604230
36,2020-02-19,213.5,207.35,214.32,207.5,1854530
37,2020-02-18,210.15,210.15,214.15,213.37,1240529
38,2020-02-14,208.22,208.02,213.24,213.13,1054500
39,2020-02-13,207.7,206.87,210.25,208.31,1094200
40,2020-02-12,208.1,204.01,210.0,207.64,2374400
41,2020-02-11,213.59,211.3,215.14,211.65,1270272
42,2020-02-10,213.7,212.14,215.0,213.37,1042738
43,2020-02-07,212.75,212.66,215.26,213.2,1163114
44,2020-02-06,213.17,210.28,214.57,212.63,1280000
45,2020-02-05,216.22,211.39,216.9,213.43,1870400
46,2020-02-04,216.48,214.79,218.44,215.54,1649300
47,2020-02-03,218.0,214.16,218.44,214.57,1661805
48,2020-01-31,218.04,216.18,220.35,217.11,1634635
49,2020-01-30,213.16,213.05,218.88,218.78,1559246
50,2020-01-29,213.78,211.65,215.17,213.58,921140
51,2020-01-28,213.01,211.93,213.86,213.21,1406830
52,2020-01-27,208.88,208.37,214.19,212.99,1720279
53,2020-01-24,208.79,208.19,209.79,209.24,1245526
54,2020-01-23,207.69,206.59,209.14,208.24,1101600
55,2020-01-22,207.39,206.37,208.48,207.48,952532
56,2020-01-21,207.46,206.58,209.28,206.86,1183940
57,2020-01-17,207.28,205.77,208.6,206.86,1263000
58,2020-01-16,205.38,205.29,207.22,207.15,1008412
59,2020-01-15,204.66,203.01,206.78,205.01,1185000
60,2020-01-14,204.53,203.03,204.95,203.56,1260600
61,2020-01-13,204.6,202.84,205.12,204.14,1245700
62,2020-01-10,208.4,204.69,208.89,205.09,1838244
63,2020-01-09,206.19,205.58,210.25,208.47,1667200
64,2020-01-08,205.56,205.56,208.38,206.1,1512422
65,2020-01-07,205.5,202.94,206.01,204.99,968038
66,2020-07-06,166.33,164.4,167.8,165.8,2149414
67,2020-07-02,170.74,164.88,171.34,165.27,1573914
68,2020-07-01,161.75,161.56,170.12,168.9,2911033
69,2020-06-30,163.45,161.35,163.49,162.54,2676188
70,2020-06-29,164.08,161.11,164.11,162.01,2464743
71,2020-06-26,167.93,161.24,168.22,162.45,3176119
72,2020-06-25,166.68,164.55,168.88,168.69,2982200
73,2020-06-24,171.29,165.93,171.95,167.47,2343347
74,2020-06-23,176.99,172.81,176.99,173.55,1770925
75,2020-06-22,174.5,172.61,175.58,175.09,1603523
76,2020-06-19,178.69,174.3,179.86,175.52,3059600
77,2020-06-18,177.62,175.72,179.12,176.32,1177756
78,2020-06-17,177.3,175.23,179.39,178.36,1857275
79,2020-06-16,178.5,174.22,179.14,176.11,2311568
80,2020-06-15,171.55,171.18,175.8,174.65,1967511
81,2020-06-12,177.73,172.08,177.93,174.72,3020340
82,2020-06-11,185.61,174.02,185.75,174.18,2928654
83,2020-06-10,190.13,187.94,190.99,188.7,2409418
84,2020-06-09,188.49,188.11,192.29,191.1,3099023
85,2020-06-08,192.3,188.04,192.86,191.75,2022659
86,2020-06-05,188.14,187.62,193.93,192.14,3033118
87,2020-06-04,185.77,181.77,186.18,184.51,1634338
88,2020-06-03,180.38,179.02,186.88,186.26,2197109
89,2020-06-02,181.95,176.35,182.26,178.78,2288061
90,2020-06-01,181.93,181.85,185.47,182.32,1442612
91,2020-05-29,177.79,177.79,182.77,182.6,1761100
92,2020-05-28,178.05,176.08,182.28,180.49,2497387
93,2020-05-27,184.71,172.06,185.88,176.53,3862910
94,2020-05-26,182.14,180.72,184.92,182.47,1595732
95,2020-05-22,177.92,176.02,178.98,178.8,999302
96,2020-05-21,179.34,177.63,181.38,178.18,1807529
97,2020-05-20,181.05,180.24,182.54,180.82,950720
98,2020-05-19,184.86,179.33,185.99,179.76,1044853
