,date,open,low,high,close,volume
0,2020-01-06,17.24,17.08,17.26,17.16,20260000
1,2020-01-03,17.06,17.06,17.42,17.3,21135000
2,2020-01-02,16.8,16.75,17.18,17.16,24365000
3,2020-04-06,12.65,12.6,14.15,13.8,49205000
4,2020-04-03,12.62,12.0,12.9,12.22,42990000
5,2020-04-02,12.15,12.02,12.69,12.6,31695000
6,2020-04-01,12.6,12.08,12.9,12.39,41005000
7,2020-03-31,12.69,12.5,13.5,13.09,42320000
8,2020-03-30,12.44,12.4,12.96,12.8,26655000
9,2020-03-27,12.49,12.28,12.87,12.7,42870000
10,2020-03-26,13.24,12.72,13.45,13.22,39695000
11,2020-03-25,13.7,12.0,13.89,12.99,47155000
12,2020-03-24,12.78,12.6,13.81,13.28,58005000
13,2020-03-23,11.23,11.02,12.05,11.77,64345000
14,2020-03-20,11.48,11.04,11.94,11.32,87595000
15,2020-03-19,9.12,9.01,11.06,10.72,70730000
16,2020-03-18,9.84,8.3,10.0,9.3,75505000
17,2020-03-17,11.47,10.01,11.59,10.49,75590000
18,2020-03-16,11.4,10.4,11.6,11.43,60480000
19,2020-03-13,13.01,12.02,13.11,12.61,54440000
20,2020-03-12,11.74,11.3,12.28,12.06,104020000
21,2020-03-11,13.62,12.52,13.82,12.93,49765000
22,2020-03-10,13.78,13.23,14.1,14.02,45485000
23,2020-03-09,13.34,13.02,13.8,13.16,51320000
24,2020-03-06,14.06,13.71,14.59,14.46,42040000
25,2020-03-05,15.0,14.27,15.11,14.55,42190000
26,2020-03-04,15.29,14.81,15.45,15.4,38630000
27,2020-03-03,15.36,14.47,15.64,14.72,38955000
28,2020-03-02,15.59,14.8,15.63,15.38,43460000
29,2020-02-28,14.69,14.06,15.5,15.47,75255000
30,2020-02-27,16.23,15.01,16.31,15.11,67575000
31,2020-02-26,17.11,16.85,17.38,16.95,28545000
32,2020-02-25,17.8,17.03,17.84,17.12,36805000
33,2020-02-24,17.95,17.68,18.0,17.7,33115000
34,2020-02-21,18.53,18.32,18.6,18.4,15110000
35,2020-02-20,18.52,18.33,18.81,18.55,18140000
36,2020-02-19,18.68,18.62,18.78,18.68,15910000
37,2020-02-18,18.48,18.45,18.68,18.55,18455000
38,2020-02-14,18.26,18.17,18.47,18.44,18340000
39,2020-02-13,17.97,17.96,18.3,18.26,21145000
40,2020-02-12,17.81,17.75,18.03,18.01,19885000
41,2020-02-11,17.86,17.8,17.98,17.82,16740000
42,2020-02-10,17.23,17.19,17.83,17.81,25605000
