,date,open,low,high,close,volume
0,2020-01-06,175.56,173.16,175.56,174.13,1253904
1,2020-01-03,177.18,174.38,177.18,176.81,1017606
2,2020-01-02,180.02,177.4,180.88,179.32,1272900
3,2020-04-06,138.62,137.73,144.74,142.12,2088100
4,2020-04-03,132.07,129.46,135.01,132.27,1588859
5,2020-04-02,128.89,127.61,134.23,132.76,1325720
6,2020-04-01,129.77,127.3,131.66,130.39,1160512
7,2020-03-31,133.52,131.39,138.41,135.32,1582000
8,2020-03-30,132.0,131.2,136.87,134.48,1234131
9,2020-03-27,127.55,127.55,135.44,131.66,1267800
10,2020-03-26,131.51,125.59,135.87,134.96,1534344
11,2020-03-25,126.05,121.82,132.13,127.77,2242400
12,2020-03-24,110.96,108.94,124.77,124.49,2491591
13,2020-03-23,114.35,101.03,114.98,102.76,2155178
14,2020-03-20,120.91,115.16,122.17,116.48,2114524
15,2020-03-19,121.85,115.0,122.49,118.55,1756416
16,2020-03-18,127.45,117.79,131.92,123.47,1879540
17,2020-03-17,133.74,128.74,137.81,136.8,2616136
18,2020-03-16,124.91,122.95,136.24,131.45,1923000
19,2020-03-13,135.82,129.5,137.92,136.84,2252431
20,2020-03-12,132.54,127.07,135.33,129.09,2288936
21,2020-03-11,141.9,139.5,145.08,141.07,2210729
22,2020-03-10,144.18,137.99,145.8,145.63,2517800
23,2020-03-09,138.2,136.57,141.32,139.27,2356100
24,2020-03-06,144.68,144.2,149.13,148.6,1757900
25,2020-03-05,152.02,147.47,153.63,148.66,1537100
26,2020-03-04,154.5,153.5,157.34,156.44,1593500
27,2020-03-03,155.17,151.34,159.31,152.15,1744300
28,2020-03-02,151.56,149.01,155.94,155.66,1794400
29,2020-02-28,149.68,146.98,152.0,151.29,2158615
30,2020-02-27,155.22,151.93,160.37,154.46,1855725
31,2020-02-26,162.79,157.64,163.9,157.97,1499100
32,2020-02-25,163.72,160.29,164.33,161.01,1995300
33,2020-02-24,162.33,161.21,163.81,162.78,1551511
34,2020-02-21,165.96,163.56,167.53,167.46,1139773
35,2020-02-20,166.1,165.06,169.71,167.12,1019464
36,2020-02-19,166.06,166.06,168.22,167.84,1560800
37,2020-02-18,165.93,164.38,167.1,166.06,1325032
38,2020-02-14,166.17,164.88,166.9,166.78,976400
39,2020-02-13,168.7,165.79,170.11,166.1,1266742
40,2020-02-12,165.54,164.92,168.42,168.04,1163907
