,date,open,low,high,close,volume
0,2020-01-06,62.47,62.17,62.71,62.59,1479277
1,2020-01-03,61.69,61.66,62.7,62.31,2074800
2,2020-01-02,62.86,61.57,62.88,61.71,2420100
3,2020-04-06,56.43,55.68,59.75,58.85,2366407
4,2020-04-03,54.97,54.17,56.73,54.55,2480015
5,2020-04-02,54.81,54.72,57.67,56.86,3684822
6,2020-04-01,56.63,53.96,57.63,55.71,2527900
7,2020-03-31,60.6,58.32,61.73,58.75,4668170
8,2020-03-30,59.21,57.54,62.25,61.94,3586806
9,2020-03-27,55.36,54.91,59.93,58.23,3011804
10,2020-03-26,52.99,52.87,57.91,56.94,2645037
11,2020-03-25,51.05,49.22,55.21,53.32,3504900
12,2020-03-24,49.43,48.22,51.6,51.43,3438120
13,2020-03-23,49.25,46.03,49.34,48.51,3455441
14,2020-03-20,55.95,48.62,55.95,49.55,4233800
15,2020-03-19,60.82,55.78,60.82,56.49,2977941
16,2020-03-18,61.41,54.35,64.34,60.64,4019114
17,2020-03-17,58.4,57.89,67.79,64.82,5261107
18,2020-03-16,56.21,55.7,62.16,56.95,4328000
19,2020-03-13,61.33,57.91,62.63,62.39,4145400
20,2020-03-12,58.77,56.83,63.38,58.89,5920200
21,2020-03-11,64.26,61.98,65.09,63.25,4330069
22,2020-03-10,65.86,62.67,67.72,65.51,5114900
23,2020-03-09,63.58,62.52,66.69,65.42,5894713
24,2020-03-06,66.01,65.35,68.08,67.89,3584608
25,2020-03-05,67.46,66.74,68.99,67.73,2997109
26,2020-03-04,65.28,65.27,68.72,68.35,2932003
27,2020-03-03,64.25,63.7,65.75,64.32,4155434
28,2020-03-02,60.6,60.56,64.15,64.14,3386700
29,2020-02-28,61.57,59.12,61.72,60.42,5533307
30,2020-02-27,66.22,62.77,66.72,62.82,3190000
31,2020-02-26,66.99,66.43,67.68,66.44,2033000
32,2020-02-25,68.31,66.82,68.57,66.84,2173507
33,2020-02-24,68.56,67.95,68.91,68.25,2121848
34,2020-02-21,68.55,68.44,69.17,68.45,2028300
35,2020-02-20,68.47,68.03,68.64,68.59,1390137
36,2020-02-19,68.75,68.45,68.97,68.48,1629728
37,2020-02-18,68.81,68.63,69.12,68.86,1400003
38,2020-02-14,68.14,68.0,68.63,68.51,1365700
39,2020-02-13,67.46,67.2,67.97,67.92,1624108
40,2020-02-12,67.05,66.97,67.64,67.36,1337336
41,2020-02-11,67.65,67.24,67.82,67.37,1161700
42,2020-02-10,67.0,67.0,67.68,67.56,1380548
43,2020-02-07,67.68,67.09,67.72,67.14,1545500
44,2020-02-06,67.63,67.12,67.7,67.32,1677900
45,2020-02-05,67.27,66.97,68.05,67.91,2119535
46,2020-02-04,68.24,67.37,68.46,67.37,2346406
47,2020-02-03,68.62,68.41,68.93,68.48,1850300
48,2020-01-31,68.27,67.96,68.98,68.51,2939413
49,2020-01-30,67.46,67.07,68.08,68.07,2429700
50,2020-01-29,67.07,66.53,67.38,67.31,1697652
51,2020-01-28,67.28,66.88,67.55,67.07,1857900
52,2020-01-27,67.48,66.79,67.96,67.25,1627942
53,2020-01-24,67.04,66.93,67.74,67.49,1625242
54,2020-01-23,66.57,66.57,67.12,67.11,1832426
55,2020-01-22,66.32,66.32,66.78,66.55,2443300
56,2020-01-21,65.65,65.53,66.21,66.21,2539200
57,2020-01-17,65.54,65.14,65.88,65.65,2605000
58,2020-01-16,65.05,64.94,65.51,65.38,1915200
59,2020-01-15,64.15,64.12,64.91,64.7,1481827
60,2020-01-14,63.67,63.48,63.9,63.89,1789031
61,2020-01-13,63.07,63.07,63.93,63.69,1474500
62,2020-01-10,62.93,62.75,63.17,63.06,1844000
63,2020-01-09,62.12,62.0,62.88,62.73,1152400
64,2020-01-08,62.36,61.93,62.39,62.25,1703714
65,2020-01-07,62.48,62.09,62.65,62.27,1683575
66,2020-07-06,60.53,59.73,61.26,60.03,1662030
67,2020-07-02,60.24,60.13,60.88,60.3,1634500
68,2020-07-01,58.41,58.27,60.26,59.96,1959114
69,2020-06-30,57.77,57.59,58.74,58.42,3315200
70,2020-06-29,57.04,56.41,57.57,57.55,1766100
71,2020-06-26,56.72,55.99,57.56,56.52,2430821
72,2020-06-25,57.21,55.8,57.21,56.77,1446436
73,2020-06-24,57.31,56.46,57.61,57.4,2008050
74,2020-06-23,59.19,57.63,59.31,57.82,1470748
75,2020-06-22,57.86,57.38,59.37,58.77,1803441
76,2020-06-19,59.88,57.93,59.88,57.93,3748100
77,2020-06-18,58.72,58.21,59.29,59.03,1362200
78,2020-06-17,59.36,58.26,59.79,59.12,1459700
79,2020-06-16,59.8,58.86,60.34,59.13,1902200
80,2020-06-15,57.34,56.74,59.2,58.47,2157500
81,2020-06-12,59.04,57.44,59.12,58.3,2185442
82,2020-06-11,59.26,57.53,59.45,58.11,2379000
83,2020-06-10,60.2,59.42,60.7,59.9,2222604
84,2020-06-09,60.6,59.2,60.63,60.29,2325306
85,2020-06-08,59.16,58.62,61.19,60.98,1536702
86,2020-06-05,59.11,58.75,60.27,59.44,1988713
87,2020-06-04,59.75,58.1,60.04,58.79,1539239
88,2020-06-03,59.71,59.51,60.46,60.14,1584137
89,2020-06-02,59.42,58.52,59.51,59.5,1649122
90,2020-06-01,58.58,58.23,59.51,59.01,1504354
91,2020-05-29,57.5,57.38,58.96,58.58,2498029
92,2020-05-28,56.93,56.75,58.11,57.93,1380315
93,2020-05-27,56.52,55.22,56.54,55.97,1775000
94,2020-05-26,56.41,55.45,56.84,55.68,1289143
95,2020-05-22,54.74,54.67,55.64,55.59,1497300
96,2020-05-21,55.29,54.7,55.95,54.74,1313700
97,2020-05-20,55.62,55.16,56.17,55.44,1412021
98,2020-05-19,55.64,55.31,56.3,55.31,1551000
99,2020-05-18,55.18,55.01,56.44,56.09,1701400
100,2020-05-15,54.15,52.35,54.15,53.68,3950811
101,2020-05-14,53.78,52.54,54.46,54.37,2359208
102,2020-05-13,55.22,54.22,55.22,54.63,3484022
103,2020-05-12,55.42,54.91,55.92,55.55,4242829
104,2020-05-11,54.92,54.1,55.7,55.48,1947500
105,2020-05-08,55.11,54.56,55.59,55.29,1457900
106,2020-05-07,55.32,54.44,55.61,54.54,1631300
107,2020-05-06,57.19,54.63,57.48,54.66,1535800
108,2020-05-05,56.68,56.51,57.7,57.16,1522831
109,2020-05-04,55.73,55.43,56.79,56.74,1662237
110,2020-05-01,56.56,55.65,56.58,55.95,1956131
111,2020-04-30,56.97,55.97,57.35,57.09,2673800
112,2020-04-29,60.17,57.14,60.17,57.26,2640600
113,2020-04-28,58.76,58.38,59.6,59.21,2908511
114,2020-04-27,59.19,57.77,60.06,58.0,2427352
115,2020-04-24,59.56,58.34,59.56,59.4,1972600
116,2020-04-23,59.73,58.48,60.18,59.24,2049900
117,2020-04-22,59.32,58.8,60.54,59.99,2221443
118,2020-04-21,58.12,57.97,59.1,58.41,2009543
119,2020-04-20,62.44,59.03,62.66,59.19,2123547
120,2020-04-17,62.93,61.67,63.33,63.17,1783900
121,2020-04-16,61.02,60.16,62.24,61.88,2139821
122,2020-04-15,61.34,60.46,63.12,60.7,2063300
123,2020-04-14,62.41,61.42,62.55,62.27,1937700
124,2020-04-13,61.59,60.63,62.4,61.16,1612605
125,2020-04-09,61.06,60.91,64.08,62.33,2400746
126,2020-04-08,57.86,57.33,61.19,60.64,1727800
127,2020-04-07,60.17,57.33,60.23,57.34,2482500
128,2020-10-05,61.71,60.84,61.92,61.58,1466406
129,2020-10-02,61.32,60.97,62.01,61.66,1356200
130,2020-10-01,61.49,61.19,61.95,61.68,1591614
131,2020-09-30,61.5,61.15,61.94,61.41,1534400
132,2020-09-29,61.63,61.02,61.96,61.11,1026440
133,2020-09-28,61.5,61.17,62.24,61.4,1047018
134,2020-09-25,59.41,59.23,61.38,61.34,1781233
135,2020-09-24,59.56,58.63,60.14,59.58,1695600
136,2020-09-23,60.74,59.4,61.02,59.57,1395702
137,2020-09-22,59.92,59.88,60.78,60.69,1775209
138,2020-09-21,59.87,59.1,61.01,59.99,1995000
139,2020-09-18,61.17,60.71,61.45,61.1,3521111
140,2020-09-17,61.61,60.86,61.65,61.34,1823434
141,2020-09-16,61.19,61.16,62.44,61.94,1512500
142,2020-09-15,61.71,60.74,62.21,61.11,1685501
143,2020-09-14,61.25,60.89,61.72,61.42,1589523
144,2020-09-11,60.98,60.44,61.29,60.91,1411048
145,2020-09-10,61.54,60.74,61.86,60.8,1867200
