,date,open,low,high,close,volume
0,2020-01-06,61.05,60.95,63.1,63.03,4126457
1,2020-01-03,60.74,60.74,62.12,61.16,5007276
2,2020-01-02,62.98,60.82,63.27,61.88,4989230
3,2020-04-06,56.99,56.3701,60.62,60.12,4623387
4,2020-04-03,55.95,53.83,56.75,54.6,3866130
5,2020-04-02,55.52,54.02,57.46,56.36,3010188
6,2020-04-01,56.36,55.65,57.64,56.12,4918902
7,2020-03-31,57.71,56.23,59.91,59.41,7867260
8,2020-03-30,55.24,54.87,58.96,57.71,4633507
9,2020-03-27,55.63,53.9,57.48,55.1,4762912
10,2020-03-26,53.25,52.17,58.61,58.3,6688759
11,2020-03-25,48.5,46.71,54.85,52.29,6400487
12,2020-03-24,48.17,46.27,50.25,48.73,8145562
13,2020-03-23,47.97,44.81,48.07,45.55,7402716
14,2020-03-20,54.48,47.95,57.35,48.85,8819925
15,2020-03-19,51.96,48.03,54.5,53.6,5959894
16,2020-03-18,54.03,43.96,55.66,52.68,7995220
17,2020-03-17,55.13,52.75,58.52,57.99,7712499
18,2020-03-16,56.77,54.02,58.43,54.03,7447397
19,2020-03-13,59.5,56.98,63.97,63.57,8776680
20,2020-03-12,52.75,51.865,60.6665,57.13,9086761
21,2020-03-11,58.12,57.15,59.98,57.95,8433033
22,2020-03-10,57.26,56.33,60.7,60.37,8517066
23,2020-03-09,53.94,53.0,57.3299,55.36,8344092
24,2020-03-06,57.4,56.33,58.83,58.56,8684087
25,2020-03-05,60.39,58.62,62.58,59.72,6644915
26,2020-03-04,60.9,59.74,63.39,62.46,17465257
27,2020-03-03,55.5,53.2368,57.35,54.03,8881821
28,2020-03-02,53.51,51.55,55.6,55.44,9915659
29,2020-02-28,50.66,50.46,53.07,53.02,8709258
30,2020-02-27,53.27,52.15,55.215,52.62,9897357
31,2020-02-26,55.84,53.54,56.57,54.39,9902333
32,2020-02-25,59.78,55.83,59.9,55.95,6070751
33,2020-02-24,62.37,58.75,63.4565,59.35,8467320
34,2020-02-21,65.21,64.84,65.92,65.49,3216504
35,2020-02-20,66.7,65.14,66.92,65.73,3706345
36,2020-02-19,66.72,66.07,67.45,67.37,7310102
37,2020-02-18,65.03,64.78,66.87,66.71,7067876
38,2020-02-14,65.78,64.27,65.88,64.94,6006494
39,2020-02-13,65.79,65.72,66.85,65.89,3150584
40,2020-02-12,64.66,64.57,67.07,66.49,6728388
41,2020-02-11,63.14,63.04,64.21,63.71,3660293
42,2020-02-10,63.15,62.495,63.27,63.0,4331594
43,2020-02-07,64.43,62.9,64.435,63.16,3855106
44,2020-02-06,65.81,63.71,65.99,64.35,5821383
45,2020-02-05,63.17,63.12,66.34,66.07,6653224
46,2020-02-04,61.82,60.5,64.0,61.97,8456061
47,2020-02-03,63.31,62.28,63.41,62.88,7363788
48,2020-01-31,62.84,62.189,63.24,62.81,8700812
49,2020-01-30,64.33,62.556,64.57,63.52,6209341
50,2020-01-29,65.08,64.26,65.88,65.2,8246985
51,2020-01-28,64.05,63.99,65.5,65.25,7021444
52,2020-01-27,65.62,62.91,65.66,63.42,11246384
53,2020-01-24,68.31,66.49,68.64,66.61,7367153
54,2020-01-23,66.7,65.055,68.08,68.02,11210117
55,2020-01-22,65.86,65.42,67.49,66.76,8781005
56,2020-01-21,64.23,64.21,66.09,65.49,3498640
57,2020-01-17,65.07,63.47,65.08,64.54,3646863
58,2020-01-16,64.68,64.06,65.18,65.13,2122971
59,2020-01-15,63.35,63.29,64.99,64.52,3381799
60,2020-01-14,63.29,62.89,63.56,63.17,5847865
61,2020-01-13,64.31,62.83,64.44,63.4,4564684
62,2020-01-10,64.5,64.09,64.99,64.48,2930489
63,2020-01-09,64.52,63.96,64.77,64.16,2527105
64,2020-01-08,63.09,62.71,64.59,64.37,3984282
65,2020-01-07,63.03,61.91,63.29,63.03,3521660
66,2020-07-06,67.53,66.134,67.55,66.63,2947143
67,2020-07-02,65.89,65.82,67.63,66.52,3455747
68,2020-07-01,63.97,63.96,65.89,65.41,4396651
69,2020-06-30,62.71,61.08,64.13,63.55,5409807
70,2020-06-29,59.85,59.57,62.6,62.59,6077786
71,2020-06-26,63.17,59.58,63.28,59.75,19687345
72,2020-06-25,61.5,60.65,63.41,63.36,5602739
73,2020-06-24,63.45,61.12,63.98,61.88,5220232
74,2020-06-23,63.63,62.65,64.44,63.77,5315697
75,2020-06-22,63.87,62.66,63.98,63.1,4589607
76,2020-06-19,65.01,63.72,65.36,64.22,6259264
77,2020-06-18,62.96,62.6,64.14,63.95,2912512
78,2020-06-17,64.24,63.03,64.24,63.53,2840333
79,2020-06-16,63.98,62.86,65.11,64.08,3854847
80,2020-06-15,60.43,59.54,62.63,61.98,4863853
81,2020-06-12,64.24,60.4,64.29,61.94,6226389
82,2020-06-11,63.84,59.65,63.99,60.26,4164503
83,2020-06-10,65.85,64.02,66.09,64.41,3897664
84,2020-06-09,67.13,65.45,67.26,65.67,2916304
85,2020-06-08,64.36,64.2,67.25,67.18,4773473
86,2020-06-05,65.26,64.43,65.8,65.11,4544273
87,2020-06-04,64.81,63.34,65.57,64.39,4077872
88,2020-06-03,67.09,65.2,67.23,65.36,3076288
89,2020-06-02,65.61,64.57,66.4,66.27,2997298
90,2020-06-01,66.04,64.73,66.33,65.7,2779320
91,2020-05-29,67.18,65.1,67.84,66.25,5304168
92,2020-05-28,66.39,65.61,67.74,66.9,3067874
93,2020-05-27,65.13,62.37,65.74,65.69,3295493
94,2020-05-26,66.05,64.0923,66.09,64.49,4161495
95,2020-05-22,66.22,64.685,66.27,64.84,2678327
96,2020-05-21,64.75,64.15,65.8,65.65,3285541
97,2020-05-20,67.5,64.98,67.6,65.32,4181820
98,2020-05-19,67.38,66.87,68.45,66.91,2397832
