,date,open,low,high,close,volume
0,2020-01-06,26.77,26.68,27.0,26.75,3516065
1,2020-01-03,26.77,26.73,26.94,26.79,3405430
2,2020-01-02,27.33,26.69,27.34,26.95,3385818
3,2020-04-06,14.02,13.85,15.47,15.3,8633800
4,2020-04-03,13.98,13.06,14.17,13.44,18401710
5,2020-04-02,13.81,13.58,14.7,14.13,18760800
6,2020-04-01,14.45,13.65,14.58,14.12,9715400
7,2020-03-31,16.07,15.34,16.22,15.45,8538189
8,2020-03-30,16.4,15.52,16.55,16.23,7026604
9,2020-03-27,15.22,15.08,17.02,16.3,9872319
10,2020-03-26,15.17,15.02,16.23,15.89,9138008
11,2020-03-25,13.98,13.07,15.75,15.13,10463367
12,2020-03-24,13.1,12.9,13.87,13.63,6956800
13,2020-03-23,12.37,11.93,12.86,12.1,7791015
14,2020-03-20,12.49,11.68,13.73,12.48,16152247
15,2020-03-19,12.35,11.58,12.74,12.23,6883800
16,2020-03-18,13.66,11.67,13.86,12.47,9909700
17,2020-03-17,12.75,12.21,14.66,14.65,12252316
18,2020-03-16,14.21,12.35,14.45,12.48,12262417
19,2020-03-13,15.57,14.0,15.74,15.55,11802129
20,2020-03-12,16.34,14.63,16.4,14.87,13141000
21,2020-03-11,18.12,16.97,18.25,17.66,16348938
22,2020-03-10,18.63,17.42,18.81,18.71,14277218
23,2020-03-09,20.64,17.16,21.55,18.03,11313732
24,2020-03-06,22.0,20.93,22.11,21.55,11016933
25,2020-03-05,23.43,22.49,23.47,22.67,9387500
26,2020-03-04,23.27,22.96,23.95,23.82,6441600
27,2020-03-03,23.64,22.8,24.18,23.1,10594041
28,2020-03-02,23.08,22.79,23.75,23.75,7324600
29,2020-02-28,23.74,22.48,23.79,23.02,12507100
30,2020-02-27,24.11,23.6,25.33,24.16,12105527
31,2020-02-26,24.5,24.04,24.75,24.08,5898600
32,2020-02-25,25.23,24.45,25.45,24.49,6731368
33,2020-02-24,25.07,24.74,25.3,25.22,6522800
34,2020-02-21,25.62,25.23,25.78,25.27,13501900
35,2020-02-20,26.33,25.53,26.39,25.72,9634507
36,2020-02-19,26.74,26.24,26.86,26.43,6321008
37,2020-02-18,27.18,26.96,27.37,27.08,5284800
38,2020-02-14,27.3,27.11,27.53,27.18,3707623
39,2020-02-13,27.01,27.0,27.25,27.18,2565700
40,2020-02-12,27.03,26.94,27.19,27.12,2535100
41,2020-02-11,26.95,26.91,27.15,27.03,2051000
42,2020-02-10,26.72,26.57,27.4,26.86,3708700
43,2020-02-07,26.91,26.66,26.91,26.72,4284700
44,2020-02-06,26.75,26.57,26.94,26.86,4190400
45,2020-02-05,26.53,26.42,26.94,26.75,4011900
46,2020-02-04,26.31,26.23,26.74,26.52,5840800
47,2020-02-03,26.53,26.33,26.76,26.34,5998611
48,2020-01-31,26.63,26.2,26.7,26.48,5125400
49,2020-01-30,26.56,26.43,26.73,26.67,2631500
50,2020-01-29,26.33,26.31,26.66,26.58,3266435
51,2020-01-28,26.28,26.06,26.45,26.31,4442200
52,2020-01-27,26.45,26.14,26.63,26.21,4298500
53,2020-01-24,26.87,26.26,26.87,26.46,6227444
54,2020-01-23,26.15,26.11,26.97,26.93,5030521
55,2020-01-22,27.07,26.17,27.27,26.18,11147607
56,2020-01-21,27.07,26.81,27.17,27.01,5347742
57,2020-01-17,27.06,26.9,27.2,27.05,4882448
58,2020-01-16,27.09,26.78,27.17,27.05,4761392
59,2020-01-15,26.7,26.66,27.11,27.0,3302810
60,2020-01-14,26.58,26.45,26.82,26.66,4837220
61,2020-01-13,26.3,26.2,26.48,26.28,4303647
62,2020-01-10,26.43,25.9,26.44,26.3,8430700
63,2020-01-09,26.61,26.31,26.61,26.45,5709500
64,2020-01-08,26.92,26.62,26.94,26.64,5922605
65,2020-01-07,26.76,26.37,26.88,26.87,4252205
66,2020-07-06,19.75,19.32,19.95,19.6,7024500
67,2020-07-02,19.48,19.4,19.77,19.46,7950045
68,2020-07-01,18.7,18.67,19.41,19.27,10663700
69,2020-06-30,18.63,18.39,18.81,18.67,6321113
70,2020-06-29,17.91,17.73,18.62,18.62,9176285
71,2020-06-26,18.03,17.53,18.11,17.7,14146216
72,2020-06-25,18.21,17.89,18.34,18.15,9782203
73,2020-06-24,17.97,17.88,18.54,18.33,12808369
74,2020-06-23,18.27,17.93,18.37,18.18,6500201
75,2020-06-22,17.7,17.59,18.14,18.05,8487000
76,2020-06-19,18.65,17.78,18.65,17.79,21473000
77,2020-06-18,18.28,18.23,18.64,18.35,9331133
78,2020-06-17,18.5,18.16,18.62,18.46,8001600
79,2020-06-16,18.94,18.33,19.34,18.39,8157400
80,2020-06-15,17.5,17.34,18.6,18.27,9072700
81,2020-06-12,18.36,17.73,18.6,18.0,10230400
82,2020-06-11,17.59,17.38,17.93,17.77,14137854
83,2020-06-10,18.72,18.2,18.85,18.39,10804903
84,2020-06-09,18.75,18.25,18.82,18.63,14122400
85,2020-06-08,18.4,18.38,19.33,19.09,16830745
86,2020-06-05,18.58,18.21,18.98,18.25,14693641
87,2020-06-04,18.36,17.83,18.38,18.05,8684909
88,2020-06-03,18.37,18.33,18.68,18.46,9318115
89,2020-06-02,18.03,17.93,18.27,18.1,10456311
90,2020-06-01,17.78,17.71,18.25,18.05,7149212
91,2020-05-29,17.88,17.36,18.0,17.78,12805887
92,2020-05-28,17.83,17.54,18.12,18.02,8638900
93,2020-05-27,18.02,17.43,18.13,17.5,8866200
94,2020-05-26,17.54,17.41,17.83,17.49,9083965
95,2020-05-22,16.78,16.72,16.97,16.92,6535300
96,2020-05-21,16.94,16.7,17.15,16.76,6678326
97,2020-05-20,17.12,16.85,17.3,16.92,8979023
98,2020-05-19,17.35,16.89,17.41,17.04,7583402
99,2020-05-18,17.65,17.4,17.9,17.49,12625821
100,2020-05-15,17.11,16.56,17.23,16.8,13774200
101,2020-05-14,16.66,16.4,17.33,17.28,14667834
102,2020-05-13,17.63,16.63,17.67,16.9,8421617
103,2020-05-12,17.94,17.79,18.26,17.79,16858200
104,2020-05-11,18.39,17.83,18.49,18.18,9988045
105,2020-05-08,18.09,18.09,18.68,18.59,17847661
106,2020-05-07,17.58,17.53,19.12,17.81,27800323
107,2020-05-06,16.5,15.93,16.56,15.98,6115711
108,2020-05-05,16.6,16.33,16.8,16.39,3896801
109,2020-05-04,16.27,15.75,16.39,16.36,4730445
110,2020-05-01,16.68,16.17,16.73,16.46,3554100
111,2020-04-30,17.51,16.77,17.54,17.03,6477500
112,2020-04-29,18.03,17.58,18.18,17.69,4675200
113,2020-04-28,17.78,17.27,18.13,17.41,5048000
114,2020-04-27,16.78,16.71,17.4,17.32,5612726
115,2020-04-24,16.52,16.16,16.78,16.68,5995600
116,2020-04-23,16.25,16.21,16.7,16.42,7125200
117,2020-04-22,15.89,15.31,16.4,16.19,5985900
118,2020-04-21,15.29,15.18,15.8,15.51,5108900
119,2020-04-20,15.95,15.62,16.35,15.75,6976800
120,2020-04-17,16.33,16.25,16.9,16.53,7588246
121,2020-04-16,15.9,15.46,16.13,15.79,5809500
122,2020-04-15,16.24,15.73,16.4,15.87,8433517
123,2020-04-14,17.25,16.8,17.45,17.0,5513700
124,2020-04-13,17.88,16.75,17.92,16.89,6616241
125,2020-04-09,17.2,17.2,18.24,17.81,10495753
126,2020-04-08,15.7,15.43,16.9,16.82,7016400
127,2020-04-07,16.46,15.39,16.65,15.47,10940913
128,2020-10-05,20.02,19.71,20.24,20.19,3382604
129,2020-10-02,19.2,19.1,19.98,19.93,5795606
130,2020-10-01,19.44,19.19,19.48,19.4,3313607
131,2020-09-30,19.14,19.06,19.49,19.35,5278800
132,2020-09-29,19.11,18.78,19.26,19.0,2858440
133,2020-09-28,19.17,18.99,19.3,19.02,3074222
134,2020-09-25,18.75,18.67,19.01,18.99,3570800
135,2020-09-24,18.82,18.6,19.14,18.9,4206943
136,2020-09-23,18.93,18.84,19.13,18.86,5520610
137,2020-09-22,18.84,18.79,19.11,18.91,3106514
138,2020-09-21,18.75,18.67,19.25,18.9,6933700
139,2020-09-18,19.24,18.84,19.29,18.93,10942126
140,2020-09-17,19.57,19.13,19.59,19.29,4768812
141,2020-09-16,19.02,19.02,19.77,19.74,7213172
142,2020-09-15,19.58,18.86,19.66,19.01,4827483
143,2020-09-14,19.57,19.42,19.86,19.54,4468843
144,2020-09-11,19.45,19.26,19.56,19.45,2795638
145,2020-09-10,19.46,19.4,19.77,19.45,3673315
146,2020-09-09,19.58,19.39,19.73,19.53,6291200
147,2020-09-08,19.83,19.31,19.94,19.37,3899606
148,2020-09-04,20.23,19.6,20.3,19.87,3613637
149,2020-09-03,20.59,19.96,20.75,20.15,3829400
150,2020-09-02,19.98,19.88,20.55,20.45,3410418
151,2020-09-01,19.85,19.74,20.05,20.0,3018800
152,2020-08-31,19.98,19.88,20.13,20.07,4348200
153,2020-08-28,19.85,19.61,19.98,19.95,2492920
154,2020-08-27,19.69,19.61,19.92,19.76,3315715
155,2020-08-26,19.89,19.55,19.89,19.64,3582127
156,2020-08-25,20.39,19.9,20.39,20.01,3347613
157,2020-08-24,19.83,19.81,20.26,20.22,4113822
158,2020-08-21,19.91,19.7,20.08,19.79,4430200
159,2020-08-20,20.13,19.81,20.19,19.82,5580900
160,2020-08-19,20.14,20.11,20.48,20.25,3552909
161,2020-08-18,20.66,20.11,20.77,20.24,6967946
162,2020-08-17,20.54,20.46,20.84,20.65,5439000
163,2020-08-14,20.64,20.27,20.65,20.54,4585438
164,2020-08-13,20.26,20.26,20.87,20.74,5698300
165,2020-08-12,20.83,20.39,20.95,20.4,8297450
166,2020-08-11,21.22,20.6,21.42,20.61,5286233
167,2020-08-10,20.58,20.49,21.04,20.98,4454734
168,2020-08-07,20.19,20.15,20.7,20.41,7286401
169,2020-08-06,19.05,19.05,20.51,20.27,11881251
170,2020-08-05,19.68,18.9,19.83,19.02,8742571
171,2020-08-04,19.26,19.26,19.92,19.49,8598400
172,2020-08-03,18.94,18.77,19.55,19.32,5847185
173,2020-07-31,19.16,18.4,19.3,19.01,16893400
174,2020-07-30,19.2,18.77,19.22,19.13,7231600
175,2020-07-29,19.42,19.11,19.47,19.43,4183700
176,2020-07-28,19.01,19.0,19.57,19.35,3973100
177,2020-07-27,19.65,18.86,19.74,19.07,7229926
178,2020-07-24,20.24,19.62,20.35,19.74,3685900
179,2020-07-23,19.96,19.88,20.59,20.21,5931013
180,2020-07-22,19.29,19.21,20.11,20.01,7282600
181,2020-07-21,19.25,19.06,19.42,19.4,6556600
182,2020-07-20,19.86,19.06,19.98,19.18,4760133
183,2020-07-17,19.38,19.3,19.94,19.86,7708300
184,2020-07-16,19.3,19.05,19.47,19.29,4771431
185,2020-07-15,19.56,19.28,19.86,19.3,5236917
186,2020-07-14,19.23,19.18,19.58,19.28,11003904
187,2020-07-13,19.3,19.13,19.51,19.21,6914832
188,2020-07-10,19.0,18.95,19.35,19.27,4330207
189,2020-07-09,19.22,18.51,19.23,18.95,14225332
190,2020-07-08,19.46,19.23,19.48,19.33,5555200
191,2020-07-07,19.4,19.24,19.63,19.49,5533600
192,2021-01-04,21.67,21.18,21.74,21.34,3968000
193,2020-12-31,21.4,21.25,21.69,21.64,1938100
194,2020-12-30,21.24,21.17,21.55,21.42,1767034
195,2020-12-29,21.55,21.19,21.67,21.3,3866432
196,2020-12-28,21.68,21.41,21.78,21.41,2874887
197,2020-12-24,21.47,21.21,21.59,21.58,1011209
198,2020-12-23,21.02,21.02,21.62,21.5,4264400
199,2020-12-22,21.05,20.72,21.13,20.82,4981400
200,2020-12-21,21.61,20.97,21.66,21.05,5876900
201,2020-12-18,21.91,21.7,22.03,21.87,11279147
202,2020-12-17,22.0,21.86,22.27,21.88,4021019
203,2020-12-16,22.27,21.73,22.31,21.87,4051900
204,2020-12-15,21.76,21.6,22.29,22.24,4909574
205,2020-12-14,22.0,21.6,22.05,21.64,5438979
206,2020-12-11,21.71,21.6,21.98,21.75,4718800
207,2020-12-10,22.14,21.66,22.32,21.8,6702200
208,2020-12-09,22.61,22.0,22.7,22.23,15465208
209,2020-12-08,23.02,22.45,23.1,22.5,4182900
210,2020-12-07,22.76,22.61,23.56,23.14,5138711
211,2020-12-04,22.84,22.74,23.2,22.86,3553000
212,2020-12-03,22.89,22.75,23.15,22.79,5976435
213,2020-12-02,22.74,22.4,22.96,22.93,5911658
214,2020-12-01,23.38,22.83,23.61,22.83,7136900
215,2020-11-30,24.03,23.08,24.13,23.19,9171000
216,2020-11-27,24.59,24.04,24.7,24.07,2954244
217,2020-11-25,24.42,24.28,24.7,24.51,3383538
218,2020-11-24,24.29,23.89,24.5,24.36,7894228
219,2020-11-23,23.56,23.54,24.0,23.98,5901937
220,2020-11-20,23.35,23.28,23.62,23.46,3871500
221,2020-11-19,23.61,23.15,23.78,23.43,6246600
222,2020-11-18,25.15,23.74,25.17,23.75,6138313
223,2020-11-17,24.72,24.62,25.39,25.17,8909300
224,2020-11-16,24.62,24.6,25.11,25.09,8801700
225,2020-11-13,23.59,23.55,24.27,24.25,4789592
226,2020-11-12,23.87,23.11,23.87,23.44,3982400
227,2020-11-11,24.12,23.97,24.58,24.07,5034700
228,2020-11-10,23.9,23.76,24.14,24.1,4763500
229,2020-11-09,24.0,23.48,24.4,23.73,9153600
230,2020-11-06,22.71,22.45,22.91,22.86,4481422
231,2020-11-05,21.85,21.85,23.17,22.67,6296262
232,2020-11-04,21.76,21.49,22.2,21.56,4028940
233,2020-11-03,21.79,21.67,22.18,21.79,3983200
234,2020-11-02,21.42,21.06,21.56,21.47,5072541
235,2020-10-30,21.49,21.0,21.55,21.13,4946642
236,2020-10-29,21.21,20.89,21.67,21.48,4505004
237,2020-10-28,21.78,21.25,22.27,21.3,4814806
238,2020-10-27,22.22,22.1,22.46,22.33,5187200
239,2020-10-26,21.85,21.76,22.19,22.13,4626300
240,2020-10-23,22.32,22.01,22.49,22.23,3794400
241,2020-10-22,21.55,21.44,22.14,22.07,3893285
242,2020-10-21,21.25,21.21,21.82,21.53,5477800
243,2020-10-20,20.92,20.81,21.97,21.34,5832032
244,2020-10-19,20.73,20.73,21.01,20.8,3288445
245,2020-10-16,20.94,20.65,21.12,20.85,2424100
246,2020-10-15,20.59,20.59,20.99,20.92,2190000
247,2020-10-14,20.85,20.61,21.06,20.79,2780164
248,2020-10-13,21.39,20.77,21.59,20.82,5772200
249,2020-10-12,21.4,21.22,21.82,21.61,5879712
250,2020-10-09,21.39,21.21,21.54,21.37,5488000
251,2020-10-08,20.77,20.68,21.36,21.32,4644159
252,2020-10-07,20.7,20.47,20.92,20.65,3957681
253,2020-10-06,20.29,20.09,20.81,20.57,5278933
254,2021-04-05,22.74,22.7,23.06,22.94,2374320
255,2021-04-01,22.65,22.46,22.7,22.65,1886500
256,2021-03-31,22.68,22.45,22.87,22.65,3533188
257,2021-03-30,22.54,22.24,22.81,22.8,3533131
258,2021-03-29,21.89,21.89,22.85,22.65,4403400
259,2021-03-26,22.32,21.76,22.46,21.97,3745507
260,2021-03-25,21.85,21.54,22.41,22.3,3481403
261,2021-03-24,21.8,21.73,22.18,21.75,3659046
262,2021-03-23,21.9,21.7,22.13,21.88,4970941
263,2021-03-22,22.14,21.79,22.38,21.96,4077675
264,2021-03-19,22.0,21.77,22.53,22.26,9138813
265,2021-03-18,22.28,21.92,22.34,21.94,3531900
266,2021-03-17,22.42,22.22,22.54,22.27,4349483
267,2021-03-16,22.42,22.13,22.54,22.44,6174510
268,2021-03-15,22.05,21.97,22.59,22.57,4399243
269,2021-03-12,21.35,21.24,22.08,21.97,6914100
270,2021-03-11,21.32,21.19,21.84,21.29,5218700
271,2021-03-10,20.89,20.88,21.5,21.32,8416724
272,2021-03-09,20.76,20.59,21.05,20.9,7772011
273,2021-03-08,21.04,20.6,21.04,20.81,5234121
274,2021-03-05,20.12,20.05,20.8,20.66,4830431
275,2021-03-04,19.74,19.56,20.41,19.87,4702800
276,2021-03-03,19.46,19.38,19.64,19.45,4212919
277,2021-03-02,19.69,19.51,19.71,19.57,4403600
278,2021-03-01,19.8,19.57,20.03,19.6,4653774
279,2021-02-26,19.53,19.31,19.85,19.44,10415200
280,2021-02-25,20.8,19.53,21.45,19.75,9452578
281,2021-02-24,20.69,20.51,21.2,20.81,4136300
282,2021-02-23,20.67,20.61,20.94,20.78,4276326
283,2021-02-22,21.18,20.17,21.34,20.67,7743700
284,2021-02-19,21.78,21.42,21.91,21.43,3970807
285,2021-02-18,21.5,21.44,22.1,21.8,4639877
286,2021-02-17,21.48,20.68,21.62,21.53,7147330
287,2021-02-16,21.39,21.26,21.66,21.54,5351219
288,2021-02-12,21.17,21.1,21.44,21.38,3054163
289,2021-02-11,21.48,21.18,21.59,21.25,2229524
290,2021-02-10,21.41,21.27,21.56,21.46,2561000
291,2021-02-09,21.1,20.94,21.34,21.28,4505420
292,2021-02-08,21.34,20.94,21.43,21.03,3873436
293,2021-02-05,21.63,21.26,21.63,21.4,2425131
294,2021-02-04,21.1,20.93,21.45,21.43,4175009
295,2021-02-03,21.45,20.98,21.5,21.15,3410534
296,2021-02-02,21.43,21.28,21.77,21.5,3703200
297,2021-02-01,21.29,21.1,21.6,21.24,3126409
298,2021-01-29,21.41,20.83,21.68,21.09,4984583
299,2021-01-28,21.0,20.92,21.84,21.58,4579546
300,2021-01-27,21.62,20.64,21.83,20.86,5307105
301,2021-01-26,21.73,21.54,22.06,21.95,3550870
302,2021-01-25,21.34,21.25,21.86,21.67,3758738
303,2021-01-22,21.56,21.28,21.59,21.44,2867132
304,2021-01-21,21.52,21.28,21.77,21.69,3683252
305,2021-01-20,21.47,21.28,21.73,21.48,3790900
306,2021-01-19,21.6,21.38,21.79,21.69,4188635
307,2021-01-15,21.3,21.0,21.52,21.46,5414309
308,2021-01-14,20.82,20.58,20.94,20.85,3707012
309,2021-01-13,20.62,20.55,20.94,20.82,3229295
310,2021-01-12,20.75,20.52,20.98,20.7,4201900
