,date,open,low,high,close,volume
0,2020-01-06,100.88,100.06,101.13,101.08,1526300
1,2020-01-03,101.98,101.32,102.52,102.0,1450100
2,2020-01-02,103.41,102.3,103.62,103.61,1603049
3,2020-04-06,46.28,45.79,50.17,49.42,5842700
4,2020-04-03,43.78,39.9,43.89,42.27,6421507
5,2020-04-02,43.75,43.08,45.86,43.93,5459501
6,2020-04-01,46.43,44.0,46.63,44.68,7349305
7,2020-03-31,52.97,50.0,53.77,50.42,5285523
8,2020-03-30,54.59,52.32,54.99,53.87,3843584
9,2020-03-27,54.62,52.69,57.08,55.3,4392250
10,2020-03-26,55.57,54.46,61.4,57.87,6026677
11,2020-03-25,52.61,50.05,55.0,52.34,5469144
12,2020-03-24,46.46,46.01,51.34,50.91,5553300
13,2020-03-23,43.39,42.03,44.94,42.87,6720901
14,2020-03-20,48.0,43.59,48.3,45.01,8038300
15,2020-03-19,43.08,39.78,47.83,46.26,9057920
16,2020-03-18,49.69,38.0,50.34,44.3,12148700
17,2020-03-17,56.44,51.31,57.15,53.92,10475224
18,2020-03-16,61.01,55.44,64.15,55.45,6562322
19,2020-03-13,69.0,66.29,72.99,72.84,5763903
20,2020-03-12,65.96,61.08,68.32,63.63,7039824
21,2020-03-11,75.96,70.59,76.37,71.42,5370946
22,2020-03-10,76.52,73.62,78.35,78.35,6218225
23,2020-03-09,75.17,71.06,77.14,73.07,4879502
24,2020-03-06,81.67,80.56,83.39,82.29,4155224
25,2020-03-05,86.01,83.9,87.05,85.08,3484997
26,2020-03-04,87.96,85.76,89.48,89.33,2888100
27,2020-03-03,90.9,85.31,92.55,86.42,4685818
28,2020-03-02,88.56,86.93,91.52,91.47,4111800
29,2020-02-28,85.84,84.62,88.3,88.26,6114300
30,2020-02-27,90.03,88.59,93.11,89.17,4273518
31,2020-02-26,94.27,92.78,95.25,92.82,2762349
32,2020-02-25,98.52,92.18,98.54,92.78,4499708
33,2020-02-24,97.57,97.0,99.09,98.24,2522818
34,2020-02-21,102.51,100.72,102.81,101.15,2764513
35,2020-02-20,101.25,101.25,104.61,103.54,2262928
36,2020-02-19,103.39,102.84,104.36,104.14,2059616
37,2020-02-18,102.13,101.81,103.28,103.03,2009906
38,2020-02-14,102.87,102.22,103.23,102.64,1271700
39,2020-02-13,102.65,102.03,102.99,102.78,2019537
40,2020-02-12,103.23,102.48,103.62,102.8,1767925
41,2020-02-11,102.6,102.31,103.74,102.4,2132100
42,2020-02-10,101.29,100.9,101.95,101.95,1434000
43,2020-02-07,102.38,101.53,102.87,101.8,1640613
44,2020-02-06,105.53,103.42,106.0,103.52,1807705
45,2020-02-05,103.1,103.1,104.84,104.74,2396416
46,2020-02-04,101.58,101.38,102.55,101.7,1556900
