,date,open,low,high,close,volume
0,2020-01-06,80.37,79.96,80.94,80.79,740400
1,2020-01-03,79.62,79.57,80.74,80.57,789200
2,2020-01-02,80.81,79.69,80.96,80.83,1268000
3,2020-04-06,72.26,71.96,74.65,74.17,960800
4,2020-04-03,70.57,69.63,72.0,69.92,1256800
5,2020-04-02,67.65,67.45,71.08,70.96,1236000
6,2020-04-01,67.2,66.0,69.91,68.26,1700000
7,2020-03-31,70.24,68.76,71.52,68.92,1424000
8,2020-03-30,68.74,68.71,70.67,70.04,1089200
9,2020-03-27,68.26,65.21,70.08,68.31,1302000
10,2020-03-26,65.33,64.02,70.51,70.51,2054800
11,2020-03-25,63.48,61.74,66.42,64.22,1772400
12,2020-03-24,63.76,60.81,65.67,63.97,1292400
13,2020-03-23,63.17,59.43,64.82,60.86,1702400
14,2020-03-20,69.54,61.68,69.98,62.66,2066400
15,2020-03-19,62.44,59.81,71.73,68.29,1653200
16,2020-03-18,64.86,59.17,66.36,62.78,1954400
17,2020-03-17,65.78,62.77,68.97,68.79,1912800
18,2020-03-16,64.15,62.88,70.18,64.86,1985200
19,2020-03-13,72.96,68.19,73.12,72.76,2407600
20,2020-03-12,75.96,69.99,77.5,70.01,3309600
21,2020-03-11,81.66,79.93,83.97,80.97,2698800
22,2020-03-10,80.95,78.35,83.78,83.74,1784400
23,2020-03-09,82.5,78.12,82.5,79.38,1888800
24,2020-03-06,82.18,78.39,84.61,83.45,2207600
25,2020-03-05,82.46,80.37,83.81,81.32,1866800
26,2020-03-04,83.77,82.82,84.86,84.54,1232000
27,2020-03-03,83.8,81.26,86.26,82.5,1690800
28,2020-03-02,82.01,81.04,83.88,83.86,1128400
29,2020-02-28,80.26,77.75,81.4,81.14,2271600
30,2020-02-27,82.89,82.0,84.72,82.07,1286800
31,2020-02-26,84.67,83.82,86.13,83.83,1153200
32,2020-02-25,87.08,83.67,87.49,84.11,1266400
33,2020-02-24,87.3,85.81,87.81,86.78,1393600
34,2020-02-21,88.5,88.47,89.39,88.92,639600
35,2020-02-20,88.88,87.89,89.26,88.71,537200
36,2020-02-19,89.37,88.83,90.0,89.14,551600
37,2020-02-18,88.07,87.68,89.23,89.09,675200
38,2020-02-14,88.33,88.1,89.06,88.33,797200
39,2020-02-13,87.73,87.49,88.69,88.24,685600
40,2020-02-12,87.94,87.75,88.93,88.27,760400
41,2020-02-11,87.76,87.42,88.73,87.85,1002400
42,2020-02-10,86.62,86.43,87.53,87.35,602400
43,2020-02-07,87.95,86.93,88.46,87.05,680800
44,2020-02-06,88.52,87.98,88.71,88.25,832400
45,2020-02-05,88.28,88.2,89.27,88.39,1004800
46,2020-02-04,87.57,87.17,88.29,87.54,1252000
47,2020-02-03,87.22,86.32,87.49,86.56,1197600
48,2020-01-31,88.0,86.26,88.35,86.72,1602000
49,2020-01-30,87.91,87.26,88.43,88.35,1075600
50,2020-01-29,88.75,88.53,89.58,88.58,977600
51,2020-01-28,88.73,88.23,89.46,88.76,1354000
52,2020-01-27,86.86,86.8,89.25,88.55,930400
53,2020-01-24,89.18,87.76,89.23,88.09,1371200
54,2020-01-23,89.67,88.29,89.71,89.25,1217600
55,2020-01-22,90.47,89.76,91.42,90.0,1729200
56,2020-01-21,88.6,88.17,89.94,89.64,2390000
57,2020-01-17,87.5,87.07,88.85,88.83,1591600
58,2020-01-16,86.47,85.94,87.45,87.26,1402400
59,2020-01-15,84.11,84.11,86.07,85.96,1459600
60,2020-01-14,83.17,82.8,84.1,84.02,1157600
61,2020-01-13,83.41,83.23,83.75,83.39,943600
62,2020-01-10,83.47,82.59,83.58,83.41,875600
