,date,open,low,high,close,volume
0,2020-01-06,66.28,65.88,66.94,66.48,8829435
1,2020-01-03,67.04,65.07,67.13,65.7,6334244
2,2020-01-02,65.28,64.85,65.68,65.46,4123124
3,2020-04-06,33.48,31.79,33.8,32.8,13532900
4,2020-04-03,34.61,31.61,34.98,32.91,11505000
5,2020-04-02,31.25,30.71,35.42,33.86,14693200
6,2020-04-01,29.32,28.83,30.53,29.62,11101400
7,2020-03-31,30.03,29.71,31.92,30.8,13487040
8,2020-03-30,28.51,27.52,30.14,29.29,11089600
9,2020-03-27,30.12,28.8,30.27,29.25,10647227
10,2020-03-26,31.12,30.4,32.46,32.09,13577607
11,2020-03-25,31.23,29.49,32.56,30.94,14295901
12,2020-03-24,26.45,26.45,30.87,30.74,16724435
13,2020-03-23,26.75,23.35,26.97,24.55,16239416
14,2020-03-20,27.06,25.89,28.39,26.84,23790610
15,2020-03-19,23.13,21.0,25.99,25.59,15655100
16,2020-03-18,24.25,20.84,25.6,22.67,17039701
17,2020-03-17,26.36,24.39,26.85,26.25,18693192
18,2020-03-16,27.49,25.91,31.15,26.08,13774149
19,2020-03-13,30.6,27.59,31.74,31.38,17506905
20,2020-03-12,30.34,27.82,31.41,28.2,16581700
21,2020-03-11,33.59,31.51,33.95,32.56,18460935
22,2020-03-10,36.64,33.0,37.42,34.88,20337700
23,2020-03-09,33.95,32.0,36.2,34.07,29828634
24,2020-03-06,45.98,44.68,46.49,45.33,14504800
25,2020-03-05,47.98,46.78,48.64,47.7,9603800
26,2020-03-04,48.75,47.74,49.55,49.43,8924530
27,2020-03-03,49.53,47.45,51.49,48.12,11785601
28,2020-03-02,49.32,46.88,49.38,49.23,10672955
29,2020-02-28,45.42,45.12,48.44,48.42,16559107
30,2020-02-27,49.6,47.13,49.61,47.13,14676126
31,2020-02-26,54.02,51.11,54.25,51.17,11647437
32,2020-02-25,56.52,53.54,56.69,53.83,10447903
33,2020-02-24,56.15,55.99,56.94,56.38,10350200
34,2020-02-21,58.32,57.77,58.61,58.44,5216418
35,2020-02-20,59.25,58.58,59.55,58.88,5755134
36,2020-02-19,58.75,58.68,59.36,59.26,5267411
37,2020-02-18,58.41,57.71,58.57,58.3,3938161
38,2020-02-14,58.87,58.18,59.1,58.62,4204529
39,2020-02-13,59.09,58.6,59.45,58.82,5995649
40,2020-02-12,59.9,59.54,61.15,59.76,5906800
41,2020-02-11,58.85,58.21,59.01,58.71,6143314
42,2020-02-10,57.46,57.21,58.14,57.87,6756300
43,2020-02-07,57.81,57.56,58.37,57.99,5081817
