,date,open,low,high,close,volume
0,2020-01-06,83.68,83.01,85.31,85.24,767971
1,2020-01-03,83.81,83.27,85.07,84.01,801538
2,2020-01-02,85.64,84.34,85.8,85.08,817600
3,2020-04-06,85.32,83.07,86.83,86.29,1514800
4,2020-04-03,83.27,80.39,84.63,81.34,1517200
5,2020-04-02,84.64,80.0,86.53,83.89,2570500
6,2020-04-01,88.21,84.19,88.71,86.23,1336691
7,2020-03-31,88.24,87.11,90.73,88.5,2074732
8,2020-03-30,83.53,82.44,88.55,88.1,1770200
9,2020-03-27,80.94,80.18,84.06,81.78,1600530
10,2020-03-26,75.87,75.6,85.18,84.16,3263845
11,2020-03-25,79.54,75.11,81.47,75.35,2284100
12,2020-03-24,77.71,76.16,80.62,79.85,1951831
13,2020-03-23,80.29,72.06,80.29,73.93,2234833
14,2020-03-20,86.84,79.32,87.63,80.61,3203800
15,2020-03-19,83.09,80.37,86.74,86.0,2189100
16,2020-03-18,84.9,78.14,90.76,84.97,3229211
17,2020-03-17,82.79,82.2,89.73,89.5,3792402
18,2020-03-16,76.0,76.0,87.42,80.5,2777518
19,2020-03-13,83.7,80.66,90.17,90.0,2835300
20,2020-03-12,80.46,79.09,84.28,80.49,7108200
21,2020-03-11,84.08,83.05,86.12,84.96,2384900
22,2020-03-10,85.35,80.89,86.27,86.07,2214400
23,2020-03-09,79.69,77.56,85.83,83.27,3673000
24,2020-03-06,84.29,83.39,86.23,85.81,1760100
25,2020-03-05,88.0,85.25,90.08,86.97,1365800
26,2020-03-04,89.3,87.99,90.43,90.38,1411347
27,2020-03-03,87.42,84.45,88.95,85.87,2190400
28,2020-03-02,84.53,83.89,88.32,87.16,4528000
29,2020-02-28,83.55,81.47,85.0,84.32,3829369
30,2020-02-27,92.05,86.56,92.94,86.59,2568100
31,2020-02-26,93.8,93.14,95.01,93.71,1907100
32,2020-02-25,95.36,92.78,95.77,92.93,2239400
33,2020-02-24,94.72,94.0,96.04,94.93,1541700
34,2020-02-21,96.15,95.3,97.39,97.0,1213731
35,2020-02-20,95.0,93.95,96.99,96.53,1808103
36,2020-02-19,94.59,93.84,95.2,95.13,915843
37,2020-02-18,94.29,93.14,94.89,94.31,1566001
38,2020-02-14,94.16,90.23,94.74,94.36,1602247
39,2020-02-13,94.92,94.42,95.48,94.52,1155600
40,2020-02-12,95.0,94.04,97.5,95.78,1315138
41,2020-02-11,94.33,92.72,94.61,94.57,1156100
42,2020-02-10,91.7,91.36,94.18,93.6,1371621
43,2020-02-07,93.9,91.76,94.72,91.94,1467200
44,2020-02-06,92.12,91.55,93.76,92.48,1246100
45,2020-02-05,89.13,89.13,92.47,91.44,1608217
46,2020-02-04,87.15,87.01,89.14,88.09,1498626
47,2020-02-03,85.94,85.24,86.92,85.7,1014640
48,2020-01-31,89.29,85.27,89.29,85.56,1217800
49,2020-01-30,89.33,86.9,92.36,88.88,2138332
50,2020-01-29,89.49,89.2,90.85,89.86,1691271
51,2020-01-28,88.29,87.83,89.7,89.11,1144823
52,2020-01-27,87.94,86.53,88.25,87.52,1622700
53,2020-01-24,91.54,86.08,91.54,88.92,2306845
54,2020-01-23,92.19,90.67,92.19,91.16,1552900
55,2020-01-22,91.57,91.17,92.42,92.03,1551600
56,2020-01-21,90.82,90.2,91.37,91.25,1205600
57,2020-01-17,91.0,90.41,91.58,91.06,1455500
58,2020-01-16,91.9,90.54,91.9,91.46,1205004
59,2020-01-15,88.79,88.68,91.64,91.37,1434944
60,2020-01-14,86.6,86.02,88.98,88.83,1921800
61,2020-01-13,86.97,85.5,87.25,86.15,1026200
62,2020-01-10,87.04,86.6,87.39,87.04,965100
63,2020-01-09,85.62,84.82,86.73,86.66,795400
64,2020-01-08,84.56,84.53,85.82,85.45,1182000
65,2020-01-07,84.76,84.19,85.25,84.63,847797
66,2020-07-06,100.91,99.91,101.46,100.72,975104
67,2020-07-02,100.2,99.72,101.62,100.09,734000
68,2020-07-01,100.95,99.13,101.47,99.45,1001100
69,2020-06-30,98.7,98.57,101.2,100.77,1036432
70,2020-06-29,99.61,98.43,100.62,98.99,1103212
71,2020-06-26,100.47,98.2,100.95,99.18,2830100
72,2020-06-25,98.54,98.48,100.88,100.67,985030
73,2020-06-24,100.74,98.0,101.46,98.84,1394400
74,2020-06-23,102.27,100.85,102.8,101.5,2404472
75,2020-06-22,101.79,100.13,101.86,101.73,936400
76,2020-06-19,101.74,101.05,103.37,102.15,1739700
77,2020-06-18,99.68,98.74,100.83,100.25,856400
78,2020-06-17,99.52,98.62,100.48,100.15,1166224
79,2020-06-16,98.49,96.63,99.52,99.11,1157300
80,2020-06-15,93.44,92.9,96.51,96.21,1151033
81,2020-06-12,95.48,92.62,95.64,94.87,1545648
82,2020-06-11,95.79,92.57,95.79,93.51,1305238
83,2020-06-10,100.38,96.93,100.58,96.95,905022
84,2020-06-09,101.0,99.55,101.6,99.9,953615
85,2020-06-08,97.99,97.76,102.99,102.3,1357109
86,2020-06-05,99.57,98.51,102.21,98.97,1474000
87,2020-06-04,98.65,98.2,99.99,99.45,1473442
88,2020-06-03,99.08,98.65,99.99,99.49,1168274
89,2020-06-02,94.85,94.31,98.74,98.66,2078208
90,2020-06-01,94.84,94.84,95.87,95.15,1012616
91,2020-05-29,94.7,93.61,95.6,95.34,1582133
92,2020-05-28,94.36,93.83,96.49,94.4,1312700
93,2020-05-27,90.96,90.75,93.45,93.33,1166100
94,2020-05-26,95.0,90.59,95.0,90.78,1024800
95,2020-05-22,92.16,92.16,93.69,93.14,1027129
96,2020-05-21,92.17,91.19,93.27,92.25,1076900
97,2020-05-20,90.0,89.02,95.13,92.73,2352801
98,2020-05-19,88.81,88.5,90.39,89.63,983700
99,2020-05-18,88.03,87.85,90.0,89.2,1066929
100,2020-05-15,83.36,83.05,85.82,85.75,1694215
101,2020-05-14,83.01,81.51,84.15,84.03,1488200
102,2020-05-13,88.17,83.67,89.0,84.15,1520700
103,2020-05-12,91.46,88.53,91.99,88.58,1141918
104,2020-05-11,89.07,88.52,91.86,90.64,1264200
105,2020-05-08,90.54,87.09,92.4,88.09,1175562
106,2020-05-07,86.6,86.6,89.83,88.74,1755318
107,2020-05-06,88.35,85.2,88.56,85.5,1362800
108,2020-05-05,87.5,85.61,89.45,87.97,1349601
109,2020-05-04,85.97,85.31,87.05,86.42,1354037
110,2020-05-01,88.35,85.11,88.35,86.38,1120834
111,2020-04-30,88.71,88.61,91.03,89.66,1683745
112,2020-04-29,90.04,88.35,91.28,89.34,1879926
113,2020-04-28,92.0,89.24,92.08,89.53,1457100
114,2020-04-27,89.59,88.76,91.35,90.78,1913138
115,2020-04-24,87.43,85.74,89.45,88.7,1325820
116,2020-04-23,87.39,86.88,89.14,87.26,1036413
117,2020-04-22,86.98,86.19,88.13,86.5,911003
118,2020-04-21,88.44,84.43,88.62,85.57,1257845
119,2020-04-20,87.99,87.1,90.11,89.62,1032000
120,2020-04-17,88.76,87.28,89.89,89.19,1669528
121,2020-04-16,88.26,85.54,89.26,86.28,1674000
122,2020-04-15,87.94,85.59,89.71,88.33,967600
123,2020-04-14,87.59,87.07,89.9,89.42,985312
124,2020-04-13,87.56,84.22,87.56,85.45,2118842
125,2020-04-09,88.18,86.66,89.41,87.81,1348700
126,2020-04-08,86.94,85.16,89.13,88.33,1729564
127,2020-04-07,88.87,86.62,89.43,87.2,1311100
128,2020-10-05,95.77,94.8,97.01,96.39,711300
129,2020-10-02,94.05,93.96,96.55,95.38,644500
130,2020-10-01,97.32,94.73,97.63,95.36,730600
131,2020-09-30,96.18,95.69,97.85,96.92,1042729
132,2020-09-29,97.47,95.92,97.58,96.16,691224
133,2020-09-28,97.75,96.79,98.76,97.58,680839
134,2020-09-25,94.2,94.2,97.07,96.8,822100
135,2020-09-24,94.19,92.0,95.94,94.66,1070316
136,2020-09-23,95.62,94.05,96.0,94.14,601518
137,2020-09-22,95.69,94.81,96.13,95.26,651300
138,2020-09-21,95.73,94.02,96.13,95.82,696043
139,2020-09-18,96.62,95.97,97.38,96.83,1585100
140,2020-09-17,95.67,94.67,96.92,96.81,722324
141,2020-09-16,95.61,94.99,97.96,96.79,1033912
142,2020-09-15,94.88,94.33,96.08,94.9,919600
143,2020-09-14,94.5,92.64,95.07,94.6,1131600
144,2020-09-11,94.85,92.84,94.9,94.08,677800
145,2020-09-10,96.41,94.23,96.77,94.27,1134900
146,2020-09-09,95.83,94.82,96.85,96.2,801800
147,2020-09-08,96.51,94.9,96.72,95.36,997400
148,2020-09-04,97.5,95.49,97.66,96.6,731200
149,2020-09-03,98.77,96.69,100.09,97.58,1312800
150,2020-09-02,94.35,94.35,98.79,98.29,1688200
151,2020-09-01,97.45,93.17,97.75,94.3,1055933
152,2020-08-31,96.97,96.96,97.93,97.03,950000
153,2020-08-28,98.0,97.24,98.56,97.55,687940
154,2020-08-27,97.72,96.33,98.97,98.13,651121
155,2020-08-26,97.92,96.31,98.01,97.66,776038
156,2020-08-25,97.93,97.02,98.28,98.28,811200
157,2020-08-24,99.31,96.27,99.31,97.57,867400
158,2020-08-21,99.0,97.17,99.02,98.15,1041200
159,2020-08-20,101.72,99.04,102.2,99.04,998421
160,2020-08-19,102.5,101.63,103.01,101.71,512300
161,2020-08-18,104.0,102.42,104.4,102.84,763700
162,2020-08-17,104.21,103.1,104.28,103.42,531804
163,2020-08-14,101.94,101.6,104.25,103.75,684627
164,2020-08-13,103.11,101.35,103.11,102.73,554911
165,2020-08-12,101.85,101.85,104.1,103.55,629900
166,2020-08-11,103.45,101.06,103.9,101.38,788500
167,2020-08-10,102.26,101.65,103.74,103.04,745146
168,2020-08-07,101.25,100.53,102.2,102.1,739634
169,2020-08-06,103.71,100.95,103.81,101.61,831146
170,2020-08-05,104.0,103.11,106.45,103.5,1448733
171,2020-08-04,104.0,102.98,105.21,104.7,1123000
172,2020-08-03,100.81,100.81,104.86,104.48,1202612
173,2020-07-31,102.01,98.69,102.02,100.19,844600
174,2020-07-30,102.17,101.11,102.49,102.17,645703
175,2020-07-29,102.6,101.3,103.82,103.31,623000
176,2020-07-28,104.0,101.93,104.54,102.11,670243
177,2020-07-27,103.38,102.54,104.37,104.0,564600
178,2020-07-24,104.42,103.41,104.88,103.76,668514
179,2020-07-23,103.76,103.63,104.93,104.03,635200
180,2020-07-22,103.85,102.62,104.3,103.81,715300
181,2020-07-21,102.27,102.21,104.25,104.15,1126023
182,2020-07-20,104.4,101.68,104.87,102.19,739523
183,2020-07-17,103.31,102.79,105.08,104.45,2771300
184,2020-07-16,101.82,101.05,103.33,102.74,955500
185,2020-07-15,100.43,99.01,102.42,101.9,1087500
186,2020-07-14,96.85,96.85,99.47,99.33,781552
187,2020-07-13,97.28,97.06,98.83,97.27,1198564
188,2020-07-10,95.98,95.48,97.58,97.05,816805
189,2020-07-09,97.21,94.76,97.27,96.39,758563
190,2020-07-08,98.35,95.9,98.76,97.21,934862
191,2020-07-07,99.91,97.91,100.43,98.3,1022136
192,2021-01-04,97.85,95.07,97.95,96.5,1753300
193,2020-12-31,96.75,96.08,97.97,97.76,523842
194,2020-12-30,97.21,96.4,97.56,96.96,648900
195,2020-12-29,97.64,96.32,98.26,97.12,1061515
196,2020-12-28,97.71,96.37,98.2,96.8,521923
197,2020-12-24,97.33,96.08,97.58,96.97,295800
198,2020-12-23,97.04,96.67,98.08,97.24,752300
199,2020-12-22,97.62,96.46,98.38,96.72,996286
200,2020-12-21,97.32,95.77,97.84,97.67,1074211
201,2020-12-18,98.76,97.51,99.85,98.61,1682200
202,2020-12-17,98.91,97.46,99.09,98.74,1064100
203,2020-12-16,99.11,98.01,99.11,98.37,757200
204,2020-12-15,97.56,97.56,99.34,99.03,936549
205,2020-12-14,99.07,97.09,99.07,97.12,1025200
206,2020-12-11,98.85,97.58,99.38,98.06,782500
207,2020-12-10,100.49,99.29,101.57,99.37,886200
