,date,open,low,high,close,volume
0,2020-01-06,290.55,288.62,292.07,291.81,2655433
1,2020-01-03,290.05,289.33,292.9,291.73,1926624
2,2020-01-02,294.06,291.0,294.58,291.49,2103600
3,2020-04-06,293.0,289.57,305.49,305.12,5272534
4,2020-04-03,289.16,285.8,292.34,288.65,2650100
5,2020-04-02,284.38,282.82,292.78,291.48,3500600
6,2020-04-01,282.36,280.9,288.8,286.78,3745800
7,2020-03-31,287.42,284.0,291.52,285.13,5623886
8,2020-03-30,287.49,285.84,291.68,291.12,4396000
9,2020-03-27,287.13,283.33,293.49,284.33,4250400
10,2020-03-26,281.34,280.86,293.73,292.3,5471961
11,2020-03-25,284.21,279.21,290.72,280.86,5639600
12,2020-03-24,294.59,282.83,297.35,284.94,7124200
13,2020-03-23,292.01,278.42,295.67,285.53,5646400
14,2020-03-20,307.92,287.02,308.01,290.42,6581200
15,2020-03-19,310.41,302.63,313.85,305.22,5429502
16,2020-03-18,298.0,296.0,318.0,307.5,6701800
17,2020-03-17,289.0,286.3,307.19,306.99,7170645
18,2020-03-16,281.83,279.51,299.53,283.18,5465540
19,2020-03-13,288.83,278.27,303.25,302.27,6100115
20,2020-03-12,280.44,276.34,295.63,279.85,7307637
21,2020-03-11,300.86,294.19,307.79,297.43,3625906
22,2020-03-10,307.97,294.42,309.73,309.4,4245500
23,2020-03-09,295.85,293.0,310.33,301.98,5203100
24,2020-03-06,312.14,302.75,317.49,311.34,6185520
25,2020-03-05,315.77,313.2,324.51,315.76,6407700
26,2020-03-04,308.29,305.02,320.97,320.74,4219326
27,2020-03-03,309.14,301.03,314.17,302.73,5131419
28,2020-03-02,294.44,291.38,309.51,309.14,7563800
29,2020-02-28,285.25,271.28,287.33,281.14,7096587
30,2020-02-27,301.98,293.0,305.0,293.13,3625300
31,2020-02-26,307.55,304.68,311.3,305.69,2239556
32,2020-02-25,315.0,304.4,316.57,304.87,2881835
33,2020-02-24,315.5,313.26,320.0,313.62,2300400
34,2020-02-21,322.56,321.03,325.26,321.95,2239230
35,2020-02-20,322.32,321.01,325.07,324.08,1427524
36,2020-02-19,322.08,321.73,324.53,323.02,1413768
37,2020-02-18,319.0,318.61,323.48,322.05,1547929
38,2020-02-14,318.87,316.95,319.81,318.31,1113716
39,2020-02-13,314.85,313.54,318.79,318.2,1438248
40,2020-02-12,310.77,310.77,315.48,315.12,1384611
41,2020-02-11,314.03,310.47,314.43,310.68,2047510
42,2020-02-10,313.76,312.6,316.94,313.79,2336523
43,2020-02-07,310.0,309.12,313.81,313.63,1903500
44,2020-02-06,309.35,307.85,311.84,310.61,1917900
45,2020-02-05,307.0,305.4,309.59,308.95,1731802
46,2020-02-04,304.57,302.76,305.91,304.9,1982323
47,2020-02-03,307.0,301.67,308.58,302.0,2817541
48,2020-01-31,308.55,304.56,309.18,305.52,1837000
49,2020-01-30,308.84,306.67,309.64,309.47,1232855
50,2020-01-29,310.86,309.39,311.97,309.58,1714823
51,2020-01-28,310.51,309.1,311.71,310.85,1571700
52,2020-01-27,306.15,305.65,311.77,309.45,2265350
53,2020-01-24,314.02,309.1,314.28,310.51,1986279
54,2020-01-23,312.02,310.73,313.4,312.88,1535973
55,2020-01-22,313.4,310.21,313.56,311.89,2219022
56,2020-01-21,306.2,305.76,313.34,313.26,3585918
57,2020-01-17,303.4,303.03,305.3,304.68,2506588
58,2020-01-16,301.39,300.98,304.06,303.03,1758762
59,2020-01-15,298.35,298.04,301.04,300.82,1604433
60,2020-01-14,299.25,298.58,301.0,299.75,1460562
61,2020-01-13,296.92,296.8,300.65,299.87,1779744
62,2020-01-10,300.0,296.66,300.27,297.24,2025220
63,2020-01-09,298.55,297.71,301.96,299.42,3262225
64,2020-01-08,290.99,290.5,295.48,294.69,2495438
65,2020-01-07,291.32,289.28,291.69,291.35,1971494
66,2020-07-06,307.53,307.24,311.56,311.49,2332442
67,2020-07-02,306.0,304.6,308.92,305.74,2540500
68,2020-07-01,302.5,300.75,305.58,304.75,1906372
69,2020-06-30,301.01,300.14,304.62,303.21,2392034
70,2020-06-29,297.44,296.83,301.63,301.59,1841733
71,2020-06-26,300.41,295.95,302.12,296.56,2866000
72,2020-06-25,297.06,295.4,301.15,300.53,2274300
73,2020-06-24,300.77,296.6,301.28,298.02,2398100
74,2020-06-23,301.73,300.73,304.9,301.29,2409639
75,2020-06-22,299.7,298.25,301.48,300.45,2094436
76,2020-06-19,300.18,298.64,301.9,299.9,3438000
77,2020-06-18,300.0,297.79,300.81,299.57,1881800
78,2020-06-17,301.02,298.9,302.0,299.61,2188401
79,2020-06-16,301.35,299.22,302.74,301.36,2641785
80,2020-06-15,297.05,293.84,298.07,297.18,3273164
81,2020-06-12,302.67,296.25,305.15,298.7,4020006
82,2020-06-11,306.99,300.64,309.2,300.83,3443012
83,2020-06-10,306.48,305.65,308.63,307.33,2713706
84,2020-06-09,307.5,305.17,308.6,305.55,3155845
85,2020-06-08,310.66,306.46,311.29,307.19,3764500
86,2020-06-05,313.13,307.29,313.63,312.04,4375602
87,2020-06-04,310.85,309.09,315.35,310.75,4553928
88,2020-06-03,307.5,305.92,308.2,306.64,2165900
89,2020-06-02,307.95,304.72,309.02,307.09,2528938
90,2020-06-01,307.9,306.46,309.74,308.29,2295127
91,2020-05-29,304.2,302.35,308.88,308.47,4986799
92,2020-05-28,307.25,306.9,311.0,309.56,4331638
93,2020-05-27,304.56,299.47,306.31,306.01,2980200
94,2020-05-26,306.01,303.53,306.9,304.8,3234600
95,2020-05-22,302.01,300.83,303.94,302.43,2366400
96,2020-05-21,304.79,301.25,305.04,301.97,2492100
97,2020-05-20,306.77,303.2,307.92,304.91,2827000
98,2020-05-19,304.62,303.15,309.02,304.63,3523000
99,2020-05-18,301.72,299.92,303.19,302.76,3989551
100,2020-05-15,299.07,295.86,299.83,299.21,4577214
101,2020-05-14,301.01,294.54,302.88,299.74,3718907
102,2020-05-13,304.84,300.12,306.4,302.14,2954935
103,2020-05-12,310.84,304.79,311.55,304.84,2264914
104,2020-05-11,305.64,305.0,311.83,310.33,1865900
105,2020-05-08,305.9,303.7,307.18,305.94,2339313
106,2020-05-07,309.34,304.53,309.87,305.0,2606254
107,2020-05-06,309.92,306.54,311.04,308.89,2406700
108,2020-05-05,305.06,303.44,309.8,307.92,2461329
109,2020-05-04,303.0,300.07,305.53,304.49,2477537
110,2020-05-01,301.78,300.18,304.82,301.92,2525566
111,2020-04-30,306.15,302.57,307.9,303.0,3794300
112,2020-04-29,304.95,301.12,308.68,307.09,3667703
