,date,open,low,high,close,volume
0,2020-01-06,289.21,287.61,290.48,289.19,988200
1,2020-01-03,284.17,283.87,291.67,290.81,859100
2,2020-01-02,289.88,286.73,291.41,287.74,814000
3,2020-04-06,197.34,193.99,207.37,206.09,1595900
4,2020-04-03,181.52,180.58,188.81,184.78,1007200
5,2020-04-02,172.68,170.0,197.62,181.52,1595400
6,2020-04-01,178.33,169.14,180.51,173.22,2410000
7,2020-03-31,192.44,182.81,196.66,186.54,1904400
8,2020-03-30,194.68,182.25,200.59,194.02,1690800
9,2020-03-27,210.27,194.77,210.27,196.18,1271300
10,2020-03-26,216.58,204.45,238.6,212.36,1825300
11,2020-03-25,191.94,188.01,224.74,212.33,1564600
12,2020-03-24,183.9,179.63,202.83,190.43,2032600
13,2020-03-23,186.0,168.51,186.23,171.72,1289900
14,2020-03-20,197.7,185.72,210.15,187.03,1591600
15,2020-03-19,197.39,183.9,209.56,193.3,1441900
16,2020-03-18,207.17,169.24,220.41,200.51,1921000
17,2020-03-17,214.78,198.63,225.73,224.34,1768000
18,2020-03-16,210.0,200.22,214.12,210.91,1759900
19,2020-03-13,227.99,214.79,236.82,235.46,1779600
20,2020-03-12,208.54,204.26,223.97,214.43,2677000
21,2020-03-11,230.82,218.28,233.4,222.47,1452800
22,2020-03-10,229.32,221.11,237.92,237.67,2659200
23,2020-03-09,228.98,220.0,234.79,222.59,2406400
24,2020-03-06,244.98,242.15,249.82,249.16,1936200
25,2020-03-05,260.72,251.38,261.45,252.72,1250700
26,2020-03-04,270.9,264.27,272.58,268.25,1213700
27,2020-03-03,281.1,264.49,283.38,266.41,1444700
28,2020-03-02,267.44,267.44,282.9,282.04,1452700
29,2020-02-28,255.55,253.84,268.79,265.79,1680300
30,2020-02-27,278.23,265.4,280.03,265.67,2044300
31,2020-02-26,290.66,284.1,296.7,284.2,1079800
32,2020-02-25,299.29,286.83,299.46,288.38,962000
33,2020-02-24,298.78,295.13,303.31,298.42,832600
34,2020-02-21,315.0,306.44,315.22,308.92,905300
35,2020-02-20,320.77,312.99,322.26,317.39,1047600
36,2020-02-19,321.04,320.8,325.52,321.11,854300
37,2020-02-18,318.0,317.46,323.6,320.57,756100
38,2020-02-14,317.99,315.28,320.04,318.43,830000
39,2020-02-13,314.63,314.01,320.21,317.58,655700
40,2020-02-12,315.63,314.24,317.22,316.38,657900
41,2020-02-11,315.24,311.29,317.78,315.75,919200
42,2020-02-10,305.62,304.62,313.95,313.68,1084800
43,2020-02-07,310.01,302.37,310.04,306.76,2258000
44,2020-02-06,327.66,326.86,329.85,328.85,582100
45,2020-02-05,326.46,323.55,327.48,326.87,571600
