,date,open,low,high,close,volume
0,2020-01-06,48.46,47.96,48.55,48.51,4328900
1,2020-01-03,48.46,48.31,48.62,48.43,1658300
2,2020-01-02,49.45,48.36,49.56,48.49,1730300
3,2020-04-06,49.68,47.55,49.76,47.61,3754700
4,2020-04-03,46.98,46.98,49.85,49.53,3582100
5,2020-04-02,45.44,45.44,47.54,47.45,2250400
6,2020-04-01,45.11,44.75,47.49,45.98,2728900
7,2020-03-31,46.52,45.82,47.2,46.16,2287700
8,2020-03-30,44.95,44.52,46.81,46.53,3419300
9,2020-03-27,42.99,42.75,45.3,44.19,3227400
10,2020-03-26,41.66,40.7,44.22,43.59,5066200
11,2020-03-25,43.13,41.18,43.78,41.41,4923300
12,2020-03-24,43.93,42.05,45.06,43.5,4339600
13,2020-03-23,45.08,42.04,45.56,42.93,3699300
14,2020-03-20,47.13,45.17,48.7,45.3,3896700
15,2020-03-19,50.26,46.01,50.36,47.5,5028600
16,2020-03-18,53.5,48.32,54.75,50.48,5091200
17,2020-03-17,50.29,50.15,57.54,53.84,10354800
18,2020-03-16,46.52,45.71,51.54,49.3,5715900
19,2020-03-13,48.54,45.42,49.37,49.28,5263400
20,2020-03-12,47.84,47.42,50.76,47.68,4758800
21,2020-03-11,50.48,49.59,50.79,50.47,2936000
22,2020-03-10,50.91,48.91,51.47,51.26,5558800
23,2020-03-09,49.69,49.23,52.0,50.2,4004700
24,2020-03-06,51.83,50.6,52.85,51.76,3443800
25,2020-03-05,52.7,51.99,53.83,53.1,4826300
26,2020-03-04,50.0,49.78,52.83,52.72,9420400
27,2020-03-03,48.0,47.43,49.01,47.88,3573700
28,2020-03-02,45.34,45.3,48.0,47.98,4573600
29,2020-02-28,44.91,43.35,45.24,45.12,4508800
30,2020-02-27,46.36,45.69,46.83,45.7,1714700
31,2020-02-26,48.13,46.63,48.13,46.64,2460500
32,2020-02-25,48.11,47.59,48.34,47.88,1793200
33,2020-02-24,47.54,47.49,48.22,48.02,2364600
34,2020-02-21,47.73,47.73,48.27,47.96,983600
35,2020-02-20,47.72,47.34,47.82,47.74,1265500
36,2020-02-19,48.15,47.49,48.3,47.79,1840000
37,2020-02-18,48.34,48.02,48.94,48.2,2600800
38,2020-02-14,48.44,48.27,48.82,48.64,1329200
39,2020-02-13,48.1,47.82,48.37,48.36,1342700
40,2020-02-12,48.64,48.05,48.68,48.18,1007100
41,2020-02-11,48.71,48.66,49.06,48.73,1206200
42,2020-02-10,48.99,48.52,49.07,48.7,1039400
43,2020-02-07,48.26,47.97,49.0,48.88,1612400
44,2020-02-06,48.62,47.78,48.77,48.16,1796700
45,2020-02-05,48.73,48.64,49.08,49.0,1482700
46,2020-02-04,49.1,48.6,49.3,48.66,1214900
47,2020-02-03,48.61,48.46,48.97,48.87,1137300
48,2020-01-31,48.93,48.34,49.26,48.39,1997900
49,2020-01-30,48.41,48.28,49.04,49.03,1632900
50,2020-01-29,48.87,48.27,48.87,48.34,1286100
51,2020-01-28,48.76,48.7,49.18,48.88,1325200
52,2020-01-27,48.47,48.44,49.16,48.77,1858400
53,2020-01-24,49.11,48.48,49.45,48.79,2065900
54,2020-01-23,48.44,48.2,49.2,48.96,4269800
55,2020-01-22,48.56,48.43,48.83,48.57,1619000
56,2020-01-21,48.02,47.89,48.69,48.56,2364500
57,2020-01-17,48.07,47.97,48.32,48.02,2153900
58,2020-01-16,47.84,47.71,48.1,48.09,1544900
59,2020-01-15,47.53,47.51,47.97,47.78,2626700
60,2020-01-14,47.74,47.45,47.79,47.54,2051700
61,2020-01-13,47.73,47.48,48.03,47.72,1513900
62,2020-01-10,47.55,47.38,47.99,47.73,1338700
63,2020-01-09,47.33,46.84,47.68,47.62,2028800
64,2020-01-08,48.28,47.19,48.28,47.35,2245600
65,2020-01-07,48.17,48.05,48.51,48.19,1896600
66,2020-07-06,49.47,49.02,49.86,49.31,1939800
67,2020-07-02,49.46,49.1,49.87,49.32,1685500
68,2020-07-01,49.55,49.17,49.85,49.31,1434100
69,2020-06-30,49.47,49.16,49.72,49.63,1413900
70,2020-06-29,48.67,48.25,49.79,49.25,1491100
71,2020-06-26,49.64,48.16,49.83,48.4,2212900
72,2020-06-25,48.88,48.88,49.83,49.6,1876500
73,2020-06-24,49.0,48.24,49.04,48.86,1585900
74,2020-06-23,49.89,49.01,49.91,49.1,2161400
75,2020-06-22,49.83,49.35,50.35,49.81,2208400
76,2020-06-19,49.33,48.92,49.86,49.14,2061400
77,2020-06-18,49.27,48.57,49.77,49.05,1303100
78,2020-06-17,49.1,48.91,49.71,49.41,1359100
79,2020-06-16,48.33,48.12,49.62,49.17,2245600
80,2020-06-15,47.26,46.68,48.4,48.38,2087900
81,2020-06-12,48.16,46.94,48.45,47.07,2401400
82,2020-06-11,48.39,47.85,49.25,47.97,2160900
83,2020-06-10,49.44,48.88,49.89,48.94,2055200
84,2020-06-09,50.0,48.99,50.1,49.53,2478000
85,2020-06-08,47.54,47.34,49.9,49.89,3156100
86,2020-06-05,48.3,47.06,48.47,48.18,4711200
87,2020-06-04,49.05,48.32,50.05,48.77,3947800
88,2020-06-03,51.96,48.65,51.99,48.82,8727400
89,2020-06-02,51.2,50.98,52.06,52.01,3203300
90,2020-06-01,51.49,50.52,52.44,51.72,3166800
91,2020-05-29,49.53,49.25,51.06,50.98,3331200
92,2020-05-28,49.13,48.68,49.9,49.52,2077000
93,2020-05-27,47.0,46.93,48.69,48.66,2155000
94,2020-05-26,48.45,46.98,48.45,47.36,2600300
95,2020-05-22,47.2,47.1,48.47,48.35,1869200
96,2020-05-21,48.17,46.9,48.2,47.18,4266000
97,2020-05-20,49.55,47.65,49.55,48.17,4663200
98,2020-05-19,51.05,49.18,51.13,49.62,2690700
99,2020-05-18,53.72,50.84,53.87,50.94,3283000
100,2020-05-15,53.0,53.0,53.92,53.53,5584700
101,2020-05-14,52.74,52.59,53.52,52.97,2064900
102,2020-05-13,52.33,51.94,53.05,52.5,1535700
103,2020-05-12,52.17,52.0,52.96,52.4,1383700
104,2020-05-11,51.38,51.27,52.49,51.96,1422400
105,2020-05-08,50.7,50.35,51.36,51.26,1182600
106,2020-05-07,50.96,50.13,50.99,50.24,1978600
107,2020-05-06,50.95,50.51,51.2,50.56,1861100
108,2020-05-05,50.55,50.26,51.38,50.88,1555700
109,2020-05-04,50.51,49.84,51.05,50.78,1929000
110,2020-05-01,49.64,49.18,50.74,50.41,1911500
111,2020-04-30,50.87,49.59,50.98,49.98,2574100
112,2020-04-29,49.74,49.37,51.01,50.18,2594700
113,2020-04-28,51.29,50.67,51.68,50.98,1673300
114,2020-04-27,50.62,50.58,51.48,51.24,1384500
115,2020-04-24,50.82,49.93,50.89,50.75,2005500
116,2020-04-23,50.31,49.83,51.05,50.54,2428000
117,2020-04-22,50.41,49.98,51.01,50.8,1285300
118,2020-04-21,51.4,49.6,51.8,50.44,1679600
119,2020-04-20,50.58,50.0,52.46,51.3,2461100
120,2020-04-17,51.37,49.19,51.49,50.34,3683800
121,2020-04-16,51.02,50.44,52.14,51.11,4353300
122,2020-04-15,51.42,49.53,51.47,50.5,3471000
123,2020-04-14,49.5,49.05,50.37,50.07,2747700
124,2020-04-13,47.49,46.83,48.54,48.5,1736000
125,2020-04-09,45.67,45.63,48.71,47.75,3517300
126,2020-04-08,46.5,45.61,47.23,46.16,3087900
127,2020-04-07,47.73,46.16,48.31,46.74,3378900
128,2020-10-05,49.0,48.43,49.38,48.98,3132700
