,date,open,low,high,close,volume
0,2020-01-06,23.07,23.0,23.41,23.37,7451200
1,2020-01-03,23.16,22.78,23.2,23.17,5023200
2,2020-01-02,22.85,22.84,23.39,23.37,10866000
3,2020-04-06,16.27,15.87,16.44,16.35,10860400
4,2020-04-03,16.03,15.38,16.03,15.45,8644400
5,2020-04-02,15.91,15.75,16.56,16.1,9261600
6,2020-04-01,16.23,15.8,16.64,16.2,9901200
7,2020-03-31,17.68,17.0,17.84,17.13,9740000
8,2020-03-30,17.53,17.41,18.1,17.96,6169200
9,2020-03-27,17.53,17.48,17.99,17.58,8487600
10,2020-03-26,18.13,17.21,18.89,18.14,10806800
11,2020-03-25,17.09,16.68,18.73,17.9,13601600
12,2020-03-24,15.45,15.41,17.36,17.25,11135600
13,2020-03-23,15.0,13.92,15.03,14.7,14050800
14,2020-03-20,17.87,14.94,18.37,15.04,16990400
15,2020-03-19,16.63,15.84,18.04,17.5,13399200
16,2020-03-18,16.31,14.94,16.84,16.8,13518800
17,2020-03-17,16.9,16.08,17.56,17.38,12904000
18,2020-03-16,16.5,15.69,17.69,16.64,14602800
19,2020-03-13,18.05,17.12,18.49,18.46,15887600
20,2020-03-12,17.76,17.19,18.48,17.21,17070000
21,2020-03-11,19.21,18.52,19.45,18.93,9924800
22,2020-03-10,19.39,18.66,19.76,19.76,14366400
23,2020-03-09,18.54,18.39,19.42,18.98,14483600
24,2020-03-06,19.97,19.65,20.52,20.05,11246800
25,2020-03-05,21.18,20.62,21.38,20.88,8849200
26,2020-03-04,21.22,20.91,21.76,21.75,8581200
27,2020-03-03,21.44,20.86,22.04,20.94,12366000
28,2020-03-02,21.03,20.53,21.72,21.67,12377200
29,2020-02-28,20.34,19.98,21.16,21.12,16210000
30,2020-02-27,21.71,21.13,22.05,21.15,11199200
31,2020-02-26,22.46,21.99,23.03,22.09,9358800
32,2020-02-25,23.24,22.0,23.35,22.24,10614400
33,2020-02-24,23.2,22.94,23.65,23.19,13093600
34,2020-02-21,24.26,23.68,24.6,23.81,12560800
35,2020-02-20,24.25,22.67,25.12,24.33,28744800
36,2020-02-19,25.72,25.66,26.22,26.13,6626400
37,2020-02-18,25.75,25.58,26.09,25.61,8249600
38,2020-02-14,25.79,25.67,25.95,25.81,6699600
39,2020-02-13,25.59,25.58,25.99,25.84,4240400
40,2020-02-12,25.61,25.2,25.79,25.62,6867200
41,2020-02-11,25.78,25.48,25.81,25.58,3649600
42,2020-02-10,25.64,25.58,25.97,25.63,8181200
43,2020-02-07,25.79,25.55,25.91,25.65,3920800
44,2020-02-06,25.56,25.39,25.75,25.74,3779600
45,2020-02-05,25.98,25.49,26.03,25.54,4024000
46,2020-02-04,25.47,25.33,25.79,25.66,4274800
47,2020-02-03,25.55,25.15,25.83,25.2,5370000
48,2020-01-31,25.55,25.26,26.0,25.37,5512000
49,2020-01-30,25.08,25.04,25.61,25.59,3547600
50,2020-01-29,25.2,25.04,25.35,25.18,3492000
51,2020-01-28,25.03,24.64,25.31,25.18,5381200
52,2020-01-27,24.29,24.29,25.0,24.88,4066800
53,2020-01-24,25.09,24.92,25.28,25.07,3192000
54,2020-01-23,24.8,24.76,25.0,24.98,3377200
55,2020-01-22,24.78,24.75,25.09,24.91,5819200
56,2020-01-21,24.22,24.2,24.76,24.65,5870400
57,2020-01-17,24.33,23.78,24.33,24.28,10496000
58,2020-01-16,24.33,24.13,24.34,24.3,3704400
59,2020-01-15,24.03,23.99,24.29,24.17,4850800
60,2020-01-14,24.09,24.01,24.26,24.08,5239600
61,2020-01-13,24.06,23.76,24.08,24.07,5091600
62,2020-01-10,23.87,23.63,23.92,23.83,5134400
63,2020-01-09,23.65,23.65,23.97,23.82,5338800
64,2020-01-08,23.35,23.3,23.62,23.5,4671200
65,2020-01-07,23.36,23.14,23.39,23.34,7188400
66,2020-07-06,21.22,21.14,21.42,21.23,4447200
67,2020-07-02,21.23,20.91,21.42,20.97,5668000
68,2020-07-01,20.87,20.84,21.26,21.15,7537200
