,date,open,low,high,close,volume
0,2020-01-06,106.05,105.38,106.73,106.4,835329
1,2020-01-03,104.74,104.52,106.19,105.9,473800
2,2020-01-02,106.65,104.69,106.65,105.06,585631
3,2020-04-06,76.53,74.92,81.23,79.94,1724738
4,2020-04-03,71.49,70.37,74.2,71.95,1497500
5,2020-04-02,73.19,71.37,77.65,72.31,924100
6,2020-04-01,75.78,71.28,76.22,74.97,1077400
7,2020-03-31,82.85,76.85,82.85,79.24,1597900
8,2020-03-30,85.98,77.74,87.42,83.34,1462700
9,2020-03-27,78.52,77.64,89.28,85.69,1190100
10,2020-03-26,75.19,73.12,81.92,81.66,1187816
11,2020-03-25,70.03,69.11,78.08,74.25,1226040
12,2020-03-24,69.87,66.81,71.67,70.23,1213981
13,2020-03-23,70.76,62.48,70.76,67.3,1175333
14,2020-03-20,77.73,69.37,78.41,71.04,998100
15,2020-03-19,76.97,75.1,80.45,77.65,1641600
16,2020-03-18,80.93,70.75,83.23,77.14,1425400
17,2020-03-17,80.21,77.03,86.46,86.2,1660031
18,2020-03-16,87.4,78.79,87.54,78.8,1321100
19,2020-03-13,92.0,86.29,96.75,95.97,1587310
20,2020-03-12,88.65,80.81,92.76,87.5,2511042
21,2020-03-11,99.76,94.39,101.31,95.36,1955845
22,2020-03-10,102.62,98.07,104.62,102.42,1860221
23,2020-03-09,107.98,101.37,107.98,102.37,1326119
24,2020-03-06,112.34,110.15,114.79,113.95,753600
25,2020-03-05,113.06,112.39,115.03,114.8,554100
26,2020-03-04,111.64,111.17,115.02,115.02,1005600
27,2020-03-03,110.8,108.77,112.87,109.51,1376200
28,2020-03-02,106.73,106.1,110.88,110.29,1297841
29,2020-02-28,108.78,103.41,109.0,105.98,1484400
30,2020-02-27,115.43,110.76,115.82,110.76,987500
31,2020-02-26,116.8,116.42,117.95,116.42,746737
32,2020-02-25,119.39,116.47,119.66,116.55,792438
33,2020-02-24,119.06,118.95,120.73,119.23,606600
34,2020-02-21,119.72,119.61,120.56,120.42,554234
35,2020-02-20,117.86,117.46,119.95,119.7,684908
36,2020-02-19,118.8,117.73,118.9,117.81,756709
37,2020-02-18,119.05,117.78,119.36,118.71,504100
38,2020-02-14,117.79,117.74,118.89,118.89,453733
39,2020-02-13,115.74,115.74,117.6,117.57,677900
40,2020-02-12,115.0,114.3,116.87,115.99,737405
41,2020-02-11,114.0,113.9,115.19,114.69,413427
42,2020-02-10,113.4,113.05,114.03,114.01,302000
43,2020-02-07,113.25,112.66,113.91,112.86,297500
44,2020-02-06,112.44,111.84,113.51,113.0,311336
45,2020-02-05,112.01,111.75,113.13,112.09,381340
46,2020-02-04,111.24,111.24,112.78,112.26,494322
47,2020-02-03,112.96,111.43,113.53,111.6,644822
48,2020-01-31,111.07,110.86,113.24,112.43,1124900
49,2020-01-30,110.07,109.83,111.19,110.85,566700
50,2020-01-29,111.29,110.42,111.65,110.44,1188600
51,2020-01-28,110.67,110.32,111.61,110.96,656100
52,2020-01-27,110.6,110.26,111.51,110.57,506600
53,2020-01-24,111.34,110.76,112.04,111.04,424827
54,2020-01-23,110.3,110.03,111.36,111.18,387600
55,2020-01-22,111.67,110.02,112.06,110.23,410000
56,2020-01-21,110.29,110.21,111.62,111.42,997628
57,2020-01-17,109.14,108.93,110.42,109.97,962800
58,2020-01-16,108.19,107.82,109.14,109.07,681934
59,2020-01-15,107.68,107.24,108.19,107.95,655200
60,2020-01-14,106.87,105.83,107.21,107.14,825138
61,2020-01-13,106.28,106.14,107.07,107.0,491200
62,2020-01-10,105.51,105.44,106.33,106.22,513119
63,2020-01-09,105.22,104.78,105.61,105.47,475400
64,2020-01-08,105.05,104.66,105.65,105.31,614200
65,2020-01-07,105.92,104.92,106.11,105.09,556005
66,2020-07-06,95.6,91.82,95.6,91.97,444300
67,2020-07-02,95.37,93.08,95.64,93.57,782314
68,2020-07-01,91.51,90.5,94.19,93.81,481836
69,2020-06-30,89.85,89.85,92.08,91.22,721700
70,2020-06-29,88.65,87.04,90.06,89.89,555800
71,2020-06-26,88.98,88.08,90.04,88.69,925500
72,2020-06-25,88.64,88.09,89.84,89.71,462447
73,2020-06-24,89.32,86.66,90.6,89.02,885300
74,2020-06-23,93.31,90.66,93.72,90.67,654743
75,2020-06-22,93.17,91.25,93.68,92.63,823900
76,2020-06-19,95.57,93.51,95.73,93.51,1936000
77,2020-06-18,93.38,93.36,94.98,94.32,605500
78,2020-06-17,97.5,94.14,97.96,94.68,741400
79,2020-06-16,97.49,95.97,98.9,96.86,642600
80,2020-06-15,91.88,91.88,95.1,93.79,898738
81,2020-06-12,96.43,93.31,96.69,95.31,1913600
82,2020-06-11,92.52,91.69,94.85,92.98,1214044
83,2020-06-10,99.28,95.84,99.28,96.81,704408
84,2020-06-09,99.33,98.79,100.98,99.8,480611
85,2020-06-08,99.25,99.13,101.71,101.56,886000
86,2020-06-05,99.74,97.59,101.52,97.63,947543
87,2020-06-04,96.16,94.87,96.7,95.62,861200
88,2020-06-03,93.78,93.78,97.28,96.84,855900
89,2020-06-02,94.19,92.19,94.69,92.71,613023
90,2020-06-01,91.4,91.4,94.49,93.31,663500
91,2020-05-29,91.75,90.93,93.79,91.57,2171102
92,2020-05-28,92.52,90.27,92.97,92.55,766120
93,2020-05-27,94.35,89.75,94.61,91.44,955400
94,2020-05-26,92.31,91.6,93.85,92.15,846531
95,2020-05-22,88.57,87.96,88.92,88.58,438722
96,2020-05-21,88.86,88.51,90.91,88.78,886900
97,2020-05-20,89.59,88.28,90.05,89.43,860950
