,date,open,low,high,close,volume
0,2020-01-06,151.38,151.24,153.55,153.45,396680
1,2020-01-03,151.69,150.73,153.275,152.7,292890
2,2020-01-02,154.27,151.38,154.84,153.89,338388
3,2020-04-06,125.84,125.46,132.99,132.81,650901
4,2020-04-03,121.11,117.93,122.63,118.84,690084
5,2020-04-02,118.01,116.42,122.76,121.58,572647
6,2020-04-01,121.01,117.21,123.44,119.61,387750
7,2020-03-31,131.89,124.36,131.89,126.21,459932
8,2020-03-30,132.0,124.14,132.0,129.99,503818
9,2020-03-27,130.0,121.39,130.0,126.23,543497
10,2020-03-26,121.03,121.03,130.23,130.01,524948
11,2020-03-25,109.67,108.96,122.36,119.35,672549
12,2020-03-24,105.5,105.5,111.97,110.12,445636
13,2020-03-23,104.07,97.23,104.5297,100.5,651953
14,2020-03-20,111.97,103.03,113.5,105.78,698749
15,2020-03-19,98.01,95.58,110.59,108.76,600441
16,2020-03-18,103.37,97.585,109.05,98.9,1142810
17,2020-03-17,106.1,99.73,119.04,112.0,1062066
18,2020-03-16,119.68,103.72,119.68,104.66,675294
19,2020-03-13,130.83,117.84,132.06,128.93,629391
20,2020-03-12,127.85,118.9,132.555,124.1,1135832
21,2020-03-11,143.43,135.58,143.5,136.6,567702
22,2020-03-10,146.92,142.1,149.15,147.33,620753
23,2020-03-09,148.43,140.0,148.43,142.81,554111
24,2020-03-06,157.29,150.97,158.35,155.09,484910
25,2020-03-05,164.65,160.4816,165.2425,161.63,374475
26,2020-03-04,164.9,163.59,168.24,168.0,489378
27,2020-03-03,165.05,159.7646,167.94,161.51,377502
28,2020-03-02,156.79,154.19,164.48,164.3,794618
29,2020-02-28,153.25,152.55,157.01,155.57,777649
30,2020-02-27,158.25,154.48,164.0,158.39,677713
31,2020-02-26,162.59,159.88,164.865,161.05,421122
32,2020-02-25,167.98,161.04,168.5222,162.46,609239
33,2020-02-24,167.83,166.035,168.79,167.51,422934
34,2020-02-21,174.77,173.06,174.77,173.64,315421
35,2020-02-20,177.85,174.2,178.54,175.43,245617
36,2020-02-19,176.49,175.74,179.38,178.34,310853
37,2020-02-18,175.61,174.35,176.51,175.92,323454
38,2020-02-14,172.77,171.35,176.89,176.48,462853
39,2020-02-13,170.13,169.63,173.01,172.3,430273
40,2020-02-12,173.33,168.51,174.36,171.33,964726
41,2020-02-11,166.57,166.57,175.25,173.32,1258445
42,2020-02-10,155.86,155.86,157.82,157.74,413070
43,2020-02-07,158.49,155.04,159.35,155.99,240048
44,2020-02-06,158.64,157.61,159.74,159.07,245320
45,2020-02-05,158.71,157.66,159.72,157.81,296821
46,2020-02-04,157.25,156.69,158.19,156.75,220935
47,2020-02-03,155.68,155.085,156.89,155.3,263372
48,2020-01-31,156.3,153.82,156.54,154.58,210691
49,2020-01-30,156.41,155.24,157.03,156.91,256021
50,2020-01-29,157.37,157.07,159.02,157.71,223027
51,2020-01-28,155.3,154.03,157.22,156.93,298668
52,2020-01-27,153.48,152.32,156.01,154.57,296722
53,2020-01-24,157.17,154.659,157.55,155.3,285224
54,2020-01-23,158.38,156.57,159.13,156.7,277423
55,2020-01-22,158.18,158.02,159.2,158.83,310258
56,2020-01-21,159.44,157.81,161.03,158.0,334892
57,2020-01-17,160.08,158.075,160.84,159.78,501721
58,2020-01-16,159.69,157.565,160.28,159.96,332320
59,2020-01-15,159.6,157.835,160.87,158.84,369100
60,2020-01-14,158.65,158.01,161.39,159.61,326927
61,2020-01-13,159.0,157.78,159.306,159.1,243777
62,2020-01-10,159.6,157.47,160.2587,157.89,525502
63,2020-01-09,156.23,155.3,157.69,157.05,282399
64,2020-01-08,155.35,154.665,157.04,154.93,387397
65,2020-01-07,154.0,153.3075,155.04,154.69,310623
66,2020-07-06,179.16,177.58,181.9999,181.8,437348
67,2020-07-02,177.0,174.82,177.7,176.92,585742
68,2020-07-01,177.7,175.0,178.6,175.56,342601
69,2020-06-30,169.92,169.1,175.03,174.35,608840
70,2020-06-29,170.41,167.55,171.5925,169.0,294684
71,2020-06-26,173.31,168.5536,174.46,169.98,475166
72,2020-06-25,170.3,167.65,173.95,173.6,537786
73,2020-06-24,174.46,165.76,175.05,170.64,455907
74,2020-06-23,177.35,174.34,177.35,175.01,340015
75,2020-06-22,177.19,173.86,177.2,174.99,445257
76,2020-06-19,180.31,177.07,181.44,177.19,458959
77,2020-06-18,176.75,176.75,179.36,178.56,261967
78,2020-06-17,181.91,177.475,181.91,178.15,277779
