,date,open,low,high,close,volume
0,2020-01-06,51.85,51.03,56.17,55.11,21771072
1,2020-01-03,48.92,48.7901,51.99,50.75,11256554
2,2020-01-02,50.03,49.25,50.75,49.44,4427985
3,2020-04-06,59.08,58.66,60.53,59.07,5008134
4,2020-04-03,55.85,55.85,59.25,57.82,4555900
5,2020-04-02,54.51,54.11,56.92,56.69,3058704
6,2020-04-01,54.0,53.53,56.55,54.58,3113910
7,2020-03-31,57.03,55.26,60.03,55.68,4925797
8,2020-03-30,58.81,56.27,59.83,57.72,4449457
9,2020-03-27,57.02,56.02,59.87,58.79,3826133
10,2020-03-26,55.84,55.04,59.1,58.64,5840860
11,2020-03-25,56.0,55.6,59.5,55.78,5517240
12,2020-03-24,54.92,54.28,58.65,57.33,8087964
13,2020-03-23,46.24,46.01,53.0,51.45,11127193
14,2020-03-20,49.955,46.81,51.97,49.01,14253612
15,2020-03-19,40.43,38.2,44.49,41.74,7442733
16,2020-03-18,35.76,35.5,41.47,38.63,6358453
17,2020-03-17,33.93,31.95,38.3,38.01,5664702
18,2020-03-16,36.0,32.12,36.0,33.01,6816301
19,2020-03-13,39.9,36.59,40.08,39.55,5015228
20,2020-03-12,38.6,35.98,40.2,37.82,6636462
21,2020-03-11,45.96,42.23,46.3,42.85,5395728
22,2020-03-10,48.47,45.0,48.47,46.91,4569922
23,2020-03-09,46.81,45.65,48.89,45.74,5816707
24,2020-03-06,54.24,50.36,54.87,51.96,5119948
25,2020-03-05,56.08,54.55,57.44,55.92,3212544
26,2020-03-04,57.18,56.06,58.08,57.2,2320969
27,2020-03-03,59.61,55.01,60.7325,56.48,4071468
28,2020-03-02,60.2,58.0,60.97,59.13,4013660
29,2020-02-28,55.6,55.5,60.02,59.64,4450477
30,2020-02-27,56.15,54.345,59.45,57.5,4874094
31,2020-02-26,58.39,57.51,60.26,58.46,4429001
32,2020-02-25,59.5,56.06,59.79,57.74,5325621
33,2020-02-24,56.4,56.02,59.25,58.08,4638814
34,2020-02-21,62.58,59.26,62.64,60.93,4629137
35,2020-02-20,65.7,60.03,65.98,63.38,6179145
36,2020-02-19,66.63,65.61,67.56,66.03,5306912
37,2020-02-18,65.0,64.55,66.28,66.04,4326970
38,2020-02-14,65.81,63.87,65.83,64.85,4202496
39,2020-02-13,64.25,64.13,66.2,65.31,4124467
40,2020-02-12,65.19,62.72,65.5,65.08,5448316
41,2020-02-11,66.0,63.6552,66.84,65.19,7978151
