,date,open,low,high,close,volume
0,2020-01-06,47.14,47.01,47.82,47.8,22185267
1,2020-01-03,47.91,47.48,48.14,47.63,15587707
2,2020-01-02,48.06,47.88,48.42,48.42,16710076
3,2020-04-06,40.46,39.78,41.68,41.43,31641428
4,2020-04-03,39.82,38.54,40.29,39.06,21235200
5,2020-04-02,37.84,37.47,39.95,39.8,28180500
6,2020-04-01,38.17,37.87,38.86,38.33,26790700
7,2020-03-31,40.13,39.11,40.42,39.31,26019845
8,2020-03-30,39.45,38.96,40.49,40.32,27120333
9,2020-03-27,39.21,38.41,40.15,38.82,31278600
10,2020-03-26,37.97,37.37,40.92,40.58,38487226
11,2020-03-25,38.65,37.5,39.95,37.67,42873923
12,2020-03-24,36.41,35.54,38.68,38.6,48235609
13,2020-03-23,35.51,33.74,35.82,34.6,39823400
14,2020-03-20,38.27,35.4,38.47,35.6,48582546
15,2020-03-19,37.05,36.15,39.32,37.71,58319700
16,2020-03-18,33.76,33.31,37.71,37.12,56904300
17,2020-03-17,34.7,33.6,36.25,35.5,41572404
18,2020-03-16,33.23,32.4,36.99,33.71,44211300
19,2020-03-13,35.18,33.33,37.68,37.64,53859600
20,2020-03-12,34.5,33.0,35.82,33.2,51855305
21,2020-03-11,39.02,36.37,39.16,37.05,63608527
22,2020-03-10,39.25,37.87,40.15,40.08,50536518
23,2020-03-09,36.9,36.29,39.56,37.96,61535333
24,2020-03-06,38.0,37.8,39.95,39.68,48605600
25,2020-03-05,40.17,39.29,40.51,39.57,30255900
26,2020-03-04,40.72,39.8,41.45,41.39,30022100
27,2020-03-03,41.26,39.71,41.9,40.04,49294737
28,2020-03-02,40.15,38.92,41.19,41.17,48864300
29,2020-02-28,38.7,38.35,40.55,39.93,80193996
30,2020-02-27,41.28,40.01,42.1,40.04,51442900
31,2020-02-26,42.97,41.94,43.38,42.16,38528925
32,2020-02-25,44.05,42.07,44.21,42.74,48024747
33,2020-02-24,45.0,44.0,45.68,44.0,35295921
34,2020-02-21,46.73,46.05,46.85,46.3,20031423
35,2020-02-20,46.09,45.9,46.96,46.85,20416700
36,2020-02-19,46.69,45.9,46.81,46.29,27626400
37,2020-02-18,46.82,46.29,46.85,46.59,18550358
38,2020-02-14,47.16,46.48,47.22,46.97,26747248
39,2020-02-13,47.15,46.58,47.67,47.32,47044716
40,2020-02-12,49.43,49.4,50.28,49.93,31686200
41,2020-02-11,49.39,48.86,49.71,49.13,23168300
42,2020-02-10,47.99,47.88,48.89,48.87,19012716
43,2020-02-07,48.6,47.87,48.77,47.97,16807738
44,2020-02-06,48.69,48.22,48.82,48.69,9814844
45,2020-02-05,48.33,48.15,48.6,48.45,17042331
46,2020-02-04,47.22,47.11,47.71,47.62,13947300
47,2020-02-03,46.4,46.21,46.83,46.53,15383527
48,2020-01-31,46.99,45.84,47.0,45.97,20069931
49,2020-01-30,46.54,46.26,47.27,47.24,14822600
50,2020-01-29,47.97,46.93,47.98,47.05,14289781
51,2020-01-28,47.52,47.5,47.97,47.77,14035100
52,2020-01-27,47.89,47.27,48.07,47.47,20666000
53,2020-01-24,49.22,48.54,49.48,48.85,14066913
54,2020-01-23,49.0,48.41,49.18,49.0,16767700
55,2020-01-22,49.28,49.04,49.53,49.06,15186000
56,2020-01-21,48.96,48.67,49.2,48.8,21771800
57,2020-01-17,49.31,48.87,49.54,49.02,27176200
58,2020-01-16,48.38,48.23,49.08,49.05,20094931
59,2020-01-15,47.92,47.76,48.4,48.01,16289443
60,2020-01-14,47.96,47.62,47.99,47.79,17951758
61,2020-01-13,47.31,47.3,47.98,47.97,18243201
62,2020-01-10,47.48,47.06,47.56,47.13,13504600
63,2020-01-09,47.79,47.07,47.88,47.32,18211200
64,2020-01-08,46.97,46.81,47.79,47.52,25181655
65,2020-01-07,47.72,47.1,47.72,47.49,16566640
66,2020-07-06,46.07,45.87,46.49,46.42,16152900
67,2020-07-02,46.07,45.48,46.22,45.63,19632000
68,2020-07-01,46.54,46.0,46.72,46.06,17129500
69,2020-06-30,46.15,46.1,47.01,46.64,21888827
70,2020-06-29,46.34,45.67,46.45,46.15,23875408
71,2020-06-26,45.12,44.63,46.51,46.31,106928300
72,2020-06-25,44.77,44.2,45.32,45.22,19114900
73,2020-06-24,45.29,44.39,45.47,44.75,22840139
74,2020-06-23,45.92,45.32,46.15,45.47,23222400
75,2020-06-22,45.11,44.81,45.46,45.16,18398600
76,2020-06-19,46.26,45.05,46.51,45.32,36103238
77,2020-06-18,45.79,45.35,46.05,45.83,22423500
78,2020-06-17,46.75,45.9,46.82,46.17,20399100
79,2020-06-16,47.41,45.91,47.49,46.48,28074600
80,2020-06-15,44.12,43.93,45.76,45.35,21300100
81,2020-06-12,44.96,44.11,45.86,45.07,26125600
82,2020-06-11,46.99,43.64,47.0,43.67,35582020
83,2020-06-10,47.66,47.12,47.83,47.42,18462400
84,2020-06-09,48.02,47.49,48.24,48.05,18597300
85,2020-06-08,47.46,47.12,48.16,48.13,17820919
86,2020-06-05,47.27,47.2,48.29,47.83,22591100
87,2020-06-04,46.77,46.53,47.25,46.86,14100700
88,2020-06-03,46.98,46.54,47.2,46.94,17492000
89,2020-06-02,46.4,45.88,46.9,46.89,17285945
90,2020-06-01,47.15,46.23,47.29,46.3,18730622
91,2020-05-29,46.04,45.41,47.82,47.82,43570367
92,2020-05-28,45.9,45.37,46.46,45.6,20027748
93,2020-05-27,45.04,44.8,45.98,45.96,22157200
94,2020-05-26,45.78,44.68,45.8,44.84,21776900
95,2020-05-22,44.67,44.12,44.95,44.9,12592805
96,2020-05-21,45.45,44.56,45.66,44.64,18674900
97,2020-05-20,45.05,45.03,45.82,45.44,20184500
98,2020-05-19,44.83,44.41,44.98,44.61,24345423
99,2020-05-18,45.21,44.33,45.3,45.06,26980080
100,2020-05-15,42.93,42.85,44.38,44.27,30573032
101,2020-05-14,43.43,43.26,44.58,43.85,50417743
102,2020-05-13,43.41,41.31,43.57,41.95,36986702
103,2020-05-12,43.94,43.19,44.3,43.22,25817100
104,2020-05-11,42.78,42.61,43.65,43.32,26182700
105,2020-05-08,42.02,41.7,43.02,42.99,21962827
106,2020-05-07,41.59,41.22,41.77,41.37,20173635
107,2020-05-06,41.56,40.97,41.69,41.15,16040349
108,2020-05-05,41.61,41.39,41.93,41.46,15060218
109,2020-05-04,40.95,40.49,41.41,41.35,15997715
110,2020-05-01,41.72,40.77,41.81,40.92,22095300
111,2020-04-30,43.17,42.17,43.17,42.38,26679921
112,2020-04-29,43.35,42.93,43.48,43.34,17430133
113,2020-04-28,43.5,42.41,43.63,42.49,16427731
114,2020-04-27,42.7,42.58,43.22,43.06,17937900
115,2020-04-24,41.84,41.65,42.66,42.52,14641718
116,2020-04-23,41.89,41.53,42.55,41.62,16100200
117,2020-04-22,41.27,41.11,42.09,41.76,18337406
118,2020-04-21,41.83,40.41,41.99,40.55,31661042
119,2020-04-20,41.92,41.79,43.29,42.54,23438800
120,2020-04-17,42.25,41.74,42.64,42.48,30701500
121,2020-04-16,41.76,40.68,41.79,41.5,26178000
122,2020-04-15,42.2,41.23,42.37,41.52,18428800
123,2020-04-14,41.91,41.53,42.82,42.78,22882400
124,2020-04-13,41.04,40.53,41.46,41.22,19592000
125,2020-04-09,42.09,40.85,42.2,41.2,27650195
126,2020-04-08,41.17,40.87,42.2,41.74,22683517
127,2020-04-07,42.66,40.59,42.74,40.64,30366100
128,2020-10-05,38.48,38.28,38.79,38.57,26929100
129,2020-10-02,38.05,37.97,38.55,38.27,24493000
130,2020-10-01,39.1,38.57,39.31,38.8,20763541
131,2020-09-30,39.09,39.02,39.7,39.39,27113200
132,2020-09-29,39.07,38.83,39.38,39.06,16476893
133,2020-09-28,39.2,38.79,39.29,39.13,24275701
134,2020-09-25,37.76,37.62,38.54,38.45,22966645
135,2020-09-24,38.0,37.6,38.16,37.85,30910400
136,2020-09-23,39.23,38.18,39.39,38.28,24843243
137,2020-09-22,39.18,38.88,39.46,39.32,17656815
138,2020-09-21,39.31,38.69,39.47,39.04,28495000
139,2020-09-18,40.18,39.58,40.32,39.81,44450800
140,2020-09-17,39.66,39.51,40.4,40.37,22225917
141,2020-09-16,40.72,40.39,41.17,40.42,24322445
142,2020-09-15,40.51,40.38,40.84,40.6,19024100
143,2020-09-14,40.22,40.05,40.64,40.37,19866723
144,2020-09-11,39.77,39.52,40.05,39.88,21853000
145,2020-09-10,40.03,39.42,40.64,39.57,25108800
146,2020-09-09,40.1,39.72,40.48,40.13,23351624
147,2020-09-08,40.05,39.97,40.61,40.0,29101800
148,2020-09-04,41.2,40.44,41.43,40.82,34867423
149,2020-09-03,41.75,40.67,41.83,40.95,39288117
150,2020-09-02,42.04,42.03,42.69,42.42,30045700
151,2020-09-01,42.0,41.5,42.07,42.03,23344890
152,2020-08-31,42.1,41.94,42.35,42.22,21298000
153,2020-08-28,42.14,42.0,42.3,42.2,16573600
154,2020-08-27,42.4,42.02,42.47,42.29,22456800
155,2020-08-26,41.65,41.45,42.28,42.25,21625828
156,2020-08-25,42.23,41.78,42.3,41.96,15417400
