,date,open,low,high,close,volume
0,2020-01-06,62.34,61.6,62.56,62.45,1880000
1,2020-01-03,61.54,61.36,62.68,62.62,2096000
2,2020-01-02,60.5,60.35,62.11,62.07,3162000
3,2020-04-06,54.64,53.44,59.24,58.58,3592000
4,2020-04-03,53.34,52.02,54.82,52.67,2501000
5,2020-04-02,52.86,52.03,54.15,53.77,4688000
6,2020-04-01,56.88,53.65,58.01,53.96,4664000
7,2020-03-31,59.4,58.01,60.7,58.72,3458000
8,2020-03-30,59.04,58.82,60.9,60.0,3118000
9,2020-03-27,56.81,55.28,59.71,58.1,2644000
10,2020-03-26,54.78,53.78,58.58,58.32,3116000
11,2020-03-25,54.68,51.72,55.6,54.02,4530000
12,2020-03-24,54.49,51.95,54.88,54.06,3725000
13,2020-03-23,55.24,50.02,56.65,52.34,3861000
14,2020-03-20,57.72,53.6,59.47,55.1,3869000
15,2020-03-19,55.31,54.0,57.78,56.0,2609000
16,2020-03-18,55.82,53.12,57.27,55.88,5710000
17,2020-03-17,59.81,56.17,61.12,59.47,4488000
18,2020-03-16,59.67,58.39,62.97,58.76,4040000
19,2020-03-13,63.99,61.47,66.76,66.39,4950000
20,2020-03-12,62.5,60.04,67.0,61.29,5343000
21,2020-03-11,67.29,64.43,68.78,65.14,2669000
22,2020-03-10,68.59,66.36,69.53,69.4,2702000
23,2020-03-09,66.09,64.92,69.11,66.69,3186000
24,2020-03-06,69.25,68.4,71.09,70.72,2588000
25,2020-03-05,71.66,71.01,73.15,71.74,2791000
26,2020-03-04,70.03,69.74,73.59,73.5,4026000
27,2020-03-03,70.32,68.09,71.28,69.01,2087000
28,2020-03-02,66.24,65.09,71.13,70.58,4262000
29,2020-02-28,64.73,64.3,66.99,66.76,4557000
30,2020-02-27,67.03,66.74,69.73,66.91,3706000
31,2020-02-26,70.66,67.68,71.57,68.23,7235000
32,2020-02-25,71.13,69.23,71.59,69.82,4941000
33,2020-02-24,70.25,68.49,71.48,70.69,2872000
34,2020-02-21,71.9,70.97,72.32,71.62,2485000
35,2020-02-20,73.56,70.87,74.07,72.15,3125000
36,2020-02-19,73.96,73.37,74.5,73.79,3009000
37,2020-02-18,73.24,72.9,73.64,73.58,2910000
38,2020-02-14,73.33,72.19,73.45,73.14,2148000
39,2020-02-13,73.97,72.74,73.99,72.98,3634000
40,2020-02-12,70.5,69.5,74.67,74.01,7351000
41,2020-02-11,67.4,66.4,67.93,66.83,1502000
42,2020-02-10,66.59,66.35,67.34,67.25,1589000
43,2020-02-07,66.67,65.91,67.2,66.65,1136000
44,2020-02-06,66.79,66.47,68.1,66.65,2558000
45,2020-02-05,69.39,66.36,69.92,66.55,3224000
46,2020-02-04,66.59,66.31,68.58,68.57,3587000
47,2020-02-03,65.85,65.7,66.89,65.98,4035000
48,2020-01-31,65.68,65.01,66.13,65.3,1746000
49,2020-01-30,65.26,65.26,66.19,66.0,939000
50,2020-01-29,66.2,65.45,66.61,65.76,1138000
51,2020-01-28,65.58,65.03,66.37,65.99,1861000
52,2020-01-27,64.14,63.95,65.47,65.25,2241000
53,2020-01-24,65.02,64.66,65.87,65.07,1687000
54,2020-01-23,66.33,64.45,66.38,64.64,3579000
55,2020-01-22,66.4,66.36,67.06,66.96,2679000
56,2020-01-21,64.83,64.81,66.15,66.04,2761000
57,2020-01-17,65.9,64.61,65.9,64.96,2505000
58,2020-01-16,65.0,64.71,65.55,65.2,1948000
59,2020-01-15,63.99,63.99,65.46,64.9,1965000
60,2020-01-14,64.27,63.31,64.45,63.99,1474000
61,2020-01-13,64.55,64.1,64.89,64.27,1993000
62,2020-01-10,63.46,62.99,64.73,64.51,2513000
63,2020-01-09,62.94,62.7,63.7,62.97,2090000
64,2020-01-08,62.13,61.87,62.87,62.54,2305000
65,2020-01-07,62.56,61.83,62.74,62.0,2330000
66,2020-07-06,72.42,71.96,73.93,72.62,2475000
67,2020-07-02,72.62,71.48,72.62,71.81,1668000
68,2020-07-01,71.01,70.87,72.6,71.86,1786000
69,2020-06-30,69.25,68.93,71.64,71.07,2080000
70,2020-06-29,69.51,68.42,69.64,69.16,1753000
71,2020-06-26,70.52,68.8,71.28,69.11,3711000
72,2020-06-25,69.04,68.0,70.74,70.62,2067000
73,2020-06-24,74.71,69.07,74.71,69.14,3565000
74,2020-06-23,72.36,71.84,72.69,72.46,2597000
75,2020-06-22,71.15,70.68,72.23,72.19,1467000
76,2020-06-19,71.32,70.36,71.59,71.07,4661000
77,2020-06-18,68.91,68.91,70.22,70.12,1605000
78,2020-06-17,68.01,68.01,69.11,68.94,4180000
79,2020-06-16,68.24,67.33,69.35,67.78,1945000
80,2020-06-15,65.2,64.65,66.48,66.32,1684000
81,2020-06-12,67.08,64.92,67.32,66.81,2501000
82,2020-06-11,68.91,65.69,69.07,65.71,2508000
83,2020-06-10,69.29,68.35,70.14,69.66,2848000
84,2020-06-09,68.69,67.9,69.52,69.17,3165000
85,2020-06-08,67.15,66.08,68.58,68.51,2713000
86,2020-06-05,65.33,64.97,66.91,66.7,3069000
87,2020-06-04,65.17,64.4,66.66,65.27,3527000
88,2020-06-03,66.17,65.37,66.92,65.98,1866000
89,2020-06-02,65.94,64.67,66.21,66.0,2390000
90,2020-06-01,65.22,65.2,66.52,65.69,2094000
91,2020-05-29,65.02,64.39,65.77,65.68,2791000
92,2020-05-28,65.73,64.39,66.76,64.71,2971000
93,2020-05-27,66.16,63.5,66.16,65.73,3011000
94,2020-05-26,67.29,66.2,67.93,66.4,4569000
95,2020-05-22,64.54,64.4,66.21,65.91,6097000
96,2020-05-21,65.4,63.63,65.53,64.36,13003000
97,2020-05-20,66.1,66.1,68.77,67.88,2634000
98,2020-05-19,67.18,66.31,68.0,67.47,3718000
99,2020-05-18,65.84,65.54,67.76,65.87,2884000
100,2020-05-15,64.37,63.4,65.19,64.92,2376000
101,2020-05-14,60.99,60.5,64.85,64.75,3164000
102,2020-05-13,63.81,61.15,63.93,61.5,2210000
103,2020-05-12,66.6,63.55,66.8,63.68,1976000
104,2020-05-11,64.52,64.52,67.22,66.38,2441000
105,2020-05-08,64.81,64.35,65.96,65.74,3260000
106,2020-05-07,64.45,62.91,65.15,63.9,3087000
107,2020-05-06,64.12,63.87,65.4,64.85,2287000
108,2020-05-05,63.9,62.95,64.58,64.12,2664000
109,2020-05-04,61.63,61.42,63.79,63.51,2686000
110,2020-05-01,64.31,61.26,64.92,62.26,3755000
111,2020-04-30,64.28,63.5,65.52,64.83,4746000
112,2020-04-29,62.35,59.55,65.66,65.09,7310000
113,2020-04-28,62.99,60.77,63.19,60.78,5721000
114,2020-04-27,59.5,59.45,62.21,61.78,5152000
115,2020-04-24,59.9,57.56,59.9,59.36,2727000
116,2020-04-23,58.24,56.93,59.99,58.73,1557000
117,2020-04-22,58.96,57.06,58.96,58.06,3199000
118,2020-04-21,59.54,55.86,59.54,56.3,4194000
119,2020-04-20,63.35,60.12,63.35,60.35,3650000
120,2020-04-17,64.91,62.33,64.91,63.56,3735000
121,2020-04-16,64.74,62.79,65.31,63.16,2416000
122,2020-04-15,63.8,63.65,65.41,64.12,1608000
123,2020-04-14,63.85,62.03,64.72,64.5,1595000
124,2020-04-13,62.57,60.21,62.75,62.51,1843000
125,2020-04-09,61.46,60.74,63.97,63.13,3710000
126,2020-04-08,59.5,58.4,61.97,61.46,1712000
127,2020-04-07,60.31,58.72,62.03,58.96,2722000
128,2020-10-05,86.07,85.86,87.01,86.6,1536000
129,2020-10-02,85.5,84.82,86.63,85.51,2498000
130,2020-10-01,85.98,85.08,87.18,86.54,2194000
131,2020-09-30,85.98,84.32,86.96,84.85,1802000
132,2020-09-29,85.76,85.09,86.64,85.68,1112000
133,2020-09-28,85.11,84.66,85.91,85.71,1213000
134,2020-09-25,81.03,80.95,84.35,84.0,1654000
135,2020-09-24,81.33,81.19,82.72,81.92,1880000
136,2020-09-23,84.47,81.89,84.97,82.13,1663000
137,2020-09-22,83.34,82.24,83.97,83.75,1401000
138,2020-09-21,81.63,80.95,82.64,82.4,1912000
139,2020-09-18,83.46,81.46,83.62,82.75,3261000
140,2020-09-17,83.05,81.91,83.36,83.08,2310000
141,2020-09-16,84.49,83.5,84.99,83.97,2472000
142,2020-09-15,82.0,82.0,84.32,84.3,3724000
143,2020-09-14,79.42,79.42,82.04,81.47,2749000
144,2020-09-11,79.57,77.73,79.94,78.57,1524000
145,2020-09-10,80.9,78.09,81.75,79.28,1991000
146,2020-09-09,79.76,79.03,81.2,80.35,1799000
147,2020-09-08,81.13,79.15,81.45,79.21,2116000
148,2020-09-04,84.9,80.18,84.9,82.69,1648000
149,2020-09-03,87.16,83.93,87.16,84.56,2696000
150,2020-09-02,87.0,85.88,88.29,87.78,2135000
151,2020-09-01,85.4,85.33,87.78,87.34,1981000
152,2020-08-31,85.43,84.45,87.94,84.86,3288000
153,2020-08-28,85.17,84.84,87.06,85.25,1325000
154,2020-08-27,84.98,84.56,86.17,84.63,1990000
155,2020-08-26,85.89,84.15,86.01,84.17,1103000
156,2020-08-25,84.79,84.27,85.5,85.42,1691000
157,2020-08-24,83.89,83.44,85.55,85.3,2132000
158,2020-08-21,83.39,83.12,83.7,83.33,1736000
159,2020-08-20,82.24,82.24,84.17,83.59,1241000
160,2020-08-19,83.07,82.29,83.65,82.72,1064000
161,2020-08-18,83.37,82.71,84.12,82.83,955000
162,2020-08-17,83.5,82.85,84.01,83.12,1148000
163,2020-08-14,83.99,82.33,83.99,83.04,1758000
164,2020-08-13,82.84,82.84,84.61,84.17,1181000
165,2020-08-12,81.29,80.38,83.46,82.47,1452000
166,2020-08-11,83.28,80.76,83.28,81.02,1808000
167,2020-08-10,82.88,82.02,83.62,83.15,1469000
168,2020-08-07,83.48,82.66,84.0,83.04,1536000
169,2020-08-06,84.07,82.25,84.39,83.15,1582000
170,2020-08-05,83.56,83.22,84.8,84.08,1634000
171,2020-08-04,81.83,81.83,83.96,82.94,2648000
172,2020-08-03,85.64,83.5,85.98,83.5,2618000
173,2020-07-31,83.1,82.6,85.41,84.98,2805000
174,2020-07-30,82.2,81.8,83.88,83.27,2584000
175,2020-07-29,93.9,78.54,93.9,82.91,7861000
176,2020-07-28,71.77,71.25,72.84,71.67,3318000
177,2020-07-27,70.79,69.72,72.16,71.92,2634000
178,2020-07-24,69.58,68.31,70.56,70.38,3805000
179,2020-07-23,70.88,69.58,71.87,69.86,1702000
180,2020-07-22,71.01,70.06,71.12,70.5,1592000
181,2020-07-21,71.67,70.05,71.67,70.83,2370000
182,2020-07-20,70.23,69.75,70.96,70.67,1936000
183,2020-07-17,70.1,68.9,71.45,70.62,15359000
184,2020-07-16,68.46,67.17,69.65,69.56,3940000
185,2020-07-15,68.24,67.79,69.24,69.17,2725000
