,date,open,low,high,close,volume
0,2020-01-06,24.06,23.91,24.25,24.17,14636471
1,2020-01-03,24.0,23.88,24.31,24.3,9979032
2,2020-01-02,24.27,24.08,24.4,24.4,8490545
3,2020-04-06,20.22,19.74,20.56,20.42,19460467
4,2020-04-03,18.87,18.63,19.22,18.92,15815481
5,2020-04-02,18.06,17.88,19.04,18.95,16377367
6,2020-04-01,18.03,17.75,18.41,18.28,14111192
7,2020-03-31,19.24,18.77,19.38,19.1,16775284
8,2020-03-30,18.7,18.58,19.42,19.34,15088050
9,2020-03-27,18.76,18.34,19.27,18.76,16765591
10,2020-03-26,19.04,18.61,19.71,19.52,19098600
11,2020-03-25,18.37,18.34,20.19,18.84,22974600
12,2020-03-24,16.99,16.5,18.56,18.5,22836000
13,2020-03-23,16.48,15.6,16.93,15.89,22894726
14,2020-03-20,18.17,16.53,18.39,16.62,29586059
15,2020-03-19,16.84,16.26,18.73,18.34,18277578
16,2020-03-18,16.89,16.02,17.49,16.99,23637000
17,2020-03-17,16.5,16.06,18.31,18.09,26466300
18,2020-03-16,16.34,15.85,17.79,16.31,33835950
19,2020-03-13,18.83,18.0,19.6,19.31,36819966
20,2020-03-12,17.85,17.29,18.8,17.8,36770238
21,2020-03-11,20.3,19.35,20.61,19.44,32617500
22,2020-03-10,20.77,19.78,21.05,20.96,24699687
23,2020-03-09,20.98,19.86,21.24,20.13,25397206
24,2020-03-06,21.98,21.91,22.94,22.75,15568617
25,2020-03-05,23.31,22.88,23.53,22.99,14684246
26,2020-03-04,23.29,23.13,24.08,24.0,16729024
27,2020-03-03,23.41,22.85,24.35,22.97,24367200
28,2020-03-02,23.44,22.99,23.8,23.58,31954042
29,2020-02-28,23.36,22.81,23.65,23.48,34617145
30,2020-02-27,24.55,24.06,25.15,24.09,26091600
31,2020-02-26,25.38,24.91,25.58,25.1,20588027
32,2020-02-25,26.04,25.13,26.21,25.19,26703401
33,2020-02-24,25.99,25.87,26.2,26.02,22547803
34,2020-02-21,26.63,26.49,26.81,26.52,11560709
35,2020-02-20,26.69,26.53,26.87,26.82,6725838
36,2020-02-19,26.6,26.53,26.75,26.72,6755400
37,2020-02-18,26.45,26.33,26.7,26.5,8205173
38,2020-02-14,26.56,26.38,26.65,26.53,7025100
39,2020-02-13,26.43,26.3,26.66,26.61,7331400
40,2020-02-12,26.36,26.15,26.5,26.49,8284841
41,2020-02-11,26.32,26.13,26.48,26.17,8935235
42,2020-02-10,25.8,25.77,26.3,26.29,9853800
43,2020-02-07,26.31,25.89,26.4,25.96,9293100
44,2020-02-06,26.17,25.93,26.22,26.11,6786309
45,2020-02-05,26.27,25.96,26.27,26.06,10797151
46,2020-02-04,26.08,25.85,26.18,25.92,8813480
47,2020-02-03,25.73,25.56,25.86,25.7,10319100
48,2020-01-31,25.76,25.29,25.79,25.45,13947000
49,2020-01-30,25.47,25.45,25.95,25.93,9677400
50,2020-01-29,25.58,25.5,26.13,25.84,14833718
51,2020-01-28,25.24,25.1,25.54,25.41,10960200
52,2020-01-27,25.0,24.87,25.28,25.06,11033840
53,2020-01-24,25.56,25.35,25.68,25.57,10812300
54,2020-01-23,24.85,24.65,25.57,25.55,13105813
55,2020-01-22,25.04,24.74,25.06,24.87,12779751
56,2020-01-21,25.24,24.88,25.35,24.94,14781590
57,2020-01-17,25.17,25.06,25.73,25.47,31340503
58,2020-01-16,25.22,25.22,25.62,25.58,21106647
59,2020-01-15,24.84,24.79,25.19,25.0,14355600
60,2020-01-14,24.83,24.74,25.11,24.89,9250044
61,2020-01-13,24.46,24.38,24.92,24.9,10656412
62,2020-01-10,24.57,24.42,24.62,24.45,6109587
63,2020-01-09,24.47,24.41,24.58,24.58,6462912
64,2020-01-08,24.49,24.36,24.61,24.46,8612700
65,2020-01-07,24.23,24.05,24.51,24.33,14361065
66,2020-07-06,23.24,23.23,23.56,23.42,8323200
67,2020-07-02,23.05,22.89,23.29,22.95,7629739
68,2020-07-01,23.29,22.62,23.43,22.75,9850200
69,2020-06-30,22.72,22.66,23.44,23.25,10864324
70,2020-06-29,22.19,22.11,22.84,22.83,10683337
71,2020-06-26,22.67,21.79,22.76,21.97,28192200
72,2020-06-25,22.44,22.14,22.78,22.74,8755829
73,2020-06-24,22.81,22.48,22.95,22.5,11214998
74,2020-06-23,23.11,22.92,23.29,23.14,9317100
75,2020-06-22,22.58,22.36,22.89,22.87,9680100
76,2020-06-19,23.47,22.58,23.49,22.66,21278100
77,2020-06-18,23.08,23.03,23.37,23.16,8368500
78,2020-06-17,23.69,23.28,23.69,23.3,9176118
79,2020-06-16,24.19,23.19,24.19,23.45,11665346
80,2020-06-15,22.64,22.48,23.52,23.38,11767079
81,2020-06-12,23.5,22.69,23.56,23.19,12513600
82,2020-06-11,23.93,22.74,24.13,22.76,14913167
83,2020-06-10,24.55,24.12,24.71,24.43,12241632
84,2020-06-09,24.52,24.35,24.74,24.55,10312500
85,2020-06-08,24.94,24.61,25.33,24.78,13896076
86,2020-06-05,25.32,24.98,25.64,25.03,17776343
87,2020-06-04,24.7,24.57,24.83,24.68,9409035
88,2020-06-03,24.47,24.33,24.96,24.89,11758500
89,2020-06-02,23.89,23.71,24.15,24.06,9105498
90,2020-06-01,23.66,23.44,23.86,23.62,8249700
91,2020-05-29,23.65,23.34,24.12,23.86,15854451
92,2020-05-28,24.66,23.57,24.67,23.75,16441150
93,2020-05-27,24.26,24.24,24.64,24.53,16760224
94,2020-05-26,23.49,23.35,24.05,24.05,17253758
95,2020-05-22,22.5,22.47,22.88,22.84,8170847
96,2020-05-21,22.7,22.31,22.76,22.6,10073368
97,2020-05-20,22.95,22.7,23.27,22.79,15504300
98,2020-05-19,22.21,21.99,22.52,21.99,13604700
99,2020-05-18,21.5,21.35,22.3,22.13,11988416
100,2020-05-15,20.68,20.54,20.87,20.67,15777000
101,2020-05-14,20.64,20.0,21.03,20.99,11680046
102,2020-05-13,21.36,20.56,21.36,20.78,12432300
103,2020-05-12,22.07,21.38,22.07,21.39,8679518
104,2020-05-11,21.73,21.71,22.23,21.97,9438114
105,2020-05-08,21.58,21.56,22.1,22.04,8490026
106,2020-05-07,21.2,21.06,21.47,21.31,10083900
107,2020-05-06,21.32,20.84,21.41,20.88,15869736
108,2020-05-05,21.45,21.19,21.66,21.26,13025665
109,2020-05-04,21.57,21.02,21.57,21.25,11614500
110,2020-05-01,21.86,21.52,21.86,21.67,22737900
111,2020-04-30,22.34,22.0,22.61,22.08,25137490
112,2020-04-29,22.79,22.59,23.09,22.72,12202770
113,2020-04-28,22.39,21.94,22.55,22.28,18007101
114,2020-04-27,21.83,21.59,22.26,22.14,21595908
115,2020-04-24,20.86,20.46,21.33,21.27,11973731
116,2020-04-23,21.3,20.43,21.37,20.49,13986600
117,2020-04-22,20.22,19.82,20.8,20.3,15823227
118,2020-04-21,19.78,19.6,20.1,19.83,13695600
119,2020-04-20,20.34,20.09,20.86,20.33,14391485
120,2020-04-17,20.97,20.68,21.22,20.92,20512800
121,2020-04-16,20.4,19.65,20.4,20.21,14782500
122,2020-04-15,20.12,19.97,20.34,20.3,9541800
123,2020-04-14,20.71,20.68,21.13,20.85,9734652
124,2020-04-13,21.1,20.31,21.29,20.52,12558300
125,2020-04-09,21.3,21.03,21.6,21.33,15451818
126,2020-04-08,20.74,20.6,21.29,21.17,11314841
127,2020-04-07,21.44,20.27,21.61,20.38,16942351
128,2020-10-05,25.83,25.77,26.1,25.91,8595900
129,2020-10-02,25.59,25.44,25.96,25.72,10648288
130,2020-10-01,26.12,25.42,26.12,25.62,12747663
131,2020-09-30,26.13,25.79,26.41,25.89,14632886
132,2020-09-29,26.32,25.86,26.49,25.87,11483951
133,2020-09-28,26.39,26.17,26.57,26.44,8690700
134,2020-09-25,25.75,25.55,26.11,26.03,10377667
135,2020-09-24,25.36,25.13,25.85,25.53,12737631
136,2020-09-23,26.22,25.36,26.33,25.5,13460917
137,2020-09-22,25.88,25.71,26.09,25.98,10902900
138,2020-09-21,26.1,25.44,26.25,25.86,13075582
139,2020-09-18,26.58,26.42,26.86,26.61,20217419
140,2020-09-17,26.0,25.79,26.67,26.5,13855918
141,2020-09-16,27.07,26.38,27.13,26.45,14956500
142,2020-09-15,26.58,26.42,27.03,26.76,14988719
143,2020-09-14,25.95,25.75,26.46,26.32,10494574
144,2020-09-11,25.42,25.35,25.81,25.72,8678231
145,2020-09-10,25.45,25.09,25.67,25.27,11175299
146,2020-09-09,25.24,25.23,25.96,25.55,10990051
147,2020-09-08,25.12,24.71,25.52,25.09,12302484
148,2020-09-04,25.41,24.8,25.66,25.17,12536802
149,2020-09-03,26.11,25.03,26.14,25.22,14156150
150,2020-09-02,25.98,25.72,26.22,25.89,24348312
151,2020-09-01,25.4,25.25,26.02,26.01,9957603
152,2020-08-31,25.73,25.38,25.85,25.49,9646554
153,2020-08-28,25.32,25.26,25.73,25.69,7963651
154,2020-08-27,25.33,25.09,25.58,25.4,7626067
155,2020-08-26,25.16,24.99,25.26,25.14,8460434
156,2020-08-25,25.2,24.94,25.31,25.28,7600600
157,2020-08-24,24.86,24.79,25.06,25.04,7807855
158,2020-08-21,24.63,24.47,24.75,24.71,9075123
159,2020-08-20,24.43,24.42,24.72,24.64,7644600
160,2020-08-19,24.91,24.64,24.95,24.68,8141771
161,2020-08-18,25.06,24.77,25.06,24.8,7244791
162,2020-08-17,24.81,24.78,25.09,25.0,8966100
163,2020-08-14,24.56,24.5,24.89,24.75,7149370
164,2020-08-13,24.84,24.58,24.99,24.67,7675800
165,2020-08-12,25.19,24.98,25.44,25.01,9075381
166,2020-08-11,25.03,24.89,25.49,25.05,16438396
167,2020-08-10,24.45,24.31,24.81,24.69,11712074
168,2020-08-07,23.98,23.94,24.41,24.31,10284300
169,2020-08-06,23.82,23.74,24.22,24.09,7129627
170,2020-08-05,23.72,23.6,23.84,23.81,6515793
171,2020-08-04,23.39,23.26,23.59,23.59,9359700
172,2020-08-03,23.73,23.43,23.88,23.45,8228100
173,2020-07-31,23.3,22.69,23.8,23.78,16729200
174,2020-07-30,23.66,23.35,23.77,23.41,9651105
175,2020-07-29,23.56,23.46,24.04,23.97,11649293
176,2020-07-28,23.77,23.32,23.78,23.37,8943600
177,2020-07-27,23.66,23.64,24.07,23.86,10236300
178,2020-07-24,23.92,23.75,24.2,23.78,8862600
179,2020-07-23,24.02,23.64,24.32,23.84,15308535
180,2020-07-22,24.17,24.1,24.59,24.42,12628089
181,2020-07-21,23.97,23.87,24.2,24.14,7623838
182,2020-07-20,23.95,23.63,24.01,23.85,8920880
183,2020-07-17,23.88,23.67,24.15,24.05,8843474
184,2020-07-16,23.43,23.4,23.96,23.69,8339495
185,2020-07-15,23.5,23.13,23.67,23.55,13189909
186,2020-07-14,22.69,22.6,23.15,23.11,11623500
187,2020-07-13,22.74,22.53,23.32,22.88,12059457
188,2020-07-10,22.56,22.39,22.7,22.51,11002655
189,2020-07-09,22.76,22.49,23.02,22.62,12826200
190,2020-07-08,22.88,22.72,23.08,23.03,8927400
191,2020-07-07,23.14,22.78,23.34,22.84,8724011
192,2021-01-04,30.22,29.13,30.34,29.33,15560838
193,2020-12-31,29.99,29.89,30.3,30.25,9063663
194,2020-12-30,29.9,29.83,30.16,30.11,5935001
195,2020-12-29,30.32,29.56,30.41,29.78,8220600
196,2020-12-28,30.19,30.12,30.42,30.21,5016317
197,2020-12-24,29.93,29.72,30.07,30.02,2629200
198,2020-12-23,29.96,29.74,30.17,29.89,12082011
199,2020-12-22,29.75,29.7,30.06,29.85,14629253
200,2020-12-21,29.59,29.52,30.12,29.9,8289300
201,2020-12-18,30.16,29.82,30.33,30.22,16911715
202,2020-12-17,29.78,29.78,30.32,30.18,8842307
203,2020-12-16,30.02,29.66,30.12,29.7,9122637
204,2020-12-15,29.96,29.61,30.17,30.07,11945100
205,2020-12-14,30.4,29.63,30.44,29.64,7836997
206,2020-12-11,29.74,29.67,30.23,30.14,10037953
207,2020-12-10,29.85,29.85,30.18,30.0,13001572
208,2020-12-09,30.56,30.4,30.76,30.58,8512500
209,2020-12-08,30.38,30.33,30.7,30.5,11121374
210,2020-12-07,30.48,30.37,30.77,30.68,13370086
211,2020-12-04,30.21,30.15,30.66,30.62,14024555
212,2020-12-03,30.33,29.99,30.53,30.14,15363000
213,2020-12-02,30.01,30.01,30.45,30.23,15218748
214,2020-12-01,30.31,30.12,30.69,30.21,14906700
215,2020-11-30,30.36,29.99,30.61,30.02,19928476
216,2020-11-27,30.83,30.38,30.91,30.43,4140724
217,2020-11-25,31.0,30.52,31.04,30.75,7125673
218,2020-11-24,31.15,30.74,31.15,30.97,23318480
219,2020-11-23,30.65,30.42,30.89,30.69,9232800
220,2020-11-20,30.51,30.31,30.76,30.51,6396300
221,2020-11-19,30.28,30.06,30.62,30.57,8326898
222,2020-11-18,30.95,30.43,31.21,30.44,7898700
223,2020-11-17,30.61,30.48,30.97,30.83,7368460
224,2020-11-16,30.74,30.43,31.03,31.0,10768504
225,2020-11-13,30.04,29.91,30.55,30.2,10227817
226,2020-11-12,29.83,29.64,30.18,29.91,12211857
227,2020-11-11,30.53,29.77,30.63,30.01,13179037
228,2020-11-10,29.25,29.06,30.63,30.47,21492177
229,2020-11-09,30.12,29.34,31.23,29.4,17890586
230,2020-11-06,29.06,28.54,29.23,28.73,8671800
231,2020-11-05,28.5,28.33,29.3,29.01,18312000
232,2020-11-04,28.49,28.19,29.18,28.28,19347400
233,2020-11-03,27.54,27.41,28.26,28.07,16795327
234,2020-11-02,26.77,26.42,27.37,27.25,17485500
235,2020-10-30,25.88,25.83,26.34,26.31,17652368
236,2020-10-29,25.22,25.13,26.31,25.96,16518600
237,2020-10-28,25.49,25.25,25.85,25.31,18601905
238,2020-10-27,26.33,25.87,26.49,26.03,16386300
239,2020-10-26,26.78,26.11,26.8,26.29,9995400
240,2020-10-23,27.23,26.79,27.53,27.1,9535500
241,2020-10-22,27.39,27.0,28.27,27.24,21459051
242,2020-10-21,26.4,26.21,26.69,26.24,14052900
243,2020-10-20,26.43,26.39,27.07,26.71,8415074
244,2020-10-19,26.6,26.27,26.95,26.35,9325884
245,2020-10-16,26.98,26.69,27.11,26.7,15870993
246,2020-10-15,26.52,26.42,27.05,27.01,8218826
247,2020-10-14,26.49,26.49,27.08,26.82,12395565
248,2020-10-13,26.84,26.32,27.0,26.4,12970443
249,2020-10-12,26.31,26.14,26.74,26.52,14096621
250,2020-10-09,25.99,25.99,26.31,26.16,6372000
251,2020-10-08,26.31,25.73,26.4,25.9,10333858
252,2020-10-07,25.7,25.68,26.38,26.23,10489405
253,2020-10-06,25.99,25.49,26.13,25.57,9891600
254,2021-04-05,32.71,32.55,32.95,32.86,7239091
255,2021-04-01,32.36,32.12,32.45,32.42,8038886
256,2021-03-31,31.89,31.89,32.36,32.14,10265758
257,2021-03-30,32.0,31.99,32.43,32.12,10415620
258,2021-03-29,32.64,32.01,32.69,32.2,13755931
259,2021-03-26,31.91,31.8,32.58,32.55,9407100
260,2021-03-25,31.32,31.01,31.94,31.85,9774663
261,2021-03-24,31.06,31.01,31.76,31.39,12278175
262,2021-03-23,31.16,30.87,31.63,30.97,10693186
263,2021-03-22,31.6,31.08,31.73,31.26,20960804
264,2021-03-19,30.95,30.16,31.0,30.26,32357882
265,2021-03-18,30.49,30.47,31.06,30.84,12426900
266,2021-03-17,30.6,30.34,30.9,30.71,11624924
267,2021-03-16,31.26,30.48,31.29,30.65,9074100
268,2021-03-15,31.22,30.75,31.33,31.16,8145047
269,2021-03-12,31.19,31.16,31.43,31.28,6711327
270,2021-03-11,31.37,31.22,31.63,31.27,11390807
271,2021-03-10,31.0,30.83,31.39,31.2,7677000
272,2021-03-09,31.11,30.89,31.35,30.91,8565767
273,2021-03-08,30.6,30.53,31.48,30.84,10493134
274,2021-03-05,29.85,29.31,30.62,30.54,9233130
275,2021-03-04,30.36,29.05,30.49,29.42,12982200
276,2021-03-03,30.69,30.35,30.74,30.36,7253700
277,2021-03-02,30.98,30.53,31.01,30.72,6810153
278,2021-03-01,31.0,30.82,31.18,30.98,7704781
279,2021-02-26,30.85,30.36,30.97,30.52,11532600
280,2021-02-25,31.11,30.58,31.11,30.73,13516525
281,2021-02-24,30.36,30.32,31.3,31.12,8136794
282,2021-02-23,30.91,30.34,31.24,30.56,11358404
283,2021-02-22,30.53,30.44,31.19,30.86,13260979
284,2021-02-19,30.07,30.03,30.78,30.7,9882933
285,2021-02-18,29.77,29.53,30.16,30.01,10865887
286,2021-02-17,30.1,29.7,30.23,30.0,9963387
287,2021-02-16,30.14,30.03,30.37,30.25,14850218
288,2021-02-12,29.53,29.53,30.14,30.05,10036561
289,2021-02-11,29.65,29.22,29.72,29.58,11757300
290,2021-02-10,29.72,29.21,29.8,29.39,9537069
