,date,open,low,high,close,volume
0,2020-01-06,67.03,66.69,67.59,67.57,1637488
1,2020-01-03,67.02,66.77,68.0,67.39,1972416
2,2020-01-02,67.47,66.65,67.71,67.7,2176800
3,2020-04-06,42.25,42.07,45.15,44.87,5372452
4,2020-04-03,40.82,40.55,41.88,41.06,4031732
5,2020-04-02,40.06,39.72,41.82,41.3,5749240
6,2020-04-01,41.36,40.14,41.85,40.67,4456800
7,2020-03-31,44.62,42.98,44.9,43.31,6454692
8,2020-03-30,45.48,43.84,45.9,45.11,4295200
9,2020-03-27,46.86,45.0,46.94,45.39,4022476
10,2020-03-26,48.59,45.64,49.5,48.15,6926296
11,2020-03-25,43.56,42.22,50.14,48.08,6708860
12,2020-03-24,41.46,41.33,44.69,43.45,5502892
13,2020-03-23,44.31,38.58,44.31,39.27,6571600
14,2020-03-20,45.04,41.84,47.36,43.77,10294800
15,2020-03-19,44.06,40.1,46.34,45.75,5723632
16,2020-03-18,43.39,40.8,45.6,44.5,7657200
17,2020-03-17,51.64,48.96,52.66,52.28,7512972
18,2020-03-16,49.39,49.39,51.92,50.63,6964044
19,2020-03-13,58.31,55.9,61.02,60.9,5014160
20,2020-03-12,58.0,53.56,59.0,56.42,7770800
21,2020-03-11,65.0,61.42,65.58,62.6,2660132
22,2020-03-10,64.32,63.31,67.22,67.11,3646496
23,2020-03-09,64.74,62.16,64.94,62.71,4453684
24,2020-03-06,66.22,65.9,68.44,68.08,3342000
25,2020-03-05,69.56,68.03,70.81,68.76,2607600
26,2020-03-04,70.14,68.87,71.54,71.53,2727216
27,2020-03-03,69.35,67.72,71.66,68.09,3583240
28,2020-03-02,66.52,66.12,69.94,69.9,4232400
29,2020-02-28,63.88,63.75,66.88,66.69,5569200
30,2020-02-27,69.45,67.33,70.11,67.39,3731200
31,2020-02-26,70.46,70.4,71.77,70.98,2829600
32,2020-02-25,72.03,69.83,72.42,69.97,3501600
33,2020-02-24,71.41,71.11,72.58,72.04,2369200
34,2020-02-21,73.72,73.06,74.18,73.34,2001200
35,2020-02-20,75.63,74.18,76.14,74.43,2340400
36,2020-02-19,75.95,75.68,76.2,76.07,1184000
37,2020-02-18,75.23,74.71,75.67,75.63,1546552
38,2020-02-14,74.68,74.34,75.31,75.22,1055512
39,2020-02-13,73.85,73.85,75.03,74.53,1768400
40,2020-02-12,73.63,73.31,74.47,74.28,1668448
41,2020-02-11,73.51,73.07,73.69,73.37,1052568
42,2020-02-10,72.9,72.3,73.21,73.16,1540000
