,date,open,low,high,close,volume
0,2020-01-06,17.44,17.13,17.48,17.42,8388533
1,2020-01-03,17.51,17.14,17.54,17.28,6896300
2,2020-01-02,17.52,16.93,17.6,17.23,8088337
3,2020-04-06,17.48,17.2,18.68,18.28,6755400
4,2020-04-03,17.03,16.72,17.57,17.35,9111000
5,2020-04-02,16.9,15.43,17.85,16.7,14925109
6,2020-04-01,16.88,16.27,17.56,16.64,8997144
7,2020-03-31,17.8,16.72,17.93,17.19,9539813
8,2020-03-30,16.01,16.01,17.7,17.51,8840538
9,2020-03-27,16.5,16.05,17.11,16.24,10358100
10,2020-03-26,16.61,16.11,17.93,16.87,8945310
11,2020-03-25,16.49,15.96,17.52,16.46,8933420
12,2020-03-24,14.55,14.19,16.51,16.35,9493127
13,2020-03-23,15.1,13.16,15.19,14.14,9369900
14,2020-03-20,16.75,14.84,16.79,14.92,11390400
15,2020-03-19,18.71,16.33,18.83,16.91,12732732
16,2020-03-18,18.59,17.5,19.23,18.5,15964336
17,2020-03-17,17.5,17.47,19.77,19.09,16454128
18,2020-03-16,17.08,16.9,20.53,17.11,20300800
19,2020-03-13,16.5,16.23,18.75,18.37,20152725
20,2020-03-12,15.94,15.25,17.34,16.04,24364500
21,2020-03-11,16.64,16.04,16.99,16.21,15850738
22,2020-03-10,16.57,15.75,17.62,16.94,22616800
23,2020-03-09,16.06,16.06,19.15,16.89,47473557
24,2020-03-06,14.51,14.49,16.66,16.37,22588500
25,2020-03-05,14.57,14.53,14.93,14.92,10134602
26,2020-03-04,15.0,14.43,15.02,14.94,10277100
27,2020-03-03,14.62,14.27,15.05,14.79,12636315
28,2020-03-02,14.06,13.68,14.68,14.55,11035233
29,2020-02-28,13.09,13.06,13.95,13.93,17766145
30,2020-02-27,14.34,13.5,14.36,13.51,17238600
31,2020-02-26,14.73,14.45,14.97,14.66,9413200
32,2020-02-25,15.12,14.26,15.14,14.6,10565800
33,2020-02-24,14.59,14.51,15.17,15.05,11811447
34,2020-02-21,14.8,14.42,15.16,14.89,10076417
35,2020-02-20,15.54,15.15,15.59,15.35,8080512
36,2020-02-19,15.28,15.2,15.66,15.6,6604620
37,2020-02-18,14.71,14.62,15.36,15.3,6369813
38,2020-02-14,15.08,14.77,15.2,14.8,5698334
39,2020-02-13,14.92,14.82,15.17,15.07,6466011
40,2020-02-12,14.98,14.69,15.12,14.96,5392449
41,2020-02-11,14.82,14.57,14.84,14.76,4883323
42,2020-02-10,14.48,14.37,14.66,14.65,7625306
43,2020-02-07,14.65,14.46,14.73,14.64,5310100
44,2020-02-06,14.94,14.71,14.97,14.77,5031500
45,2020-02-05,14.57,14.56,15.02,14.87,9762100
46,2020-02-04,14.4,14.32,14.76,14.41,8219044
47,2020-02-03,14.07,14.07,14.4,14.16,5995141
48,2020-01-31,14.18,14.02,14.3,14.09,7985800
49,2020-01-30,14.22,14.15,14.48,14.31,6365701
50,2020-01-29,14.75,14.3,14.82,14.32,6907411
51,2020-01-28,14.51,14.4,14.78,14.71,11903600
52,2020-01-27,14.51,14.08,14.57,14.42,10504702
53,2020-01-24,15.15,14.44,15.18,14.64,11093608
54,2020-01-23,15.22,15.05,15.47,15.23,11116605
55,2020-01-22,15.61,15.37,15.71,15.43,8669200
56,2020-01-21,16.65,15.51,16.7,15.52,15336400
57,2020-01-17,17.38,16.79,17.38,16.81,6091500
58,2020-01-16,17.45,17.34,17.81,17.37,5302927
59,2020-01-15,17.32,17.23,17.39,17.34,4972120
60,2020-01-14,17.13,17.11,17.52,17.51,6112493
61,2020-01-13,17.44,16.95,17.48,17.19,7588418
62,2020-01-10,17.27,17.09,17.6,17.49,7421000
63,2020-01-09,16.82,16.62,17.27,17.26,10587438
64,2020-01-08,17.25,16.7,17.38,16.85,10755861
65,2020-01-07,17.26,17.06,17.53,17.52,6987642
66,2020-07-06,18.0,17.69,18.15,17.92,4701266
67,2020-07-02,17.28,17.27,17.95,17.74,4322945
68,2020-07-01,17.05,16.76,17.22,17.0,4691122
69,2020-06-30,17.08,16.76,17.24,17.18,5639007
70,2020-06-29,16.68,16.61,17.22,17.06,5071000
71,2020-06-26,17.09,16.42,17.12,16.57,11582226
72,2020-06-25,17.77,17.02,17.96,17.17,5753400
73,2020-06-24,18.04,17.85,18.42,17.92,5160135
74,2020-06-23,18.24,17.99,18.43,18.17,5538000
75,2020-06-22,18.51,17.94,18.66,18.07,4949534
76,2020-06-19,19.12,18.41,19.12,18.69,11825500
77,2020-06-18,18.77,18.6,19.13,18.77,3576153
78,2020-06-17,19.13,18.79,19.31,18.89,5119814
79,2020-06-16,19.7,19.03,19.81,19.31,4768838
80,2020-06-15,19.54,19.07,19.84,19.4,7628271
81,2020-06-12,20.2,19.59,20.52,20.07,5436902
82,2020-06-11,19.77,19.52,20.83,20.14,6608657
83,2020-06-10,21.79,20.22,22.06,20.24,6961000
84,2020-06-09,22.0,21.12,22.67,21.93,9069825
85,2020-06-08,20.28,20.28,22.38,22.37,7983000
86,2020-06-05,20.23,20.03,20.5,20.42,7256400
87,2020-06-04,20.22,19.68,20.44,19.98,4407900
88,2020-06-03,20.58,20.13,20.6,20.35,4471223
89,2020-06-02,19.96,19.66,20.21,20.21,5750899
90,2020-06-01,19.25,18.86,19.95,19.83,6879144
91,2020-05-29,19.29,19.16,20.13,19.84,8281121
92,2020-05-28,20.22,19.21,20.84,19.32,5806836
93,2020-05-27,19.68,19.64,20.42,20.33,6279766
94,2020-05-26,19.07,18.88,19.74,19.47,5424747
95,2020-05-22,18.61,18.25,18.97,18.9,3964123
96,2020-05-21,18.9,18.47,19.06,18.63,7726530
97,2020-05-20,18.39,18.18,19.0,18.91,6207172
98,2020-05-19,18.54,18.21,18.77,18.21,4161508
99,2020-05-18,18.85,18.25,19.12,18.47,5538597
100,2020-05-15,18.6,18.2,18.74,18.25,4014448
101,2020-05-14,18.52,18.2,18.99,18.65,5442908
102,2020-05-13,18.85,18.46,19.03,18.77,4900043
103,2020-05-12,19.38,18.99,19.64,19.0,5103900
104,2020-05-11,20.38,19.28,20.63,19.35,4899772
105,2020-05-08,20.08,20.08,20.56,20.51,3504824
106,2020-05-07,19.81,19.78,20.31,19.98,5443627
107,2020-05-06,20.36,19.55,20.41,19.6,5242638
108,2020-05-05,20.65,20.3,20.96,20.39,5239149
109,2020-05-04,20.52,19.76,20.81,20.26,6441944
110,2020-05-01,20.66,19.24,20.92,20.22,8058663
111,2020-04-30,21.02,20.67,21.99,21.62,8849747
112,2020-04-29,20.63,20.22,21.21,20.77,5686753
113,2020-04-28,21.36,20.3,21.36,20.54,6441615
114,2020-04-27,20.46,20.3,21.35,21.09,6225621
115,2020-04-24,20.52,20.14,20.76,20.44,9158000
116,2020-04-23,21.11,19.83,21.11,20.04,9547633
117,2020-04-22,21.35,20.57,21.56,20.72,7309962
118,2020-04-21,21.5,20.73,22.23,21.03,8133739
119,2020-04-20,20.33,20.28,22.14,21.42,9157931
120,2020-04-17,19.68,19.45,20.98,20.96,9021328
121,2020-04-16,20.1,19.13,20.75,19.31,7927333
122,2020-04-15,19.07,18.98,20.05,19.99,7113107
123,2020-04-14,19.15,18.83,19.81,19.54,5942900
124,2020-04-13,19.4,18.72,19.95,18.98,5101426
125,2020-04-09,19.0,18.5,19.65,18.88,7212700
126,2020-04-08,18.6,17.85,19.27,19.19,5128715
127,2020-04-07,18.45,17.88,18.93,18.38,7591200
128,2020-10-05,17.2,17.05,17.77,17.74,3835755
129,2020-10-02,16.47,16.41,17.22,17.01,4434900
130,2020-10-01,17.26,16.82,17.48,16.85,5552400
131,2020-09-30,17.65,17.18,17.75,17.36,4253402
132,2020-09-29,17.86,17.33,18.04,17.64,5966500
133,2020-09-28,18.24,18.04,18.29,18.07,3393444
134,2020-09-25,18.47,18.02,18.64,18.12,4274000
135,2020-09-24,18.73,18.54,19.05,18.74,4266111
136,2020-09-23,19.56,18.62,19.59,18.65,4098100
137,2020-09-22,19.38,19.3,19.82,19.41,4695923
138,2020-09-21,19.19,19.03,19.47,19.45,4925837
139,2020-09-18,19.44,19.2,19.73,19.39,6629246
140,2020-09-17,19.0,18.74,19.41,19.41,6384400
141,2020-09-16,18.96,18.88,19.51,19.3,4470600
142,2020-09-15,18.7,18.41,18.84,18.68,3890600
143,2020-09-14,18.34,18.28,18.8,18.61,3990300
144,2020-09-11,18.29,18.02,18.39,18.24,3878500
145,2020-09-10,18.67,18.15,18.7,18.2,4819140
146,2020-09-09,18.05,17.95,18.63,18.58,4877067
147,2020-09-08,18.05,17.44,18.2,17.88,6192300
148,2020-09-04,18.24,18.01,18.48,18.33,4430313
149,2020-09-03,18.04,18.02,18.7,18.14,4001033
150,2020-09-02,18.47,18.11,18.56,18.17,4730344
151,2020-09-01,18.57,18.11,18.81,18.59,4683516
152,2020-08-31,18.85,18.56,19.06,18.97,4812600
153,2020-08-28,19.1,18.82,19.15,18.95,2812106
154,2020-08-27,18.78,18.74,19.11,19.07,2978100
155,2020-08-26,19.19,18.55,19.19,18.68,4823413
156,2020-08-25,19.56,19.1,19.68,19.29,3520400
157,2020-08-24,19.53,19.31,19.75,19.51,4083000
158,2020-08-21,19.41,19.1,19.56,19.52,3573600
159,2020-08-20,19.99,19.37,19.99,19.37,3922913
160,2020-08-19,19.89,19.67,20.36,20.1,3476900
161,2020-08-18,20.34,19.87,20.52,19.89,4730011
162,2020-08-17,20.08,19.74,20.2,20.16,3110829
