,date,open,low,high,close,volume
0,2020-01-06,61.04,60.35,61.3,60.75,3017038
1,2020-01-03,61.08,60.89,61.54,61.36,2535700
2,2020-01-02,62.29,61.68,62.46,61.92,2234530
3,2020-04-06,45.81,45.39,48.7,48.45,5659227
4,2020-04-03,43.97,43.01,44.72,43.4,3225831
5,2020-04-02,42.3,42.2,45.0,44.29,3819700
6,2020-04-01,44.68,42.14,45.08,42.51,5490452
7,2020-03-31,47.02,46.16,48.46,46.47,5228544
8,2020-03-30,47.4,46.33,47.93,47.38,6230200
9,2020-03-27,47.62,46.28,48.49,46.66,5159300
10,2020-03-26,48.0,47.43,50.45,49.82,5291127
11,2020-03-25,46.0,45.49,49.36,47.69,4921000
12,2020-03-24,43.68,43.08,46.5,46.41,5853370
13,2020-03-23,44.27,40.01,44.74,41.61,8152800
14,2020-03-20,46.32,43.67,48.46,44.1,6541317
15,2020-03-19,46.63,44.23,47.77,46.49,5650600
16,2020-03-18,47.15,45.79,49.93,47.47,7214400
17,2020-03-17,44.54,43.67,50.65,50.1,6919521
18,2020-03-16,46.73,43.01,47.72,43.58,6489802
19,2020-03-13,51.61,48.69,52.7,52.62,5853608
20,2020-03-12,49.69,47.75,52.23,48.98,7702013
21,2020-03-11,54.14,52.42,55.37,53.14,6122881
22,2020-03-10,55.59,52.92,56.22,55.78,6703342
23,2020-03-09,55.06,53.46,55.97,53.96,7526393
24,2020-03-06,57.75,57.01,58.85,58.24,5364400
25,2020-03-05,60.47,59.35,61.26,59.93,3893348
26,2020-03-04,60.76,59.35,62.19,62.17,3244200
27,2020-03-03,60.92,58.87,62.88,59.61,5118143
28,2020-03-02,60.6,58.82,61.35,61.33,5676996
29,2020-02-28,60.59,59.46,61.65,60.93,7873500
30,2020-02-27,62.25,61.3,63.85,62.32,5326656
31,2020-02-26,65.11,63.26,65.89,63.28,5205523
32,2020-02-25,67.56,64.33,68.0,64.48,4976869
33,2020-02-24,68.92,67.39,69.88,67.42,4557343
34,2020-02-21,69.13,68.8,70.29,70.09,4787100
35,2020-02-20,68.56,68.18,69.74,69.56,3641300
36,2020-02-19,68.37,67.91,69.24,68.88,3612999
37,2020-02-18,68.34,68.04,69.22,68.83,3218200
38,2020-02-14,69.27,67.8,69.41,68.42,4148300
39,2020-02-13,69.26,68.96,69.7,69.61,2827030
40,2020-02-12,69.53,69.05,69.67,69.43,2629760
41,2020-02-11,69.46,68.76,69.46,69.2,3036000
42,2020-02-10,68.89,68.59,69.47,69.38,3077000
43,2020-02-07,70.58,68.55,70.99,69.59,7927100
44,2020-02-06,67.05,66.97,71.48,71.42,7789900
45,2020-02-05,64.59,64.23,65.17,64.97,3815490
46,2020-02-04,63.35,63.0,63.9,63.43,2793100
47,2020-02-03,61.85,61.57,62.91,62.61,3646750
48,2020-01-31,62.23,60.85,62.34,61.38,3340700
49,2020-01-30,62.17,61.3,62.52,62.47,2428900
50,2020-01-29,62.84,62.59,63.38,62.92,3416121
51,2020-01-28,61.96,61.57,62.88,62.6,2683112
52,2020-01-27,61.83,61.29,62.09,61.77,3309800
53,2020-01-24,62.78,61.99,63.15,62.42,2631200
54,2020-01-23,62.02,61.85,62.58,62.55,3048138
55,2020-01-22,62.6,61.83,62.92,62.19,3534516
56,2020-01-21,62.4,61.94,62.73,62.29,3823608
57,2020-01-17,62.56,62.32,62.93,62.77,4046038
58,2020-01-16,62.02,61.86,62.56,62.45,3048700
59,2020-01-15,61.42,61.42,62.0,61.85,2613400
60,2020-01-14,61.09,60.97,61.71,61.37,3066835
61,2020-01-13,60.49,60.21,61.27,61.16,2787219
62,2020-01-10,61.38,60.45,61.38,60.64,2538310
63,2020-01-09,61.5,60.75,61.99,61.11,4049193
64,2020-01-08,60.41,60.22,60.86,60.73,2912100
65,2020-01-07,60.67,59.98,60.69,60.32,2953345
66,2020-07-06,57.0,56.09,57.09,56.26,2203022
67,2020-07-02,57.01,56.01,57.68,56.08,3123236
68,2020-07-01,57.0,55.95,57.43,56.42,2966548
69,2020-06-30,56.59,56.27,57.55,56.82,3845031
70,2020-06-29,55.77,54.99,56.52,56.49,2907300
