,date,open,low,high,close,volume
0,2020-01-06,28.08,27.98,28.5,28.36,6978014
1,2020-01-03,28.42,28.36,28.9,28.4,5611400
2,2020-01-02,29.81,28.72,29.81,28.74,6896100
3,2020-04-06,23.5,23.22,24.57,24.26,6132500
4,2020-04-03,22.21,22.12,23.05,22.62,5961105
5,2020-04-02,22.85,21.82,23.43,22.24,6302004
6,2020-04-01,23.25,22.35,23.6,22.51,6706600
7,2020-03-31,24.23,23.35,24.57,23.5,4090725
8,2020-03-30,23.28,22.91,24.32,24.09,4469500
9,2020-03-27,23.11,22.67,24.81,23.21,4538800
10,2020-03-26,23.11,22.89,24.85,24.14,7085701
11,2020-03-25,22.75,22.14,25.14,23.4,5823547
12,2020-03-24,23.01,21.5,23.97,22.33,8305613
13,2020-03-23,22.22,21.42,23.53,21.92,8693510
14,2020-03-20,23.2,21.11,23.24,22.53,10607104
15,2020-03-19,21.18,20.54,24.8,23.26,5291444
16,2020-03-18,21.08,20.38,23.4,21.57,7526200
17,2020-03-17,21.23,20.72,24.14,22.67,7555338
18,2020-03-16,21.51,20.57,23.34,20.74,6308424
19,2020-03-13,23.83,21.55,25.0,24.82,7214527
20,2020-03-12,22.87,22.26,24.95,22.34,6448100
21,2020-03-11,25.01,24.45,25.66,25.0,6382325
22,2020-03-10,24.4,23.88,25.99,25.91,6696229
23,2020-03-09,23.28,22.87,24.32,23.07,7758588
24,2020-03-06,26.52,24.92,26.58,25.3,5843700
25,2020-03-05,28.0,27.16,28.43,27.31,3974300
26,2020-03-04,28.19,27.81,28.92,28.9,6341446
27,2020-03-03,28.48,27.49,29.26,27.92,8503900
28,2020-03-02,27.27,26.86,28.26,28.24,7440100
29,2020-02-28,26.53,25.86,27.2,27.2,9733075
30,2020-02-27,28.12,27.24,28.67,27.29,4702613
31,2020-02-26,28.41,28.32,29.33,28.5,4157900
32,2020-02-25,30.62,28.23,30.82,28.38,5045610
33,2020-02-24,30.47,30.27,30.89,30.66,3441372
34,2020-02-21,31.35,31.18,31.67,31.22,3955200
35,2020-02-20,31.37,31.32,32.08,31.57,2460300
36,2020-02-19,31.4,31.22,31.8,31.52,3042661
37,2020-02-18,30.68,30.61,31.48,31.4,3524721
38,2020-02-14,30.66,30.58,30.93,30.71,3895593
39,2020-02-13,30.68,30.46,31.04,30.6,4543000
40,2020-02-12,30.74,30.65,31.09,30.94,3023400
41,2020-02-11,30.66,30.41,31.35,30.51,3705408
42,2020-02-10,30.74,30.47,31.02,30.6,3416600
43,2020-02-07,31.41,30.8,31.43,31.04,3716132
44,2020-02-06,32.0,31.3,32.07,31.59,6383642
45,2020-02-05,30.32,29.69,31.71,31.71,5745328
46,2020-02-04,30.61,30.05,31.11,30.95,5853577
47,2020-02-03,29.06,28.82,30.26,30.12,9448596
48,2020-01-31,28.78,28.46,29.15,28.92,6788300
49,2020-01-30,27.94,27.6,29.45,29.24,9762210
50,2020-01-29,27.55,27.51,27.99,27.8,3499636
51,2020-01-28,27.3,27.0,27.58,27.56,5618817
52,2020-01-27,27.23,26.97,27.53,27.16,4195039
53,2020-01-24,28.31,27.71,28.36,27.95,4996225
54,2020-01-23,28.01,27.51,28.51,28.45,4139576
55,2020-01-22,27.82,27.5,28.25,28.16,8672917
56,2020-01-21,28.06,27.71,28.35,27.82,5514022
57,2020-01-17,28.46,27.63,28.63,28.3,8668631
58,2020-01-16,28.77,28.53,29.26,29.22,5848065
59,2020-01-15,28.65,28.48,28.89,28.68,6336849
60,2020-01-14,28.56,28.3,28.79,28.64,5370642
61,2020-01-13,28.34,28.16,28.6,28.58,4735100
62,2020-01-10,28.81,28.32,28.93,28.35,4498835
63,2020-01-09,28.8,28.38,28.85,28.73,3703200
64,2020-01-08,28.5,28.1,28.78,28.7,3684516
65,2020-01-07,28.31,28.17,28.72,28.47,6014824
66,2020-07-06,28.22,27.08,28.22,27.53,3668373
67,2020-07-02,27.38,27.38,28.11,27.57,3766400
68,2020-07-01,26.95,26.46,27.4,27.04,4838028
69,2020-06-30,26.12,25.8,27.08,26.79,4590513
70,2020-06-29,26.35,26.04,26.63,26.14,3931027
71,2020-06-26,26.11,25.54,26.16,25.92,4319200
72,2020-06-25,25.98,25.72,26.37,26.2,5600453
73,2020-06-24,26.87,26.03,26.92,26.07,3985050
74,2020-06-23,27.84,27.37,27.91,27.42,3022700
75,2020-06-22,26.97,26.51,27.65,27.58,3936700
76,2020-06-19,27.99,26.73,27.99,27.13,6693100
77,2020-06-18,27.35,27.21,27.57,27.48,4402031
78,2020-06-17,27.77,27.07,27.89,27.35,5295315
79,2020-06-16,28.38,27.45,28.72,27.82,8797100
80,2020-06-15,26.74,26.52,27.11,26.77,5109026
81,2020-06-12,28.44,27.2,28.49,27.54,3843943
82,2020-06-11,28.43,27.02,28.44,27.1,5928500
83,2020-06-10,29.48,29.14,30.13,29.14,4184385
84,2020-06-09,29.64,29.08,29.97,29.59,5365200
85,2020-06-08,29.69,29.31,30.82,30.01,4850436
86,2020-06-05,31.0,30.49,31.69,30.65,4189569
87,2020-06-04,28.8,28.63,30.18,30.17,6759131
88,2020-06-03,28.17,28.15,28.95,28.5,3287741
89,2020-06-02,26.93,26.75,28.03,28.01,4302508
90,2020-06-01,27.1,26.5,27.25,26.82,3167131
91,2020-05-29,26.73,26.71,27.43,27.31,6293721
92,2020-05-28,26.26,25.92,27.47,26.99,4069241
93,2020-05-27,25.89,25.46,26.18,25.8,5831014
94,2020-05-26,25.43,25.2,26.06,25.64,3797837
95,2020-05-22,24.5,24.25,24.67,24.54,3830600
96,2020-05-21,24.94,24.51,25.48,24.55,4021000
97,2020-05-20,24.68,24.65,25.61,25.09,4719600
98,2020-05-19,24.11,23.59,24.38,23.99,6195939
99,2020-05-18,23.69,23.04,24.28,24.01,5834642
100,2020-05-15,23.2,22.62,23.27,22.77,3601240
101,2020-05-14,22.77,22.38,23.36,23.32,3357428
102,2020-05-13,23.15,22.38,23.4,23.27,4581554
103,2020-05-12,24.29,23.22,24.45,23.25,4881100
104,2020-05-11,25.1,24.29,25.15,24.38,6871900
105,2020-05-08,26.72,25.46,26.97,25.98,4765234
106,2020-05-07,25.97,25.97,27.25,26.45,4475311
107,2020-05-06,26.19,25.01,26.73,25.01,3304536
108,2020-05-05,25.4,25.21,26.51,26.18,2412336
109,2020-05-04,25.15,24.82,25.46,25.42,4121600
110,2020-05-01,25.83,25.09,25.83,25.49,2457600
111,2020-04-30,26.7,25.86,26.7,26.19,2678337
112,2020-04-29,26.82,26.46,27.26,27.05,2008800
113,2020-04-28,26.15,25.81,26.52,26.19,3812800
114,2020-04-27,26.33,25.51,26.56,25.56,4908805
115,2020-04-24,25.58,25.38,26.68,26.27,3853894
116,2020-04-23,25.28,25.01,25.84,25.4,2754500
117,2020-04-22,24.75,24.29,25.22,24.94,3936727
118,2020-04-21,24.01,23.86,24.95,24.27,5773931
119,2020-04-20,25.86,24.57,25.86,24.63,4242500
120,2020-04-17,25.94,24.92,26.32,25.51,5697261
121,2020-04-16,25.38,24.58,25.74,25.16,2663544
122,2020-04-15,26.07,24.62,26.15,25.51,2927130
123,2020-04-14,27.59,26.04,27.85,26.44,2853300
124,2020-04-13,27.32,25.9,27.49,26.56,3453959
125,2020-04-09,26.2,26.2,28.07,27.93,6076950
126,2020-04-08,24.55,24.41,26.17,26.05,4232050
127,2020-04-07,25.0,24.35,25.93,24.53,5777108
128,2020-10-05,29.77,29.77,30.28,30.11,5166316
129,2020-10-02,28.4,28.29,29.78,29.37,4851511
130,2020-10-01,28.88,28.61,29.31,28.68,4918400
131,2020-09-30,28.77,28.53,29.54,28.81,8009400
