,date,open,low,high,close,volume
0,2020-01-06,73.12,73.06,73.94,73.86,4620878
1,2020-01-03,73.22,73.07,74.06,73.57,4454077
2,2020-01-02,74.65,73.53,74.7,74.16,5023063
3,2020-04-06,57.77,55.78,57.92,56.22,11833800
4,2020-04-03,55.22,54.35,56.6,55.72,8793000
5,2020-04-02,56.77,54.07,56.98,55.41,16796400
6,2020-04-01,57.75,57.2,58.87,58.34,11474400
7,2020-03-31,59.18,58.18,59.84,59.33,11023179
8,2020-03-30,58.92,57.78,60.4,59.68,12939200
9,2020-03-27,56.75,55.82,59.78,58.6,15034010
10,2020-03-26,53.65,52.28,58.45,58.31,23198310
11,2020-03-25,54.4,52.71,57.53,53.64,19601500
12,2020-03-24,55.13,52.86,55.64,54.35,19331513
13,2020-03-23,53.86,52.04,54.97,53.09,16336824
14,2020-03-20,55.81,53.53,56.78,54.7,15682303
15,2020-03-19,56.8,54.14,59.11,55.38,16247100
16,2020-03-18,54.35,53.06,59.64,57.18,17953700
17,2020-03-17,53.63,52.64,59.25,58.0,15473700
18,2020-03-16,53.68,52.21,56.89,52.3,13566014
19,2020-03-13,57.46,54.46,59.8,59.64,15473525
20,2020-03-12,57.13,53.5,57.98,54.6,16856728
21,2020-03-11,61.22,59.98,63.0,61.31,12100900
22,2020-03-10,62.76,59.06,63.36,62.6,13274300
23,2020-03-09,59.75,59.6,63.15,61.3,13484500
24,2020-03-06,62.57,62.2,65.09,64.15,11683722
25,2020-03-05,63.94,63.63,65.44,64.36,8581836
26,2020-03-04,66.6,64.83,66.98,66.04,14690700
27,2020-03-03,64.57,61.36,65.65,62.54,14989700
28,2020-03-02,60.67,59.86,64.07,64.03,15909500
29,2020-02-28,57.29,57.1,59.34,59.18,23729478
30,2020-02-27,61.5,59.33,61.5,59.33,22059900
31,2020-02-26,64.65,62.55,65.2,62.65,16876112
32,2020-02-25,68.24,64.09,68.37,64.33,15062300
33,2020-02-24,69.43,67.72,69.94,67.92,9637628
34,2020-02-21,71.55,71.01,71.8,71.51,5186200
35,2020-02-20,71.5,70.56,72.23,71.94,5719329
36,2020-02-19,72.31,71.66,72.56,71.78,4831645
37,2020-02-18,71.19,70.9,72.0,72.0,4844594
38,2020-02-14,71.98,70.27,72.03,71.37,7655114
39,2020-02-13,73.45,71.94,74.1,72.0,8553932
40,2020-02-12,74.68,72.64,75.25,73.75,13500800
41,2020-02-11,73.81,73.43,74.13,73.85,7933600
42,2020-02-10,71.55,71.26,73.33,73.25,8760200
43,2020-02-07,71.05,71.0,72.09,71.56,6611300
44,2020-02-06,71.0,70.41,71.59,70.84,6514430
45,2020-02-05,68.78,68.56,70.78,70.54,6609800
46,2020-02-04,67.31,67.3,68.46,67.88,7525123
47,2020-02-03,68.4,66.79,68.61,66.93,7695951
48,2020-01-31,69.35,67.4,69.35,67.82,9869700
49,2020-01-30,70.09,68.38,70.21,69.71,8430506
50,2020-01-29,72.11,70.45,72.11,70.55,6285773
51,2020-01-28,71.25,71.12,72.14,71.82,5039134
52,2020-01-27,69.9,69.36,71.21,70.97,6403328
53,2020-01-24,73.64,70.17,73.65,71.43,10126004
54,2020-01-23,73.76,72.48,73.88,73.53,8602660
55,2020-01-22,74.16,73.91,74.62,74.01,4201424
56,2020-01-21,76.0,74.35,76.01,74.59,8662842
57,2020-01-17,76.11,75.83,76.44,76.02,5500438
58,2020-01-16,75.63,75.28,76.17,76.05,6902349
59,2020-01-15,73.99,73.94,75.62,75.27,8102800
60,2020-01-14,72.53,72.52,73.93,73.83,6486587
61,2020-01-13,72.29,71.63,72.99,72.76,6662479
62,2020-01-10,73.31,71.82,73.36,72.11,5210661
63,2020-01-09,73.0,72.67,73.26,72.86,5427251
64,2020-01-08,72.5,71.6,73.09,72.66,8311401
65,2020-01-07,73.61,72.66,73.67,73.58,6192982
66,2020-07-06,65.06,64.54,65.4,64.93,5307346
67,2020-07-02,65.16,64.56,65.8,64.7,4700700
68,2020-07-01,64.97,64.49,65.6,64.56,5008224
69,2020-06-30,64.71,63.96,65.27,64.97,7036100
70,2020-06-29,64.0,63.87,65.27,64.42,7109127
71,2020-06-26,63.9,62.72,64.12,63.45,7321900
72,2020-06-25,62.7,62.42,64.2,64.02,5681430
73,2020-06-24,63.81,62.33,64.05,63.18,7164441
74,2020-06-23,64.86,64.33,65.26,64.43,5260303
75,2020-06-22,64.54,63.28,64.73,64.3,6069628
76,2020-06-19,65.91,64.11,66.0,64.49,21245800
77,2020-06-18,64.65,63.89,64.97,64.49,5852226
78,2020-06-17,66.0,64.67,66.14,65.0,7183300
79,2020-06-16,64.97,63.92,66.19,65.58,10977964
80,2020-06-15,63.03,61.82,63.78,63.32,9382759
81,2020-06-12,64.77,62.74,65.78,64.15,10345515
82,2020-06-11,66.11,62.71,66.43,63.16,11927500
83,2020-06-10,69.58,67.38,69.61,67.51,6344432
84,2020-06-09,69.87,68.98,70.29,69.37,5957102
85,2020-06-08,68.2,68.16,70.64,70.62,8556300
86,2020-06-05,67.28,67.13,69.19,68.35,8598400
87,2020-06-04,66.29,65.95,66.72,66.53,5468900
88,2020-06-03,67.14,66.24,67.68,66.85,6102400
89,2020-06-02,65.64,65.41,67.31,66.84,5463736
90,2020-06-01,65.44,65.01,65.96,65.64,5188419
91,2020-05-29,66.39,64.62,66.7,65.57,8979346
92,2020-05-28,66.7,66.41,67.73,66.56,6604269
93,2020-05-27,64.97,63.85,66.0,65.97,7118418
94,2020-05-26,64.47,64.33,65.6,64.64,7974432
95,2020-05-22,63.42,62.89,63.49,63.33,3495900
96,2020-05-21,62.95,62.73,63.93,63.34,5484100
97,2020-05-20,64.1,62.99,64.33,63.22,7046547
98,2020-05-19,63.3,62.87,64.18,63.61,5061128
99,2020-05-18,64.47,63.67,64.86,63.73,6820251
100,2020-05-15,61.77,61.71,63.3,63.19,10420602
101,2020-05-14,62.31,60.34,62.41,62.31,8854939
102,2020-05-13,63.28,60.76,63.5,61.15,10931407
103,2020-05-12,64.2,63.05,64.57,63.35,10781909
104,2020-05-11,62.71,62.68,64.08,63.84,6912100
105,2020-05-08,62.16,61.76,63.23,63.12,7322623
106,2020-05-07,61.36,60.85,61.79,61.45,9783735
107,2020-05-06,63.43,60.26,63.49,60.41,16386000
108,2020-05-05,60.63,60.35,61.61,61.21,7846516
109,2020-05-04,59.16,58.94,60.13,59.95,6372000
110,2020-05-01,60.79,59.27,60.8,59.7,7715807
111,2020-04-30,62.35,61.41,62.68,61.55,7361400
112,2020-04-29,63.52,62.52,64.05,62.61,7689346
113,2020-04-28,65.0,62.78,65.0,63.24,7346600
114,2020-04-27,62.98,62.81,63.83,63.5,6728239
115,2020-04-24,61.34,60.98,62.7,62.31,6098308
116,2020-04-23,60.89,60.86,62.23,61.28,6053400
117,2020-04-22,60.79,60.08,60.99,60.35,5742170
118,2020-04-21,61.51,59.97,61.71,60.25,8569700
119,2020-04-20,62.75,62.16,63.69,62.34,8217900
120,2020-04-17,64.01,62.35,64.25,63.36,8006340
121,2020-04-16,60.84,60.43,62.89,62.56,11098643
122,2020-04-15,60.65,59.45,60.93,60.56,9272800
123,2020-04-14,59.88,59.67,61.67,61.56,8254200
124,2020-04-13,60.5,58.12,61.26,58.96,9990309
125,2020-04-09,59.52,59.32,61.45,60.47,9169438
126,2020-04-08,57.33,56.85,59.82,59.41,8559800
127,2020-04-07,57.9,56.16,58.52,56.87,12347229
128,2020-10-05,58.26,58.19,58.97,58.95,5168915
129,2020-10-02,57.09,56.92,58.69,57.83,7143310
130,2020-10-01,58.43,57.36,58.67,57.84,7559200
131,2020-09-30,57.64,57.6,59.1,58.4,8156400
132,2020-09-29,57.95,57.05,57.95,57.54,5784250
133,2020-09-28,57.6,57.6,58.6,57.94,5304900
134,2020-09-25,56.31,56.11,57.43,57.32,4911411
135,2020-09-24,57.18,56.35,57.6,56.71,6960900
136,2020-09-23,58.16,57.37,58.38,57.4,6726000
137,2020-09-22,58.81,58.09,59.23,58.14,6906419
138,2020-09-21,58.85,57.96,59.01,58.87,9784511
139,2020-09-18,58.51,57.88,59.77,59.57,13532300
140,2020-09-17,57.1,56.82,58.68,58.41,12278700
141,2020-09-16,57.2,56.1,57.85,57.48,15422691
142,2020-09-15,58.0,56.99,58.61,57.0,10139240
143,2020-09-14,57.63,57.55,58.21,57.97,12955241
144,2020-09-11,58.13,57.06,58.14,57.4,11597100
145,2020-09-10,59.44,57.96,59.65,58.0,10105431
146,2020-09-09,59.69,59.21,60.14,59.53,6259300
147,2020-09-08,60.43,59.28,60.81,59.53,7801546
148,2020-09-04,60.45,59.29,60.8,60.24,8655200
149,2020-09-03,61.38,60.04,61.99,60.45,8928906
150,2020-09-02,60.3,60.18,61.32,60.91,15721300
151,2020-09-01,62.01,59.95,62.04,60.28,12375668
152,2020-08-31,62.46,62.11,63.06,62.12,8171400
153,2020-08-28,63.47,62.83,63.63,63.21,5045042
154,2020-08-27,62.63,62.27,63.61,63.39,5074027
155,2020-08-26,63.12,61.89,63.17,62.7,8198800
156,2020-08-25,64.06,63.19,64.17,63.47,4326130
157,2020-08-24,64.01,63.42,67.3,63.87,8360121
158,2020-08-21,63.7,63.43,64.12,63.94,4961718
159,2020-08-20,64.82,63.64,64.93,63.72,6035400
160,2020-08-19,65.39,64.99,65.71,65.28,5070000
161,2020-08-18,65.01,64.9,65.56,65.18,7119120
162,2020-08-17,65.85,64.88,65.88,64.9,5603831
163,2020-08-14,64.28,64.09,65.68,65.67,4920509
164,2020-08-13,64.57,64.05,64.97,64.7,6558000
165,2020-08-12,65.83,64.61,65.98,64.99,6867332
166,2020-08-11,66.3,65.07,67.17,65.26,6957500
167,2020-08-10,64.9,64.79,65.96,65.71,6516521
168,2020-08-07,63.79,63.65,64.97,64.96,6115102
169,2020-08-06,64.55,63.92,65.4,64.12,6644100
170,2020-08-05,65.54,63.9,65.6,64.4,12908895
171,2020-08-04,63.74,63.67,65.41,64.98,9482413
172,2020-08-03,63.45,63.02,64.17,63.86,6137626
173,2020-07-31,63.79,62.29,63.9,62.94,9200682
174,2020-07-30,63.66,63.28,64.15,64.0,4600800
175,2020-07-29,63.46,63.09,64.58,64.22,6376044
176,2020-07-28,62.42,62.23,63.5,63.27,5593549
177,2020-07-27,62.86,62.11,63.06,62.57,6993400
178,2020-07-24,64.28,63.01,64.99,63.34,6436801
179,2020-07-23,63.8,63.53,64.35,63.79,5138300
180,2020-07-22,64.11,63.13,64.21,63.78,4836000
181,2020-07-21,63.88,63.55,64.77,64.52,5954258
182,2020-07-20,65.34,63.75,65.47,63.91,5679829
183,2020-07-17,65.31,65.02,65.63,65.36,5121428
184,2020-07-16,64.5,64.12,65.36,64.99,5783700
185,2020-07-15,63.95,63.49,64.63,64.58,7171100
186,2020-07-14,62.42,62.2,63.9,63.7,6563300
187,2020-07-13,62.67,62.37,63.54,62.62,6745100
188,2020-07-10,61.4,61.0,62.73,62.65,9474700
189,2020-07-09,62.34,60.55,62.74,61.28,10172533
190,2020-07-08,63.8,62.43,64.13,63.14,9400333
191,2020-07-07,64.32,63.64,64.57,63.92,5845900
192,2021-01-04,68.68,68.13,70.29,69.99,11367241
193,2020-12-31,67.7,67.08,68.41,68.3,5386942
194,2020-12-30,68.08,67.43,68.09,67.75,4967334
