,date,open,low,high,close,volume
0,2020-01-06,121.24,120.33,121.67,120.6,9954869
1,2020-01-03,121.78,120.74,122.72,121.01,6361072
2,2020-01-02,120.81,120.77,121.63,121.43,5206097
3,2020-04-06,77.0,75.51,80.95,80.39,17334919
4,2020-04-03,78.0,73.03,78.99,75.11,14905410
5,2020-04-02,71.75,69.58,78.7,76.12,23220622
6,2020-04-01,69.51,67.61,72.29,68.56,14362041
7,2020-03-31,73.27,70.81,75.04,72.46,18514200
8,2020-03-30,68.01,67.02,72.93,71.95,18486815
9,2020-03-27,72.12,68.5,73.54,68.78,20411500
10,2020-03-26,70.3,67.89,77.1,76.38,24140970
11,2020-03-25,68.29,66.64,73.14,69.27,22560121
12,2020-03-24,61.48,60.32,67.65,66.55,29198800
13,2020-03-23,58.26,52.97,59.4,54.22,23764032
14,2020-03-20,59.53,56.36,60.65,59.39,26960440
15,2020-03-19,55.26,51.6,58.49,57.39,29871000
16,2020-03-18,66.21,54.57,66.23,55.05,24947300
17,2020-03-17,70.4,65.49,72.98,70.69,22684246
18,2020-03-16,72.57,69.69,78.49,69.7,17535300
19,2020-03-13,79.98,74.11,83.5,83.42,23497511
20,2020-03-12,77.23,72.86,78.13,76.26,25768233
21,2020-03-11,82.23,81.75,84.84,83.03,18414338
22,2020-03-10,86.24,81.04,86.3,84.98,22642900
23,2020-03-09,82.23,80.0,88.01,80.67,30595500
24,2020-03-06,93.92,93.42,96.06,95.32,16862303
25,2020-03-05,95.71,94.94,97.39,97.19,12814400
26,2020-03-04,96.37,95.67,99.02,98.53,14753000
27,2020-03-03,96.79,93.37,98.48,94.39,16525500
28,2020-03-02,94.02,92.21,96.68,96.59,15050800
29,2020-02-28,90.63,90.11,93.44,93.34,20840553
30,2020-02-27,95.95,94.08,98.2,94.13,15783700
31,2020-02-26,100.86,98.0,101.61,98.04,11991403
32,2020-02-25,104.8,100.0,104.92,100.71,12871900
33,2020-02-24,105.71,104.42,106.96,104.71,9539800
34,2020-02-21,108.99,107.65,109.19,109.01,6443900
35,2020-02-20,110.78,109.7,111.07,109.81,4466600
36,2020-02-19,110.52,109.89,111.1,110.74,5887511
37,2020-02-18,109.0,108.83,110.27,110.24,4976370
38,2020-02-14,110.84,109.58,110.97,110.08,5148798
39,2020-02-13,111.37,111.23,112.33,111.66,5991900
40,2020-02-12,112.51,111.61,112.6,112.04,5725700
41,2020-02-11,110.78,110.06,111.37,111.21,6072847
42,2020-02-10,108.54,108.32,109.8,109.79,6011806
43,2020-02-07,108.93,108.47,109.44,108.94,4830100
44,2020-02-06,110.63,109.11,110.67,109.49,6274000
45,2020-02-05,108.27,108.11,110.65,110.28,6914137
46,2020-02-04,107.68,106.6,108.34,106.85,9909000
47,2020-02-03,106.95,105.4,107.25,106.28,8787504
48,2020-01-31,109.81,106.4,110.0,107.14,13699600
49,2020-01-30,109.81,109.06,111.58,111.4,8382700
50,2020-01-29,111.45,110.18,111.84,110.37,4774222
51,2020-01-28,110.98,110.77,111.62,111.12,5771944
52,2020-01-27,110.25,109.98,110.83,110.39,7609831
53,2020-01-24,112.79,111.34,112.98,111.85,6920000
54,2020-01-23,112.4,111.86,113.49,113.1,8008141
55,2020-01-22,113.1,112.46,113.53,112.9,5589906
56,2020-01-21,115.1,113.17,115.15,113.31,8470300
57,2020-01-17,117.01,115.52,117.29,115.58,7886182
58,2020-01-16,116.56,116.45,117.28,116.89,7022062
59,2020-01-15,116.3,115.65,116.41,116.13,5808800
60,2020-01-14,116.5,115.71,116.88,116.3,7189962
61,2020-01-13,116.47,116.08,116.91,116.66,6847425
62,2020-01-10,117.52,116.4,117.69,116.44,6395375
63,2020-01-09,117.59,116.18,117.92,117.51,7345531
64,2020-01-08,118.55,117.65,119.09,117.7,7296959
65,2020-01-07,119.02,117.77,119.73,119.06,7878579
66,2020-07-06,89.5,87.82,90.25,88.57,6747528
67,2020-07-02,89.37,88.16,90.36,88.31,5832800
68,2020-07-01,89.28,87.55,90.77,87.62,6379402
69,2020-06-30,86.6,86.36,89.99,89.23,8263617
70,2020-06-29,86.91,86.6,88.57,87.67,7022200
71,2020-06-26,88.78,86.18,88.83,86.46,13766015
72,2020-06-25,87.31,87.16,89.51,89.21,7398000
73,2020-06-24,89.99,86.86,90.13,87.64,8974500
74,2020-06-23,92.5,91.18,93.09,91.44,6317713
75,2020-06-22,90.32,89.59,91.69,91.59,5939200
76,2020-06-19,94.41,90.55,94.41,90.63,14838800
77,2020-06-18,91.0,90.1,93.23,91.94,7064145
78,2020-06-17,93.83,91.5,94.0,91.54,6019900
79,2020-06-16,94.99,91.49,95.58,94.03,8734566
80,2020-06-15,89.09,88.21,92.08,91.23,12291464
81,2020-06-12,93.62,90.01,93.65,92.39,9532412
82,2020-06-11,92.3,89.12,94.19,89.37,14944810
83,2020-06-10,101.0,97.56,101.5,97.58,10486300
84,2020-06-09,100.7,99.83,102.93,101.53,10745400
85,2020-06-08,102.63,100.87,103.59,103.24,11090723
86,2020-06-05,99.08,99.05,102.05,100.81,12760132
87,2020-06-04,96.78,95.16,96.89,96.28,6371723
88,2020-06-03,95.97,95.75,97.73,97.18,8440203
89,2020-06-02,93.78,93.29,95.22,94.69,7880300
90,2020-06-01,90.94,90.11,93.85,92.79,7346296
91,2020-05-29,90.19,89.26,91.89,91.7,17016863
92,2020-05-28,93.61,90.79,93.9,90.87,9639423
93,2020-05-27,94.68,92.11,94.69,93.9,7822605
94,2020-05-26,92.49,92.03,94.34,93.3,9430000
95,2020-05-22,91.45,89.47,91.6,90.28,8563108
96,2020-05-21,92.77,91.28,93.37,92.04,8830900
97,2020-05-20,91.0,90.18,93.47,93.0,9160034
98,2020-05-19,92.53,89.53,92.63,89.62,7749300
99,2020-05-18,92.4,91.46,93.4,92.55,12306539
100,2020-05-15,90.65,88.83,92.06,89.16,10113000
101,2020-05-14,87.29,86.02,90.93,90.05,10678200
102,2020-05-13,89.9,87.32,90.0,88.7,12215100
103,2020-05-12,93.13,91.0,94.03,91.1,8749100
104,2020-05-11,94.21,93.18,94.6,93.37,7101040
105,2020-05-08,95.0,94.07,95.56,95.47,8602865
106,2020-05-07,92.98,91.91,94.06,92.64,9753495
107,2020-05-06,92.85,89.77,93.46,90.05,11145905
108,2020-05-05,94.5,92.68,95.3,92.89,13608720
109,2020-05-04,88.76,87.69,91.62,91.44,11192400
110,2020-05-01,91.51,87.04,92.05,89.44,13250100
111,2020-04-30,93.72,90.58,95.74,92.0,12222000
112,2020-04-29,92.48,92.29,95.14,94.62,12342819
113,2020-04-28,89.55,88.83,90.96,89.91,10645200
114,2020-04-27,86.75,85.87,90.62,89.71,12037127
115,2020-04-24,88.48,85.77,88.79,87.01,9176599
116,2020-04-23,86.3,85.39,88.78,86.8,14226538
117,2020-04-22,84.95,82.97,85.25,84.44,10325144
118,2020-04-21,80.28,79.25,83.79,81.64,19620600
119,2020-04-20,82.66,82.09,87.0,83.57,15749000
120,2020-04-17,81.33,81.32,87.5,87.17,16130100
121,2020-04-16,81.31,78.81,82.19,79.99,12291909
122,2020-04-15,80.46,79.32,83.38,82.49,13982300
123,2020-04-14,85.46,84.33,87.08,84.61,14797600
124,2020-04-13,87.18,83.4,87.36,84.91,13854700
125,2020-04-09,88.74,81.52,89.91,84.31,17048549
126,2020-04-08,82.29,81.52,86.3,85.98,12284845
127,2020-04-07,84.26,80.85,85.69,80.92,16394800
128,2020-10-05,71.52,70.71,72.73,72.7,12049808
129,2020-10-02,68.92,68.82,71.67,71.19,9854802
130,2020-10-01,71.51,70.03,71.88,70.42,14930700
131,2020-09-30,72.25,71.61,72.89,72.0,10466500
132,2020-09-29,74.0,71.11,74.14,71.9,10561321
133,2020-09-28,73.64,73.15,74.76,73.93,12863844
134,2020-09-25,71.01,70.77,72.48,71.83,11070519
135,2020-09-24,71.25,70.5,73.03,71.8,15203500
136,2020-09-23,75.59,71.85,75.91,71.95,16649200
137,2020-09-22,76.15,75.35,77.53,75.53,9155000
138,2020-09-21,76.24,74.68,76.65,76.3,16199130
139,2020-09-18,77.88,77.5,79.15,78.21,14517800
140,2020-09-17,77.53,76.37,78.85,78.79,10515130
141,2020-09-16,76.35,75.96,79.48,78.56,13021736
142,2020-09-15,77.56,75.96,78.48,76.35,11732009
143,2020-09-14,77.48,76.92,77.98,77.29,8182840
144,2020-09-11,78.24,77.07,78.69,77.69,13732414
145,2020-09-10,80.63,78.05,80.89,78.15,11845900
146,2020-09-09,79.97,79.68,81.07,80.03,9269820
147,2020-09-08,80.5,78.04,80.58,78.97,14942534
148,2020-09-04,82.46,80.9,83.64,81.93,10516602
149,2020-09-03,83.05,81.71,84.49,82.28,16179901
150,2020-09-02,83.06,82.7,83.96,83.19,10822331
151,2020-09-01,83.26,82.45,83.63,83.08,8997235
152,2020-08-31,85.83,83.87,85.9,83.93,9437524
153,2020-08-28,85.05,84.32,85.73,85.63,7307932
154,2020-08-27,85.16,83.97,85.63,84.91,7438200
155,2020-08-26,85.71,84.66,85.84,84.78,7486500
156,2020-08-25,88.01,85.76,88.04,86.13,6835813
157,2020-08-24,85.6,84.89,87.34,87.2,8738700
158,2020-08-21,84.67,83.51,85.09,85.08,9003629
159,2020-08-20,85.42,84.73,86.89,84.81,7872311
160,2020-08-19,87.3,86.2,87.9,86.39,9120300
161,2020-08-18,88.97,87.32,89.37,87.63,7981520
162,2020-08-17,90.35,89.72,91.58,90.77,10473810
163,2020-08-14,89.0,88.85,90.59,90.35,6343029
164,2020-08-13,89.87,89.76,91.28,89.82,7314642
165,2020-08-12,90.8,89.45,91.66,90.72,9057971
166,2020-08-11,91.95,89.17,93.01,89.62,9074300
167,2020-08-10,87.94,87.6,89.76,89.73,8150225
168,2020-08-07,86.88,85.74,87.11,86.8,7185382
169,2020-08-06,86.43,86.1,87.9,87.47,7035600
170,2020-08-05,88.14,86.41,88.43,87.2,7352641
171,2020-08-04,84.48,84.28,86.72,86.49,9077915
172,2020-08-03,83.98,83.8,85.14,84.81,11221849
173,2020-07-31,83.25,81.51,84.1,83.94,19120651
174,2020-07-30,88.43,85.7,88.5,86.27,10112800
175,2020-07-29,89.48,88.58,90.08,90.07,6386900
176,2020-07-28,90.47,88.77,91.17,89.11,6787341
177,2020-07-27,89.76,88.8,91.09,91.04,7599982
178,2020-07-24,91.48,89.98,92.74,90.13,6620500
179,2020-07-23,90.5,90.02,91.38,91.01,6586339
180,2020-07-22,89.95,88.9,91.25,91.04,10317500
181,2020-07-21,86.47,86.36,91.73,91.39,15119307
182,2020-07-20,86.83,84.8,87.49,85.27,14974835
183,2020-07-17,88.41,86.91,89.11,87.19,5964361
184,2020-07-16,88.44,87.35,89.48,88.36,4795700
185,2020-07-15,90.18,88.21,90.19,88.89,5935206
186,2020-07-14,85.39,85.04,88.6,88.35,7440538
187,2020-07-13,86.04,84.81,86.93,85.4,7074046
188,2020-07-10,82.5,82.5,85.42,85.23,6218141
189,2020-07-09,85.97,82.69,86.32,82.74,8833600
190,2020-07-08,86.39,85.89,87.8,86.35,6736400
191,2020-07-07,87.82,86.15,88.08,86.31,5898047
192,2021-01-04,85.15,83.89,85.95,84.71,9234919
193,2020-12-31,84.9,83.96,85.2,84.45,8350700
194,2020-12-30,84.61,84.54,86.58,85.33,7901846
195,2020-12-29,85.26,84.05,85.72,84.61,7670818
196,2020-12-28,85.61,84.62,86.63,84.9,8051925
197,2020-12-24,85.93,84.81,85.93,85.33,3335646
198,2020-12-23,85.0,85.0,86.66,85.69,7223112
199,2020-12-22,85.44,84.3,85.8,84.36,8589973
200,2020-12-21,84.35,83.53,86.84,86.09,11430500
201,2020-12-18,87.98,86.26,88.71,87.19,27427607
202,2020-12-17,89.54,87.55,89.55,88.41,11748927
203,2020-12-16,89.2,87.85,89.35,88.69,9892928
204,2020-12-15,89.42,88.77,90.48,89.37,11782523
205,2020-12-14,93.4,89.24,93.7,89.44,12198400
206,2020-12-11,92.53,91.03,93.28,92.45,9584500
207,2020-12-10,91.55,90.78,94.56,93.35,11992100
208,2020-12-09,92.2,89.37,93.02,90.44,11129431
209,2020-12-08,90.34,90.19,92.46,91.54,7627316
210,2020-12-07,91.82,89.88,92.38,90.76,9398400
211,2020-12-04,91.22,90.92,93.45,93.28,10791108
212,2020-12-03,90.58,89.07,91.11,89.8,8249800
213,2020-12-02,87.26,87.1,91.31,89.87,10509612
214,2020-12-01,89.28,87.07,89.71,87.45,9915692
215,2020-11-30,90.01,86.9,90.85,87.18,14288409
216,2020-11-27,91.33,90.54,92.59,91.31,4627700
217,2020-11-25,94.68,92.14,94.68,92.14,10556600
218,2020-11-24,93.39,93.0,95.82,95.62,17266425
219,2020-11-23,87.45,86.76,91.58,91.03,13387116
220,2020-11-20,85.72,84.88,86.31,85.79,8296993
221,2020-11-19,83.55,83.06,85.96,85.73,8820200
222,2020-11-18,87.37,84.25,87.9,84.28,10583700
223,2020-11-17,86.4,84.83,87.53,87.04,14329013
224,2020-11-16,86.24,85.54,89.18,88.96,18980208
225,2020-11-13,81.15,81.03,83.35,83.03,10898825
226,2020-11-12,80.98,79.91,82.24,80.67,8929433
227,2020-11-11,84.1,81.8,84.49,82.46,11640600
228,2020-11-10,81.14,79.71,83.15,83.07,15039700
229,2020-11-09,80.0,78.26,84.27,79.4,24015200
230,2020-11-06,72.5,70.83,73.27,71.15,8366918
231,2020-11-05,71.9,71.76,72.97,72.14,10627725
232,2020-11-04,70.78,69.89,73.59,71.77,10925700
233,2020-11-03,73.16,71.05,73.3,71.74,8608000
234,2020-11-02,70.7,69.4,73.08,72.15,11475510
235,2020-10-30,69.9,68.08,70.11,69.5,17198460
236,2020-10-29,66.13,65.16,69.14,68.8,12292200
237,2020-10-28,67.69,66.33,68.08,66.88,15961900
238,2020-10-27,70.42,69.49,70.6,69.51,14251700
239,2020-10-26,71.73,70.24,71.89,70.94,9710900
240,2020-10-23,73.93,71.83,74.36,72.57,8727200
241,2020-10-22,70.88,70.57,73.49,73.4,9812735
242,2020-10-21,71.13,70.73,71.58,70.87,9800600
243,2020-10-20,71.91,71.04,72.29,71.68,7753247
244,2020-10-19,73.11,71.19,73.34,71.28,8357100
245,2020-10-16,73.52,72.27,74.03,72.89,9305957
246,2020-10-15,71.82,71.39,73.72,73.51,10052931
247,2020-10-14,73.28,72.91,74.43,72.95,7058050
248,2020-10-13,74.74,72.78,74.74,73.4,10440300
249,2020-10-12,73.63,73.2,74.95,74.51,9056900
250,2020-10-09,75.86,73.98,76.09,74.0,12260900
251,2020-10-08,74.39,73.99,75.55,75.22,11590900
252,2020-10-07,72.17,71.56,73.92,73.78,15410309
253,2020-10-06,73.84,72.25,74.32,72.3,15294500
254,2021-04-05,105.73,104.17,105.83,104.51,8692709
255,2021-04-01,105.26,104.21,105.86,105.75,8515800
256,2021-03-31,105.55,104.6,106.22,104.79,8954400
257,2021-03-30,106.06,105.59,106.83,105.93,6284600
258,2021-03-29,106.4,105.7,107.53,106.92,7542327
259,2021-03-26,106.54,105.36,107.54,107.48,9820200
260,2021-03-25,102.85,102.07,105.26,105.07,11138200
261,2021-03-24,102.99,102.91,105.76,104.7,11026800
262,2021-03-23,101.45,100.69,104.3,101.97,14781722
263,2021-03-22,103.06,102.31,104.5,102.54,12508500
264,2021-03-19,103.94,102.74,104.89,103.38,18491000
265,2021-03-18,107.01,103.71,107.53,104.12,13246642
266,2021-03-17,107.21,106.6,108.56,108.03,9168615
267,2021-03-16,108.53,107.08,108.88,107.64,11698406
268,2021-03-15,111.53,108.89,111.91,110.25,10490522
269,2021-03-12,111.64,110.72,112.7,111.56,10930300
270,2021-03-11,111.65,110.89,112.55,111.19,10989500
271,2021-03-10,110.2,109.7,112.01,111.37,17389900
272,2021-03-09,109.07,107.88,110.69,109.5,19010709
273,2021-03-08,109.86,108.06,110.43,109.75,18033629
274,2021-03-05,106.96,106.15,109.13,109.0,23638200
275,2021-03-04,104.52,103.13,107.58,104.5,22994234
276,2021-03-03,103.41,103.4,105.75,103.59,14958200
277,2021-03-02,101.89,101.71,103.31,102.44,10643500
278,2021-03-01,102.46,101.4,103.8,102.05,10441458
279,2021-02-26,100.3,97.61,101.06,100.0,14454120
280,2021-02-25,104.9,101.59,104.96,102.35,13219202
281,2021-02-24,100.33,99.81,104.04,103.31,16116000
282,2021-02-23,99.97,96.8,100.16,99.63,14874000
283,2021-02-22,96.99,96.46,99.64,98.39,13178700
284,2021-02-19,95.13,94.65,96.38,95.8,8913900
285,2021-02-18,95.75,94.3,95.78,95.0,9037383
286,2021-02-17,95.42,94.2,96.72,95.92,14359912
287,2021-02-16,93.05,92.61,93.86,93.13,14006000
288,2021-02-12,91.53,91.35,92.73,92.55,7858300
289,2021-02-11,92.37,90.08,92.44,92.02,8572404
290,2021-02-10,91.38,90.6,92.59,92.52,8778844
291,2021-02-09,91.1,89.81,91.27,90.96,7605500
292,2021-02-08,90.29,90.01,92.04,91.48,9886600
293,2021-02-05,89.94,88.64,90.47,89.26,8017300
294,2021-02-04,89.51,87.95,89.65,89.0,7917645
295,2021-02-03,87.05,86.89,89.39,88.96,9256500
296,2021-02-02,88.01,86.53,88.37,87.06,9233100
297,2021-02-01,85.99,84.57,87.3,86.41,8073600
298,2021-01-29,86.83,84.92,87.34,85.2,14699838
299,2021-01-28,88.67,88.25,90.15,89.02,8155520
300,2021-01-27,87.53,86.75,90.35,88.2,10178500
301,2021-01-26,92.2,89.27,92.91,89.36,7827800
302,2021-01-25,90.62,89.33,91.03,90.9,7689434
303,2021-01-22,90.4,89.83,92.03,91.73,7810638
304,2021-01-21,93.86,91.22,94.66,92.01,10395872
305,2021-01-20,95.0,94.3,95.56,95.38,8735400
306,2021-01-19,93.5,93.29,95.03,94.51,9574800
