,date,open,low,high,close,volume
0,2020-01-06,13.44,13.36,13.57,13.54,17359406
1,2020-01-03,13.46,13.4,13.59,13.465,18409938
2,2020-01-02,13.62,13.59,13.69,13.6,10971038
3,2020-04-06,6.74,6.6,7.02,7.01,21936057
4,2020-04-03,6.49,6.265,6.57,6.28,15835193
5,2020-04-02,6.58,6.22,6.74,6.46,12134447
6,2020-04-01,6.5,6.37,6.9,6.63,14256816
7,2020-03-31,6.33,6.3,7.51,6.76,35127850
8,2020-03-30,6.55,5.99,6.62,6.42,20631508
9,2020-03-27,6.78,6.5512,7.1,6.85,15231262
10,2020-03-26,7.33,6.79,7.985,7.04,20462097
11,2020-03-25,6.25,6.13,7.47,7.13,24066963
12,2020-03-24,6.92,6.01,6.99,6.18,25143005
13,2020-03-23,5.59,5.11,6.47,6.03,33372459
14,2020-03-20,5.22,5.15,6.73,5.45,41125442
15,2020-03-19,3.54,3.4,5.12,5.02,32823601
16,2020-03-18,4.345,3.22,4.79,3.52,39174307
17,2020-03-17,6.23,3.23,6.25,5.1,51779379
18,2020-03-16,7.2,5.45,7.25,6.08,36075263
19,2020-03-13,8.3,7.87,8.61,8.49,38606431
20,2020-03-12,9.0,7.77,9.16,7.89,41329091
21,2020-03-11,10.45,9.71,10.45,9.8,41217222
22,2020-03-10,10.38,10.23,10.68,10.68,28327725
23,2020-03-09,10.2,9.98,10.65,10.04,39709626
24,2020-03-06,11.1,10.81,11.41,11.09,34694144
25,2020-03-05,11.77,11.2,11.82,11.25,40066456
26,2020-03-04,12.1,11.83,12.17,11.945,49180164
27,2020-03-03,12.38,11.96,12.67,11.97,30532977
28,2020-03-02,12.71,12.04,12.79,12.4,44313225
29,2020-02-28,12.56,12.5,12.85,12.71,52489137
30,2020-02-27,12.78,12.59,13.15,12.75,51741499
31,2020-02-26,13.39,12.74,13.5,12.95,25192954
32,2020-02-25,14.06,13.28,14.09,13.31,24950495
33,2020-02-24,14.26,14.005,14.31,14.02,7532377
34,2020-02-21,14.6,14.415,14.65,14.495,13210247
35,2020-02-20,14.6,14.48,14.7,14.625,12476953
36,2020-02-19,14.65,14.59,14.735,14.61,7009981
37,2020-02-18,14.56,14.52,14.645,14.56,4352757
38,2020-02-14,14.45,14.4,14.6,14.59,4427125
39,2020-02-13,14.31,14.26,14.49,14.46,3365382
40,2020-02-12,14.3,14.3,14.41,14.36,8570472
41,2020-02-11,14.17,14.13,14.2987,14.26,4586186
42,2020-02-10,13.91,13.84,14.15,14.12,6356953
43,2020-02-07,13.74,13.74,14.025,13.92,15472084
44,2020-02-06,14.08,14.03,14.13,14.03,20468714
45,2020-02-05,14.0,13.97,14.095,14.05,4622870
46,2020-02-04,13.89,13.86,14.02,13.96,11832053
47,2020-02-03,13.71,13.69,13.84,13.82,9722926
48,2020-01-31,13.75,13.62,13.81,13.67,9073197
49,2020-01-30,13.67,13.64,13.855,13.79,10378623
50,2020-01-29,13.63,13.62,13.83,13.76,14306948
51,2020-01-28,13.54,13.49,13.69,13.6,12153233
52,2020-01-27,13.44,13.39,13.61,13.5,30556745
53,2020-01-24,13.73,13.51,13.77,13.6,17463309
54,2020-01-23,13.59,13.59,13.79,13.74,11535265
55,2020-01-22,13.65,13.645,13.77,13.73,10842527
56,2020-01-21,13.78,13.61,13.83,13.62,23334931
57,2020-01-17,13.75,13.71,13.85,13.8,18798472
58,2020-01-16,13.61,13.57,13.765,13.76,11444075
59,2020-01-15,13.56,13.54,13.68,13.56,10088759
60,2020-01-14,13.63,13.54,13.65,13.57,14610800
61,2020-01-13,13.57,13.51,13.64,13.61,6489059
62,2020-01-10,13.66,13.51,13.67,13.54,12454687
63,2020-01-09,13.64,13.6,13.69,13.64,19300277
64,2020-01-08,13.55,13.53,13.69,13.64,12168814
65,2020-01-07,13.52,13.475,13.61,13.56,29988799
66,2020-07-06,12.495,12.06,12.495,12.09,22690513
67,2020-07-02,12.4,12.18,12.44,12.3,13982983
68,2020-07-01,12.16,12.055,12.36,12.16,15008457
69,2020-06-30,12.02,11.93,12.15,12.13,22641444
70,2020-06-29,11.8,11.645,12.14,12.07,10649627
71,2020-06-26,11.94,11.66,12.145,11.75,22311128
72,2020-06-25,11.99,11.75,12.1275,11.95,18362527
73,2020-06-24,12.27,12.015,12.335,12.05,20030178
74,2020-06-23,12.19,12.16,12.46,12.45,9701963
75,2020-06-22,12.21,11.99,12.28,12.09,23394250
76,2020-06-19,12.29,12.15,12.43,12.28,20168984
77,2020-06-18,12.23,12.12,12.3,12.12,11275414
78,2020-06-17,12.15,12.11,12.4675,12.32,24295439
79,2020-06-16,12.06,11.92,12.18,12.06,25024764
80,2020-06-15,11.25,11.18,11.8175,11.71,14739048
81,2020-06-12,11.7,11.28,11.73,11.57,12099100
82,2020-06-11,11.37,11.18,11.61,11.22,17252947
83,2020-06-10,12.0,11.47,12.08,11.89,11059917
84,2020-06-09,12.11,12.04,12.25,12.14,9060236
85,2020-06-08,12.4,12.26,12.41,12.39,12661954
86,2020-06-05,12.5,12.09,12.64,12.2,14196628
87,2020-06-04,12.0,11.71,12.21,12.18,18512991
88,2020-06-03,11.5,11.43,11.85,11.76,13335198
89,2020-06-02,11.6,11.28,11.62,11.36,9532256
90,2020-06-01,11.38,11.3,11.56,11.48,10757485
91,2020-05-29,11.25,11.19,11.45,11.39,10222276
92,2020-05-28,11.57,11.31,11.63,11.37,8139451
93,2020-05-27,11.52,11.1803,11.67,11.59,16450021
94,2020-05-26,11.59,11.26,11.67,11.39,8701594
95,2020-05-22,10.98,10.89,11.25,11.11,8472305
96,2020-05-21,10.9,10.805,11.05,11.01,14376836
97,2020-05-20,10.77,10.69,10.965,10.925,20271013
98,2020-05-19,10.44,10.375,10.77,10.51,9738008
99,2020-05-18,10.33,10.26,10.505,10.475,12551690
100,2020-05-15,9.76,9.74,10.15,10.03,12476727
101,2020-05-14,9.414,9.41,9.92,9.86,13275968
102,2020-05-13,9.95,9.505,10.01,9.605,19067768
103,2020-05-12,9.8,9.8,10.29,9.96,29808919
104,2020-05-11,9.54,9.51,9.725,9.67,11556444
105,2020-05-08,9.56,9.51,9.735,9.7,12909578
106,2020-05-07,9.37,9.36,9.56,9.48,15382088
107,2020-05-06,9.46,9.34,9.58,9.34,10636806
108,2020-05-05,9.65,9.32,9.66,9.4,9564485
109,2020-05-04,9.2,9.04,9.57,9.49,19310178
110,2020-05-01,9.48,9.275,9.52,9.34,16528691
111,2020-04-30,9.58,9.52,9.83,9.66,17652399
112,2020-04-29,9.71,9.58,9.91,9.805,17280682
113,2020-04-28,9.76,9.325,9.77,9.485,14047763
114,2020-04-27,9.08,8.87,9.3,9.24,19969368
115,2020-04-24,8.4,8.32,9.04,8.87,24950520
116,2020-04-23,8.14,7.955,8.15,8.065,7857931
117,2020-04-22,8.14,7.84,8.15,8.05,11491457
118,2020-04-21,7.81,7.73,8.015,7.9,19857651
119,2020-04-20,7.9,7.81,8.25,8.03,17174828
120,2020-04-17,8.1,7.73,8.17,8.13,18324906
121,2020-04-16,7.63,7.4,7.7258,7.7,8815125
122,2020-04-15,7.6,7.18,7.86,7.57,15791538
123,2020-04-14,8.09,7.94,8.11,8.05,9548009
124,2020-04-13,7.93,7.54,7.97,7.88,9013467
125,2020-04-09,7.85,7.54,8.2,7.93,16120937
126,2020-04-08,7.45,7.295,7.755,7.44,19569961
127,2020-04-07,7.75,7.27,8.05,7.345,16335000
128,2020-10-05,57.71,55.15,58.0,57.07,4140471
129,2020-10-02,54.62,54.42,58.0,56.83,8870408
130,2020-10-01,56.44,55.07,57.55,57.1,7295986
131,2020-09-30,55.9,54.63,57.97,56.06,22246055
132,2020-09-29,56.29,53.535,57.4,54.49,23779833
133,2020-09-28,58.38,55.23,59.73,58.21,6629325
134,2020-09-25,54.85,54.26,57.61,57.07,4517735
135,2020-09-24,54.15,52.38,54.92,52.87,2960945
136,2020-09-23,57.8,54.77,59.11,54.86,2976080
137,2020-09-22,55.88,55.196,58.57,58.13,4304818
138,2020-09-21,53.61,51.53,54.81,54.43,4608074
139,2020-09-18,56.02,54.5685,56.8,56.2,4195409
140,2020-09-17,54.51,54.27,57.39,55.4,3720910
141,2020-09-16,59.29,55.16,60.08,55.94,5098546
142,2020-09-15,55.47,55.41,59.42,58.98,6142257
143,2020-09-14,50.53,50.53,56.26,55.39,9928506
144,2020-09-11,51.19,48.9,51.7233,50.11,2733123
145,2020-09-10,50.6199,50.58,53.2099,50.74,4034977
146,2020-09-09,50.41,48.35,50.9282,50.28,2779431
147,2020-09-08,48.55,47.6,51.94,49.94,3435563
148,2020-09-04,48.07,46.06,50.25,49.81,3673227
149,2020-09-03,48.555,46.83,50.1,47.62,4545057
150,2020-09-02,46.93,46.65,49.1,48.67,2977238
151,2020-09-01,45.85,45.3569,48.0,46.86,3928982
152,2020-08-31,49.06,45.78,49.11,45.8,4152193
153,2020-08-28,48.58,48.085,49.67,49.05,4270177
154,2020-08-27,46.35,45.9,47.9798,47.26,3739999
155,2020-08-26,44.33,43.92,46.4001,45.99,4096996
156,2020-08-25,44.69,43.55,45.31,43.86,2955540
157,2020-08-24,45.47,44.03,46.17,44.72,4124094
158,2020-08-21,45.39,44.03,46.57,44.7,5738379
159,2020-08-20,43.4,43.12,46.155,46.0,5763702
160,2020-08-19,42.78,42.75,44.69,44.045,6340880
161,2020-08-18,41.83,41.05,42.92,42.72,3754965
162,2020-08-17,41.32,40.01,42.33,41.56,5538153
163,2020-08-14,39.2,38.2871,41.4385,41.32,4988210
164,2020-08-13,37.85,37.44,41.0399,39.46,7061829
165,2020-08-12,38.62,36.78,39.01,37.16,3978895
166,2020-08-11,39.5,37.59,40.33,37.88,6188612
167,2020-08-10,38.75,37.75,39.3,38.27,6279920
168,2020-08-07,37.8,36.13,38.8899,37.07,6729806
169,2020-08-06,35.4,35.3,38.47,37.75,6886263
170,2020-08-05,34.46,33.36,35.63,35.54,3853296
171,2020-08-04,32.22,32.16,34.2,33.93,3414073
172,2020-08-03,30.67,30.25,32.73,32.22,3589949
173,2020-07-31,33.4,30.8,33.64,31.05,5603425
174,2020-07-30,32.69,32.31,34.34,33.37,3927207
175,2020-07-29,31.929,31.3,33.53,33.52,7010053
176,2020-07-28,29.56,29.39,31.53,30.27,8635373
177,2020-07-27,32.52,29.06,32.87,29.74,15883285
178,2020-07-24,36.2,33.62,36.2,33.75,9186731
179,2020-07-23,37.47,34.76,38.15,36.58,26815536
180,2020-07-22,37.51,36.97,38.4,38.24,11085311
181,2020-07-21,38.9,37.66,39.5,38.4,8004584
182,2020-07-20,12.4,12.355,12.44,12.37,28346286
183,2020-07-17,12.35,12.31,12.43,12.42,10899006
184,2020-07-16,12.36,12.285,12.41,12.31,16674502
185,2020-07-15,12.47,12.33,12.5,12.47,35038724
186,2020-07-14,12.16,12.09,12.29,12.205,24515741
187,2020-07-13,12.34,12.08,12.395,12.14,21752657
188,2020-07-10,12.22,12.1,12.29,12.23,18004273
189,2020-07-09,12.23,12.055,12.34,12.27,15434297
190,2020-07-08,11.88,11.77,12.17,12.12,25072530
191,2020-07-07,11.98,11.26,12.08,11.92,62458624
192,2021-01-04,74.62,71.05,75.44,71.6,2446905
193,2020-12-31,73.73,72.69,75.53,74.27,1313485
194,2020-12-30,73.33,72.38,74.24,73.69,1200842
195,2020-12-29,74.16,72.1406,74.78,73.37,1319266
196,2020-12-28,76.48,73.42,77.0,73.64,1524399
197,2020-12-24,76.2289,75.31,77.2,75.84,685412
198,2020-12-23,74.64,74.64,77.45,76.68,1050995
199,2020-12-22,73.95,71.56,74.69,74.31,1484840
200,2020-12-21,73.2817,71.21,74.94,73.83,2118263
201,2020-12-18,77.42,74.63,78.16,75.44,6965786
202,2020-12-17,76.03,75.76,77.42,77.06,2004052
203,2020-12-16,74.63,73.882,76.28,75.84,1662979
204,2020-12-15,72.86,71.8155,75.52,75.24,1901336
205,2020-12-14,71.68,70.825,73.1635,71.81,1952490
206,2020-12-11,71.65,69.48,72.44,69.9,1359511
207,2020-12-10,70.72,69.29,72.6,71.13,1863981
208,2020-12-09,75.27,70.87,75.75,71.78,2867824
209,2020-12-08,74.03,74.03,76.42,75.27,3928200
210,2020-12-07,73.8,73.31,74.95,74.86,1825884
211,2020-12-04,71.8,71.0,73.9,73.84,2891099
212,2020-12-03,68.94,68.11,71.72,71.13,2802445
213,2020-12-02,67.88,65.89,69.48,68.5,1971323
214,2020-12-01,69.79,67.1,69.85,67.84,2388488
215,2020-11-30,69.69,66.7245,69.76,68.12,2023726
216,2020-11-27,69.72,69.28,71.02,70.1,1244536
217,2020-11-25,67.24,66.85,69.55,69.37,3512465
218,2020-11-24,68.0,67.69,71.65,70.1,4822346
219,2020-11-23,64.29,63.07,67.16,66.9,3527579
220,2020-11-20,64.79,63.82,66.1196,64.01,1770479
221,2020-11-19,64.15,62.5224,66.215,65.73,2954172
222,2020-11-18,64.52,63.0754,66.13,63.8,3750874
223,2020-11-17,62.34,61.5071,64.21,63.73,2329101
224,2020-11-16,64.05,61.0077,64.05,63.19,3731076
225,2020-11-13,59.6,58.83,61.86,61.38,2703141
226,2020-11-12,57.4,57.12,60.94,57.78,2889394
227,2020-11-11,60.44,56.76,60.78,58.97,3878064
228,2020-11-10,62.8,60.1,64.79,60.28,5708276
229,2020-11-09,64.74,60.73,74.92,63.08,8258914
230,2020-11-06,54.95,54.0401,58.56,56.89,4497511
