,date,open,low,high,close,volume
0,2020-01-06,81.85,81.85,82.65,82.39,2164927
1,2020-01-03,81.81,81.73,82.55,81.76,2840761
2,2020-01-02,82.88,81.51,82.94,81.96,3004200
3,2020-04-06,71.56,71.56,75.11,74.11,5061167
4,2020-04-03,70.46,68.62,71.44,69.55,3388674
5,2020-04-02,68.85,68.55,72.58,71.06,3533062
6,2020-04-01,69.05,67.84,70.82,69.93,4381388
7,2020-03-31,75.66,71.9,76.22,72.19,4537216
8,2020-03-30,74.29,74.25,78.02,76.81,5701400
9,2020-03-27,70.1,69.4,75.92,73.07,4217144
10,2020-03-26,67.31,67.01,73.5,72.44,4741785
11,2020-03-25,64.83,64.03,70.81,67.34,4987634
12,2020-03-24,62.82,62.02,67.41,65.67,6514400
13,2020-03-23,67.11,57.79,67.11,59.39,8042738
14,2020-03-20,72.02,66.35,72.04,67.22,9964204
15,2020-03-19,79.93,71.07,80.02,71.85,7855607
16,2020-03-18,75.18,73.48,80.65,80.26,6562700
17,2020-03-17,70.26,70.19,82.7,80.48,8190800
18,2020-03-16,71.28,67.88,77.0,68.65,6506700
19,2020-03-13,76.0,71.32,78.36,78.29,7362700
20,2020-03-12,74.5,69.8,76.99,71.31,6777600
21,2020-03-11,81.25,77.92,81.45,78.95,4258896
22,2020-03-10,83.07,79.06,84.12,83.22,4869633
23,2020-03-09,82.36,79.55,84.42,81.33,6171302
24,2020-03-06,84.9,83.53,87.09,86.7,4520419
25,2020-03-05,87.37,86.17,88.79,87.17,3880909
26,2020-03-04,84.23,84.23,89.06,89.03,4571600
27,2020-03-03,83.76,82.93,85.94,83.38,5624529
28,2020-03-02,78.67,78.45,84.32,84.18,5612620
29,2020-02-28,79.8,76.39,79.8,78.18,8247003
30,2020-02-27,85.42,81.19,85.72,81.28,4549200
31,2020-02-26,88.2,86.72,88.8,86.77,3902616
32,2020-02-25,89.8,87.55,90.14,87.79,3880015
33,2020-02-24,89.04,88.85,90.89,89.8,4665600
34,2020-02-21,89.05,88.91,89.75,89.38,3126400
35,2020-02-20,87.8,87.72,89.32,89.25,3034908
36,2020-02-19,88.98,87.66,89.2,87.84,2665841
37,2020-02-18,87.89,87.31,89.01,88.98,3419502
38,2020-02-14,86.39,86.2,87.61,87.46,2881300
