,date,open,low,high,close,volume
0,2020-01-06,56.99,56.66,57.76,57.66,5504424
1,2020-01-03,57.5,56.91,58.12,58.06,9079746
2,2020-01-02,58.93,58.45,59.39,59.04,4459843
3,2020-04-06,22.31,20.76,23.5,22.32,95093023
4,2020-04-03,23.03,21.75,23.65,22.48,48967847
5,2020-04-02,23.92,22.51,24.65,22.68,39407439
6,2020-04-01,26.59,23.69,26.59,23.87,56133000
7,2020-03-31,29.35,28.42,30.53,28.53,25002300
8,2020-03-30,28.49,26.0,29.29,28.67,29527500
9,2020-03-27,30.72,29.02,31.32,29.55,34960737
10,2020-03-26,32.61,30.42,35.89,31.7,57913540
11,2020-03-25,31.49,27.4,33.28,31.1,70733903
12,2020-03-24,26.26,24.52,28.98,26.89,65730300
13,2020-03-23,22.17,20.6,22.83,22.22,44426400
14,2020-03-20,23.17,21.26,26.85,21.35,55062901
15,2020-03-19,23.36,20.0,24.15,21.51,44623400
16,2020-03-18,29.79,19.1,29.79,23.49,64242532
17,2020-03-17,36.23,30.6,37.19,31.74,33097500
18,2020-03-16,32.8,31.23,38.08,35.81,35535400
19,2020-03-13,38.54,34.79,38.74,38.36,33052500
20,2020-03-12,37.47,33.46,38.78,33.71,36331900
21,2020-03-11,44.0,41.73,44.34,42.67,23567775
22,2020-03-10,45.57,41.46,45.88,45.47,28693308
23,2020-03-09,43.04,42.43,45.01,43.52,25784749
24,2020-03-06,43.47,42.87,46.93,45.89,25809305
25,2020-03-05,46.5,44.42,46.57,45.01,22918801
26,2020-03-04,47.5,46.02,48.64,48.5,20381800
27,2020-03-03,49.81,46.04,49.97,46.18,26344102
28,2020-03-02,46.22,44.33,47.25,47.16,20098724
29,2020-02-28,46.02,45.14,47.79,46.13,19860957
30,2020-02-27,46.72,45.03,50.98,48.19,21949100
31,2020-02-26,51.44,49.0,51.77,49.59,15994706
32,2020-02-25,54.54,50.75,54.71,50.89,15836504
33,2020-02-24,54.83,53.34,55.38,54.23,17983124
34,2020-02-21,57.96,56.87,58.02,57.87,6296079
35,2020-02-20,58.2,58.12,58.99,58.38,5239459
36,2020-02-19,58.49,58.03,58.58,58.51,4399900
37,2020-02-18,58.87,58.41,59.47,58.72,5691853
38,2020-02-14,59.24,58.58,59.47,58.9,3810100
39,2020-02-13,58.75,58.35,59.21,59.13,4353149
40,2020-02-12,59.29,59.18,59.92,59.47,5227500
41,2020-02-11,58.1,57.97,59.1,58.66,4566500
42,2020-02-10,57.54,57.43,58.12,57.71,4541102
43,2020-02-07,57.96,57.52,58.25,57.92,3836844
44,2020-02-06,59.8,58.02,60.03,58.18,5210207
45,2020-02-05,58.97,58.6,59.3,58.89,6067216
46,2020-02-04,57.2,57.15,58.4,57.93,6880807
47,2020-02-03,56.2,56.0,57.25,56.04,7498975
48,2020-01-31,56.7,55.43,57.08,55.74,9320800
49,2020-01-30,55.65,55.65,57.18,57.1,5980732
50,2020-01-29,57.64,56.57,57.8,56.65,5663665
51,2020-01-28,57.55,56.75,57.97,57.48,6343700
52,2020-01-27,56.49,55.62,57.18,56.83,13090200
53,2020-01-24,60.1,57.84,60.21,58.81,10989505
54,2020-01-23,59.19,58.19,60.38,60.27,7774547
55,2020-01-22,60.63,59.56,60.72,59.64,7096446
56,2020-01-21,61.25,58.43,61.61,60.34,16592000
57,2020-01-17,62.13,61.87,62.48,62.03,5770008
58,2020-01-16,62.06,61.63,62.48,61.88,4950458
59,2020-01-15,61.54,61.03,61.94,61.62,7953423
60,2020-01-14,62.04,60.86,62.25,61.45,16460976
61,2020-01-13,59.03,59.03,59.7,59.49,8452039
62,2020-01-10,59.25,58.62,59.49,59.24,8282229
63,2020-01-09,59.26,58.58,59.47,58.96,5336915
64,2020-01-08,57.75,57.73,59.4,58.85,8519684
65,2020-01-07,57.91,57.47,58.07,57.61,5635790
66,2020-07-06,28.24,27.28,28.63,28.44,27345200
67,2020-07-02,28.54,27.6,28.73,27.72,29240138
68,2020-07-01,29.02,27.49,29.85,27.7,39305300
69,2020-06-30,28.35,27.6,28.66,28.05,27054800
70,2020-06-29,27.2,26.58,28.82,28.61,38727331
71,2020-06-26,28.02,26.24,28.1,26.91,45683436
72,2020-06-25,26.52,26.27,28.16,28.01,37309400
73,2020-06-24,28.75,26.93,28.99,27.34,45272507
74,2020-06-23,29.53,28.73,29.65,29.64,33475000
75,2020-06-22,29.03,28.56,29.84,29.31,42192700
76,2020-06-19,31.51,29.02,31.52,29.51,48103900
77,2020-06-18,29.88,29.6,31.15,30.79,40662600
78,2020-06-17,30.84,30.08,31.16,30.72,37722140
79,2020-06-16,32.63,30.61,33.02,31.3,63426700
80,2020-06-15,28.3,28.0,30.97,30.46,64288748
81,2020-06-12,29.89,28.75,30.74,30.43,68352400
82,2020-06-11,26.65,26.6,29.57,27.2,88001500
83,2020-06-10,32.24,29.76,32.99,31.64,90379430
84,2020-06-09,34.5,32.65,34.73,34.17,60254521
85,2020-06-08,36.63,35.38,37.08,36.97,82137330
86,2020-06-05,37.2,33.45,37.24,34.16,130685447
87,2020-06-04,30.27,29.22,32.81,32.38,134626500
88,2020-06-03,27.01,26.7,28.6,28.47,65011100
89,2020-06-02,26.68,25.94,26.98,26.41,43200422
90,2020-06-01,25.33,25.08,26.76,26.17,46647202
91,2020-05-29,24.62,24.37,25.61,25.21,50687506
92,2020-05-28,26.25,24.95,26.36,25.66,54071471
93,2020-05-27,27.67,24.73,27.85,26.32,92712000
94,2020-05-26,24.48,24.28,25.87,25.65,78557100
95,2020-05-22,23.24,22.23,23.4,22.69,37139330
96,2020-05-21,22.77,22.67,23.68,23.16,46567247
97,2020-05-20,22.34,22.14,23.1,22.72,50857000
98,2020-05-19,22.57,21.32,22.57,21.76,70906400
99,2020-05-18,20.91,20.55,21.94,21.86,74681701
100,2020-05-15,18.97,18.62,19.65,19.19,46861844
101,2020-05-14,18.8,17.51,19.54,19.38,88506300
102,2020-05-13,20.97,19.09,20.97,19.41,72264900
103,2020-05-12,22.1,21.03,22.4,21.03,37466300
104,2020-05-11,22.1,21.55,22.51,22.01,39151906
105,2020-05-08,22.36,22.05,22.92,22.72,43366769
106,2020-05-07,21.07,21.02,22.5,21.68,48328200
107,2020-05-06,21.76,20.75,22.1,21.0,52949200
108,2020-05-05,23.02,21.51,23.5,21.71,51178744
109,2020-05-04,21.19,20.5,22.79,22.57,91387139
110,2020-05-01,24.95,23.72,25.4,24.12,45146130
111,2020-04-30,26.7,25.5,27.23,25.91,63570700
112,2020-04-29,25.69,25.5,27.6,27.32,81614900
113,2020-04-28,23.0,22.65,24.9,24.34,83972146
114,2020-04-27,22.83,22.0,23.44,22.16,50561700
115,2020-04-24,22.53,21.75,22.68,22.41,43766606
116,2020-04-23,22.65,22.41,22.96,22.48,43581842
117,2020-04-22,23.88,21.63,23.94,22.47,70221360
118,2020-04-21,23.02,22.8,23.77,23.1,38616713
119,2020-04-20,23.44,22.91,24.12,23.64,42950800
120,2020-04-17,24.15,23.59,24.61,24.27,52594500
121,2020-04-16,23.76,22.63,23.8,22.78,57610200
122,2020-04-15,24.91,23.31,25.5,24.35,88092500
123,2020-04-14,23.99,23.83,25.29,24.54,60843600
124,2020-04-13,24.98,22.08,25.06,23.25,76173000
125,2020-04-09,25.4,23.35,25.53,24.39,91692900
126,2020-04-08,23.09,22.53,23.64,23.23,67565200
127,2020-04-07,25.21,21.9,25.85,22.25,98907230
128,2020-10-05,32.35,31.52,32.43,32.0,14807100
129,2020-10-02,29.75,29.61,32.3,31.75,27126005
130,2020-10-01,30.99,30.58,31.36,31.1,12501909
131,2020-09-30,30.99,30.48,31.85,30.58,16664144
132,2020-09-29,31.1,30.3,31.11,30.61,14831172
133,2020-09-28,30.6,30.14,31.96,31.34,22098414
134,2020-09-25,28.82,28.78,29.79,29.78,21831523
135,2020-09-24,29.12,27.92,29.51,29.01,22257817
136,2020-09-23,30.44,29.49,31.03,29.56,17358100
137,2020-09-22,29.81,29.72,30.54,30.22,18035300
138,2020-09-21,31.16,29.42,31.2,29.82,34449916
139,2020-09-18,33.22,32.58,34.02,32.84,35079227
140,2020-09-17,33.97,33.64,35.07,33.96,26014800
141,2020-09-16,33.8,33.19,34.99,34.57,26076837
142,2020-09-15,33.2,33.1,34.48,33.51,22656444
143,2020-09-14,32.29,32.01,32.9,32.82,16333009
144,2020-09-11,31.81,31.34,32.13,31.7,14344100
145,2020-09-10,32.18,31.67,32.71,31.79,17711300
146,2020-09-09,32.17,31.32,32.44,31.76,19362700
147,2020-09-08,31.4,31.34,33.1,32.54,28129423
148,2020-09-04,31.79,30.61,32.37,31.77,25878700
149,2020-09-03,31.63,30.47,32.53,31.22,29474906
150,2020-09-02,30.4,30.14,31.3,31.14,16307700
151,2020-09-01,30.02,29.75,31.61,30.71,20081180
152,2020-08-31,31.81,30.8,32.01,30.85,18262700
153,2020-08-28,31.25,30.73,31.99,31.99,20469731
154,2020-08-27,30.81,30.62,32.21,30.82,31795200
155,2020-08-26,30.01,29.62,30.22,29.95,18877300
156,2020-08-25,30.0,29.33,30.28,30.1,31001948
157,2020-08-24,27.66,27.54,29.8,29.8,34251032
158,2020-08-21,27.56,27.17,27.86,27.27,10897500
159,2020-08-20,27.52,27.02,27.79,27.62,14010200
160,2020-08-19,27.75,27.56,29.12,27.67,21082131
161,2020-08-18,28.0,27.37,28.28,27.63,14222500
162,2020-08-17,29.04,27.76,29.04,28.02,14569000
163,2020-08-14,28.3,28.15,29.19,28.95,13107829
164,2020-08-13,28.6,28.49,29.58,28.7,15767700
165,2020-08-12,30.04,28.36,30.28,29.09,26623874
166,2020-08-11,30.79,29.43,30.82,29.64,37293000
167,2020-08-10,27.46,27.38,29.41,29.34,34084900
168,2020-08-07,26.7,26.47,27.2,27.18,15254500
169,2020-08-06,26.9,26.13,27.3,27.08,30682500
170,2020-08-05,26.22,25.75,27.04,26.47,29661104
171,2020-08-04,25.45,25.31,26.22,25.67,17233600
172,2020-08-03,24.85,24.38,25.48,25.2,16590449
173,2020-07-31,24.8,24.43,25.01,24.97,17116666
174,2020-07-30,25.25,24.82,25.38,24.94,16844000
175,2020-07-29,26.02,25.38,26.19,25.72,14459715
176,2020-07-28,25.35,25.34,26.3,25.94,18615600
177,2020-07-27,25.95,25.37,26.16,25.5,18849816
178,2020-07-24,26.48,25.88,26.64,25.96,16774945
179,2020-07-23,26.0,25.78,27.7,26.78,28110723
180,2020-07-22,26.23,26.11,26.82,26.25,16710842
181,2020-07-21,26.5,26.35,26.95,26.43,20958617
182,2020-07-20,27.0,26.03,27.42,26.22,21574500
183,2020-07-17,27.33,26.94,27.73,27.05,20982490
184,2020-07-16,27.56,27.04,27.95,27.26,25914243
185,2020-07-15,27.5,26.92,28.88,28.6,47726616
186,2020-07-14,25.64,25.46,26.75,26.11,42273300
187,2020-07-13,27.23,26.31,27.62,26.82,34133100
188,2020-07-10,25.3,25.15,27.26,27.09,31349432
189,2020-07-09,26.79,25.22,26.92,25.65,31219838
190,2020-07-08,26.65,26.2,27.28,27.01,27214100
191,2020-07-07,27.86,26.86,27.95,27.01,24598100
192,2021-01-04,40.17,38.33,40.34,38.73,15123448
193,2020-12-31,40.3,39.76,40.74,40.21,8705736
194,2020-12-30,40.0,39.89,40.91,40.56,8504632
195,2020-12-29,40.84,39.9,40.84,40.03,8142801
196,2020-12-28,40.27,40.01,40.78,40.15,10654400
197,2020-12-24,40.42,39.6,40.44,39.73,5176408
198,2020-12-23,39.3,39.18,40.47,40.24,12659700
199,2020-12-22,40.43,38.84,40.49,38.94,13519977
200,2020-12-21,39.56,39.16,40.35,40.14,16976838
201,2020-12-18,40.88,40.28,41.03,40.68,14312415
202,2020-12-17,41.3,40.61,41.42,41.11,9656700
203,2020-12-16,41.75,40.66,41.81,41.08,11010600
204,2020-12-15,41.2,40.16,41.93,41.85,11453773
205,2020-12-14,42.25,40.67,42.38,40.69,12445200
206,2020-12-11,42.01,41.14,42.43,41.74,12223113
207,2020-12-10,41.16,41.07,42.75,42.62,10680700
208,2020-12-09,43.05,41.33,43.48,42.11,16348300
209,2020-12-08,41.95,41.77,42.88,42.41,11530300
210,2020-12-07,42.4,41.74,42.83,42.35,13169110
211,2020-12-04,43.2,42.07,43.49,42.36,18453400
212,2020-12-03,41.7,41.56,43.76,42.95,24526800
213,2020-12-02,39.81,39.06,41.28,41.07,12937348
214,2020-12-01,40.79,39.92,41.06,39.96,13223634
