,date,open,low,high,close,volume
0,2021-01-04,142.5,137.17,143.62,139.19,2044452
1,2020-12-31,140.2,135.38,146.5,142.75,2644608
2,2020-12-30,144.4,139.8,147.98,140.2,3138842
3,2020-12-29,146.12,139.64,147.4,141.27,3862477
4,2020-12-28,158.25,141.505,158.45,147.89,3819358
5,2020-12-24,157.38,153.07,158.6,158.46,678995
6,2020-12-23,155.0,150.25,161.56,158.22,1775415
7,2020-12-22,161.05,153.4215,163.21,156.79,2399309
8,2020-12-21,169.07,155.0,173.46,160.23,3907242
9,2020-12-18,154.21,147.32,169.95,166.35,8192168
10,2020-12-17,159.1,149.95,161.66,154.21,6380647
11,2020-12-16,161.18,157.2,167.47,158.05,3079054
12,2020-12-15,157.1,153.76,161.42,158.89,5037907
13,2020-12-14,169.1,151.2,170.0,160.0,7908653
14,2020-12-11,176.52,168.25,182.0,175.0,4805547
15,2020-12-10,179.71,172.6361,187.6951,186.0,9452894
16,2020-12-09,182.0,163.8,195.5,189.51,30117940
17,2021-04-05,133.89,130.54,134.73,133.55,1469737
18,2021-04-01,136.88,130.94,140.9,133.14,2204781
19,2021-03-31,130.96,127.64,132.83,131.13,2952371
20,2021-03-30,128.21,126.16,132.0,130.6,1455968
21,2021-03-29,133.53,129.66,138.52,129.98,2309796
22,2021-03-26,131.63,129.57,136.99,134.01,2053514
23,2021-03-25,124.88,121.0,132.77,131.75,3030082
24,2021-03-24,131.77,124.9,132.54,125.53,2171526
25,2021-03-23,136.2,131.35,139.9,131.76,1894299
26,2021-03-22,136.0,133.44,139.48,135.91,1975057
27,2021-03-19,132.08,127.13,136.62,135.03,2268220
28,2021-03-18,131.456,129.3142,134.67,130.62,3004407
29,2021-03-17,133.0,127.7,136.245,133.8,3301994
30,2021-03-16,140.79,133.09,141.99,133.66,2490877
31,2021-03-15,143.78,138.03,144.04,140.69,2120975
32,2021-03-12,139.48,136.55,145.4599,142.03,3287092
33,2021-03-11,140.0,139.56,147.73,144.97,3640681
34,2021-03-10,143.14,134.04,147.735,135.77,5454294
35,2021-03-09,132.91,130.0,147.2129,141.48,21525379
36,2021-03-08,146.41,130.03,150.4,133.41,6912176
37,2021-03-05,150.5,138.45,160.0,151.48,6186153
38,2021-03-04,147.32,138.82,152.47,150.0,4379446
39,2021-03-03,156.69,144.56,161.34,148.25,4084038
40,2021-03-02,168.0,155.22,170.8,160.59,5319291
41,2021-03-01,171.44,164.2,173.79,168.89,4174730
42,2021-02-26,155.5,155.0201,172.97,169.49,7641968
