,date,open,low,high,close,volume
0,2020-01-06,68.87,68.72,70.4,69.41,1529300
1,2020-01-03,68.84,68.73,70.05,69.51,672600
2,2020-01-02,68.43,68.02,70.02,70.02,1294000
3,2020-04-06,41.15,40.16,44.59,44.47,1259900
4,2020-04-03,42.54,38.9,43.18,39.21,2504500
5,2020-04-02,45.19,42.58,45.99,43.28,1796900
6,2020-04-01,47.68,45.18,48.62,46.0,1367200
7,2020-03-31,50.79,48.9,51.31,50.07,1115700
8,2020-03-30,48.88,48.36,51.73,51.41,575300
9,2020-03-27,50.1,47.91,50.91,48.65,1090600
10,2020-03-26,50.1,49.68,54.47,52.24,1042500
11,2020-03-25,49.83,48.77,53.96,50.29,1390500
12,2020-03-24,47.72,47.56,50.37,49.83,1438200
13,2020-03-23,47.08,45.23,49.14,46.72,1750100
14,2020-03-20,46.08,44.68,49.52,47.76,2092200
15,2020-03-19,44.03,40.76,46.57,45.9,1663700
16,2020-03-18,45.43,38.4,46.6,44.15,2193100
17,2020-03-17,48.44,44.38,49.27,49.05,1798200
18,2020-03-16,49.0,45.81,49.65,47.56,2207400
19,2020-03-13,51.53,48.38,55.37,55.05,1847400
20,2020-03-12,50.5,47.58,52.66,48.62,2390700
21,2020-03-11,60.96,55.46,62.3,56.63,1780100
22,2020-03-10,63.55,59.39,63.55,62.83,1331300
23,2020-03-09,60.34,58.29,62.9,61.91,2012600
24,2020-03-06,66.93,63.88,67.62,66.32,1211900
25,2020-03-05,70.19,67.41,71.86,68.41,1620200
26,2020-03-04,70.97,69.71,72.49,71.94,1034700
27,2020-03-03,74.2,68.66,75.07,69.47,1596300
28,2020-03-02,71.6,70.26,74.44,74.21,2283500
29,2020-02-28,70.33,67.68,71.27,70.73,3248400
30,2020-02-27,71.99,71.39,74.62,72.44,1955500
31,2020-02-26,73.49,72.18,75.0,73.84,1098600
32,2020-02-25,74.19,72.48,75.35,73.09,1761900
33,2020-02-24,72.0,71.44,74.96,74.05,1539000
34,2020-02-21,74.99,73.62,75.05,74.95,1188800
35,2020-02-20,75.19,74.07,76.68,75.2,2552000
36,2020-02-19,75.19,74.87,75.93,75.5,3597000
37,2020-02-18,73.35,73.17,74.27,74.12,1017600
38,2020-02-14,72.71,72.31,74.1,73.68,956700
39,2020-02-13,69.55,69.43,72.61,72.37,1123100
40,2020-02-12,69.11,67.26,69.92,69.82,617100
41,2020-02-11,69.58,68.4,70.41,68.53,825000
42,2020-02-10,66.7,66.7,69.63,69.09,1465500
43,2020-02-07,65.58,65.28,67.49,66.91,1582500
44,2020-02-06,65.39,63.61,66.75,65.88,3959100
45,2020-02-05,78.86,73.12,79.11,73.43,2505500
46,2020-02-04,76.21,75.67,77.99,77.89,1127000
47,2020-02-03,73.48,73.48,75.91,75.05,1004500
48,2020-01-31,74.63,72.91,74.76,73.29,656300
49,2020-01-30,72.55,72.49,74.95,74.83,529500
50,2020-01-29,73.47,72.62,74.56,72.69,1670500
51,2020-01-28,72.34,71.83,73.26,72.87,2287600
52,2020-01-27,69.71,69.18,72.46,71.48,1049500
53,2020-01-24,73.4,71.4,73.41,71.58,1275000
54,2020-01-23,72.45,72.38,74.02,72.58,1065300
55,2020-01-22,72.86,72.5,73.4,72.5,957800
56,2020-01-21,72.18,71.69,73.09,72.22,725200
57,2020-01-17,73.3,72.19,73.5,72.73,698700
58,2020-01-16,73.5,72.64,73.95,72.82,1024100
59,2020-01-15,72.68,72.34,73.79,73.35,660600
60,2020-01-14,72.47,71.74,72.83,72.45,604000
61,2020-01-13,72.0,71.49,73.23,72.6,845900
62,2020-01-10,71.82,70.55,71.9,71.49,1002300
63,2020-01-09,71.08,70.09,71.67,71.48,1152500
64,2020-01-08,69.77,69.77,70.78,70.38,1448700
65,2020-01-07,69.57,69.25,70.6,70.11,774200
66,2020-07-06,86.04,83.78,87.0,84.4,1552200
67,2020-07-02,85.06,84.54,86.78,84.67,1374000
68,2020-07-01,79.05,78.79,84.36,84.14,2681000
69,2020-06-30,78.3,77.54,79.57,79.27,949400
70,2020-06-29,80.28,76.49,80.28,78.28,842000
71,2020-06-26,80.26,77.67,80.98,79.91,2642600
72,2020-06-25,78.92,77.76,80.08,79.75,1312800
73,2020-06-24,79.76,76.35,80.53,78.4,2006900
74,2020-06-23,79.97,79.28,81.02,80.66,2117200
75,2020-06-22,77.45,77.16,79.04,78.73,1330700
76,2020-06-19,78.9,76.75,80.8,77.53,2201500
77,2020-06-18,77.03,77.03,79.43,78.39,1498500
78,2020-06-17,77.18,76.54,78.53,76.74,997800
79,2020-06-16,78.93,74.88,79.55,76.56,1588500
80,2020-06-15,70.87,70.39,77.0,76.14,2279400
81,2020-06-12,73.0,69.53,74.99,72.61,1581500
