,date,open,low,high,close,volume
0,2020-01-06,61.88,61.7,62.47,61.72,5619176
1,2020-01-03,62.75,61.88,62.95,62.16,6005592
2,2020-01-02,64.8,63.48,65.16,63.5,5967300
3,2020-04-06,33.99,33.48,35.63,35.39,7307638
4,2020-04-03,32.49,31.52,33.47,31.87,5357119
5,2020-04-02,32.48,31.89,34.35,32.51,6649100
6,2020-04-01,32.39,32.25,33.52,32.52,7712600
7,2020-03-31,35.17,33.9,36.63,34.1,8274794
8,2020-03-30,33.29,32.1,33.8,33.62,6378119
9,2020-03-27,34.13,33.14,34.8,33.83,5997180
10,2020-03-26,33.53,32.51,36.13,35.95,8622862
11,2020-03-25,32.75,31.63,35.44,33.23,7815314
12,2020-03-24,30.36,30.0,32.86,32.46,10167938
13,2020-03-23,30.35,28.33,31.08,28.46,7300024
14,2020-03-20,32.53,30.28,33.99,31.47,9584985
15,2020-03-19,31.74,30.12,33.63,31.66,6826312
16,2020-03-18,33.45,29.06,34.75,32.06,8937106
17,2020-03-17,35.08,33.27,37.29,36.01,8886159
18,2020-03-16,32.9,31.63,35.97,34.25,9270472
19,2020-03-13,35.32,34.18,37.17,37.1,10537300
20,2020-03-12,34.3,32.93,35.52,33.28,12437148
21,2020-03-11,36.63,36.07,37.61,36.66,10566314
22,2020-03-10,37.01,35.97,38.24,38.12,9931371
23,2020-03-09,36.97,35.01,37.93,35.15,16269512
24,2020-03-06,41.04,39.91,42.12,40.5,14571900
25,2020-03-05,42.63,42.27,43.75,42.42,8795391
26,2020-03-04,44.6,42.47,44.6,44.16,15079821
27,2020-03-03,44.92,43.47,46.26,43.64,10211130
28,2020-03-02,43.06,42.51,44.99,44.95,9803712
29,2020-02-28,43.12,42.06,43.7,42.9,13572098
30,2020-02-27,45.82,45.03,47.17,45.07,8843600
31,2020-02-26,48.25,46.64,48.29,47.26,9556179
32,2020-02-25,50.5,47.02,50.5,47.47,10657867
33,2020-02-24,50.6,49.6,50.99,50.45,7087800
34,2020-02-21,52.22,52.02,52.62,52.43,4033527
35,2020-02-20,53.25,52.26,53.65,52.55,4971916
36,2020-02-19,53.65,53.29,53.94,53.5,6395500
37,2020-02-18,53.42,52.57,54.05,53.44,8328465
38,2020-02-14,53.35,52.63,53.64,53.1,5914400
39,2020-02-13,53.16,52.73,53.65,53.27,4241895
40,2020-02-12,52.91,52.88,53.87,53.55,3871971
41,2020-02-11,52.1,52.08,53.6,52.69,5609000
42,2020-02-10,52.31,51.49,52.7,51.78,5506180
43,2020-02-07,53.27,52.13,53.34,52.55,5476044
44,2020-02-06,54.5,53.18,54.5,53.81,7749921
45,2020-02-05,53.27,52.76,54.48,54.08,9275800
