,date,open,low,high,close,volume
0,2020-01-06,174.48,173.74,176.88,176.81,1235688
1,2020-01-03,174.21,173.55,175.76,175.55,1301141
2,2020-01-02,174.24,173.73,176.88,176.86,1591100
3,2020-04-06,141.58,139.72,144.87,143.49,2079448
4,2020-04-03,138.48,132.13,139.35,135.52,2053140
5,2020-04-02,133.31,132.86,139.91,139.38,2863800
6,2020-04-01,132.18,129.68,134.73,133.67,2040639
7,2020-03-31,141.99,137.25,145.0,138.16,2240205
8,2020-03-30,136.72,134.56,141.7,141.23,2251141
9,2020-03-27,135.0,132.16,139.17,135.11,2302699
10,2020-03-26,129.35,127.14,140.15,139.09,2227539
11,2020-03-25,125.88,121.84,136.73,128.49,3962382
12,2020-03-24,117.37,112.7,126.66,126.0,3488413
13,2020-03-23,110.27,106.52,115.57,111.15,3130922
14,2020-03-20,119.66,110.34,120.61,111.63,4155245
15,2020-03-19,112.9,106.25,120.74,119.66,2455700
16,2020-03-18,117.82,106.14,120.55,114.21,2635027
17,2020-03-17,122.8,119.07,129.46,126.71,2909655
18,2020-03-16,123.9,119.84,132.87,120.05,2617700
19,2020-03-13,137.93,130.53,139.29,138.96,2525544
20,2020-03-12,135.0,128.09,136.54,130.39,3288737
21,2020-03-11,150.85,143.85,151.16,145.88,2397338
22,2020-03-10,155.62,148.01,156.33,154.99,2798034
23,2020-03-09,152.01,147.13,158.25,150.0,2886400
24,2020-03-06,154.2,153.67,164.94,164.04,2973408
25,2020-03-05,158.83,157.92,162.19,159.07,1878400
26,2020-03-04,161.24,160.52,163.29,163.07,2513828
27,2020-03-03,164.34,157.0,167.87,157.78,2443100
28,2020-03-02,157.92,156.55,164.0,163.92,2532128
29,2020-02-28,155.29,152.66,158.92,156.48,3053876
30,2020-02-27,164.4,159.96,166.55,159.99,2957507
31,2020-02-26,168.28,165.61,169.38,166.92,2545782
32,2020-02-25,172.18,165.8,172.95,166.65,2358560
33,2020-02-24,172.51,171.5,176.36,171.86,2292900
34,2020-02-21,177.91,176.0,181.99,177.43,5917100
35,2020-02-20,164.76,164.5,166.75,165.83,2048513
36,2020-02-19,166.5,164.85,167.24,164.93,1244916
37,2020-02-18,167.4,164.21,167.44,166.3,1177464
38,2020-02-14,170.83,167.18,172.31,168.07,1152603
39,2020-02-13,170.86,169.86,171.91,170.76,831113
40,2020-02-12,172.0,170.21,173.2,171.83,1008231
41,2020-02-11,169.1,168.6,171.06,170.26,1315709
42,2020-02-10,166.46,166.13,168.29,168.24,807700
43,2020-02-07,167.42,166.66,168.9,167.45,1711100
44,2020-02-06,168.75,166.05,169.15,168.86,1805100
45,2020-02-05,167.43,166.51,168.77,168.35,1476920
46,2020-02-04,161.33,160.65,165.12,164.43,1412631
47,2020-02-03,159.44,157.28,161.43,158.29,1813590
48,2020-01-31,159.72,157.33,161.22,158.58,1693403
49,2020-01-30,159.0,158.54,161.84,161.11,2496400
50,2020-01-29,163.91,160.0,163.91,160.16,1959814
51,2020-01-28,164.8,162.4,165.67,162.98,1750799
52,2020-01-27,166.18,162.93,167.99,163.28,1586842
53,2020-01-24,172.05,169.04,172.05,170.12,1103310
