,date,open,low,high,close,volume
0,2020-01-06,28.69,28.66,29.12,29.08,1774904
1,2020-01-03,28.26,28.13,28.95,28.91,1890626
2,2020-01-02,28.29,28.16,28.7,28.7,1627200
3,2020-04-06,21.7,21.36,23.12,23.06,3002789
4,2020-04-03,20.9,19.74,21.0,20.35,2179927
5,2020-04-02,20.66,20.32,21.52,21.12,2123419
6,2020-04-01,21.36,20.31,21.48,20.63,2845800
7,2020-03-31,22.92,22.12,23.43,22.33,2499600
8,2020-03-30,21.61,21.61,23.42,23.19,2195400
9,2020-03-27,22.73,21.57,22.75,22.18,2764386
10,2020-03-26,21.98,21.29,23.46,23.43,3494537
11,2020-03-25,22.39,21.25,22.93,21.59,5472600
12,2020-03-24,20.28,19.99,22.33,22.24,4591814
13,2020-03-23,17.43,16.67,19.32,18.95,5557800
14,2020-03-20,17.29,16.92,18.7,17.32,5621400
15,2020-03-19,15.21,13.71,17.59,17.29,5856624
16,2020-03-18,17.22,13.12,17.49,15.19,5517000
17,2020-03-17,18.84,16.51,19.18,18.46,4985400
18,2020-03-16,18.83,17.96,19.54,18.56,4598400
19,2020-03-13,23.01,20.19,23.3,21.61,6027173
20,2020-03-12,23.79,21.79,23.8,21.85,4550400
21,2020-03-11,27.13,25.47,27.56,25.56,4161000
22,2020-03-10,27.83,26.22,28.13,27.81,3745800
23,2020-03-09,26.92,25.23,28.05,27.0,3463200
24,2020-03-06,28.03,27.89,28.93,28.77,2667000
25,2020-03-05,29.23,28.66,29.52,28.79,2880732
26,2020-03-04,29.53,29.08,30.04,29.99,1922624
27,2020-03-03,29.83,28.78,30.85,29.15,2466600
28,2020-03-02,29.05,28.21,29.89,29.82,4108800
29,2020-02-28,28.33,28.13,29.28,28.97,4446600
30,2020-02-27,29.52,28.99,30.3,28.99,2935086
31,2020-02-26,30.6,30.23,31.11,30.24,2672400
32,2020-02-25,31.39,30.25,31.58,30.36,3031217
33,2020-02-24,31.46,31.18,31.81,31.25,2471515
34,2020-02-21,33.09,32.31,33.12,32.43,2818878
35,2020-02-20,33.45,32.81,33.62,33.18,2578800
36,2020-02-19,33.67,33.47,33.86,33.52,2647830
37,2020-02-18,33.25,33.07,33.87,33.53,1941158
38,2020-02-14,33.52,33.24,33.86,33.43,2121000
39,2020-02-13,33.13,33.02,33.52,33.43,2275453
40,2020-02-12,32.46,32.24,33.35,33.23,2766000
41,2020-02-11,32.08,31.83,32.36,32.22,3504094
42,2020-02-10,31.89,31.68,32.27,32.18,2040600
43,2020-02-07,31.94,31.73,32.29,31.9,2612070
44,2020-02-06,32.26,31.75,32.27,32.01,3111600
45,2020-02-05,31.69,31.28,32.21,32.14,3743488
46,2020-02-04,31.47,31.42,31.95,31.61,2991000
47,2020-02-03,32.01,31.12,32.3,31.27,5689914
48,2020-01-31,30.93,30.93,33.22,31.82,15123623
49,2020-01-30,29.18,29.07,29.66,29.56,4557000
50,2020-01-29,29.35,29.08,29.67,29.43,2848614
51,2020-01-28,29.32,28.52,29.38,29.18,3721800
52,2020-01-27,29.02,28.87,29.38,29.22,2399401
53,2020-01-24,30.0,29.28,30.0,29.61,3453053
54,2020-01-23,29.01,28.5,29.31,29.17,3202200
55,2020-01-22,29.37,28.96,29.68,29.22,3262361
56,2020-01-21,28.8,28.54,29.38,29.17,4034955
57,2020-01-17,28.88,28.5,28.99,28.92,3081000
58,2020-01-16,28.33,28.28,29.16,28.78,2889000
59,2020-01-15,28.03,27.92,28.18,28.14,2440885
60,2020-01-14,28.03,27.86,28.44,28.08,2347200
61,2020-01-13,27.59,27.42,27.97,27.97,2226751
62,2020-01-10,28.27,27.43,28.33,27.51,1674284
63,2020-01-09,28.13,27.9,28.3,28.22,3331800
64,2020-01-08,28.9,28.07,29.0,28.14,3392400
65,2020-01-07,29.08,28.83,29.5,28.86,2519982
66,2020-07-06,33.17,32.14,33.18,32.48,1849994
67,2020-07-02,33.12,32.2,33.5,32.37,1338201
68,2020-07-01,32.86,32.11,33.24,32.39,2030527
69,2020-06-30,32.27,32.17,32.98,32.73,1714934
70,2020-06-29,31.31,31.06,32.77,32.45,2221800
71,2020-06-26,31.9,30.77,32.09,31.02,2649636
72,2020-06-25,32.11,31.91,32.81,32.18,1796400
73,2020-06-24,33.59,32.21,34.17,32.42,2988870
74,2020-06-23,33.95,33.06,34.03,33.69,1917068
75,2020-06-22,32.67,32.35,33.53,33.46,1778400
76,2020-06-19,33.84,32.38,34.35,32.67,3540100
77,2020-06-18,33.0,32.63,34.23,33.41,3881400
78,2020-06-17,33.04,32.28,33.33,33.07,2888910
79,2020-06-16,33.49,31.65,33.49,32.81,2070600
80,2020-06-15,31.74,31.13,32.28,32.18,2248200
81,2020-06-12,33.04,31.62,33.09,32.68,2440800
82,2020-06-11,31.67,31.12,32.41,31.84,3018000
83,2020-06-10,32.68,32.29,33.71,33.03,2704200
84,2020-06-09,32.93,32.43,33.27,32.57,2713878
85,2020-06-08,34.25,33.22,34.41,33.41,2856012
86,2020-06-05,35.58,34.03,36.36,34.18,4382439
87,2020-06-04,35.38,33.34,35.51,34.0,4265061
88,2020-06-03,34.72,34.24,35.67,35.43,4502426
89,2020-06-02,32.8,32.58,34.02,34.0,4696200
90,2020-06-01,30.54,30.54,32.85,32.64,4923000
91,2020-05-29,30.77,30.22,31.1,30.42,3340163
92,2020-05-28,32.84,30.93,32.84,31.07,3209400
93,2020-05-27,30.66,30.48,32.67,32.55,4318779
94,2020-05-26,31.21,29.9,31.43,30.01,3921600
95,2020-05-22,29.8,28.33,31.6,29.87,6521614
96,2020-05-21,27.03,26.51,28.07,28.01,4321209
97,2020-05-20,26.1,26.1,27.37,27.09,3528814
98,2020-05-19,25.38,25.1,26.11,25.75,2685000
99,2020-05-18,24.67,24.67,26.15,25.5,3540688
100,2020-05-15,23.08,22.58,23.63,23.47,2040600
101,2020-05-14,22.02,21.49,23.29,23.25,2266800
102,2020-05-13,22.83,21.79,23.03,22.58,2697108
103,2020-05-12,24.58,23.05,24.65,23.09,2020801
104,2020-05-11,24.56,23.83,24.66,24.56,2636502
105,2020-05-08,24.66,24.18,25.06,24.86,1322205
106,2020-05-07,24.16,24.04,24.79,24.09,1501454
107,2020-05-06,23.98,23.29,24.22,23.77,2439000
108,2020-05-05,23.9,23.66,24.7,23.93,2443375
109,2020-05-04,23.39,23.1,24.15,23.38,3001800
110,2020-05-01,24.65,23.69,24.84,23.88,1802204
111,2020-04-30,25.42,24.67,25.53,24.79,2016691
112,2020-04-29,25.81,25.0,26.52,25.93,1780800
113,2020-04-28,25.28,24.59,26.22,24.65,1730408
114,2020-04-27,23.24,22.75,24.55,24.4,3025331
115,2020-04-24,22.19,21.92,23.17,22.9,2445649
116,2020-04-23,22.09,21.77,22.85,22.13,2124600
117,2020-04-22,22.84,22.12,22.86,22.13,2710200
118,2020-04-21,22.76,21.96,23.06,22.0,2233800
119,2020-04-20,23.78,23.3,24.42,23.44,1593704
120,2020-04-17,24.09,23.88,24.86,24.28,2193000
121,2020-04-16,23.15,22.69,23.5,23.21,1548600
122,2020-04-15,23.41,22.93,23.81,23.16,2709600
123,2020-04-14,24.7,24.11,24.98,24.25,1263273
124,2020-04-13,24.47,23.46,24.59,23.89,1960208
125,2020-04-09,24.91,24.1,25.27,24.81,2538270
126,2020-04-08,23.84,23.54,24.48,24.18,1794290
127,2020-04-07,24.23,23.34,25.02,23.53,2720400
128,2020-10-05,39.7,38.8,39.93,39.75,1424019
129,2020-10-02,38.29,38.29,39.75,39.56,1845206
130,2020-10-01,37.11,36.99,39.67,39.27,4817400
131,2020-09-30,36.43,36.26,36.94,36.67,1993304
132,2020-09-29,36.38,35.7,36.61,36.32,1439400
133,2020-09-28,36.21,36.21,36.96,36.55,1416000
134,2020-09-25,36.0,35.52,36.34,35.87,1524000
135,2020-09-24,35.72,34.98,36.63,36.28,1575764
136,2020-09-23,35.79,35.62,37.21,35.75,3656716
137,2020-09-22,34.69,34.49,35.67,35.61,1733090
138,2020-09-21,34.11,33.7,34.54,34.51,1750200
139,2020-09-18,35.92,34.26,35.92,34.82,2788884
140,2020-09-17,35.9,35.36,36.42,35.56,2244253
141,2020-09-16,36.14,35.9,37.14,36.57,2772600
142,2020-09-15,34.9,34.75,35.78,35.74,2415000
143,2020-09-14,34.18,34.08,34.83,34.7,1420701
144,2020-09-11,33.54,33.1,33.99,33.87,2305699
145,2020-09-10,34.07,32.95,34.3,33.05,1902146
146,2020-09-09,33.63,33.18,34.01,33.83,1596600
147,2020-09-08,32.37,32.1,33.98,33.32,2058600
148,2020-09-04,33.38,32.31,33.55,32.85,1853400
149,2020-09-03,34.59,32.79,34.59,33.04,1805400
150,2020-09-02,35.42,34.28,35.42,34.61,1506764
151,2020-09-01,33.99,33.71,35.01,35.0,1641000
152,2020-08-31,35.08,33.9,35.08,33.98,1863600
153,2020-08-28,35.51,34.58,35.51,35.07,1075995
154,2020-08-27,35.54,35.05,35.85,35.14,1097565
155,2020-08-26,34.96,34.83,35.37,35.27,1444800
156,2020-08-25,35.04,34.35,35.22,34.96,2579490
157,2020-08-24,34.98,34.56,35.37,34.88,1720964
158,2020-08-21,34.68,34.28,35.01,34.9,903000
159,2020-08-20,34.29,33.98,35.2,34.63,1345200
160,2020-08-19,35.18,34.56,35.32,34.62,1488807
161,2020-08-18,35.46,34.81,35.57,35.14,2167261
162,2020-08-17,36.23,35.06,36.23,35.36,2463733
163,2020-08-14,36.12,35.9,36.46,35.95,1428000
164,2020-08-13,36.54,35.98,36.66,36.32,1176000
165,2020-08-12,37.48,36.8,37.55,36.81,2334037
166,2020-08-11,36.8,36.69,37.62,37.22,2445000
167,2020-08-10,35.33,35.25,36.87,36.42,2639400
168,2020-08-07,34.33,34.0,35.11,35.09,1303200
169,2020-08-06,35.08,34.0,35.08,34.42,1630946
170,2020-08-05,34.5,34.27,35.72,35.24,1688732
171,2020-08-04,34.22,33.81,34.52,34.24,3538966
172,2020-08-03,35.13,34.08,35.13,34.44,2371951
173,2020-07-31,33.04,32.7,35.85,34.88,3558658
174,2020-07-30,35.88,35.46,36.64,35.69,2728200
175,2020-07-29,35.37,35.24,36.73,36.47,2434200
176,2020-07-28,35.01,34.81,35.64,35.1,2104800
177,2020-07-27,34.35,34.32,35.58,35.19,2818326
178,2020-07-24,34.46,34.1,34.85,34.3,1729982
179,2020-07-23,34.09,34.07,35.07,34.41,2458267
180,2020-07-22,34.16,33.82,34.81,34.41,2767200
181,2020-07-21,33.07,32.9,33.82,33.55,1896776
182,2020-07-20,33.35,32.39,33.58,32.71,1611600
183,2020-07-17,33.79,33.11,34.0,33.56,1433589
184,2020-07-16,33.67,33.36,33.92,33.78,1966800
185,2020-07-15,34.03,33.23,34.64,33.66,2594526
186,2020-07-14,32.12,31.47,33.12,33.07,1954200
187,2020-07-13,33.01,32.0,33.36,32.29,1740000
188,2020-07-10,31.88,31.62,32.71,32.67,1560600
189,2020-07-09,32.58,30.7,32.77,31.67,2688780
190,2020-07-08,31.61,31.55,32.24,32.23,1479705
191,2020-07-07,32.08,31.44,32.35,31.52,1813200
192,2021-01-04,48.29,46.56,48.36,47.24,2990400
193,2020-12-31,47.81,47.27,48.24,47.8,1310661
194,2020-12-30,47.86,47.55,48.2,47.67,1227675
195,2020-12-29,48.58,47.0,48.82,47.91,1451400
196,2020-12-28,49.01,48.33,49.18,48.49,1318200
197,2020-12-24,49.47,48.65,49.49,48.79,438839
198,2020-12-23,49.41,48.63,49.5,49.26,1572000
199,2020-12-22,49.76,48.6,50.22,48.99,1635000
200,2020-12-21,48.35,48.04,50.05,50.0,1829400
201,2020-12-18,50.41,48.6,50.41,49.12,3077681
202,2020-12-17,50.32,49.49,50.51,50.16,1616400
203,2020-12-16,51.29,49.31,51.3,50.03,1831970
204,2020-12-15,49.31,49.22,50.73,50.71,1662650
205,2020-12-14,48.96,48.95,49.98,49.15,2375497
206,2020-12-11,48.08,47.9,48.96,48.65,1679400
207,2020-12-10,49.33,48.12,50.3,48.61,1825400
208,2020-12-09,49.49,48.98,50.32,49.54,1973400
209,2020-12-08,48.66,47.85,49.86,49.19,2510400
210,2020-12-07,47.66,46.94,48.27,48.17,2101200
211,2020-12-04,46.68,46.14,48.19,48.1,2970000
212,2020-12-03,45.17,44.97,46.84,46.68,3295229
213,2020-12-02,44.03,43.48,44.89,44.87,2140981
214,2020-12-01,43.08,42.71,44.3,44.08,3225611
215,2020-11-30,43.24,42.14,43.38,42.43,2161800
216,2020-11-27,43.98,42.92,44.34,43.36,853800
217,2020-11-25,43.38,42.77,44.57,44.08,1558328
218,2020-11-24,43.39,42.83,43.97,43.25,1684682
219,2020-11-23,41.61,41.29,43.13,42.9,2304925
220,2020-11-20,41.28,40.21,41.46,41.2,2157847
221,2020-11-19,42.04,40.95,42.21,41.45,1884884
222,2020-11-18,42.4,41.84,43.04,41.99,1671788
223,2020-11-17,41.76,41.27,42.76,42.39,1713626
224,2020-11-16,42.17,40.41,42.24,41.64,3703200
225,2020-11-13,41.87,41.39,42.46,41.85,2140999
226,2020-11-12,42.24,40.66,42.58,41.38,2802000
227,2020-11-11,42.19,41.73,43.48,42.27,1939800
228,2020-11-10,42.62,40.14,42.92,41.92,4056600
229,2020-11-09,47.09,42.34,47.55,42.46,3937800
230,2020-11-06,46.7,44.91,46.7,45.05,2911800
231,2020-11-05,43.81,43.75,46.8,46.43,3746410
232,2020-11-04,41.8,41.69,43.54,43.51,1973400
233,2020-11-03,43.14,41.44,43.14,41.93,2445000
234,2020-11-02,42.26,41.84,42.78,42.48,2281261
235,2020-10-30,43.64,41.14,43.7,42.23,3873600
236,2020-10-29,41.56,41.45,43.15,42.96,2768202
237,2020-10-28,42.67,41.15,43.06,41.7,2177400
238,2020-10-27,43.65,42.95,43.99,43.67,2695308
239,2020-10-26,42.5,42.18,43.66,43.63,2091151
240,2020-10-23,41.32,40.71,42.75,42.54,2694144
241,2020-10-22,41.87,40.67,41.87,41.29,2015929
242,2020-10-21,41.92,40.91,42.08,41.27,1803600
243,2020-10-20,42.3,41.56,42.71,41.59,2035200
244,2020-10-19,43.97,41.17,44.52,42.17,4462083
245,2020-10-16,43.65,43.31,44.45,43.72,3505200
246,2020-10-15,42.34,41.89,43.81,43.68,1764000
247,2020-10-14,42.35,42.32,42.92,42.68,2020200
248,2020-10-13,41.75,41.33,42.36,42.27,2440579
249,2020-10-12,42.74,42.0,42.98,42.22,2071213
250,2020-10-09,41.3,40.88,41.92,41.87,1951016
251,2020-10-08,40.56,40.12,41.17,40.88,1803600
252,2020-10-07,39.84,39.65,40.4,40.06,1836600
253,2020-10-06,40.02,38.97,40.05,39.16,2073841
254,2021-04-05,55.63,54.17,55.63,55.17,1584152
255,2021-04-01,55.77,54.69,55.99,55.09,1677600
256,2021-03-31,54.94,54.5,55.51,55.07,981600
257,2021-03-30,53.46,53.25,54.61,54.28,1248000
258,2021-03-29,55.61,53.11,55.96,53.39,1770600
259,2021-03-26,53.9,53.63,55.66,55.64,1250043
260,2021-03-25,51.19,50.85,53.91,53.63,1195929
261,2021-03-24,53.54,51.85,53.97,51.96,1969800
262,2021-03-23,55.21,52.39,56.06,53.11,2236800
263,2021-03-22,57.03,54.89,57.05,55.47,2360089
264,2021-03-19,55.71,54.59,57.07,56.45,3454800
265,2021-03-18,57.07,54.81,57.25,55.16,1237887
266,2021-03-17,56.34,55.48,57.36,57.36,1294227
267,2021-03-16,57.5,55.78,57.5,56.45,1035600
268,2021-03-15,54.75,54.75,57.31,57.23,1366479
269,2021-03-12,54.33,54.02,55.39,54.71,1233261
270,2021-03-11,53.3,52.34,54.62,54.52,2152800
271,2021-03-10,54.41,52.44,54.69,52.66,1710600
272,2021-03-09,53.79,53.09,54.47,53.77,2072629
273,2021-03-08,52.98,52.68,54.9,52.83,2180400
274,2021-03-05,52.56,50.55,52.85,52.73,2197800
275,2021-03-04,53.07,50.76,53.85,51.73,2015617
276,2021-03-03,54.44,53.34,55.26,53.5,1884600
277,2021-03-02,55.34,54.17,55.79,54.28,1350267
278,2021-03-01,55.17,54.95,56.34,55.26,2161200
279,2021-02-26,53.93,53.77,55.28,54.35,2821800
280,2021-02-25,55.54,52.86,55.58,53.18,1677600
281,2021-02-24,54.15,54.13,55.8,55.25,1815000
282,2021-02-23,53.92,51.89,54.31,54.06,2560200
283,2021-02-22,54.92,54.38,56.76,54.67,1855898
284,2021-02-19,53.74,53.58,55.25,55.19,2356800
285,2021-02-18,53.63,53.04,54.22,53.87,1461600
286,2021-02-17,53.51,52.89,54.33,53.94,1656632
287,2021-02-16,54.43,53.07,54.5,53.97,2278291
288,2021-02-12,52.96,52.74,53.91,53.89,1315800
289,2021-02-11,54.15,52.59,54.15,53.24,1801340
290,2021-02-10,54.83,53.19,54.89,53.47,1975200
291,2021-02-09,53.3,53.3,54.42,54.25,1762952
292,2021-02-08,52.96,52.36,53.68,53.37,2089200
293,2021-02-05,53.51,51.67,55.27,52.79,3031200
294,2021-02-04,51.99,51.91,54.1,52.81,2374717
295,2021-02-03,52.45,51.19,52.75,51.6,1304313
296,2021-02-02,51.0,50.76,52.75,52.0,2009467
297,2021-02-01,49.03,48.65,49.99,49.89,1525442
298,2021-01-29,48.25,47.64,49.41,48.66,1986600
299,2021-01-28,47.4,46.6,48.83,48.44,4090800
300,2021-01-27,49.67,46.12,49.84,46.44,4952438
301,2021-01-26,52.89,50.36,52.99,50.71,1824176
302,2021-01-25,53.21,51.74,54.26,52.4,1920600
303,2021-01-22,53.48,52.72,54.02,53.31,1503000
304,2021-01-21,55.82,53.81,55.82,53.83,1856546
305,2021-01-20,54.49,53.76,55.35,55.16,2325889
306,2021-01-19,54.86,53.02,54.86,53.85,2311800
307,2021-01-15,53.43,52.59,54.61,54.33,1731600
308,2021-01-14,54.42,53.79,55.18,53.98,2348521
309,2021-01-13,55.9,53.46,56.05,54.06,2216557
310,2021-01-12,55.0,54.26,56.01,55.44,2110999
311,2021-01-11,51.94,51.78,55.1,54.49,2092800
312,2021-01-08,53.05,51.85,53.38,52.41,2640702
313,2021-01-07,52.21,51.67,52.98,52.81,1621220
314,2021-01-06,49.22,49.22,52.38,52.06,2913000
315,2021-01-05,47.19,47.19,49.17,49.0,1633800
316,2021-07-02,64.9,64.23,65.48,65.44,2026800
317,2021-07-01,64.43,64.33,66.04,64.98,2738100
318,2021-06-30,63.69,63.09,64.29,64.01,2826000
319,2021-06-29,64.01,63.33,64.6,63.8,2842800
320,2021-06-28,63.74,62.9,63.92,63.73,3485015
321,2021-06-25,60.27,60.0,64.11,63.44,24804000
322,2021-06-24,59.21,57.87,59.5,59.31,2037037
323,2021-06-23,58.44,57.85,58.95,58.7,1899512
324,2021-06-22,55.91,55.35,58.04,58.03,1881000
325,2021-06-21,54.46,54.36,56.4,56.12,1780946
326,2021-06-18,53.6,53.6,55.74,54.23,3768000
327,2021-06-17,54.24,53.58,54.84,54.27,2674332
328,2021-06-16,55.42,54.17,55.56,54.51,2085097
329,2021-06-15,55.79,54.86,56.03,55.66,1871400
330,2021-06-14,55.83,55.45,56.38,55.76,1351200
331,2021-06-11,54.49,54.49,55.85,55.74,1230831
332,2021-06-10,54.07,53.69,54.83,54.17,1765800
333,2021-06-09,54.35,53.78,54.48,53.97,1975200
334,2021-06-08,54.39,53.51,54.53,54.25,1407819
335,2021-06-07,53.86,53.61,54.94,54.13,1599000
336,2021-06-04,55.18,53.6,55.37,54.0,2226600
337,2021-06-03,54.62,53.5,55.43,54.81,1744832
338,2021-06-02,57.2,53.88,57.2,55.16,2917200
339,2021-06-01,56.45,56.0,57.0,56.97,1444800
340,2021-05-28,56.41,55.03,56.7,55.91,1566278
341,2021-05-27,57.2,56.52,58.1,56.52,2214600
342,2021-05-26,56.24,55.9,57.64,57.04,1426800
343,2021-05-25,56.59,55.56,56.98,55.92,1634120
344,2021-05-24,56.71,56.39,57.82,56.44,2238751
345,2021-05-21,55.45,54.0,57.54,55.96,6767400
346,2021-05-20,53.83,51.0,53.86,51.87,3589900
347,2021-05-19,54.35,53.06,54.42,53.86,1683728
348,2021-05-18,56.79,55.39,57.04,55.42,1624412
349,2021-05-17,55.91,55.41,56.96,56.87,1417311
350,2021-05-14,54.3,53.73,55.97,55.96,1426407
351,2021-05-13,52.87,52.87,55.0,53.89,1419771
352,2021-05-12,53.44,52.19,54.54,52.34,1429941
353,2021-05-11,54.33,53.34,54.87,53.95,2098885
354,2021-05-10,56.58,54.36,56.76,55.0,2217169
355,2021-05-07,56.94,56.59,57.55,56.88,962400
356,2021-05-06,57.69,55.96,57.69,56.74,1363431
357,2021-05-05,58.87,57.11,58.95,57.46,1015800
358,2021-05-04,57.4,56.64,58.37,58.31,1133469
359,2021-05-03,56.66,56.54,58.06,57.77,1300200
360,2021-04-30,58.14,56.23,58.82,56.37,1370400
361,2021-04-29,58.73,58.1,58.95,58.56,1211400
362,2021-04-28,57.72,57.26,58.63,58.26,1392600
363,2021-04-27,56.95,56.79,58.28,57.78,1435593
364,2021-04-26,57.59,56.13,58.25,56.5,1498215
365,2021-04-23,56.34,55.92,57.78,57.3,1395000
366,2021-04-22,55.5,55.35,56.71,55.77,970200
367,2021-04-21,54.64,54.26,55.87,55.5,1021341
368,2021-04-20,55.8,53.79,55.97,54.64,1159200
369,2021-04-19,56.53,55.52,56.58,56.21,1185087
370,2021-04-16,57.13,56.53,57.5,56.84,901200
371,2021-04-15,56.55,55.43,56.67,56.59,945856
372,2021-04-14,55.78,55.3,56.74,56.02,928200
373,2021-04-13,57.56,55.78,57.66,55.97,949408
